date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-04-26,5,1,ay.13,0.2,0.5,Afghanistan
2021-05-08,15,1,ay.48,0.0666666666666667,0.0619469026548673,Afghanistan
2021-05-08,15,1,ay.53,0.0666666666666667,0.0619469026548673,Afghanistan
2021-03-21,1,1,b.1.1.7,1,1,Afghanistan
2021-03-22,1,1,b.1.1.7,1,1,Afghanistan
2021-03-23,0,0,b.1.1.7,0,1,Afghanistan
2021-03-24,0,0,b.1.1.7,0,1,Afghanistan
2021-03-25,0,0,b.1.1.7,0,1,Afghanistan
2021-03-26,1,1,b.1.1.7,1,1,Afghanistan
2021-03-27,0,0,b.1.1.7,0,1,Afghanistan
2021-03-28,0,0,b.1.1.7,0,1,Afghanistan
2021-03-29,0,0,b.1.1.7,0,1,Afghanistan
2021-03-30,0,0,b.1.1.7,0,1,Afghanistan
2021-03-31,0,0,b.1.1.7,0,1,Afghanistan
2021-04-01,0,0,b.1.1.7,0,1,Afghanistan
2021-04-02,0,0,b.1.1.7,0,0,Afghanistan
2021-04-03,0,0,b.1.1.7,0,0,Afghanistan
2021-04-04,0,0,b.1.1.7,0,0,Afghanistan
2021-04-05,0,0,b.1.1.7,0,0,Afghanistan
2021-04-06,0,0,b.1.1.7,0,0,Afghanistan
2021-04-07,0,0,b.1.1.7,0,0,Afghanistan
2021-04-08,0,0,b.1.1.7,0,0,Afghanistan
2021-04-09,0,0,b.1.1.7,0,0,Afghanistan
2021-04-10,4,4,b.1.1.7,1,1,Afghanistan
2021-04-11,0,0,b.1.1.7,0,1,Afghanistan
2021-04-12,0,0,b.1.1.7,0,0.363636363636364,Afghanistan
2021-04-13,0,0,b.1.1.7,0,0.533333333333333,Afghanistan
2021-04-14,0,0,b.1.1.7,0,0.631578947368421,Afghanistan
2021-04-15,0,0,b.1.1.7,0,0.533333333333333,Afghanistan
2021-04-16,0,0,b.1.1.7,0,0.588235294117647,Afghanistan
2021-04-17,0,0,b.1.1.7,0,0,Afghanistan
2021-04-18,0,0,b.1.1.7,0,0,Afghanistan
2021-04-19,0,0,b.1.1.7,0,0,Afghanistan
2021-04-20,2,1,b.1.1.7,0.5,0.25,Afghanistan
2021-04-21,0,0,b.1.1.7,0,0.2,Afghanistan
2021-04-22,1,1,b.1.1.7,1,1,Afghanistan
2021-04-23,0,0,b.1.1.7,0,1,Afghanistan
2021-04-24,0,0,b.1.1.7,0,1,Afghanistan
2021-04-25,1,1,b.1.1.7,1,1,Afghanistan
2021-04-26,5,4,b.1.1.7,0.8,0.5,Afghanistan
2021-04-27,0,0,b.1.1.7,0,1,Afghanistan
2021-04-28,0,0,b.1.1.7,0,1,Afghanistan
2021-04-29,0,0,b.1.1.7,0,1,Afghanistan
2021-04-30,0,0,b.1.1.7,0,1,Afghanistan
2021-05-01,1,1,b.1.1.7,1,1,Afghanistan
2021-05-02,1,1,b.1.1.7,1,1,Afghanistan
2021-05-03,0,0,b.1.1.7,0,1,Afghanistan
2021-05-04,1,1,b.1.1.7,1,1,Afghanistan
2021-05-05,1,1,b.1.1.7,1,1,Afghanistan
2021-05-06,1,1,b.1.1.7,1,1,Afghanistan
2021-05-07,4,4,b.1.1.7,1,1,Afghanistan
2021-05-08,0,0,b.1.1.7,0,0.0707964601769912,Afghanistan
