date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2020-01-28,1,1,a,1,1,Australia
2020-01-29,0,0,a,0,1,Australia
2020-01-30,4,1,a,0.25,0.181818181818182,Australia
2020-01-31,0,0,a,0,0.166666666666667,Australia
2020-02-01,0,0,a,0,0.210526315789474,Australia
2020-02-02,0,0,a,0,0.19047619047619,Australia
2020-02-03,0,0,a,0,0.206185567010309,Australia
2020-02-04,1,1,a,1,0.240963855421687,Australia
2020-02-05,2,2,a,1,0.428571428571429,Australia
2020-02-06,0,0,a,0,0.6,Australia
2020-02-07,0,0,a,0,0.75,Australia
2020-02-08,1,1,a,1,0.8,Australia
2020-02-09,0,0,a,0,1,Australia
2020-02-10,0,0,a,0,1,Australia
2020-02-11,0,0,a,0,1,Australia
2020-02-12,0,0,a,0,1,Australia
2020-02-13,0,0,a,0,1,Australia
2020-02-14,0,0,a,0,1,Australia
2020-02-15,0,0,a,0,0,Australia
2020-02-16,0,0,a,0,0,Australia
2020-02-17,0,0,a,0,0,Australia
2020-02-18,0,0,a,0,0,Australia
2020-02-19,0,0,a,0,0,Australia
2020-02-20,0,0,a,0,0,Australia
2020-02-21,0,0,a,0,0,Australia
2020-02-22,0,0,a,0,0,Australia
2020-02-23,0,0,a,0,0,Australia
2020-02-24,0,0,a,0,0,Australia
2020-02-25,0,0,a,0,0,Australia
2020-02-26,0,0,a,0,0,Australia
2020-02-27,0,0,a,0,0,Australia
2020-02-28,0,0,a,0,0,Australia
2020-02-29,0,0,a,0,0,Australia
2020-03-01,0,0,a,0,0,Australia
2020-03-02,0,0,a,0,0,Australia
2020-03-03,0,0,a,0,0,Australia
2020-03-04,0,0,a,0,0,Australia
2020-03-05,0,0,a,0,0,Australia
2020-03-06,0,0,a,0,0,Australia
2020-03-07,6,1,a,0.166666666666667,0.0204081632653061,Australia
2020-03-08,0,0,a,0,0.0144230769230769,Australia
2020-03-09,0,0,a,0,0.0131578947368421,Australia
2020-03-10,30,6,a,0.2,0.0728155339805825,Australia
2020-03-11,0,0,a,0,0.0610021786492375,Australia
2020-03-12,30,5,a,0.166666666666667,0.0879765395894428,Australia
2020-03-13,34,2,a,0.0588235294117647,0.0863309352517986,Australia
2020-03-14,40,4,a,0.1,0.0841584158415842,Australia
2020-03-15,43,4,a,0.0930232558139535,0.0923076923076923,Australia
2020-03-16,58,3,a,0.0517241379310345,0.0850059031877214,Australia
2020-03-17,69,10,a,0.144927536231884,0.0892430278884462,Australia
2020-03-18,98,5,a,0.0510204081632653,0.0833894878706199,Australia
2020-03-19,125,12,a,0.096,0.0781758957654723,Australia
2020-03-20,195,3,a,0.0153846153846154,0.0631028114098091,Australia
2020-03-21,187,3,a,0.0160427807486631,0.0483335011579901,Australia
2020-03-22,227,2,a,0.00881057268722467,0.0380285213910433,Australia
2020-03-23,219,4,a,0.0182648401826484,0.0338737695425594,Australia
2020-03-24,176,3,a,0.0170454545454545,0.0255302174057576,Australia
2020-03-25,208,2,a,0.00961538461538462,0.0214910330517267,Australia
2020-03-26,167,1,a,0.00598802395209581,0.0129954515919428,Australia
2020-03-27,181,3,a,0.0165745856353591,0.0131659149091796,Australia
2020-03-28,0,0,a,0,0.0114259597806216,Australia
2020-03-29,101,2,a,0.0198019801980198,0.0126440011239112,Australia
2020-03-30,0,0,a,0,0.0101289134438306,Australia
2020-03-31,120,3,a,0.025,0.0106796116504854,Australia
2020-04-01,103,2,a,0.0194174757281553,0.0118152524167562,Australia
2020-04-02,80,2,a,0.025,0.0142772159428911,Australia
2020-04-03,0,0,a,0,0.0122727272727273,Australia
2020-04-04,72,2,a,0.0277777777777778,0.0165725047080979,Australia
2020-04-05,54,1,a,0.0185185185185185,0.0161272981399849,Australia
2020-04-06,61,2,a,0.0327868852459016,0.0215375411307209,Australia
2020-04-07,0,0,a,0,0.0183998909636091,Australia
2020-04-08,67,1,a,0.0149253731343284,0.0176958525345622,Australia
2020-04-09,73,2,a,0.0273972602739726,0.0173010380622837,Australia
2020-04-10,42,2,a,0.0476190476190476,0.0232198142414861,Australia
2020-04-11,0,0,a,0,0.020253164556962,Australia
2020-04-12,0,0,a,0,0.0193771626297578,Australia
2020-04-13,0,0,a,0,0.0146113383985973,Australia
2020-04-14,0,0,a,0,0.0150829562594268,Australia
2020-04-15,28,1,a,0.0357142857142857,0.0171232876712329,Australia
2020-04-16,31,1,a,0.032258064516129,0.016,Australia
2020-04-17,22,1,a,0.0454545454545455,0.0130434782608696,Australia
2020-04-18,0,0,a,0,0.0148514851485149,Australia
2020-04-19,0,0,a,0,0.0154639175257732,Australia
2020-04-20,11,1,a,0.0909090909090909,0.0246913580246914,Australia
2020-04-21,0,0,a,0,0.0310077519379845,Australia
2020-04-22,0,0,a,0,0.0277777777777778,Australia
2020-04-23,0,0,a,0,0.0227272727272727,Australia
2020-04-24,0,0,a,0,0.0144927536231884,Australia
2020-04-25,0,0,a,0,0.0163934426229508,Australia
2020-04-26,0,0,a,0,0.0196078431372549,Australia
2020-04-27,0,0,a,0,0,Australia
2020-04-28,0,0,a,0,0,Australia
2020-04-29,0,0,a,0,0,Australia
2020-04-30,0,0,a,0,0,Australia
2020-05-01,0,0,a,0,0,Australia
2020-05-02,0,0,a,0,0,Australia
2020-05-03,0,0,a,0,0,Australia
2020-05-04,0,0,a,0,0,Australia
2020-05-05,0,0,a,0,0,Australia
2020-05-06,0,0,a,0,0,Australia
2020-05-07,0,0,a,0,0,Australia
2020-05-08,0,0,a,0,0,Australia
2020-05-09,0,0,a,0,0,Australia
2020-05-10,0,0,a,0,0,Australia
2020-05-11,0,0,a,0,0,Australia
2020-05-12,0,0,a,0,0,Australia
2020-05-13,0,0,a,0,0,Australia
2020-05-14,0,0,a,0,0,Australia
2020-05-15,0,0,a,0,0,Australia
2020-05-16,0,0,a,0,0,Australia
2020-05-17,0,0,a,0,0,Australia
2020-05-18,0,0,a,0,0,Australia
2020-05-19,0,0,a,0,0,Australia
2020-05-20,0,0,a,0,0,Australia
2020-05-21,0,0,a,0,0,Australia
2020-05-22,0,0,a,0,0,Australia
2020-05-23,0,0,a,0,0,Australia
2020-05-24,6,2,a,0.333333333333333,0.0526315789473684,Australia
2020-05-25,0,0,a,0,0.0465116279069767,Australia
2020-05-26,0,0,a,0,0.0465116279069768,Australia
2020-05-27,15,1,a,0.0666666666666667,0.0535714285714286,Australia
2020-05-28,0,0,a,0,0.0413793103448276,Australia
2020-05-29,0,0,a,0,0.0393013100436681,Australia
2020-05-30,0,0,a,0,0.0380952380952381,Australia
2020-05-31,0,0,a,0,0.0123609394313968,Australia
2020-06-01,0,0,a,0,0.0130718954248366,Australia
2020-06-02,0,0,a,0,0.014336917562724,Australia
2020-06-03,0,0,a,0,0,Australia
2020-06-04,0,0,a,0,0,Australia
2020-06-05,0,0,a,0,0,Australia
2020-06-06,0,0,a,0,0,Australia
2020-06-07,0,0,a,0,0,Australia
2020-06-08,0,0,a,0,0,Australia
2020-06-09,0,0,a,0,0,Australia
2020-06-10,0,0,a,0,0,Australia
2020-06-11,12,1,a,0.0833333333333333,0.0233009708737864,Australia
2020-06-12,0,0,a,0,0.0183823529411765,Australia
2020-06-13,0,0,a,0,0.0160857908847185,Australia
2020-06-14,0,0,a,0,0.0113636363636364,Australia
2020-06-15,0,0,a,0,0.0099009900990099,Australia
2020-06-16,0,0,a,0,0.0100840336134454,Australia
2020-06-17,0,0,a,0,0.0093167701863354,Australia
2020-06-18,0,0,a,0,0,Australia
2020-06-19,0,0,a,0,0,Australia
2020-06-20,0,0,a,0,0,Australia
2020-06-21,0,0,a,0,0,Australia
2020-06-22,0,0,a,0,0,Australia
2020-06-23,0,0,a,0,0,Australia
2020-06-24,0,0,a,0,0,Australia
2020-06-25,0,0,a,0,0,Australia
2020-06-26,0,0,a,0,0,Australia
2020-06-27,0,0,a,0,0,Australia
2020-06-28,0,0,a,0,0,Australia
2020-06-29,0,0,a,0,0,Australia
2020-06-30,0,0,a,0,0,Australia
2020-07-01,0,0,a,0,0,Australia
2020-07-02,0,0,a,0,0,Australia
2020-07-03,0,0,a,0,0,Australia
2020-07-04,0,0,a,0,0,Australia
2020-07-05,107,1,a,0.00934579439252336,0.00181170360529017,Australia
2020-07-06,0,0,a,0,0.00160565189466924,Australia
2020-07-07,0,0,a,0,0.00137280922527799,Australia
2020-07-08,0,0,a,0,0.00117178345441762,Australia
2020-07-09,0,0,a,0,0.00113700966458215,Australia
2020-07-10,0,0,a,0,0.00104239054899236,Australia
2020-07-11,0,0,a,0,0.00099725754176016,Australia
2020-07-12,0,0,a,0,0,Australia
2020-07-13,0,0,a,0,0,Australia
2020-07-14,0,0,a,0,0,Australia
2020-07-15,0,0,a,0,0,Australia
2020-07-16,0,0,a,0,0,Australia
2020-07-17,0,0,a,0,0,Australia
2020-07-18,0,0,a,0,0,Australia
2020-07-19,0,0,a,0,0,Australia
2020-07-20,284,1,a,0.00352112676056338,0.000574382538770821,Australia
2021-01-11,10,1,a.2.5,0.1,0.108527131782946,Australia
2021-01-12,0,0,a.2.5,0,0.0453074433656958,Australia
2021-01-13,0,0,a.2.5,0,0.041866028708134,Australia
2021-01-14,0,0,a.2.5,0,0.0337078651685393,Australia
2021-01-15,15,1,a.2.5,0.0666666666666667,0.0520446096654275,Australia
2021-01-16,0,0,a.2.5,0,0.0454545454545455,Australia
2021-01-17,0,0,a.2.5,0,0.0454545454545455,Australia
2021-01-18,10,1,a.2.5,0.1,0.0425531914893617,Australia
2020-12-12,3,1,a.21,0.333333333333333,0.211267605633803,Australia
2020-12-13,0,0,a.21,0,0.126888217522659,Australia
2020-12-14,0,0,a.21,0,0.0691699604743083,Australia
2020-12-15,0,0,a.21,0,0.065015479876161,Australia
2020-12-16,0,0,a.21,0,0.0262172284644195,Australia
2020-12-17,0,0,a.21,0,0.0149253731343284,Australia
2020-12-18,26,2,a.21,0.0769230769230769,0.0337078651685393,Australia
2021-01-02,18,1,a.23.1,0.0555555555555556,0.0448717948717949,Australia
2020-06-22,16,1,a.25,0.0625,0.0660377358490566,Australia
2020-06-23,0,0,a.25,0,0.0285714285714286,Australia
2020-06-24,0,0,a.25,0,0.0162224797219004,Australia
2020-06-25,0,0,a.25,0,0.00977198697068404,Australia
2020-06-26,0,0,a.25,0,0.0066619081608375,Australia
2020-06-27,0,0,a.25,0,0.00473164796539138,Australia
2020-06-28,0,0,a.25,0,0.00352526439482961,Australia
2020-06-29,0,0,a.25,0,0,Australia
2020-06-30,0,0,a.25,0,0,Australia
2020-07-01,0,0,a.25,0,0,Australia
2020-07-02,0,0,a.25,0,0,Australia
2020-07-03,0,0,a.25,0,0,Australia
2020-07-04,0,0,a.25,0,0,Australia
2020-07-05,0,0,a.25,0,0,Australia
2020-07-06,0,0,a.25,0,0,Australia
2020-07-07,0,0,a.25,0,0,Australia
2020-07-08,0,0,a.25,0,0,Australia
2020-07-09,0,0,a.25,0,0,Australia
2020-07-10,0,0,a.25,0,0,Australia
2020-07-11,0,0,a.25,0,0,Australia
2020-07-12,0,0,a.25,0,0,Australia
2020-07-13,0,0,a.25,0,0,Australia
2020-07-14,0,0,a.25,0,0,Australia
2020-07-15,0,0,a.25,0,0,Australia
2020-07-16,0,0,a.25,0,0,Australia
2020-07-17,0,0,a.25,0,0,Australia
2020-07-18,0,0,a.25,0,0,Australia
2020-07-19,0,0,a.25,0,0,Australia
2020-07-20,0,0,a.25,0,0,Australia
2020-07-21,0,0,a.25,0,0,Australia
2020-07-22,0,0,a.25,0,0,Australia
2020-07-23,0,0,a.25,0,0,Australia
2020-07-24,0,0,a.25,0,0,Australia
2020-07-25,0,0,a.25,0,0,Australia
2020-07-26,0,0,a.25,0,0,Australia
2020-07-27,0,0,a.25,0,0,Australia
2020-07-28,0,0,a.25,0,0,Australia
2020-07-29,0,0,a.25,0,0,Australia
2020-07-30,0,0,a.25,0,0,Australia
2020-07-31,0,0,a.25,0,0,Australia
2020-08-01,0,0,a.25,0,0,Australia
2020-08-02,0,0,a.25,0,0,Australia
2020-08-03,0,0,a.25,0,0,Australia
2020-08-04,0,0,a.25,0,0,Australia
2020-08-05,0,0,a.25,0,0,Australia
2020-08-06,0,0,a.25,0,0,Australia
2020-08-07,0,0,a.25,0,0,Australia
2020-08-08,0,0,a.25,0,0,Australia
2020-08-09,0,0,a.25,0,0,Australia
2020-08-10,0,0,a.25,0,0,Australia
2020-08-11,0,0,a.25,0,0,Australia
2020-08-12,0,0,a.25,0,0,Australia
2020-08-13,0,0,a.25,0,0,Australia
2020-08-14,0,0,a.25,0,0,Australia
2020-08-15,0,0,a.25,0,0,Australia
2020-08-16,0,0,a.25,0,0,Australia
2020-08-17,0,0,a.25,0,0,Australia
2020-08-18,0,0,a.25,0,0,Australia
2020-08-19,0,0,a.25,0,0,Australia
2020-08-20,0,0,a.25,0,0,Australia
2020-08-21,0,0,a.25,0,0,Australia
2020-08-22,0,0,a.25,0,0,Australia
2020-08-23,0,0,a.25,0,0,Australia
