date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-07-16,15,1,ay.10,0.0666666666666667,0.0249658206027462,Bangladesh
2021-05-29,5,1,ay.100,0.2,0.110526315789474,Bangladesh
2021-05-30,0,0,ay.100,0,0.0663507109004739,Bangladesh
2021-05-31,0,0,ay.100,0,0.0439698492462312,Bangladesh
2021-06-01,0,0,ay.100,0,0.0371024734982332,Bangladesh
2021-06-02,0,0,ay.100,0,0.0310192023633678,Bangladesh
2021-06-03,11,1,ay.100,0.0909090909090909,0.0493827160493827,Bangladesh
2021-06-04,0,0,ay.100,0,0.051413881748072,Bangladesh
2021-06-05,0,0,ay.100,0,0.021505376344086,Bangladesh
2021-06-06,0,0,ay.100,0,0.0242424242424242,Bangladesh
2021-06-07,0,0,ay.100,0,0.0251677852348993,Bangladesh
2021-06-08,0,0,ay.100,0,0.0213143872113677,Bangladesh
2021-06-09,0,0,ay.100,0,0.0225225225225225,Bangladesh
2021-06-10,0,0,ay.100,0,0,Bangladesh
2021-06-11,0,0,ay.100,0,0,Bangladesh
2021-06-12,0,0,ay.100,0,0,Bangladesh
2021-06-13,0,0,ay.100,0,0,Bangladesh
2021-06-14,0,0,ay.100,0,0,Bangladesh
2021-06-15,0,0,ay.100,0,0,Bangladesh
2021-06-16,0,0,ay.100,0,0,Bangladesh
2021-06-17,11,1,ay.100,0.0909090909090909,0.0151515151515152,Bangladesh
2021-06-18,0,0,ay.100,0,0.0153452685421995,Bangladesh
2021-06-19,0,0,ay.100,0,0.0135440180586907,Bangladesh
2021-06-20,0,0,ay.100,0,0.0109469074986316,Bangladesh
2021-06-21,0,0,ay.100,0,0.0099767209843698,Bangladesh
2021-06-22,0,0,ay.100,0,0.0105263157894737,Bangladesh
2021-06-23,0,0,ay.100,0,0.0138472190168475,Bangladesh
2021-06-24,0,0,ay.100,0,0,Bangladesh
2021-06-25,0,0,ay.100,0,0,Bangladesh
2021-06-26,0,0,ay.100,0,0,Bangladesh
2021-06-27,0,0,ay.100,0,0,Bangladesh
2021-06-28,0,0,ay.100,0,0,Bangladesh
2021-06-29,0,0,ay.100,0,0,Bangladesh
2021-06-30,0,0,ay.100,0,0,Bangladesh
2021-07-01,0,0,ay.100,0,0,Bangladesh
2021-07-02,0,0,ay.100,0,0,Bangladesh
2021-07-03,32,1,ay.100,0.03125,0.00442739079102715,Bangladesh
2021-07-04,22,1,ay.100,0.0454545454545455,0.00865488640461594,Bangladesh
2021-07-05,0,0,ay.100,0,0.00810701256586948,Bangladesh
2021-07-06,0,0,ay.100,0,0.0132085855806274,Bangladesh
2021-07-07,0,0,ay.100,0,0.010455693996689,Bangladesh
2021-07-08,0,0,ay.100,0,0.00975292587776333,Bangladesh
2021-07-09,0,0,ay.100,0,0.00958926002876778,Bangladesh
2021-07-10,28,1,ay.100,0.0357142857142857,0.00962850036106876,Bangladesh
2021-07-11,0,0,ay.100,0,0.00443066016836509,Bangladesh
2021-07-12,0,0,ay.100,0,0.00398459290742462,Bangladesh
2021-07-13,0,0,ay.100,0,0.0034324942791762,Bangladesh
2021-07-14,0,0,ay.100,0,0.0033403852577664,Bangladesh
