date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-01-11,1,1,a,1,0.7,Botswana
2021-08-25,24,1,ay.112,0.0416666666666667,0.104477611940299,Botswana
2021-08-26,105,2,ay.112,0.0190476190476191,0.0584958217270195,Botswana
2021-08-27,0,0,ay.112,0,0.0381471389645777,Botswana
2021-08-28,0,0,ay.112,0,0.0281375614113444,Botswana
2021-08-29,0,0,ay.112,0,0.0227088402270884,Botswana
2021-08-30,0,0,ay.112,0,0.0202429149797571,Botswana
2021-08-31,0,0,ay.112,0,0.0202474690663667,Botswana
2021-09-01,0,0,ay.112,0,0.0143884892086331,Botswana
2021-09-02,0,0,ay.112,0,0,Botswana
2021-09-03,13,1,ay.112,0.0769230769230769,0.0168067226890756,Botswana
2021-09-04,0,0,ay.112,0,0.0174418604651163,Botswana
2021-09-05,0,0,ay.112,0,0.0164609053497942,Botswana
2021-09-06,0,0,ay.112,0,0.0144092219020173,Botswana
2021-09-07,0,0,ay.112,0,0.0126315789473684,Botswana
2021-09-08,0,0,ay.112,0,0.0136986301369863,Botswana
2021-09-09,0,0,ay.112,0,0.0136986301369863,Botswana
2021-09-10,0,0,ay.112,0,0,Botswana
2021-09-11,0,0,ay.112,0,0,Botswana
2021-09-12,0,0,ay.112,0,0,Botswana
2021-09-13,0,0,ay.112,0,0,Botswana
2021-09-14,0,0,ay.112,0,0,Botswana
2021-09-15,0,0,ay.112,0,0,Botswana
2021-09-16,0,0,ay.112,0,0,Botswana
2021-09-17,0,0,ay.112,0,0,Botswana
2021-09-18,0,0,ay.112,0,0,Botswana
2021-09-19,0,0,ay.112,0,0,Botswana
2021-09-20,0,0,ay.112,0,0,Botswana
2021-09-21,0,0,ay.112,0,0,Botswana
2021-09-22,0,0,ay.112,0,0,Botswana
2021-09-23,0,0,ay.112,0,0,Botswana
2021-09-24,0,0,ay.112,0,0,Botswana
2021-09-25,0,0,ay.112,0,0,Botswana
2021-09-26,0,0,ay.112,0,0,Botswana
2021-09-27,0,0,ay.112,0,0,Botswana
2021-09-28,0,0,ay.112,0,0,Botswana
2021-09-29,0,0,ay.112,0,0,Botswana
2021-09-30,0,0,ay.112,0,0,Botswana
2021-10-01,0,0,ay.112,0,0,Botswana
2021-10-02,0,0,ay.112,0,0,Botswana
2021-10-03,0,0,ay.112,0,0,Botswana
2021-10-04,0,0,ay.112,0,0,Botswana
2021-10-05,0,0,ay.112,0,0,Botswana
2021-10-06,0,0,ay.112,0,0,Botswana
2021-10-07,13,4,ay.112,0.307692307692308,0.0833333333333333,Botswana
2021-10-08,0,0,ay.112,0,0.0833333333333333,Botswana
2021-10-09,0,0,ay.112,0,0.0769230769230769,Botswana
2021-10-10,0,0,ay.112,0,0.0833333333333333,Botswana
2021-10-11,0,0,ay.112,0,0.0833333333333333,Botswana
2021-10-12,13,1,ay.112,0.0769230769230769,0.1,Botswana
2021-10-13,0,0,ay.112,0,0.0909090909090909,Botswana
2021-10-14,0,0,ay.112,0,0.0208333333333333,Botswana
2021-10-15,0,0,ay.112,0,0.02,Botswana
2021-10-16,0,0,ay.112,0,0.024390243902439,Botswana
2021-10-17,0,0,ay.112,0,0.0232558139534884,Botswana
2021-10-18,9,1,ay.112,0.111111111111111,0.0465116279069767,Botswana
2021-10-19,0,0,ay.112,0,0.0227272727272727,Botswana
2021-10-20,0,0,ay.112,0,0.0185185185185185,Botswana
2021-10-21,0,0,ay.112,0,0.0166666666666667,Botswana
2021-10-22,0,0,ay.112,0,0.0169491525423729,Botswana
2021-10-23,0,0,ay.112,0,0.0175438596491228,Botswana
2021-10-24,0,0,ay.112,0,0.0185185185185185,Botswana
2021-10-25,0,0,ay.112,0,0,Botswana
2021-10-26,0,0,ay.112,0,0,Botswana
2021-10-27,0,0,ay.112,0,0,Botswana
2021-10-28,0,0,ay.112,0,0,Botswana
2021-10-29,0,0,ay.112,0,0,Botswana
2021-10-30,0,0,ay.112,0,0,Botswana
2021-10-31,0,0,ay.112,0,0,Botswana
2021-11-01,0,0,ay.112,0,0,Botswana
2021-11-02,0,0,ay.112,0,0,Botswana
2021-11-03,18,1,ay.112,0.0555555555555556,0.0277777777777778,Botswana
2021-04-24,1,1,ay.116,1,1,Botswana
2021-04-25,0,0,ay.116,0,1,Botswana
2021-04-26,0,0,ay.116,0,1,Botswana
2021-04-27,0,0,ay.116,0,1,Botswana
2021-04-28,0,0,ay.116,0,0.112903225806452,Botswana
2021-04-29,0,0,ay.116,0,0.134615384615385,Botswana
2021-04-30,0,0,ay.116,0,0.136363636363636,Botswana
2021-05-01,0,0,ay.116,0,0,Botswana
2021-05-02,0,0,ay.116,0,0,Botswana
2021-05-03,0,0,ay.116,0,0,Botswana
2021-05-04,0,0,ay.116,0,0,Botswana
2021-05-05,0,0,ay.116,0,0,Botswana
2021-05-06,0,0,ay.116,0,0,Botswana
2021-05-07,0,0,ay.116,0,0,Botswana
2021-05-08,0,0,ay.116,0,0,Botswana
2021-05-09,0,0,ay.116,0,0,Botswana
2021-05-10,0,0,ay.116,0,0,Botswana
2021-05-11,0,0,ay.116,0,0,Botswana
2021-05-12,0,0,ay.116,0,0,Botswana
2021-05-13,0,0,ay.116,0,0,Botswana
2021-05-14,0,0,ay.116,0,0,Botswana
2021-05-15,0,0,ay.116,0,0,Botswana
2021-05-16,0,0,ay.116,0,0,Botswana
2021-05-17,0,0,ay.116,0,0,Botswana
2021-05-18,0,0,ay.116,0,0,Botswana
2021-05-19,0,0,ay.116,0,0,Botswana
2021-05-20,0,0,ay.116,0,0,Botswana
2021-05-21,0,0,ay.116,0,0,Botswana
2021-05-22,0,0,ay.116,0,0,Botswana
2021-05-23,0,0,ay.116,0,0,Botswana
2021-05-24,0,0,ay.116,0,0,Botswana
2021-05-25,0,0,ay.116,0,0,Botswana
2021-05-26,0,0,ay.116,0,0,Botswana
2021-05-27,0,0,ay.116,0,0,Botswana
2021-05-28,0,0,ay.116,0,0,Botswana
2021-05-29,0,0,ay.116,0,0,Botswana
2021-05-30,7,1,ay.116,0.142857142857143,0.142857142857143,Botswana
2021-05-31,21,1,ay.116,0.0476190476190476,0.0714285714285714,Botswana
2021-06-01,26,4,ay.116,0.153846153846154,0.111111111111111,Botswana
2021-06-02,12,4,ay.116,0.333333333333333,0.151515151515152,Botswana
2021-06-03,0,0,ay.116,0,0.147058823529412,Botswana
2021-06-04,0,0,ay.116,0,0.142857142857143,Botswana
2021-06-05,16,1,ay.116,0.0625,0.127906976744186,Botswana
2021-06-06,0,0,ay.116,0,0.121951219512195,Botswana
2021-06-07,0,0,ay.116,0,0.136363636363636,Botswana
2021-06-08,0,0,ay.116,0,0.125,Botswana
