date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-02-08,3,1,a.23.1,0.333333333333333,0.230769230769231,Cameroon
2021-02-22,1,1,a.27,1,0.7,Cameroon
2021-02-03,9,1,a.29,0.111111111111111,0.233333333333333,Cameroon
2021-08-28,14,1,ay.109,0.0714285714285714,0.091683038637852,Cameroon
2021-08-29,0,0,ay.109,0,0.0573144104803493,Cameroon
2021-08-30,0,0,ay.109,0,0.0354430379746835,Cameroon
2021-08-31,0,0,ay.109,0,0.0284552845528455,Cameroon
2021-09-01,0,0,ay.109,0,0.0222929936305733,Cameroon
2021-09-02,9,1,ay.109,0.111111111111111,0.0405797101449275,Cameroon
2021-09-03,0,0,ay.109,0,0.0357142857142857,Cameroon
2021-09-04,0,0,ay.109,0,0.02,Cameroon
2021-09-05,0,0,ay.109,0,0.0178571428571429,Cameroon
2021-09-06,0,0,ay.109,0,0.0163934426229508,Cameroon
2021-09-07,0,0,ay.109,0,0.015625,Cameroon
2021-09-08,19,1,ay.109,0.0526315789473684,0.0253164556962025,Cameroon
2021-09-09,0,0,ay.109,0,0.0149253731343284,Cameroon
2021-09-10,0,0,ay.109,0,0.015625,Cameroon
2021-09-11,0,0,ay.109,0,0.0138888888888889,Cameroon
2021-09-12,0,0,ay.109,0,0.0144927536231884,Cameroon
2021-09-13,0,0,ay.109,0,0.0161290322580645,Cameroon
2021-09-14,0,0,ay.109,0,0.0188679245283019,Cameroon
2021-09-15,0,0,ay.109,0,0,Cameroon
2021-09-16,7,2,ay.109,0.285714285714286,0.0444444444444444,Cameroon
2021-09-17,0,0,ay.109,0,0.0454545454545455,Cameroon
2021-09-18,0,0,ay.109,0,0.0769230769230769,Cameroon
2021-09-19,0,0,ay.109,0,0.0833333333333333,Cameroon
2021-09-20,0,0,ay.109,0,0.142857142857143,Cameroon
2021-09-21,0,0,ay.109,0,0.222222222222222,Cameroon
2021-09-22,0,0,ay.109,0,0.133333333333333,Cameroon
2021-09-23,22,7,ay.109,0.318181818181818,0.233333333333333,Cameroon
2021-09-24,5,1,ay.109,0.2,0.25,Cameroon
2021-09-25,11,1,ay.109,0.0909090909090909,0.209302325581395,Cameroon
2021-09-26,1,1,ay.109,1,0.232558139534884,Cameroon
2021-09-27,0,0,ay.109,0,0.232558139534884,Cameroon
2021-09-28,0,0,ay.109,0,0.2,Cameroon
2021-09-29,0,0,ay.109,0,0.246913580246914,Cameroon
2021-09-30,0,0,ay.109,0,0.155172413793103,Cameroon
2021-10-01,0,0,ay.109,0,0.145454545454545,Cameroon
2021-10-02,0,0,ay.109,0,0.416666666666667,Cameroon
2021-10-03,0,0,ay.109,0,0,Cameroon
2021-10-04,0,0,ay.109,0,0,Cameroon
2021-10-05,0,0,ay.109,0,0,Cameroon
2021-10-06,0,0,ay.109,0,0,Cameroon
2021-10-07,0,0,ay.109,0,0,Cameroon
2021-10-08,0,0,ay.109,0,0,Cameroon
2021-10-09,0,0,ay.109,0,0,Cameroon
2021-10-10,0,0,ay.109,0,0,Cameroon
2021-10-11,0,0,ay.109,0,0,Cameroon
2021-10-12,0,0,ay.109,0,0,Cameroon
2021-10-13,0,0,ay.109,0,0,Cameroon
2021-10-14,0,0,ay.109,0,0,Cameroon
2021-10-15,0,0,ay.109,0,0,Cameroon
2021-10-16,0,0,ay.109,0,0,Cameroon
2021-10-17,0,0,ay.109,0,0,Cameroon
2021-10-18,0,0,ay.109,0,0,Cameroon
2021-10-19,0,0,ay.109,0,0,Cameroon
2021-10-20,0,0,ay.109,0,0,Cameroon
2021-10-21,0,0,ay.109,0,0,Cameroon
2021-10-22,0,0,ay.109,0,0,Cameroon
2021-10-23,0,0,ay.109,0,0,Cameroon
2021-10-24,0,0,ay.109,0,0,Cameroon
2021-10-25,0,0,ay.109,0,0,Cameroon
2021-10-26,0,0,ay.109,0,0,Cameroon
2021-10-27,0,0,ay.109,0,0,Cameroon
