date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-01-17,4,1,a.2.5,0.25,0.120689655172414,Chile
2021-01-18,0,0,a.2.5,0,0.0707070707070707,Chile
2021-01-19,0,0,a.2.5,0,0.0804597701149425,Chile
2021-01-20,0,0,a.2.5,0,0.0526315789473684,Chile
2021-01-21,0,0,a.2.5,0,0.0514705882352941,Chile
2021-01-22,0,0,a.2.5,0,0.0463576158940397,Chile
2021-01-23,0,0,a.2.5,0,0.0444444444444444,Chile
2021-01-24,0,0,a.2.5,0,0,Chile
2021-01-25,0,0,a.2.5,0,0,Chile
2021-01-26,0,0,a.2.5,0,0,Chile
2021-01-27,0,0,a.2.5,0,0,Chile
2021-01-28,0,0,a.2.5,0,0,Chile
2021-01-29,0,0,a.2.5,0,0,Chile
2021-01-30,0,0,a.2.5,0,0,Chile
2021-01-31,0,0,a.2.5,0,0,Chile
2021-02-01,0,0,a.2.5,0,0,Chile
2021-02-02,0,0,a.2.5,0,0,Chile
2021-02-03,0,0,a.2.5,0,0,Chile
2021-02-04,0,0,a.2.5,0,0,Chile
2021-02-05,0,0,a.2.5,0,0,Chile
2021-02-06,0,0,a.2.5,0,0,Chile
2021-02-07,0,0,a.2.5,0,0,Chile
2021-02-08,0,0,a.2.5,0,0,Chile
2021-02-09,0,0,a.2.5,0,0,Chile
2021-02-10,0,0,a.2.5,0,0,Chile
2021-02-11,0,0,a.2.5,0,0,Chile
2021-02-12,0,0,a.2.5,0,0,Chile
2021-02-13,0,0,a.2.5,0,0,Chile
2021-02-14,0,0,a.2.5,0,0,Chile
2021-02-15,0,0,a.2.5,0,0,Chile
2021-02-16,0,0,a.2.5,0,0,Chile
2021-02-17,0,0,a.2.5,0,0,Chile
2021-02-18,0,0,a.2.5,0,0,Chile
2021-02-19,0,0,a.2.5,0,0,Chile
2021-02-20,0,0,a.2.5,0,0,Chile
2021-02-21,0,0,a.2.5,0,0,Chile
2021-02-22,0,0,a.2.5,0,0,Chile
2021-02-23,0,0,a.2.5,0,0,Chile
2021-02-24,0,0,a.2.5,0,0,Chile
2021-02-25,0,0,a.2.5,0,0,Chile
2021-02-26,0,0,a.2.5,0,0,Chile
2021-02-27,0,0,a.2.5,0,0,Chile
2021-02-28,0,0,a.2.5,0,0,Chile
2021-03-01,0,0,a.2.5,0,0,Chile
2021-03-02,0,0,a.2.5,0,0,Chile
2021-03-03,0,0,a.2.5,0,0,Chile
2021-03-04,0,0,a.2.5,0,0,Chile
2021-03-05,0,0,a.2.5,0,0,Chile
2021-03-06,0,0,a.2.5,0,0,Chile
2021-03-07,0,0,a.2.5,0,0,Chile
2021-03-08,0,0,a.2.5,0,0,Chile
2021-03-09,0,0,a.2.5,0,0,Chile
2021-03-10,0,0,a.2.5,0,0,Chile
2021-03-11,0,0,a.2.5,0,0,Chile
2021-03-12,0,0,a.2.5,0,0,Chile
2021-03-13,0,0,a.2.5,0,0,Chile
2021-03-14,0,0,a.2.5,0,0,Chile
2021-03-15,0,0,a.2.5,0,0,Chile
2021-03-16,0,0,a.2.5,0,0,Chile
2021-03-17,0,0,a.2.5,0,0,Chile
2021-03-18,0,0,a.2.5,0,0,Chile
2021-03-19,0,0,a.2.5,0,0,Chile
2021-03-20,0,0,a.2.5,0,0,Chile
2021-03-21,0,0,a.2.5,0,0,Chile
2021-03-22,27,1,a.2.5,0.037037037037037,0.0124740124740125,Chile
2021-03-23,0,0,a.2.5,0,0.0102040816326531,Chile
2021-03-24,0,0,a.2.5,0,0.0102040816326531,Chile
2021-03-25,0,0,a.2.5,0,0.0116959064327485,Chile
2021-03-26,0,0,a.2.5,0,0.012,Chile
2021-03-27,0,0,a.2.5,0,0.010126582278481,Chile
2021-03-28,0,0,a.2.5,0,0.00733137829912024,Chile
2021-03-29,0,0,a.2.5,0,0,Chile
2021-03-30,0,0,a.2.5,0,0,Chile
2021-03-31,0,0,a.2.5,0,0,Chile
2021-04-01,0,0,a.2.5,0,0,Chile
2021-04-02,0,0,a.2.5,0,0,Chile
2021-04-03,0,0,a.2.5,0,0,Chile
2021-04-04,0,0,a.2.5,0,0,Chile
2021-04-05,0,0,a.2.5,0,0,Chile
2021-04-06,51,1,a.2.5,0.0196078431372549,0.00488042947779405,Chile
2021-04-07,0,0,a.2.5,0,0.00501882057716437,Chile
2021-04-08,0,0,a.2.5,0,0.00482431454530835,Chile
2021-04-09,0,0,a.2.5,0,0.00469520306753267,Chile
2021-04-10,0,0,a.2.5,0,0.00520923771488106,Chile
2021-04-11,0,0,a.2.5,0,0.00519930675909879,Chile
2021-04-12,0,0,a.2.5,0,0.0051948051948052,Chile
2021-04-13,21,2,a.2.5,0.0952380952380952,0.012396694214876,Chile
2021-04-14,0,0,a.2.5,0,0.0113798008534851,Chile
2021-04-15,0,0,a.2.5,0,0.0114025085518814,Chile
2021-04-16,0,0,a.2.5,0,0.0121827411167513,Chile
2021-04-17,0,0,a.2.5,0,0.0120481927710843,Chile
2021-04-18,0,0,a.2.5,0,0.0108695652173913,Chile
2021-04-19,0,0,a.2.5,0,0.0108108108108108,Chile
2021-04-20,0,0,a.2.5,0,0,Chile
2021-04-21,0,0,a.2.5,0,0,Chile
2021-04-22,0,0,a.2.5,0,0,Chile
2021-04-23,0,0,a.2.5,0,0,Chile
2021-04-24,0,0,a.2.5,0,0,Chile
2021-04-25,0,0,a.2.5,0,0,Chile
2021-04-26,70,1,a.2.5,0.0142857142857143,0.00359496704613541,Chile
2021-04-27,0,0,a.2.5,0,0.0036101083032491,Chile
2021-04-28,0,0,a.2.5,0,0.00366300366300366,Chile
2021-04-29,0,0,a.2.5,0,0.0035778175313059,Chile
2021-04-30,0,0,a.2.5,0,0.00361881785283474,Chile
2021-05-01,0,0,a.2.5,0,0.0036330608537693,Chile
2021-05-02,0,0,a.2.5,0,0.00386498325173924,Chile
2021-05-03,0,0,a.2.5,0,0,Chile
2021-05-04,0,0,a.2.5,0,0,Chile
2021-05-05,0,0,a.2.5,0,0,Chile
2021-05-06,0,0,a.2.5,0,0,Chile
2021-05-07,0,0,a.2.5,0,0,Chile
2021-05-08,0,0,a.2.5,0,0,Chile
2021-05-09,0,0,a.2.5,0,0,Chile
2021-05-10,0,0,a.2.5,0,0,Chile
2021-05-11,0,0,a.2.5,0,0,Chile
2021-05-12,0,0,a.2.5,0,0,Chile
2021-05-13,0,0,a.2.5,0,0,Chile
2021-05-14,0,0,a.2.5,0,0,Chile
2021-05-15,0,0,a.2.5,0,0,Chile
2021-05-16,0,0,a.2.5,0,0,Chile
2021-05-17,0,0,a.2.5,0,0,Chile
2021-05-18,0,0,a.2.5,0,0,Chile
2021-05-19,0,0,a.2.5,0,0,Chile
2021-05-20,0,0,a.2.5,0,0,Chile
2021-05-21,0,0,a.2.5,0,0,Chile
2021-05-22,0,0,a.2.5,0,0,Chile
2021-05-23,0,0,a.2.5,0,0,Chile
2021-05-24,0,0,a.2.5,0,0,Chile
