date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-03-08,69,1,a,0.0144927536231884,0.0238582140422631,Croatia
2021-03-09,0,0,a,0,0.010184287099903,Croatia
2021-03-10,0,0,a,0,0.00647548566142461,Croatia
2021-03-11,0,0,a,0,0.00472653612424038,Croatia
2021-03-12,0,0,a,0,0.00383842076402851,Croatia
2021-03-13,0,0,a,0,0.00345252774352651,Croatia
2021-03-14,0,0,a,0,0.00298151460942159,Croatia
2021-03-15,0,0,a,0,0,Croatia
2021-03-16,0,0,a,0,0,Croatia
2021-03-17,51,1,a,0.0196078431372549,0.002,Croatia
2021-06-07,21,1,ay.100,0.0476190476190476,0.0373532550693703,Croatia
2021-06-08,0,0,ay.100,0,0.018421052631579,Croatia
2021-06-09,0,0,ay.100,0,0.0127272727272727,Croatia
2021-06-10,0,0,ay.100,0,0.0113085621970921,Croatia
2021-06-11,0,0,ay.100,0,0.00895140664961637,Croatia
2021-06-12,0,0,ay.100,0,0.00921052631578947,Croatia
2021-06-13,0,0,ay.100,0,0.00817438692098093,Croatia
2021-06-14,0,0,ay.100,0,0,Croatia
2021-06-15,0,0,ay.100,0,0,Croatia
2021-06-16,0,0,ay.100,0,0,Croatia
2021-06-17,0,0,ay.100,0,0,Croatia
2021-06-18,0,0,ay.100,0,0,Croatia
2021-06-19,0,0,ay.100,0,0,Croatia
2021-06-20,0,0,ay.100,0,0,Croatia
2021-06-21,0,0,ay.100,0,0,Croatia
2021-06-22,0,0,ay.100,0,0,Croatia
2021-06-23,0,0,ay.100,0,0,Croatia
2021-06-24,0,0,ay.100,0,0,Croatia
2021-06-25,0,0,ay.100,0,0,Croatia
2021-06-26,0,0,ay.100,0,0,Croatia
2021-06-27,0,0,ay.100,0,0,Croatia
2021-06-28,0,0,ay.100,0,0,Croatia
2021-06-29,0,0,ay.100,0,0,Croatia
2021-06-30,0,0,ay.100,0,0,Croatia
2021-07-01,0,0,ay.100,0,0,Croatia
2021-07-02,0,0,ay.100,0,0,Croatia
2021-07-03,0,0,ay.100,0,0,Croatia
2021-07-04,0,0,ay.100,0,0,Croatia
2021-07-05,0,0,ay.100,0,0,Croatia
2021-07-06,0,0,ay.100,0,0,Croatia
2021-07-07,0,0,ay.100,0,0,Croatia
2021-07-08,0,0,ay.100,0,0,Croatia
2021-07-09,0,0,ay.100,0,0,Croatia
2021-07-10,13,1,ay.100,0.0769230769230769,0.00476379515680826,Croatia
2021-07-11,0,0,ay.100,0,0.0053835800807537,Croatia
2021-07-12,26,1,ay.100,0.0384615384615385,0.0106951871657754,Croatia
2021-07-13,0,0,ay.100,0,0.0129505719835959,Croatia
2021-07-14,0,0,ay.100,0,0.01171875,Croatia
2021-07-15,0,0,ay.100,0,0.0114613180515759,Croatia
2021-07-16,0,0,ay.100,0,0.0115384615384615,Croatia
2021-07-17,0,0,ay.100,0,0.00536432722396066,Croatia
2021-07-18,0,0,ay.100,0,0.00513303105483788,Croatia
2021-07-19,0,0,ay.100,0,0,Croatia
2021-07-20,0,0,ay.100,0,0,Croatia
2021-07-21,0,0,ay.100,0,0,Croatia
2021-07-22,0,0,ay.100,0,0,Croatia
2021-07-23,0,0,ay.100,0,0,Croatia
2021-07-24,0,0,ay.100,0,0,Croatia
2021-07-25,0,0,ay.100,0,0,Croatia
2021-07-26,0,0,ay.100,0,0,Croatia
2021-07-27,0,0,ay.100,0,0,Croatia
2021-07-28,0,0,ay.100,0,0,Croatia
2021-07-29,0,0,ay.100,0,0,Croatia
2021-07-30,0,0,ay.100,0,0,Croatia
2021-07-31,0,0,ay.100,0,0,Croatia
2021-08-01,0,0,ay.100,0,0,Croatia
2021-08-02,0,0,ay.100,0,0,Croatia
2021-08-03,0,0,ay.100,0,0,Croatia
2021-08-04,0,0,ay.100,0,0,Croatia
2021-08-05,0,0,ay.100,0,0,Croatia
2021-08-06,0,0,ay.100,0,0,Croatia
2021-08-07,0,0,ay.100,0,0,Croatia
2021-08-08,0,0,ay.100,0,0,Croatia
2021-08-09,0,0,ay.100,0,0,Croatia
2021-08-10,0,0,ay.100,0,0,Croatia
2021-08-11,0,0,ay.100,0,0,Croatia
2021-08-12,0,0,ay.100,0,0,Croatia
2021-08-13,0,0,ay.100,0,0,Croatia
2021-08-14,0,0,ay.100,0,0,Croatia
2021-08-15,0,0,ay.100,0,0,Croatia
2021-08-16,0,0,ay.100,0,0,Croatia
2021-08-17,0,0,ay.100,0,0,Croatia
2021-08-18,0,0,ay.100,0,0,Croatia
2021-08-19,0,0,ay.100,0,0,Croatia
2021-08-20,0,0,ay.100,0,0,Croatia
2021-08-21,73,1,ay.100,0.0136986301369863,0.00246143747948802,Croatia
2021-08-22,0,0,ay.100,0,0.00259627866724362,Croatia
2021-08-23,0,0,ay.100,0,0.00230662771028756,Croatia
2021-08-24,0,0,ay.100,0,0.00196238757154538,Croatia
2021-08-25,0,0,ay.100,0,0.00198124422137102,Croatia
2021-08-26,0,0,ay.100,0,0.00203665987780041,Croatia
2021-08-27,0,0,ay.100,0,0.00194893782888326,Croatia
2021-08-28,0,0,ay.100,0,0,Croatia
2021-08-29,0,0,ay.100,0,0,Croatia
2021-08-30,0,0,ay.100,0,0,Croatia
2021-08-31,0,0,ay.100,0,0,Croatia
2021-09-01,0,0,ay.100,0,0,Croatia
2021-09-02,0,0,ay.100,0,0,Croatia
2021-09-03,0,0,ay.100,0,0,Croatia
2021-09-04,0,0,ay.100,0,0,Croatia
2021-09-05,0,0,ay.100,0,0,Croatia
2021-09-06,0,0,ay.100,0,0,Croatia
2021-09-07,0,0,ay.100,0,0,Croatia
2021-09-08,0,0,ay.100,0,0,Croatia
2021-09-09,0,0,ay.100,0,0,Croatia
2021-09-10,0,0,ay.100,0,0,Croatia
2021-09-11,0,0,ay.100,0,0,Croatia
2021-09-12,0,0,ay.100,0,0,Croatia
2021-09-13,0,0,ay.100,0,0,Croatia
2021-09-14,0,0,ay.100,0,0,Croatia
2021-09-15,0,0,ay.100,0,0,Croatia
2021-09-16,0,0,ay.100,0,0,Croatia
2021-09-17,0,0,ay.100,0,0,Croatia
2021-09-18,0,0,ay.100,0,0,Croatia
2021-09-19,0,0,ay.100,0,0,Croatia
2021-09-20,0,0,ay.100,0,0,Croatia
2021-09-21,0,0,ay.100,0,0,Croatia
2021-09-22,0,0,ay.100,0,0,Croatia
2021-09-23,0,0,ay.100,0,0,Croatia
2021-09-24,0,0,ay.100,0,0,Croatia
2021-09-25,0,0,ay.100,0,0,Croatia
2021-09-26,0,0,ay.100,0,0,Croatia
2021-09-27,0,0,ay.100,0,0,Croatia
2021-09-28,0,0,ay.100,0,0,Croatia
2021-09-29,0,0,ay.100,0,0,Croatia
2021-09-30,0,0,ay.100,0,0,Croatia
2021-10-01,0,0,ay.100,0,0,Croatia
2021-10-02,0,0,ay.100,0,0,Croatia
2021-10-03,0,0,ay.100,0,0,Croatia
2021-10-04,0,0,ay.100,0,0,Croatia
2021-10-05,0,0,ay.100,0,0,Croatia
2021-10-06,0,0,ay.100,0,0,Croatia
2021-10-07,0,0,ay.100,0,0,Croatia
2021-10-08,0,0,ay.100,0,0,Croatia
2021-10-09,0,0,ay.100,0,0,Croatia
2021-10-10,0,0,ay.100,0,0,Croatia
2021-10-11,0,0,ay.100,0,0,Croatia
2021-10-12,0,0,ay.100,0,0,Croatia
2021-10-13,0,0,ay.100,0,0,Croatia
2021-10-14,0,0,ay.100,0,0,Croatia
2021-10-15,0,0,ay.100,0,0,Croatia
2021-10-16,0,0,ay.100,0,0,Croatia
2021-10-17,0,0,ay.100,0,0,Croatia
2021-10-18,0,0,ay.100,0,0,Croatia
2021-10-19,0,0,ay.100,0,0,Croatia
2021-10-20,0,0,ay.100,0,0,Croatia
