date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-09-12,5,1,ay.1,0.2,0.0921052631578947,Cyprus
2021-10-08,8,1,ay.103,0.125,0.259259259259259,Cyprus
2021-10-09,0,0,ay.103,0,0.148936170212766,Cyprus
2021-10-10,0,0,ay.103,0,0.104477611940299,Cyprus
2021-10-11,0,0,ay.103,0,0.0843373493975904,Cyprus
2021-10-12,0,0,ay.103,0,0.0853658536585366,Cyprus
2021-10-13,0,0,ay.103,0,0.0958904109589041,Cyprus
2021-10-14,0,0,ay.103,0,0.125,Cyprus
2021-10-15,0,0,ay.103,0,0,Cyprus
2021-10-16,0,0,ay.103,0,0,Cyprus
2021-10-17,0,0,ay.103,0,0,Cyprus
2021-10-18,0,0,ay.103,0,0,Cyprus
2021-10-19,0,0,ay.103,0,0,Cyprus
2021-10-20,0,0,ay.103,0,0,Cyprus
2021-10-21,0,0,ay.103,0,0,Cyprus
2021-10-22,0,0,ay.103,0,0,Cyprus
2021-10-23,0,0,ay.103,0,0,Cyprus
2021-10-24,0,0,ay.103,0,0,Cyprus
2021-10-25,0,0,ay.103,0,0,Cyprus
2021-10-26,0,0,ay.103,0,0,Cyprus
2021-10-27,0,0,ay.103,0,0,Cyprus
2021-10-28,0,0,ay.103,0,0,Cyprus
2021-10-29,0,0,ay.103,0,0,Cyprus
2021-10-30,0,0,ay.103,0,0,Cyprus
2021-10-31,0,0,ay.103,0,0,Cyprus
2021-11-01,0,0,ay.103,0,0,Cyprus
2021-11-02,0,0,ay.103,0,0,Cyprus
2021-11-03,0,0,ay.103,0,0,Cyprus
2021-11-04,0,0,ay.103,0,0,Cyprus
2021-11-05,0,0,ay.103,0,0,Cyprus
2021-11-06,0,0,ay.103,0,0,Cyprus
2021-11-07,0,0,ay.103,0,0,Cyprus
2021-11-08,0,0,ay.103,0,0,Cyprus
2021-11-09,0,0,ay.103,0,0,Cyprus
2021-11-10,0,0,ay.103,0,0,Cyprus
2021-11-11,0,0,ay.103,0,0,Cyprus
2021-11-12,0,0,ay.103,0,0,Cyprus
2021-11-13,0,0,ay.103,0,0,Cyprus
2021-11-14,0,0,ay.103,0,0,Cyprus
2021-11-15,0,0,ay.103,0,0,Cyprus
2021-11-16,0,0,ay.103,0,0,Cyprus
2021-11-17,0,0,ay.103,0,0,Cyprus
2021-11-18,0,0,ay.103,0,0,Cyprus
2021-11-19,0,0,ay.103,0,0,Cyprus
2021-11-20,0,0,ay.103,0,0,Cyprus
2021-11-21,0,0,ay.103,0,0,Cyprus
2021-11-22,0,0,ay.103,0,0,Cyprus
2021-11-23,0,0,ay.103,0,0,Cyprus
2021-11-24,0,0,ay.103,0,0,Cyprus
2021-11-25,0,0,ay.103,0,0,Cyprus
2021-11-26,0,0,ay.103,0,0,Cyprus
2021-11-27,0,0,ay.103,0,0,Cyprus
2021-11-28,0,0,ay.103,0,0,Cyprus
2021-11-29,0,0,ay.103,0,0,Cyprus
2021-11-30,0,0,ay.103,0,0,Cyprus
2021-12-01,1,1,ay.103,1,0.0909090909090909,Cyprus
2021-12-02,0,0,ay.103,0,0.0909090909090909,Cyprus
2021-12-03,0,0,ay.103,0,0.0714285714285714,Cyprus
2021-12-04,0,0,ay.103,0,0.0714285714285714,Cyprus
2021-12-05,0,0,ay.103,0,0.0714285714285714,Cyprus
2021-12-06,0,0,ay.103,0,0.0666666666666667,Cyprus
2021-12-07,0,0,ay.103,0,0.05,Cyprus
2021-12-08,10,1,ay.103,0.1,0.0344827586206897,Cyprus
2021-12-09,16,3,ay.103,0.1875,0.0975609756097561,Cyprus
2021-12-10,0,0,ay.103,0,0.105263157894737,Cyprus
2021-12-11,0,0,ay.103,0,0.105263157894737,Cyprus
2021-12-12,0,0,ay.103,0,0.105263157894737,Cyprus
2021-12-13,0,0,ay.103,0,0.0952380952380952,Cyprus
2021-12-14,0,0,ay.103,0,0.0930232558139535,Cyprus
2021-12-15,4,1,ay.103,0.25,0.108108108108108,Cyprus
2021-12-16,0,0,ay.103,0,0.0294117647058824,Cyprus
2021-12-17,0,0,ay.103,0,0.0285714285714286,Cyprus
2021-12-18,0,0,ay.103,0,0.0294117647058824,Cyprus
2021-12-19,0,0,ay.103,0,0.0294117647058824,Cyprus
2021-12-20,0,0,ay.103,0,0.0344827586206897,Cyprus
2021-12-21,0,0,ay.103,0,0.024390243902439,Cyprus
2021-12-22,0,0,ay.103,0,0,Cyprus
2021-12-23,0,0,ay.103,0,0,Cyprus
2021-12-24,0,0,ay.103,0,0,Cyprus
2021-12-25,0,0,ay.103,0,0,Cyprus
2021-12-26,0,0,ay.103,0,0,Cyprus
2021-12-27,0,0,ay.103,0,0,Cyprus
2021-12-28,0,0,ay.103,0,0,Cyprus
