date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2020-03-17,7,1,a,0.142857142857143,0.192219679633867,Democratic Republic of Congo
2020-03-18,0,0,a,0,0.105580693815988,Democratic Republic of Congo
2020-03-19,0,0,a,0,0.0712105798575789,Democratic Republic of Congo
2020-03-20,0,0,a,0,0.0490654205607477,Democratic Republic of Congo
2020-03-21,0,0,a,0,0.0294117647058824,Democratic Republic of Congo
2020-03-22,7,1,a,0.142857142857143,0.0583333333333333,Democratic Republic of Congo
2020-03-23,0,0,a,0,0.0545454545454546,Democratic Republic of Congo
2020-03-24,0,0,a,0,0.0338983050847458,Democratic Republic of Congo
2020-03-25,0,0,a,0,0.0381679389312977,Democratic Republic of Congo
2020-03-26,0,0,a,0,0.031413612565445,Democratic Republic of Congo
2020-03-27,0,0,a,0,0.0444444444444444,Democratic Republic of Congo
2020-03-28,0,0,a,0,0.0576923076923077,Democratic Republic of Congo
2020-03-29,0,0,a,0,0,Democratic Republic of Congo
2020-03-30,0,0,a,0,0,Democratic Republic of Congo
2020-03-31,0,0,a,0,0,Democratic Republic of Congo
2020-04-01,0,0,a,0,0,Democratic Republic of Congo
2020-04-02,0,0,a,0,0,Democratic Republic of Congo
2020-04-03,0,0,a,0,0,Democratic Republic of Congo
2020-04-04,0,0,a,0,0,Democratic Republic of Congo
2020-04-05,0,0,a,0,0,Democratic Republic of Congo
2020-04-06,0,0,a,0,0,Democratic Republic of Congo
2020-04-07,0,0,a,0,0,Democratic Republic of Congo
2020-04-08,0,0,a,0,0,Democratic Republic of Congo
2020-04-09,0,0,a,0,0,Democratic Republic of Congo
2020-04-10,0,0,a,0,0,Democratic Republic of Congo
2020-04-11,0,0,a,0,0,Democratic Republic of Congo
2020-04-12,0,0,a,0,0,Democratic Republic of Congo
2020-04-13,0,0,a,0,0,Democratic Republic of Congo
2020-04-14,0,0,a,0,0,Democratic Republic of Congo
2020-04-15,0,0,a,0,0,Democratic Republic of Congo
2020-04-16,0,0,a,0,0,Democratic Republic of Congo
2020-04-17,0,0,a,0,0,Democratic Republic of Congo
2020-04-18,0,0,a,0,0,Democratic Republic of Congo
2020-04-19,0,0,a,0,0,Democratic Republic of Congo
2020-04-20,0,0,a,0,0,Democratic Republic of Congo
2020-04-21,0,0,a,0,0,Democratic Republic of Congo
2020-04-22,0,0,a,0,0,Democratic Republic of Congo
2020-04-23,0,0,a,0,0,Democratic Republic of Congo
2020-04-24,0,0,a,0,0,Democratic Republic of Congo
2020-04-25,12,4,a,0.333333333333333,0.0845070422535211,Democratic Republic of Congo
2020-04-26,0,0,a,0,0.082051282051282,Democratic Republic of Congo
2020-04-27,0,0,a,0,0.072202166064982,Democratic Republic of Congo
2020-04-28,0,0,a,0,0.0652173913043478,Democratic Republic of Congo
2020-04-29,0,0,a,0,0.0588235294117647,Democratic Republic of Congo
