date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-01-04,4138,1,a.23.1,0.000241662638956017,0.00166626993572959,Denmark
2021-01-05,0,0,a.23.1,0,0.00083993280537557,Denmark
2021-01-06,0,0,a.23.1,0,0.000561662521062345,Denmark
2021-01-07,0,0,a.23.1,0,0.000421839218994817,Denmark
2021-01-08,0,0,a.23.1,0,0.000337593441041717,Denmark
2021-01-09,0,0,a.23.1,0,0.000281418348476321,Denmark
2021-01-10,0,0,a.23.1,0,0.000241254523522316,Denmark
2021-01-11,4382,2,a.23.1,0.000456412596987677,0.000450146297546703,Denmark
2021-01-12,0,0,a.23.1,0,0.00045315509233035,Denmark
2021-01-13,0,0,a.23.1,0,0.000454235748353396,Denmark
2021-01-14,0,0,a.23.1,0,0.000454571282459231,Denmark
2021-01-15,0,0,a.23.1,0,0.000455000455000455,Denmark
2021-01-16,0,0,a.23.1,0,0.000455114347479804,Denmark
2021-01-17,0,0,a.23.1,0,0.00045526974732529,Denmark
2021-01-18,0,0,a.23.1,0,0,Denmark
2021-01-19,0,0,a.23.1,0,0,Denmark
2021-01-20,0,0,a.23.1,0,0,Denmark
2021-01-21,0,0,a.23.1,0,0,Denmark
2021-01-22,0,0,a.23.1,0,0,Denmark
2021-01-23,0,0,a.23.1,0,0,Denmark
2021-01-24,0,0,a.23.1,0,0,Denmark
2021-01-25,2545,3,a.23.1,0.00117878192534381,0.00116369278510473,Denmark
2021-01-26,0,0,a.23.1,0,0.00118249901458415,Denmark
2021-01-27,0,0,a.23.1,0,0.00118514616802739,Denmark
2021-01-28,0,0,a.23.1,0,0.00118670886075949,Denmark
2021-01-29,0,0,a.23.1,0,0.00118830705854393,Denmark
2021-01-30,0,0,a.23.1,0,0.00118968935888962,Denmark
2021-01-31,0,0,a.23.1,0,0.00119000396667989,Denmark
2021-02-01,0,0,a.23.1,0,0,Denmark
2021-02-02,0,0,a.23.1,0,0,Denmark
2021-02-03,0,0,a.23.1,0,0,Denmark
2021-02-04,0,0,a.23.1,0,0,Denmark
2021-02-05,0,0,a.23.1,0,0,Denmark
2021-02-06,0,0,a.23.1,0,0,Denmark
2021-02-07,0,0,a.23.1,0,0,Denmark
2021-02-08,0,0,a.23.1,0,0,Denmark
2021-02-09,0,0,a.23.1,0,0,Denmark
2021-02-10,0,0,a.23.1,0,0,Denmark
2021-02-11,0,0,a.23.1,0,0,Denmark
2021-02-12,0,0,a.23.1,0,0,Denmark
2021-02-13,0,0,a.23.1,0,0,Denmark
2021-02-14,0,0,a.23.1,0,0,Denmark
2021-02-15,0,0,a.23.1,0,0,Denmark
2021-02-16,0,0,a.23.1,0,0,Denmark
2021-02-17,0,0,a.23.1,0,0,Denmark
2021-02-18,0,0,a.23.1,0,0,Denmark
2021-02-19,0,0,a.23.1,0,0,Denmark
2021-02-20,0,0,a.23.1,0,0,Denmark
2021-02-21,0,0,a.23.1,0,0,Denmark
2021-02-22,0,0,a.23.1,0,0,Denmark
2021-02-23,0,0,a.23.1,0,0,Denmark
2021-02-24,0,0,a.23.1,0,0,Denmark
2021-02-25,0,0,a.23.1,0,0,Denmark
2021-02-26,0,0,a.23.1,0,0,Denmark
2021-02-27,0,0,a.23.1,0,0,Denmark
2021-02-28,0,0,a.23.1,0,0,Denmark
2021-03-01,0,0,a.23.1,0,0,Denmark
2021-03-02,0,0,a.23.1,0,0,Denmark
2021-03-03,0,0,a.23.1,0,0,Denmark
2021-03-04,0,0,a.23.1,0,0,Denmark
2021-03-05,0,0,a.23.1,0,0,Denmark
2021-03-06,0,0,a.23.1,0,0,Denmark
2021-03-07,0,0,a.23.1,0,0,Denmark
2021-03-08,0,0,a.23.1,0,0,Denmark
2021-03-09,0,0,a.23.1,0,0,Denmark
2021-03-10,0,0,a.23.1,0,0,Denmark
2021-03-11,0,0,a.23.1,0,0,Denmark
2021-03-12,0,0,a.23.1,0,0,Denmark
2021-03-13,0,0,a.23.1,0,0,Denmark
2021-03-14,0,0,a.23.1,0,0,Denmark
2021-03-15,0,0,a.23.1,0,0,Denmark
2021-03-16,0,0,a.23.1,0,0,Denmark
2021-03-17,0,0,a.23.1,0,0,Denmark
2021-03-18,0,0,a.23.1,0,0,Denmark
2021-03-19,0,0,a.23.1,0,0,Denmark
2021-03-20,0,0,a.23.1,0,0,Denmark
2021-03-21,0,0,a.23.1,0,0,Denmark
2021-03-22,0,0,a.23.1,0,0,Denmark
2021-03-23,0,0,a.23.1,0,0,Denmark
2021-03-24,0,0,a.23.1,0,0,Denmark
2021-03-25,0,0,a.23.1,0,0,Denmark
2021-03-26,0,0,a.23.1,0,0,Denmark
2021-03-27,0,0,a.23.1,0,0,Denmark
2021-03-28,0,0,a.23.1,0,0,Denmark
2021-03-29,0,0,a.23.1,0,0,Denmark
2021-03-30,0,0,a.23.1,0,0,Denmark
2021-03-31,0,0,a.23.1,0,0,Denmark
2021-04-01,0,0,a.23.1,0,0,Denmark
2021-04-02,0,0,a.23.1,0,0,Denmark
2021-04-03,0,0,a.23.1,0,0,Denmark
2021-04-04,0,0,a.23.1,0,0,Denmark
2021-04-05,0,0,a.23.1,0,0,Denmark
2021-04-06,0,0,a.23.1,0,0,Denmark
2021-04-07,0,0,a.23.1,0,0,Denmark
2021-04-08,0,0,a.23.1,0,0,Denmark
2021-04-09,0,0,a.23.1,0,0,Denmark
2021-04-10,0,0,a.23.1,0,0,Denmark
2021-04-11,0,0,a.23.1,0,0,Denmark
2021-04-12,0,0,a.23.1,0,0,Denmark
2021-04-13,0,0,a.23.1,0,0,Denmark
2021-04-14,0,0,a.23.1,0,0,Denmark
2021-04-15,0,0,a.23.1,0,0,Denmark
2021-04-16,0,0,a.23.1,0,0,Denmark
2021-04-17,0,0,a.23.1,0,0,Denmark
2021-04-18,0,0,a.23.1,0,0,Denmark
2021-04-19,0,0,a.23.1,0,0,Denmark
2021-04-20,0,0,a.23.1,0,0,Denmark
2021-04-21,0,0,a.23.1,0,0,Denmark
2021-04-22,0,0,a.23.1,0,0,Denmark
2021-04-23,0,0,a.23.1,0,0,Denmark
2021-04-24,0,0,a.23.1,0,0,Denmark
2021-04-25,0,0,a.23.1,0,0,Denmark
2021-04-26,4074,1,a.23.1,0.000245459008345606,0.000242895312120476,Denmark
2021-03-01,2690,3,a.28,0.00111524163568773,0.00766983199415632,Denmark
2021-03-02,0,0,a.28,0,0.00386954118297402,Denmark
2021-03-03,0,0,a.28,0,0.00258748151798916,Denmark
