date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-03-25,6,1,a.27,0.166666666666667,0.28,Gambia
2020-08-21,1,1,a.29,1,0.411764705882353,Gambia
2020-08-22,0,0,a.29,0,0.225806451612903,Gambia
2020-08-23,0,0,a.29,0,0.162790697674419,Gambia
2020-08-24,0,0,a.29,0,0.0804597701149426,Gambia
2020-08-25,0,0,a.29,0,0.0654205607476636,Gambia
2020-08-26,0,0,a.29,0,0.0503597122302158,Gambia
2020-08-27,0,0,a.29,0,0.0526315789473684,Gambia
2020-08-28,0,0,a.29,0,0,Gambia
2020-08-29,4,4,a.29,1,0.2,Gambia
2020-08-30,0,0,a.29,0,0.2,Gambia
2020-08-31,0,0,a.29,0,0.363636363636364,Gambia
2020-09-01,0,0,a.29,0,0.363636363636364,Gambia
2020-09-02,0,0,a.29,0,0.444444444444444,Gambia
2020-09-03,0,0,a.29,0,0.5,Gambia
2020-09-04,0,0,a.29,0,0.5,Gambia
2020-09-05,0,0,a.29,0,0,Gambia
2020-09-06,0,0,a.29,0,0,Gambia
2020-09-07,0,0,a.29,0,0,Gambia
2020-09-08,0,0,a.29,0,0,Gambia
2020-09-09,0,0,a.29,0,0,Gambia
2020-09-10,0,0,a.29,0,0,Gambia
2020-09-11,0,0,a.29,0,0,Gambia
2020-09-12,0,0,a.29,0,0,Gambia
2020-09-13,0,0,a.29,0,0,Gambia
2020-09-14,0,0,a.29,0,0,Gambia
2020-09-15,0,0,a.29,0,0,Gambia
2020-09-16,0,0,a.29,0,0,Gambia
2020-09-17,0,0,a.29,0,0,Gambia
2020-09-18,0,0,a.29,0,0,Gambia
2020-09-19,0,0,a.29,0,0,Gambia
2020-09-20,0,0,a.29,0,0,Gambia
2020-09-21,0,0,a.29,0,0,Gambia
2020-09-22,0,0,a.29,0,0,Gambia
2020-09-23,0,0,a.29,0,0,Gambia
2020-09-24,0,0,a.29,0,0,Gambia
2020-09-25,0,0,a.29,0,0,Gambia
2020-09-26,0,0,a.29,0,0,Gambia
2020-09-27,0,0,a.29,0,0,Gambia
2020-09-28,0,0,a.29,0,0,Gambia
2020-09-29,0,0,a.29,0,0,Gambia
2020-09-30,0,0,a.29,0,0,Gambia
2020-10-01,0,0,a.29,0,0,Gambia
2020-10-02,0,0,a.29,0,0,Gambia
2020-10-03,0,0,a.29,0,0,Gambia
2020-10-04,0,0,a.29,0,0,Gambia
2020-10-05,0,0,a.29,0,0,Gambia
2020-10-06,0,0,a.29,0,0,Gambia
2020-10-07,0,0,a.29,0,0,Gambia
2020-10-08,0,0,a.29,0,0,Gambia
2020-10-09,0,0,a.29,0,0,Gambia
2020-10-10,0,0,a.29,0,0,Gambia
2020-10-11,0,0,a.29,0,0,Gambia
2020-10-12,0,0,a.29,0,0,Gambia
2020-10-13,0,0,a.29,0,0,Gambia
2020-10-14,0,0,a.29,0,0,Gambia
2020-10-15,0,0,a.29,0,0,Gambia
2020-10-16,0,0,a.29,0,0,Gambia
2020-10-17,0,0,a.29,0,0,Gambia
2020-10-18,0,0,a.29,0,0,Gambia
2020-10-19,0,0,a.29,0,0,Gambia
2020-10-20,0,0,a.29,0,0,Gambia
2020-10-21,0,0,a.29,0,0,Gambia
2020-10-22,0,0,a.29,0,0,Gambia
2020-10-23,0,0,a.29,0,0,Gambia
2020-10-24,0,0,a.29,0,0,Gambia
2020-10-25,0,0,a.29,0,0,Gambia
2020-10-26,0,0,a.29,0,0,Gambia
2020-10-27,0,0,a.29,0,0,Gambia
2020-10-28,0,0,a.29,0,0,Gambia
2020-10-29,0,0,a.29,0,0,Gambia
2020-10-30,0,0,a.29,0,0,Gambia
2020-10-31,0,0,a.29,0,0,Gambia
2020-11-01,0,0,a.29,0,0,Gambia
2020-11-02,0,0,a.29,0,0,Gambia
2020-11-03,0,0,a.29,0,0,Gambia
2020-11-04,0,0,a.29,0,0,Gambia
2020-11-05,0,0,a.29,0,0,Gambia
2020-11-06,0,0,a.29,0,0,Gambia
2020-11-07,0,0,a.29,0,0,Gambia
2020-11-08,0,0,a.29,0,0,Gambia
2020-11-09,0,0,a.29,0,0,Gambia
2020-11-10,0,0,a.29,0,0,Gambia
2020-11-11,0,0,a.29,0,0,Gambia
2020-11-12,0,0,a.29,0,0,Gambia
2020-11-13,0,0,a.29,0,0,Gambia
2020-11-14,0,0,a.29,0,0,Gambia
2020-11-15,0,0,a.29,0,0,Gambia
2020-11-16,0,0,a.29,0,0,Gambia
2020-11-17,0,0,a.29,0,0,Gambia
2020-11-18,0,0,a.29,0,0,Gambia
2020-11-19,0,0,a.29,0,0,Gambia
2020-11-20,0,0,a.29,0,0,Gambia
2020-11-21,0,0,a.29,0,0,Gambia
2020-11-22,0,0,a.29,0,0,Gambia
2020-11-23,0,0,a.29,0,0,Gambia
2020-11-24,0,0,a.29,0,0,Gambia
2020-11-25,0,0,a.29,0,0,Gambia
2020-11-26,0,0,a.29,0,0,Gambia
2020-11-27,0,0,a.29,0,0,Gambia
2020-11-28,0,0,a.29,0,0,Gambia
2020-11-29,0,0,a.29,0,0,Gambia
2020-11-30,0,0,a.29,0,0,Gambia
2020-12-01,0,0,a.29,0,0,Gambia
2020-12-02,0,0,a.29,0,0,Gambia
2020-12-03,0,0,a.29,0,0,Gambia
2020-12-04,0,0,a.29,0,0,Gambia
2020-12-05,0,0,a.29,0,0,Gambia
2020-12-06,0,0,a.29,0,0,Gambia
2020-12-07,0,0,a.29,0,0,Gambia
2020-12-08,0,0,a.29,0,0,Gambia
2020-12-09,0,0,a.29,0,0,Gambia
2020-12-10,0,0,a.29,0,0,Gambia
2020-12-11,0,0,a.29,0,0,Gambia
2020-12-12,0,0,a.29,0,0,Gambia
2020-12-13,0,0,a.29,0,0,Gambia
2020-12-14,0,0,a.29,0,0,Gambia
2020-12-15,0,0,a.29,0,0,Gambia
2020-12-16,0,0,a.29,0,0,Gambia
2020-12-17,0,0,a.29,0,0,Gambia
2020-12-18,0,0,a.29,0,0,Gambia
2020-12-19,0,0,a.29,0,0,Gambia
2020-12-20,0,0,a.29,0,0,Gambia
2020-12-21,0,0,a.29,0,0,Gambia
2020-12-22,0,0,a.29,0,0,Gambia
2020-12-23,0,0,a.29,0,0,Gambia
2020-12-24,0,0,a.29,0,0,Gambia
2020-12-25,0,0,a.29,0,0,Gambia
2020-12-26,0,0,a.29,0,0,Gambia
2020-12-27,0,0,a.29,0,0,Gambia
2020-12-28,0,0,a.29,0,0,Gambia
2020-12-29,0,0,a.29,0,0,Gambia
2020-12-30,0,0,a.29,0,0,Gambia
2020-12-31,0,0,a.29,0,0,Gambia
2021-01-01,0,0,a.29,0,0,Gambia
2021-01-02,0,0,a.29,0,0,Gambia
2021-01-03,0,0,a.29,0,0,Gambia
2021-01-04,0,0,a.29,0,0,Gambia
2021-01-05,0,0,a.29,0,0,Gambia
2021-01-06,0,0,a.29,0,0,Gambia
2021-01-07,0,0,a.29,0,0,Gambia
2021-01-08,0,0,a.29,0,0,Gambia
2021-01-09,0,0,a.29,0,0,Gambia
2021-01-10,0,0,a.29,0,0,Gambia
