date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-11-18,5,1,ay.121,0.2,0.226415094339623,Hungary
2021-11-19,0,0,ay.121,0,0.104166666666667,Hungary
2021-11-20,0,0,ay.121,0,0.099009900990099,Hungary
2021-11-21,0,0,ay.121,0,0.0893617021276596,Hungary
2021-11-22,0,0,ay.121,0,0.0804597701149425,Hungary
2021-11-23,0,0,ay.121,0,0.0551181102362205,Hungary
2021-11-24,0,0,ay.121,0,0.0540540540540541,Hungary
2021-11-25,0,0,ay.121,0,0,Hungary
2021-11-26,0,0,ay.121,0,0,Hungary
2021-11-27,0,0,ay.121,0,0,Hungary
2021-11-28,0,0,ay.121,0,0,Hungary
2021-11-29,0,0,ay.121,0,0,Hungary
2021-11-30,0,0,ay.121,0,0,Hungary
2021-12-01,0,0,ay.121,0,0,Hungary
2021-12-02,0,0,ay.121,0,0,Hungary
2021-12-03,0,0,ay.121,0,0,Hungary
2021-12-04,0,0,ay.121,0,0,Hungary
2021-12-05,0,0,ay.121,0,0,Hungary
2021-12-06,0,0,ay.121,0,0,Hungary
2021-12-07,0,0,ay.121,0,0,Hungary
2021-12-08,0,0,ay.121,0,0,Hungary
2021-12-09,0,0,ay.121,0,0,Hungary
2021-12-10,0,0,ay.121,0,0,Hungary
2021-12-11,0,0,ay.121,0,0,Hungary
2021-12-12,0,0,ay.121,0,0,Hungary
2021-12-13,0,0,ay.121,0,0,Hungary
2021-12-14,0,0,ay.121,0,0,Hungary
2021-12-15,5,1,ay.121,0.2,0.0444444444444444,Hungary
2021-11-30,7,1,ay.121.1,0.142857142857143,0.247058823529412,Hungary
2021-12-01,0,0,ay.121.1,0,0.114754098360656,Hungary
2021-12-02,0,0,ay.121.1,0,0.0660377358490566,Hungary
2021-12-03,0,0,ay.121.1,0,0.0950226244343891,Hungary
2021-12-04,0,0,ay.121.1,0,0.100719424460432,Hungary
2021-12-05,0,0,ay.121.1,0,0.089974293059126,Hungary
2021-12-06,0,0,ay.121.1,0,0.0465116279069767,Hungary
2021-12-07,0,0,ay.121.1,0,0,Hungary
2021-12-08,0,0,ay.121.1,0,0,Hungary
2021-12-09,0,0,ay.121.1,0,0,Hungary
2021-12-10,0,0,ay.121.1,0,0,Hungary
