date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-09-06,3,1,ay.100,0.333333333333333,0.259259259259259,Lebanon
2021-06-29,4,1,ay.102,0.25,0.208333333333333,Lebanon
2021-06-30,0,0,ay.102,0,0.0967741935483871,Lebanon
2021-07-01,0,0,ay.102,0,0.0392156862745098,Lebanon
2021-07-02,0,0,ay.102,0,0.0356536502546689,Lebanon
2021-07-03,0,0,ay.102,0,0.038060715903942,Lebanon
2021-07-04,0,0,ay.102,0,0.048951048951049,Lebanon
2021-07-05,0,0,ay.102,0,0.0400266844563042,Lebanon
2021-07-06,9,2,ay.102,0.222222222222222,0.0559701492537313,Lebanon
2021-07-07,0,0,ay.102,0,0.0402684563758389,Lebanon
2021-07-08,0,0,ay.102,0,0.0545454545454545,Lebanon
2021-07-09,0,0,ay.102,0,0.0572792362768496,Lebanon
2021-07-10,0,0,ay.102,0,0.0673400673400674,Lebanon
2021-07-11,0,0,ay.102,0,0.0706713780918728,Lebanon
2021-07-12,0,0,ay.102,0,0.0521739130434783,Lebanon
2021-07-13,0,0,ay.102,0,0,Lebanon
2021-07-14,0,0,ay.102,0,0,Lebanon
2021-07-15,0,0,ay.102,0,0,Lebanon
2021-07-16,0,0,ay.102,0,0,Lebanon
2021-07-17,0,0,ay.102,0,0,Lebanon
2021-07-18,0,0,ay.102,0,0,Lebanon
2021-07-19,0,0,ay.102,0,0,Lebanon
2021-07-20,0,0,ay.102,0,0,Lebanon
2021-07-21,0,0,ay.102,0,0,Lebanon
2021-07-22,0,0,ay.102,0,0,Lebanon
2021-07-23,0,0,ay.102,0,0,Lebanon
2021-07-24,0,0,ay.102,0,0,Lebanon
2021-07-25,0,0,ay.102,0,0,Lebanon
2021-07-26,0,0,ay.102,0,0,Lebanon
2021-07-27,0,0,ay.102,0,0,Lebanon
2021-07-28,0,0,ay.102,0,0,Lebanon
2021-07-29,0,0,ay.102,0,0,Lebanon
2021-07-30,0,0,ay.102,0,0,Lebanon
2021-07-31,0,0,ay.102,0,0,Lebanon
2021-08-01,0,0,ay.102,0,0,Lebanon
2021-08-02,0,0,ay.102,0,0,Lebanon
2021-08-03,0,0,ay.102,0,0,Lebanon
2021-08-04,0,0,ay.102,0,0,Lebanon
2021-08-05,0,0,ay.102,0,0,Lebanon
2021-08-06,0,0,ay.102,0,0,Lebanon
2021-08-07,0,0,ay.102,0,0,Lebanon
2021-08-08,0,0,ay.102,0,0,Lebanon
2021-08-09,0,0,ay.102,0,0,Lebanon
2021-08-10,0,0,ay.102,0,0,Lebanon
2021-08-11,0,0,ay.102,0,0,Lebanon
2021-08-12,0,0,ay.102,0,0,Lebanon
2021-08-13,0,0,ay.102,0,0,Lebanon
2021-08-14,0,0,ay.102,0,0,Lebanon
2021-08-15,0,0,ay.102,0,0,Lebanon
2021-08-16,0,0,ay.102,0,0,Lebanon
2021-08-17,0,0,ay.102,0,0,Lebanon
2021-08-18,0,0,ay.102,0,0,Lebanon
2021-08-19,0,0,ay.102,0,0,Lebanon
2021-08-20,0,0,ay.102,0,0,Lebanon
2021-08-21,0,0,ay.102,0,0,Lebanon
2021-08-22,0,0,ay.102,0,0,Lebanon
2021-08-23,0,0,ay.102,0,0,Lebanon
2021-08-24,0,0,ay.102,0,0,Lebanon
2021-08-25,0,0,ay.102,0,0,Lebanon
2021-08-26,0,0,ay.102,0,0,Lebanon
2021-08-27,0,0,ay.102,0,0,Lebanon
2021-08-28,0,0,ay.102,0,0,Lebanon
2021-08-29,0,0,ay.102,0,0,Lebanon
2021-08-30,0,0,ay.102,0,0,Lebanon
2021-08-31,0,0,ay.102,0,0,Lebanon
2021-09-01,0,0,ay.102,0,0,Lebanon
2021-09-02,0,0,ay.102,0,0,Lebanon
2021-09-03,0,0,ay.102,0,0,Lebanon
2021-09-04,0,0,ay.102,0,0,Lebanon
2021-09-05,0,0,ay.102,0,0,Lebanon
2021-09-06,0,0,ay.102,0,0,Lebanon
2021-09-07,0,0,ay.102,0,0,Lebanon
2021-09-08,0,0,ay.102,0,0,Lebanon
2021-09-09,0,0,ay.102,0,0,Lebanon
2021-09-10,0,0,ay.102,0,0,Lebanon
2021-09-11,0,0,ay.102,0,0,Lebanon
2021-09-12,0,0,ay.102,0,0,Lebanon
2021-09-13,0,0,ay.102,0,0,Lebanon
2021-09-14,0,0,ay.102,0,0,Lebanon
2021-09-15,0,0,ay.102,0,0,Lebanon
2021-09-16,0,0,ay.102,0,0,Lebanon
