date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-01-02,31,3,a.2.5,0.0967741935483871,0.116666666666667,Luxembourg
2021-02-20,23,2,a.27,0.0869565217391304,0.0773480662983426,Luxembourg
2021-02-21,0,0,a.27,0,0.0408163265306122,Luxembourg
2021-02-22,0,0,a.27,0,0.0232172470978441,Luxembourg
2021-02-23,0,0,a.27,0,0.0148148148148148,Luxembourg
2021-02-24,0,0,a.27,0,0.00923482849604222,Luxembourg
2021-02-25,0,0,a.27,0,0.00789622109419064,Luxembourg
2021-02-26,0,0,a.27,0,0.00595238095238095,Luxembourg
2021-02-27,19,2,a.27,0.105263157894737,0.0060882800608828,Luxembourg
2021-02-01,74,1,a.28,0.0135135135135135,0.0315315315315315,Luxembourg
2021-02-02,0,0,a.28,0,0.0121317157712305,Luxembourg
2021-02-03,0,0,a.28,0,0.00669856459330144,Luxembourg
2021-02-04,96,1,a.28,0.0104166666666667,0.00840672538030424,Luxembourg
2021-02-05,0,0,a.28,0,0.00660559116108992,Luxembourg
2021-02-06,0,0,a.28,0,0.00571918787532171,Luxembourg
2021-02-07,0,0,a.28,0,0.00482043865991805,Luxembourg
2021-02-08,0,0,a.28,0,0.00265310634534601,Luxembourg
2021-02-09,0,0,a.28,0,0.00288683602771363,Luxembourg
2021-02-10,0,0,a.28,0,0.0035799522673031,Luxembourg
2021-02-11,0,0,a.28,0,0,Luxembourg
2021-02-12,40,1,a.28,0.025,0.00460829493087558,Luxembourg
2020-10-19,62,1,ad.2,0.0161290322580645,0.0507246376811594,Luxembourg
2020-10-20,0,0,ad.2,0,0.0222575516693164,Luxembourg
2020-10-21,0,0,ad.2,0,0.0126490784242862,Luxembourg
2020-10-22,0,0,ad.2,0,0.00723888314374354,Luxembourg
2020-10-23,0,0,ad.2,0,0.00439422473320778,Luxembourg
2020-10-24,0,0,ad.2,0,0.00329784226891548,Luxembourg
2020-10-25,0,0,ad.2,0,0.00269179004037685,Luxembourg
2020-10-26,97,1,ad.2,0.0103092783505155,0.00249635947576451,Luxembourg
2020-10-23,84,1,an.1,0.0119047619047619,0.0219711236660389,Luxembourg
2021-08-26,45,1,ay.100,0.0222222222222222,0.0230452674897119,Luxembourg
2021-08-27,0,0,ay.100,0,0.0127768313458262,Luxembourg
2021-08-28,0,0,ay.100,0,0.00878018187519599,Luxembourg
2021-08-29,0,0,ay.100,0,0.00677244582043344,Luxembourg
2021-08-30,0,0,ay.100,0,0.00528767468211003,Luxembourg
2021-08-31,0,0,ay.100,0,0.00445009535918627,Luxembourg
2021-09-01,0,0,ay.100,0,0.0038860103626943,Luxembourg
2021-09-02,0,0,ay.100,0,0,Luxembourg
2021-09-03,0,0,ay.100,0,0,Luxembourg
2021-09-04,0,0,ay.100,0,0,Luxembourg
2021-09-05,0,0,ay.100,0,0,Luxembourg
2021-09-06,0,0,ay.100,0,0,Luxembourg
2021-09-07,0,0,ay.100,0,0,Luxembourg
2021-09-08,0,0,ay.100,0,0,Luxembourg
2021-09-09,0,0,ay.100,0,0,Luxembourg
2021-09-10,0,0,ay.100,0,0,Luxembourg
2021-09-11,0,0,ay.100,0,0,Luxembourg
