date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-05-05,3,1,ay.102,0.333333333333333,0.4,Mozambique
2021-05-06,0,0,ay.102,0,0.323076923076923,Mozambique
2021-05-07,0,0,ay.102,0,0.154696132596685,Mozambique
2021-05-08,0,0,ay.102,0,0.202312138728324,Mozambique
2021-05-09,0,0,ay.102,0,0.202898550724638,Mozambique
2021-05-10,0,0,ay.102,0,0.168674698795181,Mozambique
2021-05-11,0,0,ay.102,0,0.227272727272727,Mozambique
2021-05-12,0,0,ay.102,0,0,Mozambique
2021-05-13,0,0,ay.102,0,0,Mozambique
2021-05-14,0,0,ay.102,0,0,Mozambique
2021-05-15,0,0,ay.102,0,0,Mozambique
2021-05-16,0,0,ay.102,0,0,Mozambique
2021-05-17,0,0,ay.102,0,0,Mozambique
2021-05-18,0,0,ay.102,0,0,Mozambique
2021-05-19,0,0,ay.102,0,0,Mozambique
2021-05-20,0,0,ay.102,0,0,Mozambique
2021-05-21,0,0,ay.102,0,0,Mozambique
2021-05-22,0,0,ay.102,0,0,Mozambique
2021-05-23,0,0,ay.102,0,0,Mozambique
2021-05-24,0,0,ay.102,0,0,Mozambique
2021-05-25,0,0,ay.102,0,0,Mozambique
2021-05-26,0,0,ay.102,0,0,Mozambique
2021-05-27,0,0,ay.102,0,0,Mozambique
2021-05-28,0,0,ay.102,0,0,Mozambique
2021-05-29,0,0,ay.102,0,0,Mozambique
2021-05-30,0,0,ay.102,0,0,Mozambique
2021-05-31,0,0,ay.102,0,0,Mozambique
2021-06-01,0,0,ay.102,0,0,Mozambique
2021-06-02,0,0,ay.102,0,0,Mozambique
2021-06-03,0,0,ay.102,0,0,Mozambique
2021-06-04,0,0,ay.102,0,0,Mozambique
2021-06-05,0,0,ay.102,0,0,Mozambique
2021-06-06,0,0,ay.102,0,0,Mozambique
2021-06-07,0,0,ay.102,0,0,Mozambique
2021-06-08,0,0,ay.102,0,0,Mozambique
2021-06-09,0,0,ay.102,0,0,Mozambique
2021-06-10,0,0,ay.102,0,0,Mozambique
2021-06-11,0,0,ay.102,0,0,Mozambique
2021-06-12,0,0,ay.102,0,0,Mozambique
2021-06-13,0,0,ay.102,0,0,Mozambique
2021-06-14,0,0,ay.102,0,0,Mozambique
2021-06-15,0,0,ay.102,0,0,Mozambique
2021-06-16,0,0,ay.102,0,0,Mozambique
2021-06-17,0,0,ay.102,0,0,Mozambique
2021-06-18,0,0,ay.102,0,0,Mozambique
2021-06-19,0,0,ay.102,0,0,Mozambique
2021-06-20,0,0,ay.102,0,0,Mozambique
2021-06-21,0,0,ay.102,0,0,Mozambique
2021-06-22,0,0,ay.102,0,0,Mozambique
2021-06-23,0,0,ay.102,0,0,Mozambique
2021-06-24,0,0,ay.102,0,0,Mozambique
2021-06-25,0,0,ay.102,0,0,Mozambique
2021-06-26,0,0,ay.102,0,0,Mozambique
2021-06-27,0,0,ay.102,0,0,Mozambique
2021-06-28,0,0,ay.102,0,0,Mozambique
2021-06-29,7,1,ay.102,0.142857142857143,0.0333333333333333,Mozambique
2021-06-30,0,0,ay.102,0,0.027027027027027,Mozambique
2021-07-01,0,0,ay.102,0,0.0277777777777778,Mozambique
2021-07-02,13,2,ay.102,0.153846153846154,0.0681818181818182,Mozambique
2021-07-03,0,0,ay.102,0,0.0666666666666667,Mozambique
2021-07-04,0,0,ay.102,0,0.0666666666666667,Mozambique
2021-07-05,0,0,ay.102,0,0.0714285714285714,Mozambique
2021-07-06,0,0,ay.102,0,0.0476190476190476,Mozambique
2021-07-07,0,0,ay.102,0,0.0307692307692308,Mozambique
2021-07-08,0,0,ay.102,0,0.0384615384615385,Mozambique
2021-07-09,0,0,ay.102,0,0,Mozambique
2021-07-10,0,0,ay.102,0,0,Mozambique
2021-07-11,0,0,ay.102,0,0,Mozambique
2021-07-12,0,0,ay.102,0,0,Mozambique
2021-07-13,0,0,ay.102,0,0,Mozambique
2021-07-14,0,0,ay.102,0,0,Mozambique
2021-07-15,9,2,ay.102,0.222222222222222,0.0273972602739726,Mozambique
2021-07-16,9,1,ay.102,0.111111111111111,0.0447761194029851,Mozambique
2021-07-17,0,0,ay.102,0,0.0517241379310345,Mozambique
2021-07-18,0,0,ay.102,0,0.0517241379310345,Mozambique
2021-07-19,12,3,ay.102,0.25,0.09375,Mozambique
2021-07-20,0,0,ay.102,0,0.111111111111111,Mozambique
2021-07-21,0,0,ay.102,0,0.146341463414634,Mozambique
2021-07-22,3,1,ay.102,0.333333333333333,0.138888888888889,Mozambique
2021-07-07,18,1,ay.111,0.0555555555555556,0.107692307692308,Mozambique
2021-06-14,1,1,ay.116,1,1,Mozambique
2021-06-15,0,0,ay.116,0,1,Mozambique
2021-06-16,0,0,ay.116,0,0.134615384615385,Mozambique
2021-06-17,23,1,ay.116,0.0434782608695652,0.0551181102362205,Mozambique
2021-06-18,0,0,ay.116,0,0.0540540540540541,Mozambique
2021-06-19,0,0,ay.116,0,0.05,Mozambique
2021-06-20,0,0,ay.116,0,0.0444444444444444,Mozambique
2021-06-21,0,0,ay.116,0,0.00900900900900901,Mozambique
2021-06-22,0,0,ay.116,0,0.0105448154657293,Mozambique
2021-06-23,0,0,ay.116,0,0.0116279069767442,Mozambique
2021-06-24,0,0,ay.116,0,0,Mozambique
2021-06-25,0,0,ay.116,0,0,Mozambique
2021-06-26,0,0,ay.116,0,0,Mozambique
2021-06-27,0,0,ay.116,0,0,Mozambique
2021-06-28,0,0,ay.116,0,0,Mozambique
2021-06-29,0,0,ay.116,0,0,Mozambique
2021-06-30,7,1,ay.116,0.142857142857143,0.027027027027027,Mozambique
2021-07-01,0,0,ay.116,0,0.0277777777777778,Mozambique
2021-07-02,13,1,ay.116,0.0769230769230769,0.0454545454545455,Mozambique
2021-07-03,0,0,ay.116,0,0.0444444444444444,Mozambique
2021-07-04,0,0,ay.116,0,0.0444444444444444,Mozambique
2021-07-05,0,0,ay.116,0,0.0476190476190476,Mozambique
2021-07-06,0,0,ay.116,0,0.0476190476190476,Mozambique
2021-07-07,0,0,ay.116,0,0.0153846153846154,Mozambique
2021-07-08,0,0,ay.116,0,0.0192307692307692,Mozambique
2021-07-09,0,0,ay.116,0,0,Mozambique
2021-07-10,0,0,ay.116,0,0,Mozambique
2021-07-11,0,0,ay.116,0,0,Mozambique
2021-07-12,0,0,ay.116,0,0,Mozambique
2021-07-13,0,0,ay.116,0,0,Mozambique
2021-07-14,0,0,ay.116,0,0,Mozambique
2021-07-15,0,0,ay.116,0,0,Mozambique
2021-07-16,0,0,ay.116,0,0,Mozambique
2021-07-17,0,0,ay.116,0,0,Mozambique
2021-07-18,0,0,ay.116,0,0,Mozambique
2021-07-19,12,1,ay.116,0.0833333333333333,0.015625,Mozambique
2021-07-20,9,1,ay.116,0.111111111111111,0.037037037037037,Mozambique
2021-07-21,0,0,ay.116,0,0.0487804878048781,Mozambique
2021-07-22,0,0,ay.116,0,0.0555555555555556,Mozambique
2021-07-23,0,0,ay.116,0,0.08,Mozambique
2021-07-24,0,0,ay.116,0,0.0869565217391304,Mozambique
2021-07-25,0,0,ay.116,0,0.0869565217391304,Mozambique
2021-07-26,12,1,ay.116,0.0833333333333333,0.0740740740740741,Mozambique
2021-07-27,13,2,ay.116,0.153846153846154,0.0967741935483871,Mozambique
2021-07-28,0,0,ay.116,0,0.1,Mozambique
2021-07-29,0,0,ay.116,0,0.107142857142857,Mozambique
2021-07-30,3,1,ay.116,0.333333333333333,0.137931034482759,Mozambique
2021-07-31,2,2,ay.116,1,0.193548387096774,Mozambique
2021-07-10,13,1,ay.119,0.0769230769230769,0.0909090909090909,Mozambique
2021-06-16,9,1,ay.121,0.111111111111111,0.403846153846154,Mozambique
2021-06-17,23,1,ay.121,0.0434782608695652,0.110236220472441,Mozambique
2021-05-27,2,1,ay.122,0.5,0.636363636363636,Mozambique
2021-05-28,0,0,ay.122,0,0.466666666666667,Mozambique
2021-05-29,5,1,ay.122,0.2,0.4,Mozambique
2021-05-30,0,0,ay.122,0,0.368421052631579,Mozambique
2021-05-31,6,1,ay.122,0.166666666666667,0.295774647887324,Mozambique
2021-06-01,0,0,ay.122,0,0.259259259259259,Mozambique
2021-06-02,0,0,ay.122,0,0.230769230769231,Mozambique
2021-06-03,0,0,ay.122,0,0.181818181818182,Mozambique
2021-06-04,0,0,ay.122,0,0.181818181818182,Mozambique
2021-06-05,0,0,ay.122,0,0.142857142857143,Mozambique
2021-06-06,1,1,ay.122,1,0.25,Mozambique
2021-06-07,0,0,ay.122,0,0.5,Mozambique
2021-06-08,0,0,ay.122,0,0.5,Mozambique
2021-06-09,0,0,ay.122,0,0.5,Mozambique
2021-06-10,0,0,ay.122,0,0.5,Mozambique
2021-06-11,0,0,ay.122,0,0.5,Mozambique
2021-06-12,0,0,ay.122,0,1,Mozambique
2021-06-13,0,0,ay.122,0,0,Mozambique
2021-06-14,0,0,ay.122,0,0,Mozambique
2021-06-15,0,0,ay.122,0,0,Mozambique
2021-06-16,0,0,ay.122,0,0,Mozambique
2021-06-17,23,2,ay.122,0.0869565217391304,0.031496062992126,Mozambique
2021-06-18,10,1,ay.122,0.1,0.0579150579150579,Mozambique
2021-06-19,0,0,ay.122,0,0.0642857142857143,Mozambique
2021-06-20,0,0,ay.122,0,0.0666666666666667,Mozambique
2021-06-21,50,1,ay.122,0.02,0.036036036036036,Mozambique
2021-06-22,0,0,ay.122,0,0.0421792618629174,Mozambique
2021-06-23,0,0,ay.122,0,0.0465116279069767,Mozambique
2021-06-24,9,4,ay.122,0.444444444444444,0.0821917808219178,Mozambique
2021-06-25,5,1,ay.122,0.2,0.0882352941176471,Mozambique
2021-06-26,0,0,ay.122,0,0.0882352941176471,Mozambique
2021-06-27,0,0,ay.122,0,0.0895522388059701,Mozambique
2021-06-28,9,1,ay.122,0.111111111111111,0.206896551724138,Mozambique
2021-06-29,7,2,ay.122,0.285714285714286,0.266666666666667,Mozambique
2021-06-30,7,3,ay.122,0.428571428571429,0.297297297297297,Mozambique
2021-07-01,8,4,ay.122,0.5,0.305555555555556,Mozambique
2021-07-02,13,7,ay.122,0.538461538461538,0.386363636363636,Mozambique
2021-07-03,1,1,ay.122,1,0.4,Mozambique
2021-07-04,0,0,ay.122,0,0.4,Mozambique
2021-07-05,6,2,ay.122,0.333333333333333,0.452380952380952,Mozambique
2021-07-06,7,4,ay.122,0.571428571428571,0.5,Mozambique
2021-07-07,18,2,ay.122,0.111111111111111,0.307692307692308,Mozambique
2021-07-08,9,4,ay.122,0.444444444444444,0.384615384615385,Mozambique
2021-07-09,15,9,ay.122,0.6,0.366666666666667,Mozambique
2021-07-10,13,7,ay.122,0.538461538461538,0.363636363636364,Mozambique
2021-07-11,0,0,ay.122,0,0.444444444444444,Mozambique
2021-07-12,13,6,ay.122,0.461538461538462,0.421052631578947,Mozambique
2021-07-13,12,7,ay.122,0.583333333333333,0.472972972972973,Mozambique
2021-07-14,16,4,ay.122,0.25,0.4625,Mozambique
2021-07-15,0,0,ay.122,0,0.452054794520548,Mozambique
2021-07-16,9,2,ay.122,0.222222222222222,0.388059701492537,Mozambique
2021-07-17,2,1,ay.122,0.5,0.344827586206897,Mozambique
2021-07-18,0,0,ay.122,0,0.344827586206897,Mozambique
2021-07-19,12,3,ay.122,0.25,0.265625,Mozambique
2021-07-20,9,3,ay.122,0.333333333333333,0.240740740740741,Mozambique
2021-07-21,2,1,ay.122,0.5,0.24390243902439,Mozambique
2021-07-22,0,0,ay.122,0,0.277777777777778,Mozambique
2021-07-23,0,0,ay.122,0,0.32,Mozambique
2021-07-24,0,0,ay.122,0,0.304347826086957,Mozambique
2021-07-25,0,0,ay.122,0,0.304347826086957,Mozambique
2021-07-26,12,5,ay.122,0.416666666666667,0.333333333333333,Mozambique
2021-07-27,13,5,ay.122,0.384615384615385,0.354838709677419,Mozambique
2021-07-28,1,1,ay.122,1,0.366666666666667,Mozambique
2021-07-29,0,0,ay.122,0,0.392857142857143,Mozambique
2021-07-30,0,0,ay.122,0,0.379310344827586,Mozambique
2021-07-31,0,0,ay.122,0,0.354838709677419,Mozambique
2021-08-01,0,0,ay.122,0,0.44,Mozambique
2021-08-02,1,1,ay.122,1,0.466666666666667,Mozambique
2021-08-03,0,0,ay.122,0,0.5,Mozambique
2021-08-04,0,0,ay.122,0,0.25,Mozambique
2021-08-05,0,0,ay.122,0,0.25,Mozambique
2021-08-06,0,0,ay.122,0,0.5,Mozambique
2021-08-07,0,0,ay.122,0,0.0666666666666667,Mozambique
2021-08-08,1,1,ay.122,1,0.222222222222222,Mozambique
2021-08-09,0,0,ay.122,0,0.125,Mozambique
2021-08-10,0,0,ay.122,0,0.125,Mozambique
2021-08-11,2,2,ay.122,1,0.333333333333333,Mozambique
2021-08-12,0,0,ay.122,0,0.333333333333333,Mozambique
2021-08-13,0,0,ay.122,0,0.333333333333333,Mozambique
2021-08-14,0,0,ay.122,0,0.75,Mozambique
2021-08-15,0,0,ay.122,0,0.666666666666667,Mozambique
2021-08-16,0,0,ay.122,0,0.666666666666667,Mozambique
2021-08-17,0,0,ay.122,0,0.666666666666667,Mozambique
2021-08-18,0,0,ay.122,0,0,Mozambique
2021-08-19,0,0,ay.122,0,0,Mozambique
2021-08-20,0,0,ay.122,0,0,Mozambique
2021-08-21,0,0,ay.122,0,0,Mozambique
2021-08-22,0,0,ay.122,0,0,Mozambique
2021-08-23,0,0,ay.122,0,0,Mozambique
2021-08-24,0,0,ay.122,0,0,Mozambique
2021-08-25,0,0,ay.122,0,0,Mozambique
2021-08-26,0,0,ay.122,0,0,Mozambique
2021-08-27,0,0,ay.122,0,0,Mozambique
2021-08-28,0,0,ay.122,0,0,Mozambique
2021-08-29,0,0,ay.122,0,0,Mozambique
2021-08-30,0,0,ay.122,0,0,Mozambique
2021-08-31,3,2,ay.122,0.666666666666667,0.5,Mozambique
2021-09-01,5,1,ay.122,0.2,0.333333333333333,Mozambique
2021-09-02,4,1,ay.122,0.25,0.307692307692308,Mozambique
2021-09-03,2,1,ay.122,0.5,0.333333333333333,Mozambique
2021-09-04,0,0,ay.122,0,0.333333333333333,Mozambique
2021-09-05,0,0,ay.122,0,0.333333333333333,Mozambique
2021-09-06,0,0,ay.122,0,0.333333333333333,Mozambique
2021-09-07,0,0,ay.122,0,0.25,Mozambique
2021-09-08,9,1,ay.122,0.111111111111111,0.1875,Mozambique
2021-09-09,4,2,ay.122,0.5,0.266666666666667,Mozambique
2021-09-10,0,0,ay.122,0,0.230769230769231,Mozambique
2021-09-11,0,0,ay.122,0,0.230769230769231,Mozambique
2021-09-12,0,0,ay.122,0,0.230769230769231,Mozambique
2021-09-13,3,1,ay.122,0.333333333333333,0.266666666666667,Mozambique
2021-09-14,0,0,ay.122,0,0.285714285714286,Mozambique
2021-09-15,0,0,ay.122,0,0.428571428571429,Mozambique
