date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2020-03-25,3,2,a,0.666666666666667,0.583333333333333,Nigeria
2020-03-26,0,0,a,0,0.451612903225806,Nigeria
2020-03-27,0,0,a,0,0.304347826086957,Nigeria
2020-03-28,0,0,a,0,0.269230769230769,Nigeria
2020-03-29,10,8,a,0.8,0.588235294117647,Nigeria
2020-03-30,0,0,a,0,0.578512396694215,Nigeria
2020-03-31,0,0,a,0,0.5,Nigeria
2020-04-01,0,0,a,0,0.470588235294118,Nigeria
2020-04-02,0,0,a,0,0.5,Nigeria
2020-04-03,0,0,a,0,0.571428571428571,Nigeria
2020-04-04,0,0,a,0,0.571428571428571,Nigeria
2020-04-05,0,0,a,0,0,Nigeria
2020-04-06,0,0,a,0,0,Nigeria
2020-04-07,0,0,a,0,0,Nigeria
2020-04-08,0,0,a,0,0,Nigeria
2020-04-09,0,0,a,0,0,Nigeria
2020-04-10,0,0,a,0,0,Nigeria
2020-04-11,0,0,a,0,0,Nigeria
2020-04-12,0,0,a,0,0,Nigeria
2020-04-13,0,0,a,0,0,Nigeria
2020-04-14,0,0,a,0,0,Nigeria
2020-04-15,0,0,a,0,0,Nigeria
2020-04-16,0,0,a,0,0,Nigeria
2020-04-17,0,0,a,0,0,Nigeria
2020-04-18,0,0,a,0,0,Nigeria
2020-04-19,2,1,a,0.5,0.5,Nigeria
2020-04-20,0,0,a,0,0.125,Nigeria
2020-04-21,0,0,a,0,0.125,Nigeria
2020-04-22,0,0,a,0,0.111111111111111,Nigeria
2020-04-23,4,1,a,0.25,0.153846153846154,Nigeria
2020-04-24,0,0,a,0,0.117647058823529,Nigeria
2020-04-25,7,1,a,0.142857142857143,0.125,Nigeria
2020-04-26,3,2,a,0.666666666666667,0.16,Nigeria
2020-04-27,0,0,a,0,0.173913043478261,Nigeria
2020-04-28,0,0,a,0,0.173913043478261,Nigeria
2020-04-29,0,0,a,0,0.173913043478261,Nigeria
2020-04-30,0,0,a,0,0.157894736842105,Nigeria
2020-05-01,2,1,a,0.5,0.235294117647059,Nigeria
2020-05-02,4,2,a,0.5,0.357142857142857,Nigeria
2020-05-03,0,0,a,0,0.214285714285714,Nigeria
2020-05-04,0,0,a,0,0.230769230769231,Nigeria
2020-05-05,0,0,a,0,0.214285714285714,Nigeria
