date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-01-15,66,1,a,0.0151515151515152,0.0246189917936694,Slovenia
2021-01-16,0,0,a,0,0.0144777662874871,Slovenia
2021-01-17,0,0,a,0,0.0107493857493857,Slovenia
2021-01-18,0,0,a,0,0.00941704035874439,Slovenia
2021-01-19,0,0,a,0,0.00718685831622177,Slovenia
2021-01-20,0,0,a,0,0.00546875,Slovenia
2021-01-21,0,0,a,0,0.00458365164247517,Slovenia
2021-01-22,0,0,a,0,0,Slovenia
2021-01-23,0,0,a,0,0,Slovenia
2021-01-24,0,0,a,0,0,Slovenia
2021-01-25,0,0,a,0,0,Slovenia
2021-01-26,0,0,a,0,0,Slovenia
2021-01-27,0,0,a,0,0,Slovenia
2021-01-28,0,0,a,0,0,Slovenia
2021-01-29,0,0,a,0,0,Slovenia
2021-01-30,0,0,a,0,0,Slovenia
2021-01-31,0,0,a,0,0,Slovenia
2021-02-01,0,0,a,0,0,Slovenia
2021-02-02,0,0,a,0,0,Slovenia
2021-02-03,0,0,a,0,0,Slovenia
2021-02-04,0,0,a,0,0,Slovenia
2021-02-05,0,0,a,0,0,Slovenia
2021-02-06,0,0,a,0,0,Slovenia
2021-02-07,0,0,a,0,0,Slovenia
2021-02-08,0,0,a,0,0,Slovenia
2021-02-09,0,0,a,0,0,Slovenia
2021-02-10,0,0,a,0,0,Slovenia
2021-02-11,0,0,a,0,0,Slovenia
2021-02-12,142,2,a,0.0140845070422535,0.00300187617260788,Slovenia
2021-02-13,0,0,a,0,0.00313676286072773,Slovenia
2021-02-14,0,0,a,0,0.00319659030367608,Slovenia
2021-02-15,0,0,a,0,0.00277777777777778,Slovenia
2021-02-16,0,0,a,0,0.00280504908835905,Slovenia
2021-02-17,0,0,a,0,0.00305810397553517,Slovenia
2021-02-18,0,0,a,0,0.00305810397553517,Slovenia
2021-02-19,0,0,a,0,0,Slovenia
2021-02-20,0,0,a,0,0,Slovenia
2021-02-21,0,0,a,0,0,Slovenia
2021-02-22,148,1,a,0.00675675675675676,0.00140056022408964,Slovenia
2021-02-23,0,0,a,0,0.00130548302872063,Slovenia
2021-02-24,0,0,a,0,0.00131233595800525,Slovenia
2021-02-25,0,0,a,0,0.00126742712294043,Slovenia
2021-02-26,0,0,a,0,0.00128205128205128,Slovenia
2021-02-27,0,0,a,0,0.001230012300123,Slovenia
2021-02-28,0,0,a,0,0.00123839009287926,Slovenia
2021-03-01,0,0,a,0,0,Slovenia
2021-03-02,0,0,a,0,0,Slovenia
2021-03-03,0,0,a,0,0,Slovenia
2021-03-04,0,0,a,0,0,Slovenia
2021-03-05,0,0,a,0,0,Slovenia
2021-03-06,0,0,a,0,0,Slovenia
2021-03-07,0,0,a,0,0,Slovenia
2021-03-08,0,0,a,0,0,Slovenia
2021-03-09,0,0,a,0,0,Slovenia
2021-03-10,0,0,a,0,0,Slovenia
2021-03-11,96,1,a,0.0104166666666667,0.00190186382655002,Slovenia
2021-03-12,0,0,a,0,0.00184049079754601,Slovenia
2021-03-13,0,0,a,0,0.00185528756957328,Slovenia
2021-03-14,0,0,a,0,0.00190114068441065,Slovenia
2021-03-15,0,0,a,0,0.00183150183150183,Slovenia
2021-03-16,0,0,a,0,0.00169635284139101,Slovenia
2021-03-17,0,0,a,0,0.00152671755725191,Slovenia
2021-03-18,0,0,a,0,0,Slovenia
2021-03-19,0,0,a,0,0,Slovenia
2021-03-20,0,0,a,0,0,Slovenia
2021-03-21,0,0,a,0,0,Slovenia
2021-03-22,0,0,a,0,0,Slovenia
2021-03-23,0,0,a,0,0,Slovenia
2021-03-24,0,0,a,0,0,Slovenia
2021-03-25,0,0,a,0,0,Slovenia
2021-03-26,0,0,a,0,0,Slovenia
