date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-03-11,1,1,ay.104,1,0.286885245901639,Sri Lanka
2021-03-12,0,0,ay.104,0,0.147887323943662,Sri Lanka
2021-03-13,0,0,ay.104,0,0.104477611940299,Sri Lanka
2021-03-14,0,0,ay.104,0,0.0886075949367089,Sri Lanka
2021-03-15,0,0,ay.104,0,0.053030303030303,Sri Lanka
2021-03-16,0,0,ay.104,0,0.0362694300518135,Sri Lanka
2021-03-17,0,0,ay.104,0,0.0384615384615385,Sri Lanka
2021-03-18,0,0,ay.104,0,0,Sri Lanka
2021-03-19,0,0,ay.104,0,0,Sri Lanka
2021-03-20,0,0,ay.104,0,0,Sri Lanka
2021-03-21,0,0,ay.104,0,0,Sri Lanka
2021-03-22,0,0,ay.104,0,0,Sri Lanka
2021-03-23,0,0,ay.104,0,0,Sri Lanka
2021-03-24,0,0,ay.104,0,0,Sri Lanka
2021-03-25,0,0,ay.104,0,0,Sri Lanka
2021-03-26,0,0,ay.104,0,0,Sri Lanka
2021-03-27,0,0,ay.104,0,0,Sri Lanka
2021-03-28,0,0,ay.104,0,0,Sri Lanka
2021-03-29,0,0,ay.104,0,0,Sri Lanka
2021-03-30,0,0,ay.104,0,0,Sri Lanka
2021-03-31,0,0,ay.104,0,0,Sri Lanka
2021-04-01,0,0,ay.104,0,0,Sri Lanka
2021-04-02,0,0,ay.104,0,0,Sri Lanka
2021-04-03,0,0,ay.104,0,0,Sri Lanka
2021-04-04,0,0,ay.104,0,0,Sri Lanka
2021-04-05,0,0,ay.104,0,0,Sri Lanka
2021-04-06,0,0,ay.104,0,0,Sri Lanka
2021-04-07,0,0,ay.104,0,0,Sri Lanka
2021-04-08,0,0,ay.104,0,0,Sri Lanka
2021-04-09,0,0,ay.104,0,0,Sri Lanka
2021-04-10,0,0,ay.104,0,0,Sri Lanka
2021-04-11,0,0,ay.104,0,0,Sri Lanka
2021-04-12,0,0,ay.104,0,0,Sri Lanka
2021-04-13,0,0,ay.104,0,0,Sri Lanka
2021-04-14,0,0,ay.104,0,0,Sri Lanka
2021-04-15,0,0,ay.104,0,0,Sri Lanka
2021-04-16,0,0,ay.104,0,0,Sri Lanka
2021-04-17,0,0,ay.104,0,0,Sri Lanka
