date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,State
2021-03-21,6,1,a.2.5,0.166666666666667,0.28,New Brunswick
2021-03-22,0,0,a.2.5,0,0.142857142857143,New Brunswick
2021-03-23,0,0,a.2.5,0,0.07,New Brunswick
2021-03-24,10,1,a.2.5,0.1,0.0933333333333333,New Brunswick
2021-01-02,10,2,a.23.1,0.2,0.282637954239569,New Brunswick
2021-01-03,15,5,a.23.1,0.333333333333333,0.343057176196033,New Brunswick
2021-01-04,10,7,a.23.1,0.7,0.412631578947368,New Brunswick
2021-01-05,9,1,a.23.1,0.111111111111111,0.330535152151102,New Brunswick
2021-01-06,10,1,a.23.1,0.1,0.287240863432357,New Brunswick
2021-01-07,8,1,a.23.1,0.125,0.282057359563878,New Brunswick
2021-01-08,0,0,a.23.1,0,0.253479125248509,New Brunswick
2021-01-09,5,1,a.23.1,0.2,0.238924838227974,New Brunswick
2021-01-10,5,2,a.23.1,0.4,0.246056782334385,New Brunswick
2021-01-11,0,0,a.23.1,0,0.141732283464567,New Brunswick
2021-01-12,1,1,a.23.1,1,0.177777777777778,New Brunswick
2021-01-13,0,0,a.23.1,0,0.164473684210526,New Brunswick
2021-01-14,0,0,a.23.1,0,0.169014084507042,New Brunswick
2021-01-15,11,2,a.23.1,0.181818181818182,0.165137614678899,New Brunswick
2021-01-16,2,1,a.23.1,0.5,0.220183486238532,New Brunswick
2021-01-17,2,2,a.23.1,1,0.252808988764045,New Brunswick
2021-01-18,9,3,a.23.1,0.333333333333333,0.183986371379898,New Brunswick
2021-01-19,8,2,a.23.1,0.25,0.301204819277108,New Brunswick
2021-01-20,7,4,a.23.1,0.571428571428571,0.314606741573034,New Brunswick
2021-01-21,4,2,a.23.1,0.5,0.395061728395062,New Brunswick
2021-01-22,5,3,a.23.1,0.6,0.51,New Brunswick
2021-01-23,0,0,a.23.1,0,0.520325203252033,New Brunswick
2021-01-24,0,0,a.23.1,0,0.492957746478873,New Brunswick
2021-01-25,0,0,a.23.1,0,0.388235294117647,New Brunswick
2021-01-26,9,2,a.23.1,0.222222222222222,0.407407407407407,New Brunswick
2021-01-27,0,0,a.23.1,0,0.318181818181818,New Brunswick
2021-01-28,2,1,a.23.1,0.5,0.222222222222222,New Brunswick
