date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,State
2020-03-11,4,1,a,0.25,0.123239436619718,Massachusetts
2020-03-12,0,0,a,0,0.0747330960854093,Massachusetts
2020-03-13,0,0,a,0,0.0625,Massachusetts
2020-03-14,14,2,a,0.142857142857143,0.153284671532847,Massachusetts
2020-03-15,0,0,a,0,0.124629080118694,Massachusetts
2020-03-16,13,1,a,0.0769230769230769,0.102941176470588,Massachusetts
2020-03-17,0,0,a,0,0.0586080586080586,Massachusetts
2020-03-18,0,0,a,0,0.0398936170212766,Massachusetts
2020-03-19,0,0,a,0,0.0387096774193548,Massachusetts
2020-03-20,0,0,a,0,0.0362903225806452,Massachusetts
2020-03-21,0,0,a,0,0.0141843971631206,Massachusetts
2020-03-22,15,2,a,0.133333333333333,0.0380710659898477,Massachusetts
2020-03-23,0,0,a,0,0.0258620689655172,Massachusetts
2020-03-24,0,0,a,0,0.0317460317460317,Massachusetts
2020-03-25,0,0,a,0,0.0222222222222222,Massachusetts
2020-03-26,36,2,a,0.0555555555555556,0.0333333333333333,Massachusetts
2020-03-27,0,0,a,0,0.0285714285714286,Massachusetts
2020-03-28,0,0,a,0,0.0238095238095238,Massachusetts
2020-03-29,0,0,a,0,0.0132890365448505,Massachusetts
2020-03-30,0,0,a,0,0.0143540669856459,Massachusetts
2020-03-31,0,0,a,0,0.0156555772994129,Massachusetts
2020-04-01,0,0,a,0,0.0141442715700141,Massachusetts
2020-04-02,0,0,a,0,0,Massachusetts
2020-04-03,0,0,a,0,0,Massachusetts
2020-04-04,0,0,a,0,0,Massachusetts
2020-04-05,0,0,a,0,0,Massachusetts
2020-04-06,0,0,a,0,0,Massachusetts
2020-04-07,0,0,a,0,0,Massachusetts
2020-04-08,0,0,a,0,0,Massachusetts
2020-04-09,0,0,a,0,0,Massachusetts
2020-04-10,0,0,a,0,0,Massachusetts
2020-04-11,0,0,a,0,0,Massachusetts
2020-04-12,0,0,a,0,0,Massachusetts
2020-04-13,0,0,a,0,0,Massachusetts
2020-04-14,0,0,a,0,0,Massachusetts
2020-04-15,0,0,a,0,0,Massachusetts
2020-04-16,0,0,a,0,0,Massachusetts
2020-04-17,0,0,a,0,0,Massachusetts
2020-04-18,0,0,a,0,0,Massachusetts
2020-04-19,0,0,a,0,0,Massachusetts
2020-04-20,0,0,a,0,0,Massachusetts
2020-04-21,0,0,a,0,0,Massachusetts
2020-04-22,0,0,a,0,0,Massachusetts
2020-04-23,0,0,a,0,0,Massachusetts
2020-04-24,0,0,a,0,0,Massachusetts
2020-04-25,0,0,a,0,0,Massachusetts
2020-04-26,0,0,a,0,0,Massachusetts
2020-04-27,0,0,a,0,0,Massachusetts
2020-04-28,0,0,a,0,0,Massachusetts
2020-04-29,0,0,a,0,0,Massachusetts
2020-04-30,0,0,a,0,0,Massachusetts
2020-05-01,0,0,a,0,0,Massachusetts
2020-05-02,0,0,a,0,0,Massachusetts
2020-05-03,0,0,a,0,0,Massachusetts
2020-05-04,0,0,a,0,0,Massachusetts
2020-05-05,0,0,a,0,0,Massachusetts
2020-05-06,0,0,a,0,0,Massachusetts
2020-05-07,0,0,a,0,0,Massachusetts
2020-05-08,0,0,a,0,0,Massachusetts
2020-05-09,0,0,a,0,0,Massachusetts
2020-05-10,0,0,a,0,0,Massachusetts
2020-05-11,0,0,a,0,0,Massachusetts
2020-05-12,0,0,a,0,0,Massachusetts
2020-05-13,0,0,a,0,0,Massachusetts
2020-05-14,0,0,a,0,0,Massachusetts
2020-05-15,0,0,a,0,0,Massachusetts
2020-05-16,0,0,a,0,0,Massachusetts
2020-05-17,0,0,a,0,0,Massachusetts
2020-05-18,0,0,a,0,0,Massachusetts
2020-05-19,0,0,a,0,0,Massachusetts
2020-05-20,0,0,a,0,0,Massachusetts
2020-05-21,0,0,a,0,0,Massachusetts
2020-05-22,0,0,a,0,0,Massachusetts
2020-05-23,0,0,a,0,0,Massachusetts
2020-05-24,0,0,a,0,0,Massachusetts
2020-05-25,0,0,a,0,0,Massachusetts
