date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,State
2020-03-09,47,1,a,0.0212765957446809,0.0396600566572238,New York
2020-03-10,46,1,a,0.0217391304347826,0.033044846577498,New York
2020-03-11,0,0,a,0,0.0216216216216216,New York
2020-03-12,73,2,a,0.0273972602739726,0.0239030220249274,New York
2020-03-13,52,2,a,0.0384615384615385,0.0258170269439607,New York
2020-03-14,61,1,a,0.0163934426229508,0.0227230569467631,New York
2020-03-15,300,5,a,0.0166666666666667,0.0180045011252813,New York
2020-03-16,189,6,a,0.0317460317460317,0.0214795628277213,New York
2020-03-17,134,3,a,0.0223880597014925,0.0216573578023481,New York
2020-03-18,217,5,a,0.0230414746543779,0.0230271048213001,New York
2020-03-19,147,4,a,0.0272108843537415,0.0233431594068443,New York
2020-03-20,140,1,a,0.00714285714285714,0.0207170874537318,New York
2020-03-21,72,2,a,0.0277777777777778,0.0215535107353063,New York
2020-03-22,0,0,a,0,0.0220646178092987,New York
2020-03-23,37,4,a,0.108108108108108,0.0239174219536757,New York
2020-03-24,59,2,a,0.0338983050847458,0.0250941028858218,New York
2020-03-25,71,2,a,0.028169014084507,0.0263119426984359,New York
2020-03-26,87,1,a,0.0114942528735632,0.0232828870779977,New York
2020-03-27,0,0,a,0,0.024517087667162,New York
2020-03-28,0,0,a,0,0.02248126561199,New York
2020-03-29,0,0,a,0,0.022915340547422,New York
2020-03-30,162,1,a,0.00617283950617284,0.0112065745237206,New York
2020-03-31,0,0,a,0,0.00800533689126084,New York
2020-04-01,126,1,a,0.00793650793650794,0.00544464609800363,New York
2020-04-02,0,0,a,0,0.0036231884057971,New York
2020-04-03,0,0,a,0,0.00352174678640606,New York
2020-04-04,0,0,a,0,0.00356294536817102,New York
2020-04-05,0,0,a,0,0.00344976282880552,New York
2020-04-06,0,0,a,0,0.00207296849087894,New York
2020-04-07,0,0,a,0,0.00202771206488679,New York
2020-04-08,0,0,a,0,0,New York
2020-04-09,0,0,a,0,0,New York
2020-04-10,0,0,a,0,0,New York
2020-04-11,0,0,a,0,0,New York
2020-04-12,0,0,a,0,0,New York
2020-04-13,0,0,a,0,0,New York
2020-04-14,0,0,a,0,0,New York
2020-04-15,0,0,a,0,0,New York
2020-04-16,0,0,a,0,0,New York
2020-04-17,46,1,a,0.0217391304347826,0.00284832660811773,New York
2020-04-18,0,0,a,0,0.00294854784018871,New York
2020-04-19,0,0,a,0,0.00294492981250614,New York
2020-04-20,0,0,a,0,0.00289715113471753,New York
2020-04-21,0,0,a,0,0.00328407224958949,New York
2020-04-22,0,0,a,0,0.004739336492891,New York
2020-04-23,0,0,a,0,0.00504413619167718,New York
2020-04-24,0,0,a,0,0,New York
2020-04-25,0,0,a,0,0,New York
2020-04-26,0,0,a,0,0,New York
2020-04-27,0,0,a,0,0,New York
2020-04-28,0,0,a,0,0,New York
2020-04-29,0,0,a,0,0,New York
2020-04-30,16,1,a,0.0625,0.0103092783505155,New York
2020-05-01,0,0,a,0,0.0108695652173913,New York
2020-05-02,0,0,a,0,0.0105263157894737,New York
2020-05-03,0,0,a,0,0.00943396226415094,New York
2020-05-04,0,0,a,0,0.00757575757575758,New York
2020-05-05,0,0,a,0,0.0072463768115942,New York
2020-05-06,0,0,a,0,0.00675675675675676,New York
2020-05-07,0,0,a,0,0,New York
2020-05-08,0,0,a,0,0,New York
2020-05-09,0,0,a,0,0,New York
2020-05-10,0,0,a,0,0,New York
2020-05-11,0,0,a,0,0,New York
2020-05-12,0,0,a,0,0,New York
2020-05-13,0,0,a,0,0,New York
2020-05-14,0,0,a,0,0,New York
2020-05-15,0,0,a,0,0,New York
2020-05-16,0,0,a,0,0,New York
2020-05-17,0,0,a,0,0,New York
