date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,State
2021-04-29,34,1,a.2.5,0.0294117647058824,0.0395480225988701,South Carolina
2021-03-10,29,1,a.23.1,0.0344827586206897,0.0608695652173913,South Carolina
2021-03-11,0,0,a.23.1,0,0.0311111111111111,South Carolina
2021-03-12,0,0,a.23.1,0,0.0207715133531157,South Carolina
2021-03-13,6,2,a.23.1,0.333333333333333,0.0471910112359551,South Carolina
2021-03-14,0,0,a.23.1,0,0.0381125226860254,South Carolina
2021-03-15,0,0,a.23.1,0,0.0325581395348837,South Carolina
2021-03-16,0,0,a.23.1,0,0.0303030303030303,South Carolina
2021-03-17,0,0,a.23.1,0,0.0196078431372549,South Carolina
2021-03-18,0,0,a.23.1,0,0.0216216216216216,South Carolina
2021-03-19,0,0,a.23.1,0,0.0237154150197628,South Carolina
2021-03-20,0,0,a.23.1,0,0,South Carolina
2021-03-21,35,1,a.23.1,0.0285714285714286,0.00645577792123951,South Carolina
2021-03-22,0,0,a.23.1,0,0.00646551724137931,South Carolina
2021-03-23,0,0,a.23.1,0,0.00610066090493137,South Carolina
2021-03-24,0,0,a.23.1,0,0.00587026709715292,South Carolina
2021-03-25,0,0,a.23.1,0,0.00483870967741936,South Carolina
2021-03-26,23,2,a.23.1,0.0869565217391304,0.0139751552795031,South Carolina
2021-03-27,0,0,a.23.1,0,0.0143540669856459,South Carolina
2021-03-28,0,0,a.23.1,0,0.0108695652173913,South Carolina
2021-03-29,0,0,a.23.1,0,0.00847457627118644,South Carolina
2021-03-30,0,0,a.23.1,0,0.0075046904315197,South Carolina
2021-03-31,0,0,a.23.1,0,0.0069364161849711,South Carolina
2021-04-01,41,2,a.23.1,0.0487804878048781,0.0146654445462878,South Carolina
2021-04-02,0,0,a.23.1,0,0.00610873549175321,South Carolina
2021-04-03,0,0,a.23.1,0,0.00616491137939892,South Carolina
2021-04-04,0,0,a.23.1,0,0.00615006150061501,South Carolina
2021-04-05,0,0,a.23.1,0,0.00681431005110732,South Carolina
2021-04-06,0,0,a.23.1,0,0.0068259385665529,South Carolina
2021-04-07,0,0,a.23.1,0,0.00696864111498258,South Carolina
2021-04-08,0,0,a.23.1,0,0,South Carolina
2021-04-09,0,0,a.23.1,0,0,South Carolina
2021-04-10,0,0,a.23.1,0,0,South Carolina
2021-04-11,0,0,a.23.1,0,0,South Carolina
2021-04-12,0,0,a.23.1,0,0,South Carolina
2021-04-13,56,1,a.23.1,0.0178571428571429,0.00318471337579618,South Carolina
2021-04-14,52,1,a.23.1,0.0192307692307692,0.0060790273556231,South Carolina
2021-04-15,43,2,a.23.1,0.0465116279069768,0.0128410914927769,South Carolina
2021-04-16,0,0,a.23.1,0,0.0134983127109111,South Carolina
2021-04-17,0,0,a.23.1,0,0.0135249366018597,South Carolina
2021-04-18,0,0,a.23.1,0,0.0134952766531714,South Carolina
