date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,State
2021-05-07,30,1,ay.1,0.0333333333333333,0.0422960725075529,Vermont
2021-05-08,0,0,ay.1,0,0.025830258302583,Vermont
2021-05-09,0,0,ay.1,0,0.0184696569920844,Vermont
2021-05-10,0,0,ay.1,0,0.0132827324478178,Vermont
2021-05-11,0,0,ay.1,0,0.0107361963190184,Vermont
2021-05-12,0,0,ay.1,0,0.00962861072902338,Vermont
2021-05-13,0,0,ay.1,0,0.00869565217391304,Vermont
2021-05-14,0,0,ay.1,0,0,Vermont
2021-05-15,0,0,ay.1,0,0,Vermont
2021-05-16,0,0,ay.1,0,0,Vermont
2021-05-17,0,0,ay.1,0,0,Vermont
2021-05-18,0,0,ay.1,0,0,Vermont
2021-05-19,0,0,ay.1,0,0,Vermont
2021-05-20,0,0,ay.1,0,0,Vermont
2021-05-21,0,0,ay.1,0,0,Vermont
2021-05-22,0,0,ay.1,0,0,Vermont
2021-05-23,0,0,ay.1,0,0,Vermont
2021-05-24,0,0,ay.1,0,0,Vermont
2021-05-25,0,0,ay.1,0,0,Vermont
2021-05-26,0,0,ay.1,0,0,Vermont
2021-05-27,0,0,ay.1,0,0,Vermont
2021-05-28,0,0,ay.1,0,0,Vermont
2021-05-29,0,0,ay.1,0,0,Vermont
2021-05-30,0,0,ay.1,0,0,Vermont
2021-05-31,0,0,ay.1,0,0,Vermont
2021-06-01,0,0,ay.1,0,0,Vermont
2021-06-02,0,0,ay.1,0,0,Vermont
2021-06-03,0,0,ay.1,0,0,Vermont
2021-06-04,0,0,ay.1,0,0,Vermont
2021-06-05,0,0,ay.1,0,0,Vermont
2021-06-06,0,0,ay.1,0,0,Vermont
2021-06-07,0,0,ay.1,0,0,Vermont
2021-06-08,0,0,ay.1,0,0,Vermont
2021-06-09,0,0,ay.1,0,0,Vermont
2021-06-10,0,0,ay.1,0,0,Vermont
2021-06-11,0,0,ay.1,0,0,Vermont
2021-06-12,0,0,ay.1,0,0,Vermont
2021-06-13,0,0,ay.1,0,0,Vermont
2021-06-14,0,0,ay.1,0,0,Vermont
2021-06-15,0,0,ay.1,0,0,Vermont
2021-06-16,0,0,ay.1,0,0,Vermont
2021-06-17,0,0,ay.1,0,0,Vermont
2021-06-18,0,0,ay.1,0,0,Vermont
2021-06-19,0,0,ay.1,0,0,Vermont
2021-06-20,0,0,ay.1,0,0,Vermont
2021-06-21,0,0,ay.1,0,0,Vermont
2021-06-22,0,0,ay.1,0,0,Vermont
2021-06-23,0,0,ay.1,0,0,Vermont
2021-06-24,0,0,ay.1,0,0,Vermont
2021-06-25,0,0,ay.1,0,0,Vermont
2021-06-26,0,0,ay.1,0,0,Vermont
2021-06-27,0,0,ay.1,0,0,Vermont
2021-06-28,0,0,ay.1,0,0,Vermont
2021-06-29,0,0,ay.1,0,0,Vermont
2021-06-30,0,0,ay.1,0,0,Vermont
2021-07-01,0,0,ay.1,0,0,Vermont
2021-07-02,0,0,ay.1,0,0,Vermont
2021-07-03,0,0,ay.1,0,0,Vermont
2021-07-04,0,0,ay.1,0,0,Vermont
2021-07-05,0,0,ay.1,0,0,Vermont
