date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2020-06-29,6,1,a,0.166666666666667,0.18421052631579,Argentina
2021-01-22,11,1,a.2.5,0.0909090909090909,0.147368421052632,Argentina
2021-01-23,0,0,a.2.5,0,0.0878661087866109,Argentina
2021-01-24,0,0,a.2.5,0,0.0506329113924051,Argentina
2021-01-25,0,0,a.2.5,0,0.0477489768076398,Argentina
2021-01-26,0,0,a.2.5,0,0.0438871473354232,Argentina
2021-01-27,0,0,a.2.5,0,0.0318181818181818,Argentina
2021-01-28,0,0,a.2.5,0,0.0319488817891374,Argentina
2021-01-29,0,0,a.2.5,0,0,Argentina
2021-01-30,0,0,a.2.5,0,0,Argentina
2021-01-31,0,0,a.2.5,0,0,Argentina
2021-02-01,0,0,a.2.5,0,0,Argentina
2021-02-02,0,0,a.2.5,0,0,Argentina
2021-02-03,0,0,a.2.5,0,0,Argentina
2021-02-04,0,0,a.2.5,0,0,Argentina
2021-02-05,0,0,a.2.5,0,0,Argentina
2021-02-06,0,0,a.2.5,0,0,Argentina
2021-02-07,0,0,a.2.5,0,0,Argentina
2021-02-08,0,0,a.2.5,0,0,Argentina
2021-02-09,0,0,a.2.5,0,0,Argentina
2021-02-10,0,0,a.2.5,0,0,Argentina
2021-02-11,0,0,a.2.5,0,0,Argentina
2021-02-12,0,0,a.2.5,0,0,Argentina
2021-02-13,0,0,a.2.5,0,0,Argentina
2021-02-14,0,0,a.2.5,0,0,Argentina
2021-02-15,0,0,a.2.5,0,0,Argentina
2021-02-16,0,0,a.2.5,0,0,Argentina
2021-02-17,0,0,a.2.5,0,0,Argentina
2021-02-18,0,0,a.2.5,0,0,Argentina
2021-02-19,0,0,a.2.5,0,0,Argentina
2021-02-20,0,0,a.2.5,0,0,Argentina
2021-02-21,0,0,a.2.5,0,0,Argentina
2021-02-22,0,0,a.2.5,0,0,Argentina
2021-02-23,0,0,a.2.5,0,0,Argentina
2021-02-24,0,0,a.2.5,0,0,Argentina
2021-02-25,0,0,a.2.5,0,0,Argentina
2021-02-26,0,0,a.2.5,0,0,Argentina
2021-02-27,0,0,a.2.5,0,0,Argentina
2021-02-28,0,0,a.2.5,0,0,Argentina
2021-03-01,0,0,a.2.5,0,0,Argentina
2021-03-02,8,2,a.2.5,0.25,0.0588235294117647,Argentina
2021-03-03,0,0,a.2.5,0,0.0512820512820513,Argentina
2021-03-04,0,0,a.2.5,0,0.0487804878048781,Argentina
2021-03-05,0,0,a.2.5,0,0.0373831775700935,Argentina
2021-03-06,0,0,a.2.5,0,0.0446096654275093,Argentina
2021-03-07,0,0,a.2.5,0,0.0453686200378072,Argentina
2021-03-08,0,0,a.2.5,0,0.0426439232409382,Argentina
2021-03-09,0,0,a.2.5,0,0,Argentina
2021-03-10,0,0,a.2.5,0,0,Argentina
2021-03-11,0,0,a.2.5,0,0,Argentina
2021-03-12,0,0,a.2.5,0,0,Argentina
2021-03-13,0,0,a.2.5,0,0,Argentina
2021-03-14,0,0,a.2.5,0,0,Argentina
2021-03-15,0,0,a.2.5,0,0,Argentina
2021-03-16,0,0,a.2.5,0,0,Argentina
2021-03-17,0,0,a.2.5,0,0,Argentina
2021-03-18,0,0,a.2.5,0,0,Argentina
2021-03-19,0,0,a.2.5,0,0,Argentina
2021-03-20,0,0,a.2.5,0,0,Argentina
2021-03-21,0,0,a.2.5,0,0,Argentina
2021-03-22,28,1,a.2.5,0.0357142857142857,0.00919540229885057,Argentina
2021-03-23,0,0,a.2.5,0,0.0099601593625498,Argentina
2021-03-24,0,0,a.2.5,0,0.0100840336134454,Argentina
2021-03-25,0,0,a.2.5,0,0.00854700854700855,Argentina
2021-03-26,0,0,a.2.5,0,0.00934579439252336,Argentina
2021-03-27,0,0,a.2.5,0,0.0091743119266055,Argentina
2021-03-28,0,0,a.2.5,0,0.00925925925925926,Argentina
2021-03-29,0,0,a.2.5,0,0,Argentina
2021-03-30,0,0,a.2.5,0,0,Argentina
2021-03-31,0,0,a.2.5,0,0,Argentina
2021-04-01,0,0,a.2.5,0,0,Argentina
2021-04-02,0,0,a.2.5,0,0,Argentina
2021-04-03,0,0,a.2.5,0,0,Argentina
2021-04-04,0,0,a.2.5,0,0,Argentina
2021-04-05,0,0,a.2.5,0,0,Argentina
2021-04-06,0,0,a.2.5,0,0,Argentina
2021-04-07,0,0,a.2.5,0,0,Argentina
2021-04-08,0,0,a.2.5,0,0,Argentina
2021-04-09,0,0,a.2.5,0,0,Argentina
2021-04-10,0,0,a.2.5,0,0,Argentina
2021-04-11,0,0,a.2.5,0,0,Argentina
2021-04-12,0,0,a.2.5,0,0,Argentina
2021-04-13,0,0,a.2.5,0,0,Argentina
2021-04-14,0,0,a.2.5,0,0,Argentina
2021-04-15,0,0,a.2.5,0,0,Argentina
2021-04-16,0,0,a.2.5,0,0,Argentina
2021-04-17,18,1,a.2.5,0.0555555555555556,0.00632911392405063,Argentina
2021-04-18,0,0,a.2.5,0,0.00613496932515337,Argentina
2021-04-19,36,1,a.2.5,0.0277777777777778,0.0119047619047619,Argentina
2021-04-20,43,2,a.2.5,0.0465116279069768,0.021505376344086,Argentina
2021-04-21,55,1,a.2.5,0.0181818181818182,0.0232558139534884,Argentina
2021-04-22,0,0,a.2.5,0,0.0232558139534884,Argentina
2021-04-23,0,0,a.2.5,0,0.0216450216450216,Argentina
2021-04-24,0,0,a.2.5,0,0.0167014613778706,Argentina
2021-04-25,0,0,a.2.5,0,0.0181132075471698,Argentina
2021-04-26,0,0,a.2.5,0,0.0138835325877362,Argentina
2021-04-27,0,0,a.2.5,0,0.00502134069796636,Argentina
2021-04-28,0,0,a.2.5,0,0,Argentina
2021-04-29,0,0,a.2.5,0,0,Argentina
2021-04-30,0,0,a.2.5,0,0,Argentina
2021-05-01,0,0,a.2.5,0,0,Argentina
2021-05-02,11,1,a.2.5,0.0909090909090909,0.00761421319796954,Argentina
2021-05-03,19,1,a.2.5,0.0526315789473684,0.0171306209850107,Argentina
2021-05-04,31,5,a.2.5,0.161290322580645,0.055379746835443,Argentina
2021-05-05,0,0,a.2.5,0,0.046927374301676,Argentina
2021-05-06,0,0,a.2.5,0,0.0426829268292683,Argentina
2021-05-07,0,0,a.2.5,0,0.04,Argentina
2021-05-08,0,0,a.2.5,0,0.0406976744186047,Argentina
2021-05-09,0,0,a.2.5,0,0.0359281437125749,Argentina
2021-05-10,0,0,a.2.5,0,0.0284090909090909,Argentina
2021-05-11,17,1,a.2.5,0.0588235294117647,0.00613496932515337,Argentina
2021-05-12,50,1,a.2.5,0.02,0.0118343195266272,Argentina
2021-05-13,0,0,a.2.5,0,0.0124223602484472,Argentina
2021-05-14,0,0,a.2.5,0,0.0125786163522013,Argentina
2021-05-15,0,0,a.2.5,0,0.0114942528735632,Argentina
2021-05-16,13,1,a.2.5,0.0769230769230769,0.0165745856353591,Argentina
2021-05-17,0,0,a.2.5,0,0.0158730158730159,Argentina
2021-05-18,0,0,a.2.5,0,0.0103092783505155,Argentina
2021-05-19,0,0,a.2.5,0,0.00578034682080925,Argentina
2021-05-20,19,1,a.2.5,0.0526315789473684,0.0124223602484472,Argentina
2021-05-21,22,1,a.2.5,0.0454545454545455,0.0182926829268293,Argentina
2021-05-22,19,1,a.2.5,0.0526315789473684,0.0253164556962025,Argentina
2021-05-23,0,0,a.2.5,0,0.0193548387096774,Argentina
2021-05-24,0,0,a.2.5,0,0.0208333333333333,Argentina
2021-05-25,0,0,a.2.5,0,0.0215827338129496,Argentina
2021-05-26,0,0,a.2.5,0,0.0193548387096774,Argentina
2021-05-27,0,0,a.2.5,0,0.0116959064327485,Argentina
2021-05-28,0,0,a.2.5,0,0.00564971751412429,Argentina
2021-05-29,0,0,a.2.5,0,0,Argentina
2021-05-30,0,0,a.2.5,0,0,Argentina
2021-05-31,0,0,a.2.5,0,0,Argentina
2021-06-01,0,0,a.2.5,0,0,Argentina
2021-06-02,0,0,a.2.5,0,0,Argentina
2021-06-03,0,0,a.2.5,0,0,Argentina
2021-06-04,0,0,a.2.5,0,0,Argentina
2021-06-05,0,0,a.2.5,0,0,Argentina
2021-06-06,0,0,a.2.5,0,0,Argentina
2021-06-07,35,1,a.2.5,0.0285714285714286,0.00461361014994233,Argentina
2021-06-08,0,0,a.2.5,0,0.0044762757385855,Argentina
2021-06-09,0,0,a.2.5,0,0.00425230333097094,Argentina
2021-06-10,0,0,a.2.5,0,0.00436681222707424,Argentina
2021-06-11,0,0,a.2.5,0,0.00448430493273543,Argentina
2021-06-12,21,1,a.2.5,0.0476190476190476,0.0091743119266055,Argentina
2021-06-13,0,0,a.2.5,0,0.00938967136150235,Argentina
2021-06-14,0,0,a.2.5,0,0.00440528634361234,Argentina
2021-06-15,0,0,a.2.5,0,0.00434782608695652,Argentina
2021-06-16,30,1,a.2.5,0.0333333333333333,0.00904977375565611,Argentina
2021-06-17,0,0,a.2.5,0,0.00943396226415094,Argentina
