date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,State
2021-06-10,4,1,a.2.5.2,0.25,0.125,Alaska
2020-06-10,3,1,a.3,0.333333333333333,0.269230769230769,Alaska
2021-08-04,44,1,ay.100,0.0227272727272727,0.0385144429160935,Alaska
2021-08-05,0,0,ay.100,0,0.0175087543771886,Alaska
2021-08-06,20,1,ay.100,0.05,0.0229508196721311,Alaska
2021-08-07,0,0,ay.100,0,0.0172981878088962,Alaska
2021-08-08,0,0,ay.100,0,0.0129699683471011,Alaska
2021-08-09,40,1,ay.100,0.025,0.0162677201952126,Alaska
2021-08-10,44,1,ay.100,0.0227272727272727,0.0189244598643747,Alaska
2021-08-11,55,1,ay.100,0.0181818181818182,0.018058690744921,Alaska
2021-08-12,0,0,ay.100,0,0.013745704467354,Alaska
2021-08-13,76,1,ay.100,0.0131578947368421,0.0118870728083209,Alaska
2021-08-14,30,1,ay.100,0.0333333333333333,0.0140845070422535,Alaska
2021-08-15,50,2,ay.100,0.04,0.0175658720200753,Alaska
2021-08-16,171,2,ay.100,0.0116959064327485,0.0151143019081806,Alaska
2021-08-17,111,6,ay.100,0.0540540540540541,0.0219532789192232,Alaska
2021-08-18,0,0,ay.100,0,0.0183043091394432,Alaska
2021-08-19,0,0,ay.100,0,0.018984337921215,Alaska
2021-08-20,0,0,ay.100,0,0.0173565455214853,Alaska
2021-08-21,0,0,ay.100,0,0.0148533234311177,Alaska
2021-08-22,24,1,ay.100,0.0416666666666667,0.0138259466932944,Alaska
2021-08-23,107,2,ay.100,0.0186915887850467,0.0151604480754653,Alaska
2021-08-24,0,0,ay.100,0,0.00550290431060838,Alaska
2021-08-25,73,3,ay.100,0.0410958904109589,0.0115403109472672,Alaska
2021-08-26,0,0,ay.100,0,0.0119605302501744,Alaska
2021-08-27,48,1,ay.100,0.0208333333333333,0.0149925037481259,Alaska
2021-08-28,0,0,ay.100,0,0.0169937285049565,Alaska
2021-08-29,0,0,ay.100,0,0.0141709966934341,Alaska
2021-08-30,87,1,ay.100,0.0114942528735632,0.0122050447518308,Alaska
2021-08-31,0,0,ay.100,0,0.0125523012552301,Alaska
2021-09-01,0,0,ay.100,0,0.0049906425452277,Alaska
2021-09-02,0,0,ay.100,0,0.00514933058702369,Alaska
2021-09-03,41,1,ay.100,0.024390243902439,0.00528169014084507,Alaska
2021-09-04,0,0,ay.100,0,0.00553505535055351,Alaska
2021-09-05,31,1,ay.100,0.032258064516129,0.0082930200414651,Alaska
2021-09-06,31,1,ay.100,0.032258064516129,0.00960307298335467,Alaska
2021-09-07,127,2,ay.100,0.015748031496063,0.0132391879964695,Alaska
2021-09-08,0,0,ay.100,0,0.011783189316575,Alaska
