date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,State
2020-09-21,5,2,a,0.4,0.666666666666667,Montana
2020-09-22,0,0,a,0,0.583333333333333,Montana
2020-09-23,0,0,a,0,0.0651162790697674,Montana
2020-09-24,0,0,a,0,0.0208955223880597,Montana
2020-09-25,0,0,a,0,0.0181073507221384,Montana
2020-09-26,0,0,a,0,0.00905562742561449,Montana
2020-09-27,0,0,a,0,0.00802085422097453,Montana
2020-09-28,0,0,a,0,0,Montana
2020-09-29,0,0,a,0,0,Montana
2020-09-30,0,0,a,0,0,Montana
2020-10-01,67,1,a,0.0149253731343284,0.00206185567010309,Montana
2020-10-02,0,0,a,0,0.00194237617351894,Montana
2020-10-03,0,0,a,0,0.00224828568216735,Montana
2020-10-04,0,0,a,0,0.00233335925954733,Montana
2020-10-05,0,0,a,0,0.00227289946208046,Montana
2020-10-06,0,0,a,0,0.00271739130434783,Montana
2020-10-07,0,0,a,0,0.00282220131702728,Montana
2020-10-08,0,0,a,0,0,Montana
2020-10-09,0,0,a,0,0,Montana
2020-10-10,0,0,a,0,0,Montana
2020-10-11,0,0,a,0,0,Montana
2020-10-12,0,0,a,0,0,Montana
2020-10-13,0,0,a,0,0,Montana
2020-10-14,0,0,a,0,0,Montana
2020-10-15,0,0,a,0,0,Montana
2020-10-16,0,0,a,0,0,Montana
2020-10-17,0,0,a,0,0,Montana
2020-10-18,0,0,a,0,0,Montana
2020-10-19,0,0,a,0,0,Montana
2020-10-20,0,0,a,0,0,Montana
2020-10-21,0,0,a,0,0,Montana
2020-10-22,0,0,a,0,0,Montana
2020-10-23,0,0,a,0,0,Montana
2020-10-24,0,0,a,0,0,Montana
2020-10-25,0,0,a,0,0,Montana
2020-10-26,0,0,a,0,0,Montana
2020-10-27,0,0,a,0,0,Montana
2020-10-28,0,0,a,0,0,Montana
2020-10-29,0,0,a,0,0,Montana
2020-10-30,0,0,a,0,0,Montana
2020-10-31,0,0,a,0,0,Montana
2020-11-01,0,0,a,0,0,Montana
2020-11-02,0,0,a,0,0,Montana
2020-11-03,0,0,a,0,0,Montana
2020-11-04,0,0,a,0,0,Montana
2020-11-05,0,0,a,0,0,Montana
2020-11-06,0,0,a,0,0,Montana
2020-11-07,0,0,a,0,0,Montana
2020-11-08,0,0,a,0,0,Montana
2020-11-09,0,0,a,0,0,Montana
2020-11-10,0,0,a,0,0,Montana
2020-11-11,0,0,a,0,0,Montana
2020-11-12,0,0,a,0,0,Montana
2020-11-13,0,0,a,0,0,Montana
2020-11-14,0,0,a,0,0,Montana
2020-11-15,0,0,a,0,0,Montana
2020-11-16,0,0,a,0,0,Montana
2020-11-17,0,0,a,0,0,Montana
2020-11-18,0,0,a,0,0,Montana
2020-11-19,0,0,a,0,0,Montana
2020-11-20,0,0,a,0,0,Montana
2020-11-21,0,0,a,0,0,Montana
2020-11-22,0,0,a,0,0,Montana
2020-11-23,0,0,a,0,0,Montana
2020-11-24,0,0,a,0,0,Montana
2020-11-25,0,0,a,0,0,Montana
2020-11-26,0,0,a,0,0,Montana
2020-11-27,0,0,a,0,0,Montana
2020-11-28,0,0,a,0,0,Montana
2020-11-29,0,0,a,0,0,Montana
2020-11-30,0,0,a,0,0,Montana
2020-12-01,0,0,a,0,0,Montana
2020-12-02,0,0,a,0,0,Montana
2020-12-03,0,0,a,0,0,Montana
2020-12-04,0,0,a,0,0,Montana
2020-12-05,0,0,a,0,0,Montana
2020-12-06,0,0,a,0,0,Montana
2020-12-07,0,0,a,0,0,Montana
2020-12-08,0,0,a,0,0,Montana
2020-12-09,0,0,a,0,0,Montana
2020-12-10,0,0,a,0,0,Montana
2020-12-11,0,0,a,0,0,Montana
2020-12-12,0,0,a,0,0,Montana
2020-12-13,0,0,a,0,0,Montana
2020-12-14,0,0,a,0,0,Montana
2020-12-15,0,0,a,0,0,Montana
2020-12-16,0,0,a,0,0,Montana
2020-12-17,0,0,a,0,0,Montana
2020-12-18,0,0,a,0,0,Montana
2020-12-19,0,0,a,0,0,Montana
2020-12-20,0,0,a,0,0,Montana
2020-12-21,45,1,a,0.0222222222222222,0.0181818181818182,Montana
2020-10-22,54,1,ad.1,0.0185185185185185,0.0296610169491525,Montana
2020-10-23,0,0,ad.1,0,0.0133843212237094,Montana
2020-10-24,0,0,ad.1,0,0.00907911802853437,Montana
2020-10-25,0,0,ad.1,0,0.00669856459330144,Montana
2020-10-26,0,0,ad.1,0,0.0037817396002161,Montana
2020-10-27,0,0,ad.1,0,0.00339640950994663,Montana
2020-10-28,0,0,ad.1,0,0.00244299674267101,Montana
2020-10-29,0,0,ad.1,0,0,Montana
2020-10-30,0,0,ad.1,0,0,Montana
2020-10-31,0,0,ad.1,0,0,Montana
2020-11-01,0,0,ad.1,0,0,Montana
2020-11-02,0,0,ad.1,0,0,Montana
2020-11-03,0,0,ad.1,0,0,Montana
2020-11-04,0,0,ad.1,0,0,Montana
2020-11-05,0,0,ad.1,0,0,Montana
2020-11-06,0,0,ad.1,0,0,Montana
2020-11-07,0,0,ad.1,0,0,Montana
2020-11-08,0,0,ad.1,0,0,Montana
2020-11-09,0,0,ad.1,0,0,Montana
2020-11-10,0,0,ad.1,0,0,Montana
2020-11-11,0,0,ad.1,0,0,Montana
2020-11-12,0,0,ad.1,0,0,Montana
2020-11-13,0,0,ad.1,0,0,Montana
2020-11-14,0,0,ad.1,0,0,Montana
2020-11-15,0,0,ad.1,0,0,Montana
2020-11-16,0,0,ad.1,0,0,Montana
2020-11-17,0,0,ad.1,0,0,Montana
2020-11-18,0,0,ad.1,0,0,Montana
2020-11-19,0,0,ad.1,0,0,Montana
2020-11-20,0,0,ad.1,0,0,Montana
2020-11-21,0,0,ad.1,0,0,Montana
2020-11-22,0,0,ad.1,0,0,Montana
2020-11-23,0,0,ad.1,0,0,Montana
2020-11-24,0,0,ad.1,0,0,Montana
2020-11-25,0,0,ad.1,0,0,Montana
2020-11-26,0,0,ad.1,0,0,Montana
2020-11-27,97,1,ad.1,0.0103092783505155,0.00366837857666911,Montana
2020-11-28,0,0,ad.1,0,0.00377121307353866,Montana
2020-11-29,0,0,ad.1,0,0.00339750849377123,Montana
2020-11-30,172,2,ad.1,0.0116279069767442,0.00696459663377829,Montana
2020-12-01,0,0,ad.1,0,0.00753012048192771,Montana
2020-12-02,0,0,ad.1,0,0.00911392405063291,Montana
2020-12-03,0,0,ad.1,0,0.00808625336927224,Montana
2020-12-04,0,0,ad.1,0,0.0056980056980057,Montana
2020-12-05,0,0,ad.1,0,0.00578034682080925,Montana
