date,total_count,lineage_count,total_count_rolling,lineage_count_rolling,proportion,proportion_ci_lower,proportion_ci_upper,query_key,lineage,total_count_rolling_14,lineage_count_rolling_14,proportion_rolling_14
2020-11-20,4,1,2.33333333333333,0.333333333333333,0.142857142857143,0.000216908470030966,0.666821754401209,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-11-21,1,0,2,0.25,0.125,0.000216908470030966,0.666821754401209,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-11-22,1,0,1.8,0.2,0.111111111111111,0.000216908470030966,0.666821754401209,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-11-23,10,0,3.6,0.2,0.0555555555555556,0.000115332788238275,0.44476261765764,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-11-25,1,0,3.16666666666667,0.166666666666667,0.0526315789473684,0.000150636025436569,0.53558324304295,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-11-27,3,0,3.2,0,0,0.000150636025436569,0.53558324304295,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-11-28,1,0,3.2,0,0,0.000150636025436569,0.53558324304295,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-11-29,1,0,3.2,0,0,0.000150636025436569,0.53558324304295,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-11-30,2,1,1.6,0.2,0.125,0.000216908470030966,0.666821754401209,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-12-02,3,0,2,0.2,0.1,0.000216908470030966,0.666821754401209,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-12-03,11,0,3.5,0.166666666666667,0.0476190476190476,0.000115332788238275,0.44476261765764,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-12-08,3,0,5.66666666666667,0,0,7.84998483662082e-05,0.33038890915155,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-12-09,3,0,5.66666666666667,0,0,7.84998483662082e-05,0.33038890915155,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-12-10,4,1,3.33333333333333,0.333333333333333,0.1,0.000150636025436569,0.53558324304295,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,3.42857142857143,0.214285714285714,0.0625
2020-12-11,5,1,3.75,0.5,0.133333333333333,0.000115332788238275,0.44476261765764,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,3.5,0.214285714285714,0.0612244897959184
2020-12-14,2,0,3.4,0.4,0.117647058823529,0.000150636025436569,0.53558324304295,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,3.57142857142857,0.214285714285714,0.06
2020-12-15,1,0,3,0.4,0.133333333333333,0.000150636025436569,0.53558324304295,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,3.57142857142857,0.214285714285714,0.06
2020-12-16,2,2,2.8,0.8,0.285714285714286,0.0387476177851652,0.823263902868743,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,3,0.357142857142857,0.119047619047619
2020-12-17,1,0,2.2,0.6,0.272727272727273,0.0608302759200974,0.939169724079903,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,3,0.357142857142857,0.119047619047619
2020-12-22,1,0,1.33333333333333,0.666666666666667,0.5,0.146746316309575,0.999614419019244,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,2.85714285714286,0.357142857142857,0.125
2020-12-23,2,1,1.33333333333333,0.333333333333333,0.25,0.000385580980755902,0.853253683690425,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,2.92857142857143,0.428571428571429,0.146341463414634
2020-12-24,3,0,2,0.333333333333333,0.166666666666667,0.000216908470030966,0.666821754401209,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,3.07142857142857,0.428571428571429,0.13953488372093
2020-12-27,3,1,2.25,0.5,0.222222222222222,0.000216908470030966,0.666821754401209,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,3.14285714285714,0.428571428571429,0.136363636363636
2021-01-01,8,3,5.5,2,0.363636363636364,0.0767701400348735,0.713576990745803,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,3.5,0.642857142857143,0.183673469387755
2021-01-02,3,2,4.66666666666667,2,0.428571428571429,0.0943903273443441,0.790583335923995,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,2.92857142857143,0.785714285714286,0.268292682926829
2021-01-03,2,1,4.33333333333333,2,0.461538461538462,0.122753882769518,0.877246117230482,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,2.85714285714286,0.857142857142857,0.3
2021-01-04,2,2,3.75,2,0.533333333333333,0.122753882769518,0.877246117230482,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,2.78571428571429,1,0.358974358974359
2021-01-05,5,4,4,2.4,0.6,0.122753882769518,0.877246117230482,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,2.85714285714286,1.21428571428571,0.425
2021-01-06,52,28,12,6.66666666666667,0.555555555555556,0.31194042504012,0.819521305210298,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,6.21428571428571,3.14285714285714,0.505747126436782
2021-01-07,14,9,12.2857142857143,7,0.569767441860465,0.31194042504012,0.819521305210298,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,7.07142857142857,3.78571428571429,0.535353535353535
2021-01-08,15,9,13.2857142857143,7.85714285714286,0.591397849462366,0.350038902790607,0.835299425772822,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,8.07142857142857,4.42857142857143,0.548672566371682
2021-01-09,5,3,13.5714285714286,8,0.589473684210526,0.319418214077536,0.797084976869812,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,8.28571428571429,4.5,0.543103448275862
2021-01-10,10,3,14.7142857142857,8.28571428571429,0.563106796116505,0.2938864148804,0.761213152040942,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,8.92857142857143,4.71428571428571,0.528
2021-01-11,13,9,16.2857142857143,9.28571428571429,0.570175438596491,0.326142374095167,0.778394044199052,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,9.78571428571429,5.35714285714286,0.547445255474452
2021-01-12,14,3,17.5714285714286,9.14285714285714,0.520325203252033,0.283571221841736,0.716428778158265,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,10.6428571428571,5.5,0.516778523489933
2021-01-13,21,16,13.1428571428571,7.42857142857143,0.565217391304348,0.282892060399277,0.778876586176306,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,11.9285714285714,6.64285714285714,0.55688622754491
