date,total_count,lineage_count,total_count_rolling,lineage_count_rolling,proportion,proportion_ci_lower,proportion_ci_upper,query_key,lineage,total_count_rolling_14,lineage_count_rolling_14,proportion_rolling_14
2020-03-20,409,1,275,0.142857142857143,0.00051948051948052,1.78395610532739e-06,0.00908451620966308,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-21,431,0,312.857142857143,0.142857142857143,0.00045662100456621,1.56754674316803e-06,0.00798689940111169,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-22,389,0,345.428571428571,0.142857142857143,0.000413564929693962,1.42225656950815e-06,0.00724931315510102,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-23,789,0,430.571428571429,0.142857142857143,0.00033178500331785,1.13863002086461e-06,0.00580786174474146,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-24,731,0,493.714285714286,0.142857142857143,0.000289351851851852,9.93493680994355e-07,0.00506943808420999,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-25,681,0,539.142857142857,0.142857142857143,0.000264970853206147,9.10587449672821e-07,0.00464738221945915,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-26,810,0,605.714285714286,0.142857142857143,0.000235849056603774,8.09953514171029e-07,0.0041348382649087,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-27,798,0,661.285714285714,0,0,7.42585014994128e-07,0.00379157276651492,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-28,689,0,698.142857142857,0,0,7.03235738557328e-07,0.00359102003662754,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-29,717,0,745,0,0,6.5888543332073e-07,0.00336493000436782,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-30,1026,0,778.857142857143,0,0,6.30137155726157e-07,0.00321834895357251,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-03-31,1020,0,820.142857142857,0,0,5.98639913193103e-07,0.00305772679557549,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-04-01,893,0,850.428571428571,0,0,5.77517666055961e-07,0.00294999807779265,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,,,
2020-04-02,795,0,848.285714285714,0,0,5.78879334075477e-07,0.00295694327462277,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,727,0.0714285714285714,9.82511298879937e-05
2020-04-03,850,0,855.714285714286,0,0,5.73470828442836e-07,0.00292935686997897,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,758.5,0,0
2020-04-04,733,0,862,0,0,5.69480310958863e-07,0.00290900250891394,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,780.071428571429,0,0
2020-04-05,605,0,846,0,0,5.80247438336986e-07,0.00296392125082848,B.1.1.7 OR Q.2 OR Q.3 OR Q.7,Alpha,795.5,0,0
