Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2020-11-30,0,BEL,0,0,0,0,0
2020-12-01,0,BEL,0,0,0,0,0
2020-12-02,0,BEL,0,0,0,0,0
2020-12-03,0,BEL,0,0,0,0,0
2020-12-04,0,BEL,0,0,0,0,0
2020-12-06,0,BEL,0,0,0,0,0
2020-12-07,0,BEL,0,0,0,0,0
2020-12-08,0,BEL,0,0,0,0,0
2020-12-09,0,BEL,0,0,0,0,0
2020-12-10,0,BEL,0,0,0,0,0
2020-12-11,0,BEL,0,0,0,0,0
2020-12-12,0,BEL,0,0,0,0,0
2020-12-13,0,BEL,0,0,0,0,0
2020-12-14,0,BEL,0.0120481927710843,0,0,0,0
2020-12-15,0,BEL,0,0,0,0,0
2020-12-16,0,BEL,0,0,0,0,0
2020-12-17,0,BEL,0,0,0,0,0
2020-12-18,0,BEL,0,0,0,0,0
2020-12-19,0,BEL,0,0,0,0,0
2020-12-20,0,BEL,0,0,0,0,0
2020-12-21,0,BEL,0.0110803324099723,0,0,0,0
2020-12-22,0,BEL,0.0191256830601093,0,0,0,0
2020-12-23,0,BEL,0.032171581769437,0,0,0,0
2020-12-24,0,BEL,0.0375335120643432,0,0,0,0
2020-12-25,0,BEL,0.0457516339869281,0,0,0,0
2020-12-26,0,BEL,0.0496688741721854,0,0,0,0
2020-12-27,0,BEL,0.0503355704697987,0,0,0,0
2020-12-28,0,BEL,0.0909090909090909,0,0,0,0
2020-12-29,0,BEL,0.109243697478992,0,0,0,0
2020-12-30,0,BEL,0.120967741935484,0,0,0,0
2020-12-31,0,BEL,0.143968871595331,0,0,0,0
2021-01-01,0,BEL,0.175438596491228,0,0,0,0
2021-01-02,0,BEL,0.186666666666667,0.04,0,0,0
2021-01-03,0,BEL,0.209205020920502,0.0292887029288703,0,0,0
2021-01-04,0,BEL,0.23021582733813,0.0251798561151079,0,0,0
2021-01-05,0,BEL,0.226299694189602,0.0214067278287462,0,0,0
2021-01-06,0,BEL,0.209302325581395,0.0261627906976744,0,0,0
2021-01-07,0,BEL,0.21978021978022,0.0247252747252747,0,0,0
2021-01-08,0,BEL,0.220338983050847,0.0242130750605327,0,0,0
2021-01-09,0,BEL,0.215730337078652,0.0224719101123596,0,0,0
2021-01-10,0,BEL,0.212765957446809,0.025531914893617,0,0,0
2021-01-11,0,BEL,0.249090909090909,0.0290909090909091,0,0,0
2021-01-12,0,BEL,0.265238879736409,0.0214168039538715,0,0,0
2021-01-13,0,BEL,0.278787878787879,0.0212121212121212,0,0,0
2021-01-14,0,BEL,0.287833827893175,0.0267062314540059,0,0,0
2021-01-15,0,BEL,0.291073738680466,0.0271668822768435,0,0,0
2021-01-16,0,BEL,0.321867321867322,0.0233415233415233,0,0,0
2021-01-17,0,BEL,0.326732673267327,0.0235148514851485,0,0,0
2021-01-18,0,BEL,0.335981838819523,0.0249716231555051,0,0,0
2021-01-19,0,BEL,0.354838709677419,0.0291363163371488,0,0,0
2021-01-20,0,BEL,0.371028037383178,0.0299065420560748,0,0,0
2021-01-21,0,BEL,0.378648874061718,0.0291909924937448,0,0,0
2021-01-22,0,BEL,0.397718631178707,0.0311787072243346,0,0,0
2021-01-23,0,BEL,0.402456647398844,0.0310693641618497,0,0.00216763005780347,0
2021-01-24,0,BEL,0.405,0.0314285714285714,0,0.00142857142857143,0
2021-01-25,0,BEL,0.39945836154367,0.03385240352065,0,0.001354096140826,0
2021-01-26,0,BEL,0.39484126984127,0.0363756613756614,0,0.00132275132275132,0
2021-01-27,0,BEL,0.405088062622309,0.0371819960861057,0,0.00195694716242661,0
2021-01-28,0,BEL,0.412844036697248,0.0330275229357798,0,0.0018348623853211,0
2021-01-29,0,BEL,0.40962441314554,0.0328638497652582,0,0.000586854460093897,0
2021-01-30,0,BEL,0.399305555555556,0.0358796296296296,0,0.000578703703703704,0
2021-01-31,0,BEL,0.39579784213515,0.0374787052810903,0,0.00056785917092561,0
2021-02-01,0,BEL,0.397163120567376,0.03873431533006,0,0.000545553737043099,0
2021-02-02,0,BEL,0.392370572207084,0.038692098092643,0,0.000544959128065395,0
2021-02-03,0,BEL,0.385964912280702,0.0411184210526316,0,0.000548245614035088,0
2021-02-04,0,BEL,0.389525368248773,0.0463720676486634,0,0.000545553737043099,0
2021-02-05,0,BEL,0.385269121813031,0.0487252124645892,0,0.00056657223796034,0
2021-02-06,0,BEL,0.391707583196945,0.0512820512820513,0,0.000545553737043099,0
2021-02-07,0,BEL,0.396485447556288,0.0510708401976936,0,0.000549148819330038,0
2021-02-08,0,BEL,0.404481792717087,0.0549019607843137,0,0.000560224089635854,0
2021-02-09,0,BEL,0.413888888888889,0.0577777777777778,0,0.000555555555555555,0
2021-02-10,0,BEL,0.411178749308246,0.0603209739900387,0,0,0
2021-02-11,0,BEL,0.411060433295325,0.0655644241733181,0.0108323831242873,0,0
2021-02-12,0,BEL,0.419833729216152,0.0736342042755344,0.0118764845605701,0,0
2021-02-13,0,BEL,0.425595238095238,0.0761904761904762,0.0130952380952381,0,0
2021-02-14,0,BEL,0.431603773584906,0.076061320754717,0.0129716981132075,0,0
2021-02-15,0,BEL,0.450408401400233,0.0822637106184364,0.014585764294049,0,0
2021-02-16,0,BEL,0.454704850964348,0.0829924021040327,0.0187025131502046,0,0
2021-02-17,0,BEL,0.462712859659425,0.085143863769818,0.0217263652378156,0,0
2021-02-18,0,BEL,0.469424460431655,0.0827338129496403,0.0245803357314149,0,0
2021-02-19,0,BEL,0.463414634146341,0.0787139689578714,0.024390243902439,0,0
2021-02-20,0,BEL,0.478729438457175,0.0777084515031197,0.0238230289279637,0,0
