Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-01-20,0,BRN,0,0,0,0,0
2021-01-27,0,BRN,0,0,0,0,0
2021-07-21,0,BRN,0,0,0,0,0
2021-08-17,0,BRN,0,0,0,0,0
2021-10-29,0,BRN,0,0,0,0,0
2021-10-30,0,BRN,0,0,0,0,0
2021-10-31,0,BRN,0,0,0,0,0
2021-11-01,0,BRN,0,0,0,0,0
2021-11-02,0,BRN,0,0,0,0,0
2021-11-03,0,BRN,0,0,0,0,0
2021-11-04,0,BRN,0,0,0,0,0
2021-11-05,0,BRN,0,0,0,0,0
2021-11-06,0,BRN,0,0,0,0,0
2021-11-07,0,BRN,0,0.00961538461538461,0,0,0
2021-11-08,0,BRN,0,0,0,0,0
2021-11-09,0,BRN,0,0,0,1,0
2021-11-10,0,BRN,0,0,0,1,0
2021-11-11,0,BRN,0,0,0,1,0
2021-11-12,0,BRN,0,0,0,1,0
2021-11-13,0,BRN,0,0,0,1,0
2021-11-14,0,BRN,0,0,0,1,0
2021-11-15,0,BRN,0,0,0,1,0
2021-11-16,0,BRN,0,0,0,1,0
2021-11-17,0,BRN,0,0,0,1,0
2021-11-18,0,BRN,0,0,0,1,0
2021-11-19,0,BRN,0,0,0,1,0
2021-11-20,0,BRN,0,0,0,1,0
2021-11-21,0,BRN,0,0,0,1,0
2021-11-22,0,BRN,0,0,0,1,0
2021-11-23,0,BRN,0,0,0,1,0
2021-11-24,0,BRN,0,0,0,1,0
2021-11-25,0,BRN,0,0,0,1,0
2021-11-26,0,BRN,0,0,0,1,0
2021-11-27,0,BRN,0,0,0,1,0
2021-11-28,0,BRN,0,0,0,1,0
2021-11-29,0,BRN,0,0,0,1,0
2021-11-30,0,BRN,0,0,0,1,0
2021-12-01,0,BRN,0,0,0,1,0
2021-12-02,0,BRN,0,0,0,1,0
2021-12-03,0,BRN,0,0,0,1,0
2021-12-04,0,BRN,0,0,0,1,0
2021-12-05,0,BRN,0,0,0,1,0
2021-12-06,0,BRN,0,0,0,1,0
2021-12-07,0,BRN,0,0,0,1,0
2021-12-08,0,BRN,0,0,0,1,0
2021-12-09,0,BRN,0,0,0,1,0
2021-12-10,0,BRN,0,0,0,1,0
2021-12-11,0,BRN,0,0,0,1,0
2021-12-12,0,BRN,0,0,0,1,0
2021-12-13,0,BRN,0,0,0,1,0
2021-12-14,0,BRN,0,0,0,1,0
2021-12-15,0,BRN,0,0,0,1,0
2021-12-16,0,BRN,0,0,0,0.991452991452991,0
2021-12-17,0,BRN,0,0,0,0.991379310344827,0
2021-12-18,0,BRN,0,0,0,0.990566037735849,0
2021-12-19,0,BRN,0,0,0,0.924528301886792,0
2021-12-20,0,BRN,0,0,0,0.913978494623656,0
2021-12-21,0,BRN,0,0,0,0.897727272727273,0
2021-12-23,0,BRN,0,0,0,0.863013698630137,0
2021-12-24,0,BRN,0,0,0,0.840579710144928,0
2021-12-26,0,BRN,0,0,0,0.810344827586207,0
2021-12-27,0,BRN,0,0,0,0.758620689655172,0
2021-12-28,0,BRN,0,0,0,0.727272727272727,0
2021-12-29,0,BRN,0,0,0,0.689655172413793,0
2021-12-31,0,BRN,0,0,0,0.722222222222222,0
2022-01-01,0,BRN,0,0,0,0.736842105263158,0.263157894736842
2022-01-02,0,BRN,0,0,0,0.746835443037975,0.253164556962025
2022-01-03,0,BRN,0,0,0,0.717647058823529,0.282352941176471
2022-01-04,0,BRN,0,0,0,0.689655172413793,0.310344827586207
2022-01-05,0,BRN,0,0,0,0.679245283018868,0.320754716981132
2022-01-06,0,BRN,0,0,0,0.634782608695652,0.365217391304348
2022-01-07,0,BRN,0,0,0,0.592307692307692,0.407692307692308
2022-01-08,0,BRN,0,0,0,0.443181818181818,0.556818181818182
2022-01-09,0,BRN,0,0,0,0.411458333333333,0.588541666666667
2022-01-10,0,BRN,0,0,0,0.34070796460177,0.65929203539823
2022-01-11,0,BRN,0,0,0,0.326446280991736,0.673553719008265
2022-01-12,0,BRN,0,0,0,0.311594202898551,0.688405797101449
2022-01-13,0,BRN,0,0,0,0.297297297297297,0.695945945945946
2022-01-14,0,BRN,0,0,0,0.264900662251656,0.728476821192053
2022-01-15,0,BRN,0,0,0,0.233438485804416,0.760252365930599
2022-01-16,0,BRN,0,0,0,0.207602339181287,0.783625730994152
2022-01-17,0,BRN,0,0,0,0.191374663072776,0.797843665768194
2022-01-18,0,BRN,0,0,0,0.17312661498708,0.816537467700259
2022-01-19,0,BRN,0,0,0,0.134663341645885,0.85286783042394
2022-01-20,0,BRN,0,0,0,0.13,0.8575
2022-01-21,0,BRN,0,0,0,0.111111111111111,0.876262626262626
2022-01-22,0,BRN,0,0,0,0.112299465240642,0.874331550802139
2022-01-23,0,BRN,0,0,0,0.108695652173913,0.877717391304348
2022-01-24,0,BRN,0,0,0,0.103351955307263,0.88268156424581
2022-01-25,0,BRN,0,0,0,0.0997229916897507,0.886426592797784
2022-01-26,0,BRN,0,0,0,0.0840579710144928,0.901449275362319
2022-01-27,0,BRN,0,0,0,0.0714285714285714,0.92032967032967
2022-01-28,0,BRN,0,0,0,0.050561797752809,0.941011235955056
2022-01-30,0,BRN,0,0,0,0.0526315789473684,0.93859649122807
2022-01-31,0,BRN,0,0,0,0.0509554140127389,0.942675159235669
2022-02-01,0,BRN,0,0,0,0.0343642611683849,0.962199312714777
2022-02-02,0,BRN,0,0,0,0.0338983050847458,0.96271186440678
2022-02-03,0,BRN,0,0,0,0.0378006872852234,0.962199312714777
2022-02-04,0,BRN,0,0,0,0.0304054054054054,0.969594594594595
2022-02-05,0,BRN,0,0,0,0.0258064516129032,0.974193548387097
2022-02-06,0,BRN,0,0,0,0.0254777070063694,0.974522292993631
2022-02-07,0,BRN,0,0,0,0.0121951219512195,0.987804878048781
2022-02-08,0,BRN,0,0,0,0.0133333333333333,0.986666666666667
2022-02-16,0,BRN,0,0,0,0.00684931506849315,0.993150684931507
2022-02-17,0,BRN,0,0,0,0.0069204152249135,0.993079584775086
2022-02-18,0,BRN,0,0,0,0.0037593984962406,0.996240601503759
2022-02-19,0,BRN,0,0,0,0.0037593984962406,0.996240601503759
2022-02-20,0,BRN,0,0,0,0.0036231884057971,0.996376811594203
2022-02-21,0,BRN,0,0,0,0.00346020761245675,0.996539792387543
2022-02-22,0,BRN,0,0,0,0.00346020761245675,0.996539792387543
2022-02-23,0,BRN,0,0,0,0.0036101083032491,0.996389891696751
2022-02-24,0,BRN,0,0,0,0,1
2022-02-25,0,BRN,0,0,0,0,1
2022-02-26,0,BRN,0,0,0,0,1
