Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2020-08-31,0,DNK,0,0,0,0,0
2020-09-02,0,DNK,0,0,0,0,0
2020-09-07,0,DNK,0,0,0,0,0
2020-09-14,0,DNK,0,0,0,0,0
2020-09-21,0,DNK,0,0,0,0,0
2020-09-28,0,DNK,0,0,0,0,0
2020-10-05,0,DNK,0,0,0,0,0
2020-10-12,0,DNK,0,0,0,0,0
2020-10-17,0,DNK,0,0,0,0,0
2020-10-19,0,DNK,0,0,0,0,0
2020-10-26,0,DNK,0,0,0,0,0
2020-10-27,0,DNK,0,0,0,0,0
2020-11-02,0,DNK,0,0,0,0,0
2020-11-03,0,DNK,0.000129752173348904,0,0,0,0
2020-11-04,0,DNK,0,0,0,0,0
2020-11-09,0,DNK,0.000365230094959825,0,0,0,0
2020-11-10,0,DNK,0.000377026517531733,0,0,0,0
2020-11-11,0,DNK,0.000415800415800416,0,0,0,0
2020-11-12,0,DNK,0.000469630557294928,0,0,0,0
2020-11-13,0,DNK,0.000502260170768458,0,0,0,0
2020-11-14,0,DNK,0.000536576641030227,0,0,0,0
2020-11-15,0,DNK,0.000668449197860963,0,0,0,0
2020-11-16,0,DNK,0.000474458326743634,0,0,0,0
2020-11-17,0,DNK,0.000498587335881669,0,0,0,0
2020-11-18,0,DNK,0.000657318141980719,0,0,0,0
2020-11-23,0,DNK,0.000887573964497041,0,0,0,0
2020-11-25,0,DNK,0.0011333585190782,0,0,0,0
2020-11-29,0,DNK,0.0011333585190782,0,0,0,0
2020-11-30,0,DNK,0.0016,0,0,0,0
2020-12-02,0,DNK,0.00144550448106389,0,0,0,0
2020-12-03,0,DNK,0.00144571345959231,0,0,0,0
2020-12-04,0,DNK,0.00144759698899826,0,0,0,0
2020-12-05,0,DNK,0.00144759698899826,0,0,0,0
2020-12-06,0,DNK,0.00144654997830175,0,0,0,0
2020-12-07,0,DNK,0.0022317443313694,0,0,0,0
2020-12-08,0,DNK,0.00223094770658576,0,0,0,0
2020-12-11,0,DNK,0.00266780493010351,0,0,0,0
2020-12-14,0,DNK,0.0043115438108484,0,0,0,0
2020-12-16,0,DNK,0.0043115438108484,0,0,0,0
2020-12-17,0,DNK,0.00484241628365069,0,0,0,0
2020-12-21,0,DNK,0.00774949596774194,0,0,0,0
2020-12-22,0,DNK,0.00774949596774194,0,0,0,0
2020-12-25,0,DNK,0.00889570552147239,0,0,0,0
2020-12-27,0,DNK,0.00889775255043338,0,0,0,0
2020-12-28,0,DNK,0.011511805473981,0,0,0,0
2020-12-29,0,DNK,0.0115124816446402,0,0,0,0
2020-12-30,0,DNK,0.0115185707569347,0,0,0,0
2021-01-04,0,DNK,0.0166461742173461,0,0,0,0
2021-01-05,0,DNK,0.0199976263944932,0,0,0,0
2021-01-06,0,DNK,0.0200023741690408,0,0,0,0
2021-01-08,0,DNK,0.0200011870140661,0,0,0,0
2021-01-09,0,DNK,0.0253506844684806,0,0,0,0
2021-01-10,0,DNK,0.0254351867500422,0,0,0,0
2021-01-11,0,DNK,0.0371900826446281,0,0,0,0
2021-01-12,0,DNK,0.0430270615470583,0,0,0,0
2021-01-13,0,DNK,0.0430270615470583,0,0,0,0
2021-01-14,0,DNK,0.0430236270753512,0,0,0,0
2021-01-15,0,DNK,0.0430236270753512,0,0,0,0
2021-01-16,0,DNK,0.0537470725995316,0,0,0,0
2021-01-17,0,DNK,0.0537470725995316,0,0,0,0
2021-01-18,0,DNK,0.0762448979591837,0.000408163265306122,0,0,0
2021-01-20,0,DNK,0.0958954763959078,0.000493035868359423,0,0,0
2021-01-21,0,DNK,0.0960305719921105,0.000493096646942801,0,0,0
2021-01-22,0,DNK,0.0961182994454714,0.000492914356130622,0,0,0
2021-01-23,0,DNK,0.0961182994454714,0.000492914356130622,0,0,0
2021-01-24,0,DNK,0.096241528034504,0.000492914356130622,0,0,0
2021-01-25,0,DNK,0.118866685430153,0.00056290458767239,0,0,0
2021-01-26,0,DNK,0.153846153846154,0.000796305144131231,0,0,0
2021-01-29,0,DNK,0.153895172853274,0.000796558865700175,0,0,0
2021-01-31,0,DNK,0.153895172853274,0.000796558865700175,0,0,0
2021-02-01,0,DNK,0.190223792697291,0.00094228504122497,0,0,0
2021-02-02,0,DNK,0.190223792697291,0.00094228504122497,0,0,0
2021-02-04,0,DNK,0.190246200965956,0.000942396041936624,0,0,0
2021-02-05,0,DNK,0.190364000471198,0.000942396041936624,0,0,0
2021-02-06,0,DNK,0.238802846379238,0.00104646295521139,0,0,0
2021-02-07,0,DNK,0.23901213897028,0.00104646295521139,0,0,0
2021-02-08,0,DNK,0.306552030833086,0.00103765194189149,0,0,0
2021-02-09,0,DNK,0.306540115675515,0.00103811359928815,0,0,0
2021-02-11,0,DNK,0.306585582913082,0.00103826757638683,0,0,0
2021-02-12,0,DNK,0.306585582913082,0.00103826757638683,0,0,0
2021-02-14,0,DNK,0.37660790852787,0.00119104335397809,0,0,0
2021-02-15,0,DNK,0.4792612776264,0.00105964274901605,0,0,0
2021-02-16,0,DNK,0.479485238455715,0.00105980317940954,0,0,0
2021-02-19,0,DNK,0.479636638909917,0.00105980317940954,0,0,0
2021-02-20,0,DNK,0.573673422910499,0.000910954224550216,0,0,0
2021-02-21,0,DNK,0.573901161466636,0.000910954224550216,0,0,0
2021-02-22,0,DNK,0.644485346170183,0.000991080277502478,0,0,0
2021-02-23,0,DNK,0.644535673839185,0.000990939977349943,0,0,0
2021-02-24,0,DNK,0.644535673839185,0.000990939977349943,0,0,0
2021-02-25,0,DNK,0.644535673839185,0.000990939977349943,0,0,0
2021-02-26,0,DNK,0.711538461538462,0.00098116169544741,0,0,0
2021-02-28,0,DNK,0.711734693877551,0.00098116169544741,0,0,0
2021-03-01,0,DNK,0.760179833012203,0.00218368657675016,0,0,0
2021-03-02,0,DNK,0.759953763164655,0.00218340611353712,0,0,0
2021-03-03,0,DNK,0.759825327510917,0.00218340611353712,0,0,0
2021-03-06,0,DNK,0.805467732936582,0.00278965966152129,0,0,0
2021-03-08,0,DNK,0.84751049790042,0.00251949610077984,0,0,0
2021-03-09,0,DNK,0.84751049790042,0.00251949610077984,0,0,0
2021-03-10,0,DNK,0.847648752399232,0.00251919385796545,0,0,0
2021-03-11,0,DNK,0.847601918465228,0.00251798561151079,0.000359712230215827,0,0
2021-03-12,0,DNK,0.888712522045855,0.00317460317460318,0.000352733686067019,0,0
2021-03-13,0,DNK,0.888692891162462,0.00317516316810725,0.000352795907567472,0,0
2021-03-15,0,DNK,0.89460865714602,0.00287833499391122,0.000885641536588066,0,0
2021-03-16,0,DNK,0.894620323223378,0.00287801638255479,0.000885543502324552,0,0
2021-03-17,0,DNK,0.894742667404538,0.00287769784172662,0.000885445489762036,0,0
2021-03-18,0,DNK,0.894666961717194,0.00287674264217747,0.000885151582208453,0,0
2021-03-20,0,DNK,0.91294080604534,0.00220403022670025,0.000944584382871536,0,0
2021-03-21,0,DNK,0.913084553613604,0.00220437726342308,0.000944733112895607,0,0
2021-03-22,0,DNK,0.919467090872937,0.00208789023662756,0.000994233446013124,0,0
2021-03-23,0,DNK,0.919499105545617,0.00208706022659511,0.000993838203140529,0,0
2021-03-24,0,DNK,0.917393751759077,0.00211089220377146,0.00140726146918097,0,0
2021-03-25,0,DNK,0.917440225035162,0.00210970464135021,0.00140646976090014,0,0
2021-03-26,0,DNK,0.917380918926514,0.00210762961922158,0.00140508641281439,0,0
2021-03-27,0,DNK,0.917216220008419,0.00210467237266732,0.00140311491511155,0,0
2021-03-28,0,DNK,0.917368125701459,0.0021043771043771,0.00140291806958474,0,0
2021-03-29,0,DNK,0.926919082239637,0.0027381739212539,0.000944197903880653,0,0
2021-03-30,0,DNK,0.937318389373184,0.0029057700290577,0.0005534800055348,0,0
2021-03-31,0,DNK,0.937188710570005,0.00290536801328168,0.000553403431101273,0,0
2021-04-01,0,DNK,0.9371800193718,0.0029057700290577,0.0005534800055348,0,0
2021-04-02,0,DNK,0.93717132576806,0.00290617215610296,0.000553556601162469,0,0
