Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-01-15,0,KWT,0,0,0,0,0
2021-01-21,0,KWT,0,0,0,0,0
2021-01-25,0,KWT,0,0,0,0,0
2021-02-01,0,KWT,0,0,0,0,0
2021-02-02,0,KWT,0,0,0,0,0
2021-02-15,0,KWT,0,0,0,0,0
2021-04-14,0,KWT,0,0,0,0,0
2021-04-18,0,KWT,0,0,0,0,0
2021-05-24,0,KWT,0,0,0,0,0
2021-05-30,0,KWT,0,0,0,0,0
2021-05-31,0,KWT,0,0,0,0,0
2021-06-01,0,KWT,0,0,0,0,0
2021-06-02,0,KWT,0,0,0,0,0
2021-06-03,0,KWT,0.696969696969697,0,0,0,0
2021-06-04,0,KWT,0.621212121212121,0,0,0,0
2021-06-05,0,KWT,0.535211267605634,0,0,0,0
2021-06-15,0,KWT,0.357142857142857,0,0,0,0
2021-06-18,0,KWT,0.335365853658537,0,0,0,0
2021-06-21,0,KWT,0.293785310734463,0,0,0,0
2021-06-23,0,KWT,0.17948717948718,0,0,0,0
2021-06-28,0,KWT,0.171779141104294,0,0,0,0
2021-06-30,0,KWT,0.146067415730337,0,0,0.707865168539326,0
2021-07-01,0,KWT,0.142857142857143,0,0,0.71957671957672,0
2021-07-03,0,KWT,0.142105263157895,0,0,0.742105263157895,0
2021-07-05,0,KWT,0.139896373056995,0,0,0.761658031088083,0
2021-07-06,0,KWT,0.141361256544503,0,0,0.769633507853403,0
2021-07-07,0,KWT,0.137755102040816,0,0,0.775510204081633,0
2021-07-08,0,KWT,0.137755102040816,0,0,0.785714285714286,0
2021-07-10,0,KWT,0.121693121693122,0,0,0.814814814814815,0
2021-07-11,0,KWT,0.114130434782609,0,0,0.826086956521739,0
2021-07-26,0,KWT,0.0297029702970297,0,0,0.940594059405941,0
2021-07-27,0,KWT,0.0217391304347826,0.0108695652173913,0,0.967391304347826,0
2021-07-28,0,KWT,0.025974025974026,0,0,0.974025974025974,0
2021-07-30,0,KWT,0.0266666666666667,0,0,0.973333333333333,0
2021-08-01,0,KWT,0.0285714285714286,0,0,0.971428571428571,0
2021-08-14,0,KWT,0.0363636363636364,0,0,0.963636363636364,0
2021-08-15,0,KWT,0,0,0,1,0
2021-08-16,0,KWT,0,0,0,1,0
2021-08-17,0,KWT,0,0,0,1,0
2021-08-18,0,KWT,0,0,0,1,0
2021-08-19,0,KWT,0,0,0,1,0
2021-08-20,0,KWT,0,0,0,1,0
2021-08-21,0,KWT,0,0,0,1,0
2021-08-24,0,KWT,0,0,0,1,0
2021-09-02,0,KWT,0,0,0,0.979591836734694,0
2021-09-03,0,KWT,0,0,0,0.958333333333333,0
2021-09-06,0,KWT,0,0,0,0.9375,0
2021-09-10,0,KWT,0,0,0,0.897959183673469,0
2021-09-12,0,KWT,0,0,0,0.854166666666667,0
2021-09-13,0,KWT,0,0,0,0.764705882352941,0
2021-09-14,0,KWT,0,0,0,0.723404255319149,0
2021-09-15,0,KWT,0,0,0,0.674418604651163,0
2021-09-16,0,KWT,0,0,0,0.5,0
2021-09-17,0,KWT,0,0,0,0.346153846153846,0
2021-09-18,0,KWT,0,0,0,0.25,0
2021-09-19,0,KWT,0,0,0,0.25,0
2021-09-20,0,KWT,0,0,0,0.28,0
2021-09-21,0,KWT,0,0,0,0.24,0
2021-09-22,0,KWT,0,0,0,0.321428571428571,0
2021-09-23,0,KWT,0,0,0,0.387096774193548,0
2021-09-24,0,KWT,0,0,0,0.470588235294118,0
2021-09-25,0,KWT,0,0,0,0.5,0
2021-09-26,0,KWT,0,0,0,0.526315789473684,0
2021-09-27,0,KWT,0,0,0,0.588235294117647,0
2021-09-28,0,KWT,0,0,0,0.588235294117647,0
2021-09-30,0,KWT,0,0,0,0.571428571428571,0
2021-10-03,0,KWT,0,0,0,0.571428571428571,0
2021-10-04,0,KWT,0,0,0,0.588235294117647,0
2021-10-05,0,KWT,0,0,0,0.540540540540541,0
2021-10-07,0,KWT,0,0,0,0.473684210526316,0
2021-10-09,0,KWT,0,0,0,0.432432432432432,0
2021-10-10,0,KWT,0,0,0,0.358974358974359,0
2021-10-11,0,KWT,0,0,0,0.305555555555556,0
2021-10-12,0,KWT,0,0,0,0.228571428571429,0
2021-10-13,0,KWT,0,0,0,0.121212121212121,0
2021-10-15,0,KWT,0,0,0,0.0666666666666667,0
2021-10-16,0,KWT,0,0,0,0,0
2021-10-18,0,KWT,0,0,0,0.0357142857142857,0
2021-10-20,0,KWT,0,0,0,0.0333333333333333,0
2021-10-21,0,KWT,0,0,0,0.0344827586206897,0
2021-10-23,0,KWT,0,0,0,0.0344827586206897,0
2021-10-25,0,KWT,0,0,0,0.0344827586206897,0
2021-10-26,0,KWT,0,0,0,0.0384615384615385,0
2021-10-27,0,KWT,0,0,0,0.0416666666666667,0
2021-10-28,0,KWT,0,0,0,0.0384615384615385,0
2021-10-29,0,KWT,0,0,0,0.037037037037037,0
2021-10-30,0,KWT,0,0,0,0.037037037037037,0
2021-10-31,0,KWT,0,0,0,0.04,0
2021-11-04,0,KWT,0,0,0,0.04,0
2021-11-11,0,KWT,0,0,0,0.0384615384615385,0
2021-11-20,0,KWT,0,0,0,0.0384615384615385,0
2021-11-23,0,KWT,0,0,0,0,0
2021-11-24,0,KWT,0,0,0,0,0
2021-11-25,0,KWT,0,0,0,0,0
2021-11-26,0,KWT,0,0,0,0,0
2021-11-30,0,KWT,0,0,0,0.0333333333333333,0
2021-12-01,0,KWT,0,0,0,0.0333333333333333,0
2021-12-04,0,KWT,0,0,0,0.0666666666666667,0
2022-01-15,0,KWT,0,0,0,0.0714285714285714,0
2022-01-16,0,KWT,0,0,0,0.0740740740740741,0
2022-01-22,0,KWT,0,0,0,0.0571428571428571,0
2022-01-23,0,KWT,0,0,0,0.0555555555555555,0
2022-01-24,0,KWT,0,0,0,0.0540540540540541,0
2022-01-25,0,KWT,0,0,0,0.0555555555555555,0
2022-01-26,0,KWT,0,0,0,0.0555555555555555,0
2022-01-27,0,KWT,0,0,0,0.0555555555555555,0
2022-01-28,0,KWT,0,0,0,0.0555555555555555,0
2022-01-29,0,KWT,0,0,0,0.0606060606060606,0
2022-01-30,0,KWT,0,0,0,0.0526315789473684,0
2022-01-31,0,KWT,0,0,0,0.0227272727272727,0
2022-02-01,0,KWT,0,0,0,0.0208333333333333,0
2022-02-02,0,KWT,0,0,0,0,0.916666666666667
2022-02-03,0,KWT,0,0,0,0,0.916666666666667
2022-02-04,0,KWT,0,0,0,0,0.938775510204082
2022-02-05,0,KWT,0,0,0,0,0.952380952380952
2022-02-06,0,KWT,0,0,0,0.0238095238095238,0.928571428571428
2022-02-22,0,KWT,0,0,0,0.025,0.925
2022-03-06,0,KWT,0,0,0,0.024390243902439,0.902439024390244
2022-03-07,0,KWT,0,0,0,0.0204081632653061,0.877551020408163
2022-03-08,0,KWT,0,0,0,0.0208333333333333,0.875
2022-03-13,0,KWT,0,0,0,0.0208333333333333,0.875
2022-03-14,0,KWT,0,0,0,0.0222222222222222,0.866666666666667
2022-03-16,0,KWT,0,0,0,0.0238095238095238,0.857142857142857
