Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-01-12,0,LVA,0,0,0,0,0
2021-01-14,0,LVA,0,0,0,0,0
2021-01-17,0,LVA,0,0,0,0,0
2021-01-18,0,LVA,0,0,0,0,0
2021-01-19,0,LVA,0,0,0,0,0
2021-01-20,0,LVA,0,0,0,0,0
2021-01-21,0,LVA,0,0,0,0,0
2021-01-22,0,LVA,0,0,0,0,0
2021-01-25,0,LVA,0,0,0,0,0
2021-01-26,0,LVA,0,0,0,0,0
2021-01-27,0,LVA,0,0,0,0,0
2021-01-28,0,LVA,0,0,0,0,0
2021-01-29,0,LVA,0,0,0,0,0
2021-01-30,0,LVA,0.0292397660818713,0,0,0,0
2021-01-31,0,LVA,0.0238095238095238,0,0,0,0
2021-02-01,0,LVA,0.0188679245283019,0,0,0,0
2021-02-02,0,LVA,0.0211864406779661,0,0,0,0
2021-02-03,0,LVA,0.0284552845528455,0,0,0,0
2021-02-04,0,LVA,0.0333333333333333,0,0,0,0
2021-02-05,0,LVA,0.0343642611683849,0,0,0,0
2021-02-06,0,LVA,0.040650406504065,0,0,0,0
2021-02-07,0,LVA,0.0401606425702811,0,0,0,0
2021-02-08,0,LVA,0.0496688741721854,0,0,0,0
2021-02-09,0,LVA,0.0652818991097923,0,0,0,0
2021-02-10,0,LVA,0.0602739726027397,0,0,0,0
2021-02-11,0,LVA,0.0678851174934726,0,0,0,0
2021-02-12,0,LVA,0.0671834625322997,0,0,0,0
2021-02-14,0,LVA,0.0694087403598972,0,0,0,0
2021-02-15,0,LVA,0.0817757009345794,0,0,0,0
2021-02-16,0,LVA,0.0955710955710956,0,0,0,0
2021-02-17,0,LVA,0.107929515418502,0,0,0,0
2021-02-18,0,LVA,0.11353711790393,0,0,0,0
2021-02-19,0,LVA,0.13716814159292,0,0,0,0
2021-02-21,0,LVA,0.144827586206897,0,0,0,0
2021-02-22,0,LVA,0.171717171717172,0,0,0,0
2021-02-23,0,LVA,0.178832116788321,0,0,0,0
2021-02-24,0,LVA,0.204238921001927,0,0,0,0
2021-02-25,0,LVA,0.210727969348659,0,0,0,0
2021-02-26,0,LVA,0.229862475442043,0,0,0,0
2021-02-27,0,LVA,0.24248496993988,0,0,0,0
2021-02-28,0,LVA,0.256673511293635,0,0,0,0
2021-03-01,0,LVA,0.276190476190476,0,0,0,0
2021-03-02,0,LVA,0.276391554702495,0,0,0,0
2021-03-03,0,LVA,0.285714285714286,0,0,0,0
2021-03-04,0,LVA,0.315573770491803,0,0,0,0
2021-03-05,0,LVA,0.334012219959267,0,0,0,0
2021-03-06,0,LVA,0.336170212765957,0,0,0,0
2021-03-07,0,LVA,0.341101694915254,0,0,0,0
2021-03-08,0,LVA,0.351598173515982,0,0,0,0
2021-03-09,0,LVA,0.382297551789077,0,0,0,0
2021-03-10,0,LVA,0.387944358578052,0,0,0,0
2021-03-11,0,LVA,0.416158536585366,0,0,0,0
2021-03-12,0,LVA,0.433770014556041,0,0,0,0
2021-03-13,0,LVA,0.450074515648286,0,0,0,0
2021-03-14,0,LVA,0.46165191740413,0,0,0,0
2021-03-15,0,LVA,0.464611872146119,0,0,0,0
2021-03-16,0,LVA,0.474974463738509,0,0,0,0
2021-03-17,0,LVA,0.495327102803738,0,0,0,0
2021-03-18,0,LVA,0.496069868995633,0,0,0,0
2021-03-19,0,LVA,0.498341625207297,0,0,0,0
2021-03-20,0,LVA,0.503649635036496,0,0,0,0
2021-03-21,0,LVA,0.507557677008751,0.00318217979315831,0,0,0
2021-03-22,0,LVA,0.526717557251908,0.00458015267175573,0,0,0
2021-03-23,0,LVA,0.569858712715856,0.00470957613814757,0,0,0
2021-03-24,0,LVA,0.583266291230893,0.00563153660498793,0,0,0
2021-03-25,0,LVA,0.590370955011839,0.00552486187845304,0,0,0
2021-03-26,0,LVA,0.608087091757387,0.00544323483670295,0,0,0
2021-03-27,0,LVA,0.607644305772231,0.00546021840873635,0,0,0
2021-03-28,0,LVA,0.614607614607615,0.00543900543900544,0,0,0
2021-03-29,0,LVA,0.678628389154705,0.00398724082934609,0,0,0
2021-03-30,0,LVA,0.702791461412151,0.00410509031198686,0,0,0
2021-03-31,0,LVA,0.714285714285714,0.00438212094653813,0,0,0
2021-04-01,0,LVA,0.727188940092166,0.00552995391705069,0,0,0
2021-04-02,0,LVA,0.73955296404276,0.00583090379008746,0,0,0
2021-04-03,0,LVA,0.738568588469185,0.00596421471172962,0,0,0
2021-04-04,0,LVA,0.739572736520855,0.00610376398779247,0,0,0
2021-04-05,0,LVA,0.730263157894737,0.00328947368421053,0,0,0
2021-04-06,0,LVA,0.706697459584296,0.00346420323325635,0,0,0
2021-04-07,0,LVA,0.750320102432779,0.00128040973111396,0,0.0115236875800256,0
2021-04-08,0,LVA,0.767503302509908,0.00132100396301189,0,0.00924702774108322,0
2021-04-09,0,LVA,0.776077885952712,0.00139082058414465,0,0,0
2021-04-10,0,LVA,0.778761061946903,0.00126422250316056,0,0,0
2021-04-11,0,LVA,0.778337531486146,0.00125944584382872,0,0,0
2021-04-12,0,LVA,0.78213802435724,0.0013531799729364,0,0,0
2021-04-13,0,LVA,0.810368349249659,0.00136425648021828,0,0,0
2021-04-14,0,LVA,0.821287779237845,0.00131406044678055,0.00131406044678055,0,0
2021-04-15,0,LVA,0.82994923857868,0.00126903553299492,0,0,0
2021-04-16,0,LVA,0.845105328376704,0.00123915737298637,0,0,0
2021-04-17,0,LVA,0.845193508114856,0.00124843945068664,0,0,0
2021-04-18,0,LVA,0.847117794486216,0.0012531328320802,0,0,0
2021-04-19,0,LVA,0.853686635944701,0.00115207373271889,0,0,0
2021-04-20,0,LVA,0.874856486796785,0.00114810562571757,0,0,0
2021-04-21,0,LVA,0.882854100106496,0.00106496272630458,0,0,0
2021-04-22,0,LVA,0.883843717001056,0.00105596620908131,0,0,0
2021-04-23,0,LVA,0.881799163179916,0.00104602510460251,0,0,0
2021-04-24,0,LVA,0.890147225368063,0.00113250283125708,0,0,0
2021-04-25,0,LVA,0.887981330221704,0.00116686114352392,0,0,0
2021-04-26,0,LVA,0.889308176100629,0.00125786163522013,0,0,0
2021-04-27,0,LVA,0.901459854014599,0.0024330900243309,0,0,0
2021-04-28,0,LVA,0.906832298136646,0.00248447204968944,0,0,0
2021-04-29,0,LVA,0.922110552763819,0.00125628140703518,0,0,0
2021-04-30,0,LVA,0.92005076142132,0.00126903553299492,0,0,0
2021-05-01,0,LVA,0.923366834170854,0.00125628140703518,0,0,0
2021-05-02,0,LVA,0.923267326732673,0.00123762376237624,0,0,0
2021-05-03,0,LVA,0.926630434782609,0.00135869565217391,0,0,0
2021-05-04,0,LVA,0.930517711171662,0.00136239782016349,0,0,0
2021-05-05,0,LVA,0.927113702623907,0.00145772594752187,0,0.00145772594752187,0
2021-05-06,0,LVA,0.92802450229709,0.00153139356814701,0,0.00153139356814701,0
2021-05-07,0,LVA,0.929467084639498,0.00156739811912226,0,0.00156739811912226,0
2021-05-08,0,LVA,0.932634730538922,0.00149700598802395,0,0.00149700598802395,0
2021-05-09,0,LVA,0.931880108991825,0.00136239782016349,0,0.00136239782016349,0
2021-05-10,0,LVA,0.936416184971098,0.00144508670520231,0,0.00144508670520231,0
2021-05-11,0,LVA,0.931034482758621,0,0,0.00172413793103448,0
2021-05-12,0,LVA,0.931481481481482,0,0,0.00185185185185185,0
2021-05-13,0,LVA,0.935969868173258,0.00188323917137476,0,0.00376647834274953,0
2021-05-14,0,LVA,0.942196531791908,0.00192678227360308,0,0.00385356454720617,0
2021-05-15,0,LVA,0.935543278084715,0.00552486187845304,0,0.00920810313075506,0
2021-05-16,0,LVA,0.937037037037037,0.00555555555555556,0,0.00925925925925926,0
2021-05-17,0,LVA,0.942244224422442,0.00495049504950495,0,0.00825082508250825,0
2021-05-18,0,LVA,0.940397350993377,0.00496688741721854,0,0.00993377483443708,0
2021-05-19,0,LVA,0.948844884488449,0.00495049504950495,0,0.00825082508250825,0
2021-05-20,0,LVA,0.947882736156352,0.00488599348534202,0,0.00814332247557003,0
2021-05-21,0,LVA,0.954258675078864,0.00473186119873817,0,0.00788643533123028,0
2021-05-22,0,LVA,0.94896331738437,0.00478468899521531,0,0.0127591706539075,0
2021-05-23,0,LVA,0.952797202797203,0.00524475524475525,0,0.013986013986014,0
2021-05-24,0,LVA,0.947552447552448,0.00524475524475525,0,0.0174825174825175,0
2021-05-25,0,LVA,0.942277691107644,0.0046801872074883,0,0.0202808112324493,0
2021-05-26,0,LVA,0.934947049924357,0.00453857791225416,0,0.027231467473525,0
2021-05-27,0,LVA,0.934065934065934,0.00313971742543171,0,0.032967032967033,0
2021-05-28,0,LVA,0.932565789473684,0.00328947368421053,0,0.0345394736842105,0
2021-05-29,0,LVA,0.936952714535902,0,0,0.031523642732049,0
2021-05-31,0,LVA,0.935875216637782,0,0,0.0329289428076256,0
2021-06-01,0,LVA,0.93394495412844,0,0,0.0348623853211009,0
2021-06-02,0,LVA,0.933062880324544,0,0,0.0365111561866126,0
2021-06-03,0,LVA,0.924611973392461,0,0,0.0421286031042129,0
2021-06-04,0,LVA,0.917225950782998,0,0,0.0425055928411633,0
2021-06-05,0,LVA,0.907730673316708,0,0,0.0498753117206983,0
2021-06-06,0,LVA,0.902887139107612,0,0,0.05249343832021,0
2021-06-07,0,LVA,0.89119170984456,0,0,0.0595854922279793,0
2021-06-08,0,LVA,0.872628726287263,0,0,0.0840108401084011,0
2021-06-09,0,LVA,0.855263157894737,0,0,0.108552631578947,0
2021-06-10,0,LVA,0.838709677419355,0,0,0.129032258064516,0
