Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2020-12-06,0,MUS,0,0,0,0,0
2020-12-13,0,MUS,0,0,0,0,0
2020-12-14,0,MUS,0,0,0,0,0
2020-12-22,0,MUS,0,0,0,0,0
2020-12-23,0,MUS,0,0,0,0,0
2021-01-04,0,MUS,0,0,0,0,0
2021-01-06,0,MUS,0,0,0,0,0
2021-01-10,0,MUS,0,0,0,0,0
2021-01-17,0,MUS,0,0,0,0,0
2021-01-18,0,MUS,0,0,0,0,0
2021-01-25,0,MUS,0,0,0,0,0
2021-02-10,0,MUS,0,0,0,0,0
2021-02-12,0,MUS,0,0,0,0,0
2021-03-06,0,MUS,0,0.260869565217391,0,0,0
2021-03-07,0,MUS,0,0.192307692307692,0,0,0
2021-03-08,0,MUS,0,0.153846153846154,0,0,0
2021-03-10,0,MUS,0,0.102564102564103,0,0,0
2021-03-11,0,MUS,0,0.0952380952380952,0,0,0
2021-03-12,0,MUS,0,0.0581395348837209,0,0,0
2021-03-13,0,MUS,0,0.0408163265306122,0,0,0
2021-03-14,0,MUS,0.0103092783505155,0.0309278350515464,0,0,0
2021-03-17,0,MUS,0,0.0309278350515464,0,0,0
2021-03-27,0,MUS,0,0.0309278350515464,0,0,0
2021-03-28,0,MUS,0,0.0210526315789474,0,0,0
2021-03-29,0,MUS,0,0.0206185567010309,0,0,0
2021-03-31,0,MUS,0,0.0103092783505155,0,0,0
2021-04-02,0,MUS,0,0.0101010101010101,0,0,0
2021-04-03,0,MUS,0,0.0103092783505155,0,0,0
2021-04-06,0,MUS,0,0.0106382978723404,0,0,0
2021-04-09,0,MUS,0,0.0106382978723404,0,0,0
2021-04-10,0,MUS,0,0.0123456790123457,0,0,0
2021-04-24,0,MUS,0,0.0128205128205128,0,0,0
2021-04-28,0,MUS,0,0,0,0,0
2021-04-29,0,MUS,0,0,0,0,0
2021-05-01,0,MUS,0,0,0,0,0
2021-05-02,0,MUS,0,0,0,0,0
2021-05-04,0,MUS,0,0,0,0,0
2021-05-05,0,MUS,0,0,0,0,0
2021-05-07,0,MUS,0,0,0,0,0
2021-05-08,0,MUS,0,0,0,0,0
2021-05-09,0,MUS,0,0,0,0,0
2021-05-10,0,MUS,0,0,0,0,0
2021-05-11,0,MUS,0,0,0,0,0
2021-05-12,0,MUS,0,0,0,0,0
2021-05-23,0,MUS,0,0,0,0,0
2021-05-24,0,MUS,0,0,0,0,0
2021-05-25,0,MUS,0,0,0,0,0
2021-05-26,0,MUS,0,0,0,0,0
2021-05-27,0,MUS,0,0,0,0,0
2021-06-02,0,MUS,0,0,0,0,0
2021-06-03,0,MUS,0,0,0,0,0
2021-06-05,0,MUS,0,0,0,0,0
2021-06-06,0,MUS,0,0,0,0.0416666666666667,0
2021-06-07,0,MUS,0,0,0,0,0
2021-06-09,0,MUS,0,0,0,0,0
2021-06-10,0,MUS,0,0,0,0.0714285714285714,0
2021-06-11,0,MUS,0,0,0,0.0869565217391304,0
2021-06-12,0,MUS,0,0,0,0.0952380952380952,0
2021-06-16,0,MUS,0,0,0,0.105263157894737,0
2021-06-17,0,MUS,0,0.0454545454545455,0,0.181818181818182,0
2021-06-19,0,MUS,0,0.0454545454545455,0,0.181818181818182,0
2021-06-20,0,MUS,0,0.0454545454545455,0,0.227272727272727,0
2021-06-21,0,MUS,0,0.0454545454545455,0,0.227272727272727,0
2021-06-24,0,MUS,0,0.0357142857142857,0,0.428571428571429,0
2021-06-26,0,MUS,0,0.037037037037037,0,0.481481481481482,0
2021-06-30,0,MUS,0,0.0357142857142857,0,0.464285714285714,0
2021-07-01,0,MUS,0,0.0333333333333333,0,0.5,0
2021-07-02,0,MUS,0,0.0333333333333333,0,0.5,0
2021-07-03,0,MUS,0,0.0333333333333333,0,0.5,0
2021-07-04,0,MUS,0,0.0344827586206897,0,0.448275862068966,0
2021-07-05,0,MUS,0,0.03125,0,0.40625,0
2021-07-06,0,MUS,0,0.03125,0,0.40625,0
2021-07-07,0,MUS,0,0.0285714285714286,0,0.371428571428571,0
2021-07-08,0,MUS,0,0,0,0.34375,0
2021-07-09,0,MUS,0,0,0,0.34375,0
2021-07-11,0,MUS,0,0,0,0.294117647058824,0
2021-07-13,0,MUS,0,0,0,0.303030303030303,0
2021-07-14,0,MUS,0,0,0,0.111111111111111,0
2021-07-15,0,MUS,0,0,0,0.0666666666666667,0
2021-07-16,0,MUS,0,0,0,0.129032258064516,0
2021-07-19,0,MUS,0,0,0,0.0666666666666667,0
2021-07-20,0,MUS,0,0,0,0.0666666666666667,0
2021-07-21,0,MUS,0,0,0,0.0666666666666667,0
2021-07-22,0,MUS,0,0,0,0.0645161290322581,0
2021-07-23,0,MUS,0,0,0,0.0714285714285714,0
2021-07-25,0,MUS,0,0,0,0.0666666666666667,0
2021-07-26,0,MUS,0,0,0,0.0689655172413793,0
2021-07-27,0,MUS,0,0,0,0.0645161290322581,0
2021-07-28,0,MUS,0,0,0,0.0625,0
2021-07-29,0,MUS,0,0,0,0.0645161290322581,0
2021-08-09,0,MUS,0,0,0,0.0645161290322581,0
2021-08-11,0,MUS,0,0,0,0.0645161290322581,0
2021-08-12,0,MUS,0,0,0,0.0714285714285714,0
2021-08-13,0,MUS,0,0,0,0.107142857142857,0
2021-08-23,0,MUS,0,0,0,0.111111111111111,0
2021-08-27,0,MUS,0,0,0,0.111111111111111,0
2021-08-30,0,MUS,0,0,0,0.111111111111111,0
2021-08-31,0,MUS,0,0,0,0.115384615384615,0
2021-09-02,0,MUS,0,0,0,0.1,0
2021-09-03,0,MUS,0,0,0,0.1,0
2021-09-04,0,MUS,0,0,0,0.103448275862069,0
2021-09-05,0,MUS,0,0,0,0.103448275862069,0
2021-09-08,0,MUS,0,0,0,0.107142857142857,0
2021-09-11,0,MUS,0,0,0,0.0789473684210526,0
2021-09-12,0,MUS,0,0,0,0.0588235294117647,0
2021-09-19,0,MUS,0,0,0,0.0793650793650794,0
2021-09-21,0,MUS,0,0,0,0.105263157894737,0
2021-09-22,0,MUS,0,0,0,0.0609756097560976,0
2021-09-23,0,MUS,0,0,0,0.0776699029126214,0
2021-09-24,0,MUS,0,0,0,0.075,0
2021-09-25,0,MUS,0,0,0,0.075,0
2021-09-27,0,MUS,0,0,0,0.0731707317073171,0
2021-09-28,0,MUS,0,0,0,0.0909090909090909,0
2021-09-29,0,MUS,0,0,0,0.108333333333333,0
2021-09-30,0,MUS,0,0,0,0.1015625,0
2021-10-01,0,MUS,0,0,0,0.134751773049645,0
2021-10-02,0,MUS,0,0,0,0.137931034482759,0
2021-10-03,0,MUS,0,0,0,0.169117647058824,0
2021-10-04,0,MUS,0,0,0,0.198412698412698,0
2021-10-05,0,MUS,0,0,0,0.206611570247934,0
2021-10-07,0,MUS,0,0,0,0.216216216216216,0
2021-10-09,0,MUS,0,0,0,0.26605504587156,0
2021-10-10,0,MUS,0,0,0,0.304347826086957,0
2021-10-12,0,MUS,0,0,0,0.363636363636364,0
2021-10-13,0,MUS,0,0,0,0.382716049382716,0
2021-10-14,0,MUS,0,0,0,0.392405063291139,0
2021-10-15,0,MUS,0,0,0,0.376623376623377,0
2021-10-23,0,MUS,0,0,0,0.423913043478261,0
2021-10-24,0,MUS,0,0,0,0.524752475247525,0
2021-11-09,0,MUS,0,0,0,0.522222222222222,0
2021-11-12,0,MUS,0,0,0,0.546511627906977,0
2021-11-13,0,MUS,0,0,0,0.535714285714286,0
2021-11-23,0,MUS,0,0,0,0.548387096774194,0
2021-11-24,0,MUS,0,0,0,0.616161616161616,0
2021-11-25,0,MUS,0,0,0,0.633663366336634,0
2021-11-26,0,MUS,0,0,0,0.675925925925926,0
2021-11-27,0,MUS,0,0,0,0.7421875,0
2021-11-28,0,MUS,0,0,0,0.766917293233083,0
2021-12-05,0,MUS,0,0,0,0.778625954198473,0
2021-12-16,0,MUS,0,0,0,0.804347826086957,0
2021-12-17,0,MUS,0,0,0,0.818181818181818,0
2021-12-18,0,MUS,0,0,0,0.855072463768116,0
2021-12-19,0,MUS,0,0,0,0.87603305785124,0
2021-12-20,0,MUS,0,0,0,0.918032786885246,0
2021-12-21,0,MUS,0,0,0,0.91869918699187,0
2021-12-22,0,MUS,0,0,0,0.906976744186047,0
2021-12-23,0,MUS,0,0,0,0.925619834710744,0.0413223140495868
2021-12-25,0,MUS,0,0,0,0.94392523364486,0.0373831775700935
2021-12-26,0,MUS,0,0,0,0.934579439252336,0.0560747663551402
2021-12-27,0,MUS,0,0,0,0.918367346938776,0.0714285714285714
2021-12-28,0,MUS,0,0,0,0.865168539325843,0.134831460674157
2021-12-29,0,MUS,0,0,0,0.852272727272727,0.147727272727273
2021-12-30,0,MUS,0,0,0,0.824175824175824,0.175824175824176
2021-12-31,0,MUS,0,0,0,0.808988764044944,0.191011235955056
2022-01-01,0,MUS,0,0,0,0.784090909090909,0.215909090909091
2022-01-02,0,MUS,0,0,0,0.732558139534884,0.267441860465116
2022-01-03,0,MUS,0,0,0,0.701149425287356,0.298850574712644
2022-01-04,0,MUS,0,0,0,0.63953488372093,0.36046511627907
2022-01-05,0,MUS,0,0,0,0.632183908045977,0.367816091954023
2022-01-06,0,MUS,0,0,0,0.62962962962963,0.37037037037037
2022-01-07,0,MUS,0,0,0,0.620253164556962,0.379746835443038
2022-01-08,0,MUS,0,0,0,0.56989247311828,0.43010752688172
2022-01-09,0,MUS,0,0,0,0.551020408163265,0.448979591836735
2022-01-10,0,MUS,0,0,0,0.529411764705882,0.441176470588235
2022-01-11,0,MUS,0,0,0,0.509803921568628,0.46078431372549
2022-01-12,0,MUS,0,0,0,0.482142857142857,0.491071428571429
2022-01-13,0,MUS,0,0,0,0.464285714285714,0.508928571428571
2022-01-14,0,MUS,0,0,0,0.423728813559322,0.550847457627119
2022-01-15,0,MUS,0,0,0,0.398305084745763,0.567796610169491
2022-01-16,0,MUS,0,0,0,0.372727272727273,0.590909090909091
2022-01-17,0,MUS,0,0,0,0.376146788990826,0.587155963302752
2022-01-18,0,MUS,0,0,0,0.392523364485981,0.570093457943925
2022-01-19,0,MUS,0,0,0,0.380952380952381,0.580952380952381
2022-01-20,0,MUS,0,0,0,0.366071428571429,0.598214285714286
2022-01-21,0,MUS,0,0,0,0.347826086956522,0.617391304347826
2022-01-22,0,MUS,0,0,0,0.3125,0.633928571428571
2022-01-23,0,MUS,0,0,0,0.285714285714286,0.657142857142857
2022-01-24,0,MUS,0,0,0,0.262135922330097,0.689320388349515
2022-01-25,0,MUS,0,0,0,0.197916666666667,0.739583333333333
2022-01-26,0,MUS,0,0,0,0.14,0.8
2022-01-27,0,MUS,0,0,0,0.106060606060606,0.848484848484848
2022-01-28,0,MUS,0,0,0,0.0833333333333333,0.863636363636364
2022-01-29,0,MUS,0,0,0,0.0869565217391304,0.86231884057971
2022-01-30,0,MUS,0,0,0,0.0774647887323944,0.873239436619718
2022-01-31,0,MUS,0,0,0,0.0723684210526316,0.881578947368421
2022-02-01,0,MUS,0,0,0,0.0628930817610063,0.893081761006289
2022-02-02,0,MUS,0,0,0,0.062111801242236,0.894409937888199
2022-02-03,0,MUS,0,0,0,0.0467836257309942,0.888888888888889
2022-02-04,0,MUS,0,0,0,0.0454545454545455,0.880681818181818
2022-02-05,0,MUS,0,0,0,0.0432432432432432,0.881081081081081
2022-02-06,0,MUS,0,0,0,0.041025641025641,0.882051282051282
2022-02-07,0,MUS,0,0,0,0.0351758793969849,0.879396984924623
2022-02-08,0,MUS,0,0,0,0.0346534653465347,0.876237623762376
2022-02-09,0,MUS,0,0,0,0.0207253886010363,0.875647668393782
2022-02-10,0,MUS,0,0,0,0.0178571428571429,0.863095238095238
2022-02-11,0,MUS,0,0,0,0.0109289617486339,0.879781420765027
2022-02-12,0,MUS,0,0,0,0.00523560209424084,0.884816753926702
2022-02-13,0,MUS,0,0,0,0.00520833333333333,0.885416666666667
2022-02-14,0,MUS,0,0,0,0.00518134715025907,0.886010362694301
2022-02-15,0,MUS,0,0,0,0.00531914893617021,0.867021276595745
2022-02-16,0,MUS,0,0,0,0.00483091787439614,0.855072463768116
