Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-01-08,0,MAR,0,0,0,0,0
2021-01-10,0,MAR,0,0,0,0,0
2021-01-11,0,MAR,0,0,0,0,0
2021-02-04,0,MAR,0,0,0,0,0
2021-02-06,0,MAR,0,0,0,0,0
2021-02-23,0,MAR,0,0,0,0,0
2021-02-24,0,MAR,0,0,0,0,0
2021-02-25,0,MAR,0,0,0,0,0
2021-02-26,0,MAR,0,0,0,0,0
2021-02-27,0,MAR,0,0,0,0,0
2021-03-01,0,MAR,0,0,0,0,0
2021-03-02,0,MAR,0,0,0,0,0
2021-03-03,0,MAR,0,0,0,0,0
2021-03-11,0,MAR,0.8,0,0,0,0
2021-03-14,0,MAR,0.818181818181818,0,0,0,0
2021-03-15,0,MAR,0.864864864864865,0,0,0,0
2021-03-16,0,MAR,0.9,0,0,0,0
2021-03-17,0,MAR,0.975609756097561,0,0,0,0
2021-03-18,0,MAR,0.975609756097561,0,0,0,0
2021-03-19,0,MAR,0.978723404255319,0,0,0,0
2021-03-20,0,MAR,0.977777777777778,0,0,0,0
2021-03-22,0,MAR,0.977777777777778,0,0,0,0
2021-03-23,0,MAR,0.978723404255319,0,0,0,0
2021-03-24,0,MAR,0.897959183673469,0,0,0,0
2021-03-25,0,MAR,0.897959183673469,0,0,0,0
2021-04-03,0,MAR,0.914893617021277,0,0,0,0
2021-04-06,0,MAR,0.914893617021277,0,0,0,0
2021-04-07,0,MAR,0.918367346938776,0,0,0,0
2021-04-08,0,MAR,0.918367346938776,0,0,0,0
2021-04-09,0,MAR,0.9,0,0,0,0
2021-04-10,0,MAR,0.893617021276596,0,0,0,0
2021-04-13,0,MAR,0.886363636363636,0,0,0,0
2021-04-15,0,MAR,0.891304347826087,0,0,0,0
2021-04-16,0,MAR,0.883720930232558,0,0,0,0
2021-04-17,0,MAR,0.883720930232558,0,0,0,0
2021-04-21,0,MAR,0.880952380952381,0,0,0,0
2021-04-22,0,MAR,0.833333333333333,0,0,0,0
2021-05-15,0,MAR,0.898305084745763,0,0,0,0
2021-05-19,0,MAR,0.890909090909091,0,0,0,0
2021-06-05,0,MAR,0.886792452830189,0,0,0,0
2021-06-17,0,MAR,0.854545454545455,0,0,0,0
2021-06-20,0,MAR,0.821428571428571,0,0,0,0
2021-07-04,0,MAR,0.777777777777778,0,0,0,0
2021-07-06,0,MAR,0.74,0,0,0,0
2021-07-07,0,MAR,0.72,0,0,0,0
2021-07-08,0,MAR,0.705882352941177,0,0,0,0
2021-07-10,0,MAR,0.647058823529412,0,0,0,0
2021-07-12,0,MAR,0.548387096774194,0,0,0,0
2021-07-13,0,MAR,0.453333333333333,0,0,0,0
2021-07-17,0,MAR,0.432432432432432,0,0,0.445945945945946,0
2021-07-22,0,MAR,0.428571428571429,0,0,0.467532467532468,0
2021-07-26,0,MAR,0.280701754385965,0,0,0.631578947368421,0
2021-08-23,0,MAR,0.258620689655172,0,0,0.655172413793103,0
2021-08-24,0,MAR,0.215384615384615,0.0153846153846154,0,0.707692307692308,0
2021-08-25,0,MAR,0.194029850746269,0,0,0.746268656716418,0
2021-08-26,0,MAR,0.159420289855072,0,0,0.797101449275362,0
2021-08-27,0,MAR,0.157142857142857,0,0,0.828571428571429,0
2021-08-30,0,MAR,0.157142857142857,0,0,0.842857142857143,0
2021-08-31,0,MAR,0.142857142857143,0,0,0.857142857142857,0
2021-09-01,0,MAR,0.128205128205128,0,0,0.871794871794872,0
2021-09-02,0,MAR,0.131578947368421,0,0,0.868421052631579,0
2021-09-03,0,MAR,0.0735294117647059,0,0,0.926470588235294,0
2021-09-06,0,MAR,0.0714285714285714,0,0,0.928571428571429,0
2021-09-07,0,MAR,0.0666666666666667,0,0,0.933333333333333,0
2021-09-08,0,MAR,0.0169491525423729,0,0,0.983050847457627,0
2021-09-09,0,MAR,0,0,0,1,0
2021-09-20,0,MAR,0,0,0,0.983333333333333,0
2021-09-25,0,MAR,0,0,0,0.981132075471698,0
2021-10-11,0,MAR,0,0,0,0.981132075471698,0
2021-10-12,0,MAR,0,0,0,0.981132075471698,0
2021-10-13,0,MAR,0,0,0,0.982142857142857,0
2021-10-14,0,MAR,0,0,0,0.983333333333333,0
2021-10-15,0,MAR,0.0178571428571429,0,0,0.964285714285714,0
2021-10-18,0,MAR,0.0169491525423729,0,0,0.966101694915254,0
2021-10-19,0,MAR,0.0166666666666667,0,0,0.966666666666667,0
2021-10-20,0,MAR,0.0185185185185185,0,0,0.962962962962963,0
2021-10-21,0,MAR,0.0175438596491228,0,0,0.964912280701754,0
2021-10-22,0,MAR,0.0172413793103448,0,0,0.96551724137931,0
2021-10-23,0,MAR,0.0350877192982456,0,0,0.947368421052632,0
2021-10-24,0,MAR,0.0526315789473684,0,0,0.929824561403509,0
2021-11-09,0,MAR,0.0517241379310345,0,0,0.948275862068965,0
2021-11-10,0,MAR,0.05,0,0,0.95,0
2021-11-11,0,MAR,0.0526315789473684,0,0,0.947368421052632,0
2021-11-15,0,MAR,0.0555555555555556,0,0,0.944444444444444,0
2021-11-16,0,MAR,0.06,0,0,0.94,0
2021-11-17,0,MAR,0.0666666666666667,0,0,0.933333333333333,0
2021-11-18,0,MAR,0.0476190476190476,0,0,0.952380952380952,0
2021-11-19,0,MAR,0.0526315789473684,0,0,0.947368421052632,0
2021-12-03,0,MAR,0.0540540540540541,0,0,0.945945945945946,0
2021-12-04,0,MAR,0.0526315789473684,0,0,0.947368421052632,0
2021-12-05,0,MAR,0.0588235294117647,0,0,0.941176470588235,0
2021-12-07,0,MAR,0.0689655172413793,0,0,0.896551724137931,0
2021-12-09,0,MAR,0.04,0,0,0.92,0
2021-12-10,0,MAR,0,0,0,0.923076923076923,0
2021-12-11,0,MAR,0,0,0,0.758620689655172,0
2021-12-13,0,MAR,0,0,0,0.655172413793103,0
2021-12-14,0,MAR,0,0,0,0.633333333333333,0
2021-12-15,0,MAR,0,0,0,0.595238095238095,0
2021-12-16,0,MAR,0,0,0,0.547619047619048,0
2021-12-20,0,MAR,0,0,0,0.488888888888889,0
2021-12-21,0,MAR,0,0,0,0.469387755102041,0
2021-12-22,0,MAR,0,0,0,0.403508771929825,0
2021-12-24,0,MAR,0,0,0,0.385964912280702,0
2021-12-25,0,MAR,0,0,0,0.385964912280702,0
2021-12-26,0,MAR,0,0,0,0.362068965517241,0.413793103448276
2021-12-27,0,MAR,0,0,0,0.362068965517241,0.413793103448276
2021-12-28,0,MAR,0,0,0,0.365079365079365,0.428571428571429
2021-12-29,0,MAR,0,0,0,0.323076923076923,0.446153846153846
2022-01-02,0,MAR,0,0,0,0.333333333333333,0.5
2022-01-03,0,MAR,0,0,0,0.354838709677419,0.532258064516129
2022-01-04,0,MAR,0,0,0,0.327868852459016,0.557377049180328
2022-01-08,0,MAR,0,0,0,0.24,0.7
2022-01-10,0,MAR,0,0,0,0.280701754385965,0.666666666666667
2022-01-11,0,MAR,0,0,0,0.290909090909091,0.654545454545455
2022-01-12,0,MAR,0,0,0,0.288135593220339,0.661016949152542
2022-01-13,0,MAR,0,0,0,0.277777777777778,0.666666666666667
2022-01-14,0,MAR,0,0,0,0.272727272727273,0.672727272727273
2022-01-15,0,MAR,0,0,0,0.240740740740741,0.703703703703704
2022-01-16,0,MAR,0,0,0,0.240740740740741,0.703703703703704
2022-01-18,0,MAR,0,0,0,0.216666666666667,0.7
2022-01-19,0,MAR,0,0,0,0.172413793103448,0.741379310344828
2022-01-20,0,MAR,0,0,0,0.192982456140351,0.754385964912281
2022-01-21,0,MAR,0,0,0,0.216666666666667,0.733333333333333
2022-01-22,0,MAR,0,0,0,0.189655172413793,0.758620689655172
2022-01-24,0,MAR,0,0,0,0.174603174603175,0.777777777777778
2022-01-25,0,MAR,0,0,0,0.151515151515152,0.787878787878788
2022-01-27,0,MAR,0,0,0,0.0952380952380952,0.841269841269841
2022-01-28,0,MAR,0,0,0,0.0967741935483871,0.838709677419355
2022-01-29,0,MAR,0,0,0,0.0526315789473684,0.87719298245614
2022-01-30,0,MAR,0,0,0,0.0925925925925926,0.833333333333333
2022-01-31,0,MAR,0,0,0,0.0892857142857143,0.839285714285714
2022-02-01,0,MAR,0,0,0,0.0819672131147541,0.786885245901639
2022-02-04,0,MAR,0,0,0,0.0833333333333333,0.766666666666667
2022-02-07,0,MAR,0,0,0,0.109090909090909,0.745454545454546
2022-02-08,0,MAR,0,0,0,0.101694915254237,0.76271186440678
2022-02-09,0,MAR,0,0,0,0.087719298245614,0.789473684210527
2022-02-10,0,MAR,0,0,0,0.0535714285714286,0.767857142857143
2022-02-11,0,MAR,0,0,0,0.0526315789473684,0.771929824561404
2022-02-12,0,MAR,0,0,0,0.0588235294117647,0.745098039215686
2022-02-14,0,MAR,0,0,0,0.0666666666666667,0.733333333333333
2022-02-15,0,MAR,0,0,0,0.0714285714285714,0.714285714285714
2022-02-16,0,MAR,0,0,0,0.0714285714285714,0.714285714285714
2022-02-17,0,MAR,0,0,0,0.0769230769230769,0.692307692307692
2022-02-19,0,MAR,0,0,0,0.0263157894736842,0.736842105263158
2022-02-21,0,MAR,0,0,0,0.0285714285714286,0.714285714285714
2022-02-23,0,MAR,0,0,0,0.0333333333333333,0.8
2022-02-28,0,MAR,0,0,0,0.032258064516129,0.838709677419355
2022-03-01,0,MAR,0,0,0,0,0.9
2022-03-03,0,MAR,0,0,0,0,0.869565217391305
2022-03-08,0,MAR,0,0,0,0,0.863636363636364
2022-03-09,0,MAR,0,0,0,0.05,0.95
2022-03-10,0,MAR,0,0,0,0.0588235294117647,0.941176470588235
2022-03-14,0,MAR,0,0,0,0.0555555555555555,0.944444444444444
2022-03-15,0,MAR,0,0,0,0.0555555555555555,0.944444444444444
2022-03-16,0,MAR,0,0,0,0.0625,0.9375
2022-03-17,0,MAR,0,0,0,0.0625,0.9375
2022-03-18,0,MAR,0,0,0,0.0625,0.9375
2022-03-23,0,MAR,0,0,0,0.0625,0.9375
2022-03-24,0,MAR,0,0,0,0.0625,0.9375
2022-03-25,0,MAR,0,0,0,0.0588235294117647,0.941176470588235
2022-03-26,0,MAR,0,0,0,0.0625,0.9375
2022-03-28,0,MAR,0,0,0,0.0625,0.9375
2022-03-29,0,MAR,0,0,0,0.0588235294117647,0.882352941176471
2022-03-30,0,MAR,0,0,0,0.0357142857142857,0.821428571428571
2022-03-31,0,MAR,0,0,0,0,0.862068965517241
2022-04-02,0,MAR,0,0,0,0,0.862068965517241
2022-04-05,0,MAR,0,0,0,0,0.870967741935484
2022-04-06,0,MAR,0,0,0,0,0.833333333333333
2022-04-07,0,MAR,0,0,0,0,0.805555555555556
2022-04-08,0,MAR,0,0,0,0,0.789473684210526
2022-04-09,0,MAR,0,0,0,0,0.794871794871795
2022-04-10,0,MAR,0,0,0,0,0.794871794871795
2022-04-11,0,MAR,0,0,0,0,0.804878048780488
2022-04-12,0,MAR,0,0,0,0,0.804878048780488
2022-05-13,0,MAR,0,0,0,0,0.804878048780488
2022-05-17,0,MAR,0,0,0,0,0.80952380952381
2022-05-18,0,MAR,0,0,0,0,0.833333333333333
2022-05-19,0,MAR,0,0,0,0,0.875
2022-05-20,0,MAR,0,0,0,0,0.882352941176471
2022-05-26,0,MAR,0,0,0,0,0.882352941176471
2022-05-27,0,MAR,0,0,0,0,0.870967741935484
