Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-04-06,0,SAU,0,0,0,0,0
2021-04-13,0,SAU,0,0,0,0,0
2021-04-14,0,SAU,0,0,0,0,0
2021-04-15,0,SAU,0,0,0,0,0
2021-04-16,0,SAU,0,0,0,0,0
2021-04-21,0,SAU,0,0,0,0,0
2021-04-22,0,SAU,0,0,0,0,0
2021-04-24,0,SAU,0,0,0,0,0
2021-04-25,0,SAU,0,0,0,0,0
2021-04-26,0,SAU,0,0,0,0,0
2021-05-02,0,SAU,0,0,0,0,0
2021-05-05,0,SAU,0,0,0,0,0
2021-05-12,0,SAU,0,0,0,0,0
2021-05-15,0,SAU,0.357142857142857,0,0,0,0
2021-05-18,0,SAU,0.317073170731707,0,0,0,0
2021-05-19,0,SAU,0.35,0,0,0,0
2021-05-20,0,SAU,0.346938775510204,0.224489795918367,0,0,0
2021-05-21,0,SAU,0.365853658536585,0.219512195121951,0,0,0
2021-05-22,0,SAU,0.390243902439024,0.219512195121951,0,0,0
2021-05-23,0,SAU,0.380952380952381,0.238095238095238,0,0,0
2021-05-24,0,SAU,0.365853658536585,0.268292682926829,0,0,0
2021-05-25,0,SAU,0.340909090909091,0.272727272727273,0,0,0
2021-06-10,0,SAU,0.302325581395349,0.302325581395349,0,0,0
2021-06-11,0,SAU,0.317073170731707,0.341463414634146,0,0,0
2021-06-15,0,SAU,0.276595744680851,0.319148936170213,0,0,0
2021-06-16,0,SAU,0.25531914893617,0.319148936170213,0,0.148936170212766,0
2021-07-01,0,SAU,0.260869565217391,0.326086956521739,0,0.152173913043478,0
2021-07-02,0,SAU,0.17948717948718,0.333333333333333,0,0.205128205128205,0
2021-07-05,0,SAU,0.17948717948718,0.307692307692308,0,0.230769230769231,0
2021-07-08,0,SAU,0.153846153846154,0.307692307692308,0,0.256410256410256,0
2021-07-10,0,SAU,0.1,0.233333333333333,0,0.366666666666667,0
2021-07-15,0,SAU,0.0833333333333333,0.1875,0,0.5625,0
2021-07-17,0,SAU,0.0625,0.208333333333333,0,0.5625,0
2021-07-21,0,SAU,0.0652173913043478,0.195652173913043,0,0.608695652173913,0
2021-07-28,0,SAU,0.0454545454545455,0.159090909090909,0,0.659090909090909,0
2021-08-03,0,SAU,0.0487804878048781,0.146341463414634,0,0.731707317073171,0
2021-08-15,0,SAU,0.025974025974026,0.0909090909090909,0,0.857142857142857,0
2021-09-06,0,SAU,0.0256410256410256,0.0769230769230769,0,0.858974358974359,0
2021-09-09,0,SAU,0.0140845070422535,0.0704225352112676,0,0.887323943661972,0
2021-09-15,0,SAU,0.0135135135135135,0.0675675675675676,0,0.905405405405405,0
2021-09-20,0,SAU,0.0135135135135135,0.0675675675675676,0,0.905405405405405,0
2021-11-15,0,SAU,0.0135135135135135,0.0675675675675676,0,0.905405405405405,0
2021-12-01,0,SAU,0.0135135135135135,0.0675675675675676,0,0.905405405405405,0
2021-12-06,0,SAU,0.0135135135135135,0.0675675675675676,0,0.905405405405405,0
2021-12-07,0,SAU,0.0135135135135135,0.0675675675675676,0,0.905405405405405,0
2021-12-10,0,SAU,0,0.0545454545454545,0,0.927272727272727,0
2021-12-13,0,SAU,0,0.0363636363636364,0,0.927272727272727,0
2021-12-14,0,SAU,0,0.0350877192982456,0,0.929824561403509,0
2021-12-15,0,SAU,0.0441176470588235,0.0588235294117647,0,0.852941176470588,0
2021-12-16,0,SAU,0.0441176470588235,0.0588235294117647,0,0.838235294117647,0
2021-12-17,0,SAU,0.0857142857142857,0.0571428571428571,0,0.6,0
2021-12-18,0,SAU,0.0857142857142857,0.0571428571428571,0,0.571428571428571,0
2021-12-19,0,SAU,0.0769230769230769,0.0512820512820513,0,0.512820512820513,0
2021-12-20,0,SAU,0.0666666666666667,0.0444444444444444,0,0.355555555555556,0
2021-12-21,0,SAU,0.06,0.04,0,0.3,0
