Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-02-18,0,UKR,0,0,0,0,0
2021-02-19,0,UKR,0,0,0,0,0
2021-02-21,0,UKR,0,0,0,0,0
2021-02-22,0,UKR,0,0,0,0,0
2021-02-25,0,UKR,0,0,0,0,0
2021-03-09,0,UKR,0,0,0,0,0
2021-03-10,0,UKR,0,0,0,0,0
2021-03-16,0,UKR,0,0,0,0,0
2021-03-17,0,UKR,0,0,0,0,0
2021-03-18,0,UKR,0,0,0,0,0
2021-03-26,0,UKR,0,0,0,0,0
2021-05-14,0,UKR,0,0,0,0,0
2021-05-17,0,UKR,0,0,0,0,0
2021-05-18,0,UKR,0.947368421052632,0,0,0,0
2021-05-20,0,UKR,0.947368421052632,0,0,0,0
2021-05-21,0,UKR,0.948717948717949,0,0,0,0
2021-05-24,0,UKR,0.950617283950617,0,0,0,0
2021-05-25,0,UKR,0.983870967741935,0,0,0,0
2021-06-08,0,UKR,0.983333333333333,0,0,0,0
2021-06-10,0,UKR,0.983050847457627,0,0,0,0
2021-06-13,0,UKR,0.983050847457627,0,0,0,0
2021-06-14,0,UKR,0.959183673469388,0,0,0,0
2021-06-15,0,UKR,0.9375,0,0,0,0
2021-06-16,0,UKR,0.931818181818182,0,0,0,0
2021-06-17,0,UKR,0.86,0,0,0,0
2021-06-18,0,UKR,0.836734693877551,0,0,0,0
2021-06-21,0,UKR,0.78,0,0,0,0
2021-06-22,0,UKR,0.716981132075472,0,0,0,0
2021-06-23,0,UKR,0.711538461538462,0,0,0,0
2021-06-24,0,UKR,0.666666666666667,0,0,0,0
2021-06-26,0,UKR,0.625,0,0,0,0
2021-07-05,0,UKR,0.586956521739131,0,0,0,0
2021-07-06,0,UKR,0.530612244897959,0,0,0,0
2021-07-07,0,UKR,0.490196078431373,0,0,0,0
2021-07-12,0,UKR,0.436363636363636,0,0,0,0
2021-07-13,0,UKR,0.34,0,0,0,0
2021-07-20,0,UKR,0.3125,0,0,0,0
2021-07-21,0,UKR,0.240740740740741,0,0,0.666666666666667,0
2021-07-22,0,UKR,0.181818181818182,0,0,0.745454545454546,0
2021-07-23,0,UKR,0.178571428571429,0,0,0.75,0
2021-07-25,0,UKR,0.137254901960784,0,0,0.784313725490196,0
2021-08-30,0,UKR,0.0980392156862745,0,0,0.843137254901961,0
2021-09-01,0,UKR,0.0784313725490196,0,0,0.862745098039216,0
2021-09-02,0,UKR,0.0769230769230769,0,0,0.865384615384615,0
2021-09-07,0,UKR,0.0754716981132076,0,0,0.886792452830189,0
2021-09-13,0,UKR,0.0754716981132076,0,0,0.886792452830189,0
2021-09-14,0,UKR,0.0754716981132076,0,0,0.905660377358491,0
2021-09-15,0,UKR,0.0625,0,0,0.921875,0
2021-09-16,0,UKR,0.0555555555555555,0,0,0.944444444444444,0
2021-09-19,0,UKR,0.04,0,0,0.96,0
2021-09-20,0,UKR,0.0126582278481013,0,0,0.987341772151899,0
2021-09-21,0,UKR,0.0131578947368421,0,0,0.986842105263158,0
2021-10-07,0,UKR,0.0144927536231884,0,0,0.985507246376811,0
2021-10-15,0,UKR,0,0,0,1,0
2021-10-16,0,UKR,0,0,0,1,0
2021-10-18,0,UKR,0,0,0,1,0
2021-10-19,0,UKR,0,0,0,1,0
2021-10-20,0,UKR,0,0,0,1,0
2021-10-21,0,UKR,0,0,0,1,0
2021-10-22,0,UKR,0,0,0,1,0
2021-10-23,0,UKR,0,0,0,1,0
2021-10-25,0,UKR,0,0,0,1,0
2021-10-26,0,UKR,0,0,0,1,0
2021-10-27,0,UKR,0,0,0,1,0
2021-10-28,0,UKR,0,0,0,1,0
2021-11-01,0,UKR,0,0,0,1,0
2021-11-11,0,UKR,0,0,0,1,0
2021-11-17,0,UKR,0,0,0,1,0
2021-11-18,0,UKR,0,0,0,1,0
2021-11-19,0,UKR,0,0,0,1,0
2021-11-20,0,UKR,0,0,0,1,0
2021-11-21,0,UKR,0,0,0,1,0
2021-11-22,0,UKR,0,0,0,1,0
2021-11-23,0,UKR,0,0,0,1,0
2021-11-29,0,UKR,0,0,0,1,0
2021-11-30,0,UKR,0,0,0,1,0
2021-12-02,0,UKR,0,0,0,1,0
2021-12-04,0,UKR,0,0,0,1,0
2021-12-05,0,UKR,0,0,0,1,0
2021-12-08,0,UKR,0,0,0,1,0
2021-12-09,0,UKR,0,0,0,1,0
2021-12-14,0,UKR,0,0,0,1,0
2021-12-15,0,UKR,0,0,0,1,0
2021-12-19,0,UKR,0,0,0,0.99290780141844,0
2021-12-30,0,UKR,0,0,0,0.992957746478873,0
2022-01-06,0,UKR,0,0,0,0.992957746478873,0
2022-01-10,0,UKR,0,0,0,0.990909090909091,0
2022-01-11,0,UKR,0,0,0,0.968085106382979,0
2022-01-12,0,UKR,0,0,0,0.947916666666667,0
2022-01-17,0,UKR,0,0,0,0.882352941176471,0
2022-01-18,0,UKR,0,0,0,0.809090909090909,0
2022-01-19,0,UKR,0,0,0,0.773913043478261,0
2022-01-20,0,UKR,0,0,0,0.681481481481482,0
2022-01-21,0,UKR,0,0,0,0.615894039735099,0
2022-01-22,0,UKR,0,0,0,0.602649006622517,0
2022-01-23,0,UKR,0,0,0,0.576388888888889,0
2022-01-25,0,UKR,0,0,0,0.197530864197531,0.802469135802469
2022-01-29,0,UKR,0,0,0,0.19047619047619,0.80952380952381
2022-01-31,0,UKR,0,0,0,0.147727272727273,0.852272727272727
2022-02-02,0,UKR,0,0,0,0.133333333333333,0.866666666666667
2022-02-04,0,UKR,0,0,0,0.111111111111111,0.888888888888889
2022-02-08,0,UKR,0,0,0,0.112359550561798,0.887640449438202
2022-02-09,0,UKR,0,0,0,0.0930232558139535,0.906976744186047
2022-02-11,0,UKR,0,0,0,0.0987654320987654,0.901234567901234
2022-02-18,0,UKR,0,0,0,0.106666666666667,0.893333333333333
2022-02-21,0,UKR,0,0,0,0.1,0.9
2022-03-29,0,UKR,0,0,0,0.06,0.94
2022-04-12,0,UKR,0,0,0,0,1
