Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-02-23,0,URY,0,0,0,0,0
2021-02-24,0,URY,0,0,0,0,0
2021-02-25,0,URY,0,0,0,0,0
2021-02-26,0,URY,0,0,0,0,0
2021-02-27,0,URY,0,0,0,0,0
2021-02-28,0,URY,0,0,0,0,0
2021-03-01,0,URY,0,0,0,0,0
2021-03-02,0,URY,0,0,0,0,0
2021-03-03,0,URY,0,0,0,0,0
2021-03-04,0,URY,0,0,0,0,0
2021-03-05,0,URY,0,0,0,0,0
2021-03-06,0,URY,0,0,0,0,0
2021-03-08,0,URY,0,0,0,0,0
2021-03-11,0,URY,0,0,0.21,0,0
2021-03-12,0,URY,0,0,0.225490196078431,0,0
2021-03-13,0,URY,0,0,0.28,0,0
2021-03-14,0,URY,0,0,0.293478260869565,0,0
2021-03-15,0,URY,0,0,0.378048780487805,0,0
2021-03-17,0,URY,0,0,0.415584415584416,0,0
2021-03-18,0,URY,0,0,0.457831325301205,0,0
2021-03-19,0,URY,0,0,0.531914893617021,0,0
2021-03-20,0,URY,0,0,0.6,0,0
2021-03-21,0,URY,0,0,0.67741935483871,0,0
2021-03-22,0,URY,0,0,0.771084337349398,0,0
2021-03-23,0,URY,0,0,0.756410256410257,0,0
2021-03-25,0,URY,0,0,0.75,0,0
2021-03-26,0,URY,0,0,0.752941176470588,0,0
2021-03-27,0,URY,0,0,0.767441860465116,0,0
2021-03-28,0,URY,0,0,0.75609756097561,0,0
2021-03-29,0,URY,0,0,0.705882352941177,0,0
2021-03-30,0,URY,0,0,0.655555555555556,0,0
2021-03-31,0,URY,0,0,0.627906976744186,0,0
2021-04-01,0,URY,0,0,0.623655913978495,0,0
2021-04-02,0,URY,0,0,0.608695652173913,0,0
2021-04-03,0,URY,0,0,0.535714285714286,0,0
2021-04-04,0,URY,0,0,0.51219512195122,0,0
2021-04-05,0,URY,0,0,0.482352941176471,0,0
2021-04-06,0,URY,0,0,0.473118279569892,0,0
2021-04-07,0,URY,0,0,0.459183673469388,0,0
2021-04-08,0,URY,0,0,0.509615384615385,0,0
2021-04-09,0,URY,0,0,0.473684210526316,0,0
2021-04-10,0,URY,0,0,0.466165413533835,0,0
2021-04-12,0,URY,0,0,0.466165413533835,0,0
2021-04-13,0,URY,0,0,0.492753623188406,0,0
2021-04-14,0,URY,0,0,0.529411764705882,0,0
2021-04-15,0,URY,0,0,0.548872180451128,0,0
2021-04-17,0,URY,0,0,0.52755905511811,0,0
2021-04-18,0,URY,0,0,0.484615384615385,0,0
2021-04-19,0,URY,0,0,0.462585034013605,0,0
2021-04-20,0,URY,0,0,0.444444444444444,0,0
2021-04-21,0,URY,0,0,0.428571428571429,0,0
2021-04-23,0,URY,0,0,0.432,0,0
2021-04-25,0,URY,0,0,0.433333333333333,0,0
2021-04-26,0,URY,0,0,0.378640776699029,0,0
2021-05-03,0,URY,0,0,0.395604395604396,0,0
2021-05-11,0,URY,0,0,0.36231884057971,0,0
2021-05-19,0,URY,0,0,0.376811594202899,0,0
2021-05-20,0,URY,0,0,0.321428571428571,0,0
2021-05-24,0,URY,0,0,0.283018867924528,0,0
2021-05-25,0,URY,0,0,0.288461538461538,0,0
2021-05-30,0,URY,0,0,0.3125,0,0
2021-05-31,0,URY,0,0,0.414634146341463,0,0
2021-06-03,0,URY,0,0,0.571428571428571,0,0
2021-07-01,0,URY,0,0,0.68421052631579,0,0
2021-07-12,0,URY,0,0,0.777777777777778,0,0
2021-09-03,0,URY,0,0,0.647058823529412,0,0
2021-09-07,0,URY,0,0,0.578947368421053,0,0
2021-09-08,0,URY,0,0,0.523809523809524,0,0
2021-09-09,0,URY,0,0,0.476190476190476,0,0
2021-09-10,0,URY,0,0,0.346153846153846,0,0
2021-09-13,0,URY,0,0,0.32,0,0
2021-09-20,0,URY,0,0,0.259259259259259,0,0
2021-09-22,0,URY,0,0,0.222222222222222,0,0
2021-09-24,0,URY,0,0,0.178571428571429,0,0
2021-09-27,0,URY,0,0,0.166666666666667,0,0
2021-09-28,0,URY,0,0,0.103448275862069,0,0
2021-10-04,0,URY,0,0,0.0689655172413793,0,0
2021-10-05,0,URY,0,0,0.0344827586206897,0,0
2021-10-14,0,URY,0,0,0,1,0
2021-10-15,0,URY,0,0,0,1,0
2021-10-19,0,URY,0,0,0,1,0
2021-10-20,0,URY,0,0,0,1,0
2021-10-21,0,URY,0,0,0,1,0
2021-10-25,0,URY,0,0,0,1,0
2021-11-03,0,URY,0,0,0,1,0
2021-11-04,0,URY,0,0,0,1,0
2021-11-08,0,URY,0,0,0,1,0
2021-11-09,0,URY,0,0,0,1,0
2021-11-15,0,URY,0,0,0,1,0
2021-11-24,0,URY,0,0,0,1,0
2021-12-03,0,URY,0,0,0,1,0
2021-12-06,0,URY,0,0,0,1,0
2021-12-11,0,URY,0,0,0,1,0
2021-12-26,0,URY,0,0,0,1,0
2021-12-27,0,URY,0,0,0,0.866666666666667,0
2021-12-28,0,URY,0,0,0,0.827586206896552,0
2022-01-03,0,URY,0,0,0,0.785714285714286,0
2022-01-04,0,URY,0,0,0,0.714285714285714,0
2022-01-06,0,URY,0,0,0,0.633333333333333,0
2022-01-10,0,URY,0,0,0,0.571428571428571,0
2022-01-15,0,URY,0,0,0,0.48,0
2022-01-17,0,URY,0,0,0,0.458333333333333,0
2022-01-20,0,URY,0,0,0,0.416666666666667,0
2022-01-23,0,URY,0,0,0,0.347826086956522,0
2022-01-24,0,URY,0,0,0,0.304347826086957,0
2022-01-25,0,URY,0,0,0,0.272727272727273,0
2022-01-28,0,URY,0,0,0,0.227272727272727,0
2022-01-31,0,URY,0,0,0,0.181818181818182,0.818181818181818
2022-02-01,0,URY,0,0,0,0.166666666666667,0.833333333333333
2022-02-06,0,URY,0,0,0,0.166666666666667,0.833333333333333
2022-02-07,0,URY,0,0,0,0.15,0.85
2022-02-09,0,URY,0,0,0,0.15,0.85
2022-02-10,0,URY,0,0,0,0.117647058823529,0.882352941176471
2022-02-11,0,URY,0,0,0,0.117647058823529,0.882352941176471
2022-02-16,0,URY,0,0,0,0.1,0.9
2022-02-17,0,URY,0,0,0,0.05,0.95
2022-02-19,0,URY,0,0,0,0.05,0.95
2022-02-21,0,URY,0,0,0,0.0476190476190476,0.952380952380952
2022-02-23,0,URY,0,0,0,0.0476190476190476,0.952380952380952
2022-02-25,0,URY,0,0,0,0,1
2022-03-02,0,URY,0,0,0,0,1
2022-03-11,0,URY,0,0,0,0,0.909090909090909
2022-03-14,0,URY,0,0,0,0,0.909090909090909
2022-03-18,0,URY,0,0,0,0.0454545454545455,0.863636363636364
2022-03-22,0,URY,0,0,0,0.142857142857143,0.761904761904762
2022-03-30,0,URY,0,0,0,0.142857142857143,0.761904761904762
2022-03-31,0,URY,0,0,0,0.142857142857143,0.761904761904762
2022-04-04,0,URY,0,0,0,0.142857142857143,0.761904761904762
2022-04-28,0,URY,0,0,0,0.166666666666667,0.722222222222222
2022-05-01,0,URY,0,0,0,0.130434782608696,0.739130434782609
2022-05-10,0,URY,0,0,0,0.125,0.75
2022-05-11,0,URY,0,0,0,0.12,0.76
2022-05-21,0,URY,0,0,0,0.16,0.72
2022-05-23,0,URY,0,0,0,0.16,0.72
2022-05-24,0,URY,0,0,0,0.16,0.72
2022-05-25,0,URY,0,0,0,0.16,0.8
2022-06-02,0,URY,0,0,0,0.153846153846154,0.807692307692308
2022-06-06,0,URY,0,0,0,0.115384615384615,0.846153846153846
2022-06-09,0,URY,0,0,0,0.04,0.92
2022-06-16,0,URY,0,0,0,0.0416666666666667,0.916666666666667
2022-06-17,0,URY,0,0,0,0.0416666666666667,0.916666666666667
2022-06-20,0,URY,0,0,0,0.0416666666666667,0.916666666666667
2022-06-22,0,URY,0,0,0,0.0416666666666667,0.916666666666667
2022-06-23,0,URY,0,0,0,0.0526315789473684,0.947368421052632
2022-06-24,0,URY,0,0,0,0.0555555555555555,0.944444444444444
2022-06-27,0,URY,0,0,0,0.0588235294117647,0.941176470588235
2022-06-28,0,URY,0,0,0,0,1
2022-06-29,0,URY,0,0,0,0,1
2022-06-30,0,URY,0,0,0,0,1
2022-07-04,0,URY,0,0,0,0,1
2022-07-07,0,URY,0,0,0,0,0.95
2022-07-08,0,URY,0,0,0,0,0.952380952380952
2022-07-11,0,URY,0,0,0,0,0.956521739130435
2022-07-13,0,URY,0,0,0,0,0.958333333333333
2022-07-25,0,URY,0,0,0,0,0.958333333333333
2022-07-26,0,URY,0,0,0,0,0.925925925925926
2022-08-01,0,URY,0,0,0,0,0.928571428571429
2022-08-05,0,URY,0,0,0,0,0.928571428571429
2022-08-09,0,URY,0,0,0,0,0.931034482758621
2022-08-16,0,URY,0,0,0,0,0.928571428571429
