Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2020-12-15,0,VNM,0,0,0,0,0
2020-12-24,0,VNM,0,0,0,0,0
2021-01-15,0,VNM,0,0,0,0,0
2021-01-30,0,VNM,0,0,0,0,0
2021-02-07,0,VNM,0,0,0,0,0
2021-02-09,0,VNM,0,0,0,0,0
2021-02-10,0,VNM,0,0,0,0,0
2021-03-26,0,VNM,0,0,0,0,0
2021-04-20,0,VNM,0,0,0,0,0
2021-04-21,0,VNM,0,0,0,0,0
2021-04-22,0,VNM,0,0,0,0,0
2021-04-24,0,VNM,0,0,0,0,0
2021-04-27,0,VNM,0,0,0,0,0
2021-04-30,0,VNM,0.533333333333333,0,0,0,0
2021-05-01,0,VNM,0.5,0,0,0,0
2021-05-02,0,VNM,0.5,0,0,0,0
2021-05-03,0,VNM,0.32,0,0,0,0
2021-05-04,0,VNM,0.205882352941177,0,0,0,0
2021-05-05,0,VNM,0.111111111111111,0,0,0,0
2021-05-06,0,VNM,0.115942028985507,0,0,0,0
2021-05-07,0,VNM,0.117647058823529,0,0,0,0
2021-05-08,0,VNM,0.115942028985507,0,0,0.884057971014493,0
2021-05-09,0,VNM,0.111111111111111,0,0,0.888888888888889,0
2021-05-15,0,VNM,0.117117117117117,0,0,0.882882882882883,0
2021-05-19,0,VNM,0.117117117117117,0,0,0.882882882882883,0
2021-05-20,0,VNM,0.11304347826087,0,0,0.886956521739131,0
2021-05-21,0,VNM,0.108333333333333,0,0,0.891666666666667,0
2021-05-22,0,VNM,0.0854700854700855,0,0,0.914529914529914,0
2021-05-23,0,VNM,0.0769230769230769,0,0,0.923076923076923,0
2021-05-24,0,VNM,0.075,0,0,0.925,0
2021-05-25,0,VNM,0.0672268907563025,0,0,0.932773109243698,0
2021-05-26,0,VNM,0.0720720720720721,0,0,0.927927927927928,0
2021-05-28,0,VNM,0.0952380952380952,0,0,0.904761904761905,0
2021-06-01,0,VNM,0.0886075949367089,0,0,0.911392405063291,0
2021-06-02,0,VNM,0.0864197530864198,0,0,0.91358024691358,0
2021-06-05,0,VNM,0.0886075949367089,0,0,0.911392405063291,0
2021-06-08,0,VNM,0.0921052631578947,0,0,0.907894736842105,0
2021-06-11,0,VNM,0.0256410256410256,0,0,0.974358974358974,0
2021-06-12,0,VNM,0.0256410256410256,0,0,0.974358974358974,0
2021-06-14,0,VNM,0.0285714285714286,0,0,0.971428571428571,0
2021-06-15,0,VNM,0.00980392156862745,0,0,0.990196078431373,0
2021-06-17,0,VNM,0,0,0,1,0
2021-06-18,0,VNM,0,0,0,1,0
2021-07-13,0,VNM,0,0,0,1,0
2021-07-14,0,VNM,0,0,0,1,0
2021-07-15,0,VNM,0,0,0,1,0
2021-07-17,0,VNM,0,0,0,1,0
2021-07-18,0,VNM,0,0,0,1,0
2021-07-20,0,VNM,0,0,0,1,0
2021-07-22,0,VNM,0,0,0,1,0
2021-07-25,0,VNM,0,0,0,1,0
2021-07-26,0,VNM,0,0,0,1,0
2021-07-27,0,VNM,0,0,0,1,0
2021-07-28,0,VNM,0,0,0,1,0
2021-07-29,0,VNM,0,0,0,1,0
2021-07-30,0,VNM,0,0,0,1,0
2021-07-31,0,VNM,0,0,0,1,0
2021-08-01,0,VNM,0,0,0,1,0
2021-08-02,0,VNM,0,0,0,1,0
2021-08-03,0,VNM,0,0,0,1,0
2021-08-04,0,VNM,0,0,0,1,0
2021-08-05,0,VNM,0,0,0,1,0
2021-08-06,0,VNM,0,0,0,1,0
2021-08-07,0,VNM,0,0,0,1,0
2021-08-08,0,VNM,0,0,0,1,0
2021-08-09,0,VNM,0,0,0,1,0
2021-08-10,0,VNM,0,0,0,1,0
2021-08-11,0,VNM,0,0,0,1,0
2021-08-12,0,VNM,0,0,0,1,0
2021-08-13,0,VNM,0,0,0,1,0
2021-08-15,0,VNM,0,0,0,1,0
2021-08-16,0,VNM,0,0,0,1,0
2021-08-17,0,VNM,0,0,0,1,0
2021-08-18,0,VNM,0,0,0,1,0
2021-08-19,0,VNM,0,0,0,1,0
2021-08-20,0,VNM,0,0,0,1,0
2021-08-21,0,VNM,0,0,0,1,0
2021-08-22,0,VNM,0,0,0,1,0
2021-08-29,0,VNM,0,0,0,1,0
2021-08-30,0,VNM,0,0,0,1,0
2021-08-31,0,VNM,0,0,0,1,0
2021-09-01,0,VNM,0,0,0,1,0
2021-09-02,0,VNM,0,0,0,1,0
2021-09-03,0,VNM,0,0,0,1,0
2021-09-04,0,VNM,0,0,0,1,0
2021-09-05,0,VNM,0,0,0,1,0
2021-09-06,0,VNM,0,0,0,1,0
2021-09-07,0,VNM,0,0,0,1,0
2021-09-08,0,VNM,0,0,0,1,0
2021-09-09,0,VNM,0,0,0,1,0
2021-09-10,0,VNM,0,0,0,1,0
2021-09-11,0,VNM,0,0,0,1,0
2021-09-12,0,VNM,0,0,0,1,0
2021-09-13,0,VNM,0,0,0,1,0
2021-09-15,0,VNM,0,0,0,1,0
2021-09-16,0,VNM,0,0,0,1,0
2021-09-17,0,VNM,0,0,0,1,0
2021-09-18,0,VNM,0,0,0,1,0
2021-09-19,0,VNM,0,0,0,1,0
2021-09-20,0,VNM,0,0,0,1,0
2021-09-21,0,VNM,0,0,0,1,0
2021-09-22,0,VNM,0,0,0,1,0
2021-09-23,0,VNM,0,0,0,1,0
2021-09-24,0,VNM,0,0,0,1,0
2021-09-25,0,VNM,0,0,0,1,0
2021-09-26,0,VNM,0,0,0,1,0
2021-09-27,0,VNM,0,0,0,1,0
2021-09-28,0,VNM,0,0,0,1,0
2021-09-29,0,VNM,0,0,0,1,0
2021-09-30,0,VNM,0,0,0,1,0
2021-10-01,0,VNM,0,0,0,1,0
2021-10-02,0,VNM,0,0,0,1,0
2021-10-03,0,VNM,0,0,0,1,0
2021-10-04,0,VNM,0,0,0,1,0
2021-10-05,0,VNM,0,0,0,1,0
2021-10-06,0,VNM,0,0,0,1,0
2021-10-07,0,VNM,0,0,0,1,0
2021-10-08,0,VNM,0,0,0,1,0
2021-10-09,0,VNM,0,0,0,1,0
2021-10-10,0,VNM,0,0,0,1,0
2021-10-11,0,VNM,0,0,0,1,0
2021-10-12,0,VNM,0,0,0,1,0
2021-10-13,0,VNM,0,0,0,1,0
2021-10-14,0,VNM,0,0,0,1,0
2021-10-15,0,VNM,0,0,0,1,0
2021-10-16,0,VNM,0,0,0,1,0
2021-10-17,0,VNM,0,0,0,1,0
2021-10-18,0,VNM,0,0,0,1,0
2021-10-19,0,VNM,0,0,0,1,0
2021-10-20,0,VNM,0,0,0,1,0
2021-10-21,0,VNM,0,0,0,1,0
2021-10-22,0,VNM,0,0,0,1,0
2021-10-23,0,VNM,0,0,0,1,0
2021-10-25,0,VNM,0,0,0,1,0
2021-10-26,0,VNM,0,0,0,1,0
2021-10-28,0,VNM,0,0,0,1,0
2021-10-31,0,VNM,0,0,0,1,0
2021-11-01,0,VNM,0,0,0,1,0
2021-11-02,0,VNM,0,0,0,1,0
2021-11-03,0,VNM,0,0,0,1,0
2021-11-04,0,VNM,0,0,0,1,0
2021-11-05,0,VNM,0,0,0,1,0
2021-11-06,0,VNM,0,0,0,1,0
2021-11-07,0,VNM,0,0,0,1,0
2021-11-08,0,VNM,0,0,0,1,0
2021-11-09,0,VNM,0,0,0,1,0
2021-11-10,0,VNM,0,0,0,1,0
2021-11-11,0,VNM,0,0,0,1,0
2021-11-12,0,VNM,0,0,0,1,0
2021-11-14,0,VNM,0,0,0,1,0
2021-11-15,0,VNM,0,0,0,0.991071428571429,0
2021-11-16,0,VNM,0,0,0,0.991150442477876,0
2021-11-17,0,VNM,0,0,0,0.992307692307692,0
2021-11-18,0,VNM,0,0,0,0.992,0
2021-11-19,0,VNM,0,0,0,0.992,0
2021-11-20,0,VNM,0,0,0,0.992,0
2021-11-22,0,VNM,0,0,0,0.991869918699187,0
2021-11-23,0,VNM,0,0,0,0.991150442477876,0
2021-11-25,0,VNM,0,0,0,0.990476190476191,0
2021-11-27,0,VNM,0,0,0,0.99,0
2021-11-28,0,VNM,0,0,0,0.992481203007519,0
2021-11-29,0,VNM,0,0,0,0.992647058823529,0
2021-11-30,0,VNM,0,0,0,0.992424242424242,0
2021-12-02,0,VNM,0,0,0,0.992125984251969,0
2021-12-03,0,VNM,0,0,0,1,0
2021-12-04,0,VNM,0,0,0,1,0
2021-12-05,0,VNM,0,0,0,1,0
2021-12-06,0,VNM,0,0,0,1,0
2021-12-07,0,VNM,0,0,0,1,0
2021-12-08,0,VNM,0,0,0,1,0
2021-12-09,0,VNM,0,0,0,1,0
2021-12-10,0,VNM,0,0,0,1,0
2021-12-11,0,VNM,0,0,0,1,0
2021-12-12,0,VNM,0,0,0,1,0
2021-12-13,0,VNM,0,0,0,1,0
2021-12-14,0,VNM,0,0,0,1,0
2021-12-15,0,VNM,0,0,0,0.967741935483871,0
2021-12-16,0,VNM,0,0,0,0.972027972027972,0
