Lineage,date,total_count,lineage_count,total_count_rolling,lineage_count_rolling,proportion,proportion_ci_lower,proportion_ci_upper
BA.1,2020-10-23,2505,1,2755.42857142857,0.142857142857143,5.18457071754459e-05,1.78217770730846e-07,0.000911277870621026
BA.1,2020-10-24,1839,0,2783.85714285714,0.142857142857143,5.13162621234669e-05,1.76361502489778e-07,0.000901790526366417
BA.1,2020-10-25,1040,0,2772,0.142857142857143,5.15357658214801e-05,1.77124903274319e-07,0.000905692261107889
BA.1,2020-10-26,5266,0,3033.85714285714,0.142857142857143,4.70876300795781e-05,1.61830606306215e-07,0.000827520337961921
BA.1,2020-10-27,2634,0,2967.42857142857,0.142857142857143,4.81417292509147e-05,1.65484713526783e-07,0.000846197698083597
BA.1,2020-10-28,1943,0,2695,0.142857142857143,5.30082162735224e-05,1.82185144882847e-07,0.000931554726574174
BA.1,2020-10-29,2886,0,2587.57142857143,0.142857142857143,5.5208965936068e-05,1.89716800818278e-07,0.000970047141370019
BA.1,2020-10-30,2877,0,2640.71428571429,0,0,1.85909895216334e-07,0.000950591181772694
BA.1,2020-10-31,1553,0,2599.85714285714,0,0,1.88841269090504e-07,0.000965572593273648
BA.1,2020-11-01,3034,0,2884.71428571429,0,0,1.70187857191634e-07,0.000870236519380447
BA.1,2020-11-02,6211,0,3019.71428571429,0,0,1.62580752253055e-07,0.000831354612423092
BA.1,2020-11-03,3401,0,3129.28571428571,0,0,1.56917637930707e-07,0.000802407968623596
BA.1,2020-11-04,4582,0,3506.28571428571,0,0,1.40045496740775e-07,0.00071616213616426
BA.1,2020-11-05,4258,0,3702.28571428571,0,0,1.32631379540659e-07,0.00067826081591662
BA.1,2020-11-06,3395,0,3776.28571428571,0,0,1.30032313957945e-07,0.000664973928636571
BA.1,2020-11-07,2376,0,3893.85714285714,0,0,1.26092194034619e-07,0.000644830995278935
BA.1,2020-11-08,3175,0,3914,0,0,1.25447921514437e-07,0.000641537265433907
BA.1,2020-11-09,5375,0,3794.57142857143,0,0,1.2938133871462e-07,0.00066164599930637
BA.1,2020-11-10,3290,0,3778.71428571429,0,0,1.29929093236694e-07,0.000664446242227814
BA.1,2020-11-11,3741,0,3658.57142857143,0,0,1.34189936324915e-07,0.000686228351735537
BA.1,2020-11-12,4172,0,3646.28571428571,0,0,1.3466836458567e-07,0.000688674123675815
BA.1,2020-11-13,4119,0,3749.71428571429,0,0,1.30933811174676e-07,0.000669582563348433
BA.1,2020-11-14,3572,0,3920.57142857143,0,0,1.25223978793008e-07,0.000640392395156831
BA.1,2020-11-15,4652,0,4131.57142857143,0,0,1.18829821166333e-07,0.000607702764028191
