Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2021-01-18,CT,Chhattisgarh,0,0,0,0,0
2021-01-19,CT,Chhattisgarh,0,0,0,0,0
2021-01-25,CT,Chhattisgarh,0,0,0,0,0
2021-01-26,CT,Chhattisgarh,0,0,0,0,0
2021-01-29,CT,Chhattisgarh,0,0,0,0,0
2021-01-30,CT,Chhattisgarh,0,0,0,0,0
2021-01-31,CT,Chhattisgarh,0,0,0,0,0
2021-02-01,CT,Chhattisgarh,0,0,0,0,0
2021-02-02,CT,Chhattisgarh,0,0,0,0,0
2021-02-03,CT,Chhattisgarh,0,0,0,0,0
2021-02-04,CT,Chhattisgarh,0,0,0,0,0
2021-02-05,CT,Chhattisgarh,0,0,0,0,0
2021-02-06,CT,Chhattisgarh,0,0,0,0,0
2021-02-07,CT,Chhattisgarh,0.0140845070422535,0,0,0,0
2021-02-08,CT,Chhattisgarh,0,0,0,0,0
2021-02-09,CT,Chhattisgarh,0,0,0,0,0
2021-02-10,CT,Chhattisgarh,0,0,0,0,0
2021-02-11,CT,Chhattisgarh,0,0,0,0,0
2021-02-12,CT,Chhattisgarh,0,0,0,0,0
2021-02-13,CT,Chhattisgarh,0,0,0,0,0
2021-02-15,CT,Chhattisgarh,0,0,0,0,0
2021-02-17,CT,Chhattisgarh,0,0,0,0,0
2021-02-18,CT,Chhattisgarh,0,0,0,0,0
2021-02-19,CT,Chhattisgarh,0.0204081632653061,0,0,0,0
2021-02-20,CT,Chhattisgarh,0.0196078431372549,0,0,0,0
2021-02-22,CT,Chhattisgarh,0.0185185185185185,0,0,0,0
2021-02-23,CT,Chhattisgarh,0.0338983050847458,0,0,0,0
2021-02-24,CT,Chhattisgarh,0.0333333333333333,0,0,0,0
2021-02-25,CT,Chhattisgarh,0.03125,0,0,0,0
2021-02-27,CT,Chhattisgarh,0.0461538461538462,0,0,0,0
2021-02-28,CT,Chhattisgarh,0.1,0,0,0,0
2021-03-01,CT,Chhattisgarh,0.102564102564103,0,0,0,0
2021-03-02,CT,Chhattisgarh,0.102564102564103,0,0,0,0
2021-03-03,CT,Chhattisgarh,0.0975609756097561,0,0,0,0
2021-03-04,CT,Chhattisgarh,0.1,0,0,0,0
2021-03-05,CT,Chhattisgarh,0.1125,0,0,0,0
