Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2021-02-19,JH,Jharkhand,0,0,0,0,0
2021-02-24,JH,Jharkhand,0,0,0,0,0
2021-03-02,JH,Jharkhand,0,0,0,0,0
2021-03-08,JH,Jharkhand,0,0,0,0,0
2021-03-10,JH,Jharkhand,0,0,0,0,0
2021-03-11,JH,Jharkhand,0,0,0,0,0
2021-03-12,JH,Jharkhand,0,0,0,0,0
2021-03-13,JH,Jharkhand,0,0,0,0,0
2021-03-14,JH,Jharkhand,0,0,0,0,0
2021-03-15,JH,Jharkhand,0,0,0,0,0
2021-03-19,JH,Jharkhand,0,0,0,0,0
2021-03-20,JH,Jharkhand,0,0,0,0,0
2021-03-22,JH,Jharkhand,0,0,0,0,0
2021-03-23,JH,Jharkhand,0,0,0,0.178571428571429,0
2021-03-24,JH,Jharkhand,0,0,0,0.115384615384615,0
2021-04-01,JH,Jharkhand,0.129032258064516,0,0,0.129032258064516,0
2021-04-02,JH,Jharkhand,0.0882352941176471,0,0,0.176470588235294,0
2021-04-03,JH,Jharkhand,0.0869565217391304,0,0,0.217391304347826,0
2021-04-04,JH,Jharkhand,0.0869565217391304,0,0,0.260869565217391,0
2021-04-05,JH,Jharkhand,0.0769230769230769,0,0,0.307692307692308,0
2021-04-06,JH,Jharkhand,0.0526315789473684,0,0,0.315789473684211,0
2021-04-07,JH,Jharkhand,0.0597014925373134,0,0,0.388059701492537,0
2021-04-08,JH,Jharkhand,0.0505050505050505,0,0,0.484848484848485,0
2021-04-09,JH,Jharkhand,0.0378378378378378,0,0,0.545945945945946,0
2021-04-10,JH,Jharkhand,0.0339805825242718,0,0,0.577669902912621,0
2021-04-11,JH,Jharkhand,0.0375586854460094,0,0,0.586854460093897,0
2021-04-12,JH,Jharkhand,0.0401606425702811,0.00401606425702811,0,0.610441767068273,0
2021-04-13,JH,Jharkhand,0.0416666666666667,0,0,0.621212121212121,0
2021-04-14,JH,Jharkhand,0.041044776119403,0,0,0.630597014925373,0
2021-04-15,JH,Jharkhand,0.0313588850174216,0,0,0.651567944250871,0
2021-04-16,JH,Jharkhand,0.0301003344481605,0,0,0.672240802675585,0
2021-04-18,JH,Jharkhand,0.027681660899654,0,0,0.688581314878893,0
2021-04-19,JH,Jharkhand,0.0275862068965517,0,0,0.686206896551724,0
2021-04-20,JH,Jharkhand,0.0280701754385965,0,0,0.691228070175439,0
2021-04-21,JH,Jharkhand,0.0282685512367491,0,0,0.706713780918728,0
2021-04-22,JH,Jharkhand,0.0257352941176471,0,0,0.716911764705882,0
2021-04-23,JH,Jharkhand,0.0246913580246914,0,0,0.728395061728395,0
