Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2020-12-23,OR,Odisha,0,0,0,0,0
2020-12-24,OR,Odisha,0,0,0,0,0
2020-12-25,OR,Odisha,0,0,0,0,0
2020-12-26,OR,Odisha,0,0,0,0,0
2020-12-29,OR,Odisha,0,0,0,0,0
2020-12-31,OR,Odisha,0,0,0,0,0
2021-01-02,OR,Odisha,0,0,0,0,0
2021-01-05,OR,Odisha,0,0,0,0,0
2021-01-06,OR,Odisha,0,0,0,0,0
2021-01-07,OR,Odisha,0,0,0,0,0
2021-01-10,OR,Odisha,0,0,0,0,0
2021-01-19,OR,Odisha,0,0,0,0,0
2021-01-21,OR,Odisha,0,0,0,0,0
2021-01-22,OR,Odisha,0.142857142857143,0,0,0,0
2021-01-23,OR,Odisha,0.0666666666666667,0,0,0,0
2021-01-25,OR,Odisha,0.0689655172413793,0,0,0,0
2021-01-26,OR,Odisha,0.0625,0,0,0,0
2021-01-28,OR,Odisha,0,0,0,0,0
2021-02-10,OR,Odisha,0,0,0,0,0
2021-02-22,OR,Odisha,0,0,0,0,0
2021-02-24,OR,Odisha,0,0,0,0.0344827586206897,0
2021-02-26,OR,Odisha,0,0,0,0,0
2021-02-28,OR,Odisha,0,0,0,0,0
2021-03-01,OR,Odisha,0,0,0,0,0
2021-03-02,OR,Odisha,0,0,0,0,0
2021-03-03,OR,Odisha,0,0,0,0,0
2021-03-04,OR,Odisha,0,0,0,0,0
2021-03-06,OR,Odisha,0,0,0,0.0434782608695652,0
2021-03-08,OR,Odisha,0,0,0,0.0476190476190476,0
2021-03-10,OR,Odisha,0,0,0,0.0454545454545455,0
2021-03-14,OR,Odisha,0,0,0,0.0555555555555555,0
2021-03-15,OR,Odisha,0,0,0,0.0526315789473684,0
2021-03-17,OR,Odisha,0,0,0,0.0526315789473684,0
2021-03-18,OR,Odisha,0,0,0,0.1,0
2021-03-19,OR,Odisha,0,0,0,0.0769230769230769,0
2021-03-20,OR,Odisha,0,0,0,0.121951219512195,0
2021-03-21,OR,Odisha,0.024390243902439,0,0,0.121951219512195,0
2021-03-22,OR,Odisha,0.0212765957446809,0,0,0.127659574468085,0
2021-03-23,OR,Odisha,0.0196078431372549,0,0,0.117647058823529,0
2021-03-24,OR,Odisha,0.0175438596491228,0,0,0.140350877192982,0
2021-03-25,OR,Odisha,0.0105263157894737,0,0,0.178947368421053,0
2021-03-26,OR,Odisha,0.01,0,0,0.17,0
2021-03-27,OR,Odisha,0.0099009900990099,0,0,0.168316831683168,0
2021-03-28,OR,Odisha,0.00943396226415094,0,0,0.188679245283019,0
2021-03-29,OR,Odisha,0.00925925925925926,0,0,0.194444444444444,0
2021-03-30,OR,Odisha,0.00909090909090909,0,0,0.2,0
2021-03-31,OR,Odisha,0.0260869565217391,0,0,0.217391304347826,0
2021-04-01,OR,Odisha,0.0280373831775701,0,0,0.224299065420561,0
2021-04-02,OR,Odisha,0.0265486725663717,0,0,0.247787610619469,0
2021-04-03,OR,Odisha,0.0256410256410256,0,0,0.239316239316239,0
2021-04-04,OR,Odisha,0.016260162601626,0,0,0.260162601626016,0
2021-04-05,OR,Odisha,0.0153846153846154,0,0,0.284615384615385,0
2021-04-06,OR,Odisha,0.0150375939849624,0,0,0.315789473684211,0
2021-04-07,OR,Odisha,0.0144927536231884,0,0,0.311594202898551,0
2021-04-08,OR,Odisha,0.018018018018018,0,0,0.378378378378378,0
