Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2020-04-14,CT,Connecticut,0,0,0,0,0
2020-04-15,CT,Connecticut,0,0,0,0,0
2020-04-16,CT,Connecticut,0,0,0,0,0
2020-04-17,CT,Connecticut,0,0,0,0,0
2020-04-21,CT,Connecticut,0,0,0,0,0
2020-04-23,CT,Connecticut,0,0,0,0,0
2020-04-27,CT,Connecticut,0,0,0,0,0
2020-04-28,CT,Connecticut,0,0,0,0,0
2020-04-29,CT,Connecticut,0,0,0,0,0
2020-04-30,CT,Connecticut,0,0,0,0,0
2020-05-01,CT,Connecticut,0,0,0,0,0
2020-05-02,CT,Connecticut,0,0,0,0,0
2020-05-03,CT,Connecticut,0,0,0,0,0
2020-05-04,CT,Connecticut,0.0333333333333333,0,0,0,0
2020-05-05,CT,Connecticut,0,0,0,0,0
2020-05-06,CT,Connecticut,0,0,0,0,0
2020-05-07,CT,Connecticut,0,0,0,0,0
2020-05-08,CT,Connecticut,0,0,0,0,0
2020-05-09,CT,Connecticut,0,0,0,0,0
2020-05-10,CT,Connecticut,0,0,0,0,0
2020-05-11,CT,Connecticut,0,0,0,0,0
2020-05-12,CT,Connecticut,0,0,0,0,0
2020-05-13,CT,Connecticut,0,0,0,0,0
2020-05-14,CT,Connecticut,0,0,0,0,0
2020-05-22,CT,Connecticut,0,0,0,0,0
2020-05-26,CT,Connecticut,0,0,0,0,0
2020-05-27,CT,Connecticut,0,0,0,0,0
2020-05-28,CT,Connecticut,0,0,0,0,0
2020-06-03,CT,Connecticut,0,0,0,0,0
2020-06-08,CT,Connecticut,0,0,0,0,0
2020-06-13,CT,Connecticut,0,0,0,0,0
2020-06-16,CT,Connecticut,0,0,0,0,0
2020-06-25,CT,Connecticut,0,0,0,0,0
2020-06-29,CT,Connecticut,0,0,0,0,0
2020-07-07,CT,Connecticut,0,0,0,0,0
2020-07-10,CT,Connecticut,0,0,0,0,0
2020-07-15,CT,Connecticut,0,0,0,0,0
2020-07-16,CT,Connecticut,0,0,0,0,0
2020-07-21,CT,Connecticut,0,0,0,0,0
2020-07-23,CT,Connecticut,0,0,0,0,0
2020-07-27,CT,Connecticut,0,0,0,0,0
2020-08-04,CT,Connecticut,0,0,0,0,0
2020-08-14,CT,Connecticut,0,0,0,0,0
2020-08-17,CT,Connecticut,0,0,0,0,0
2020-08-26,CT,Connecticut,0,0,0,0,0
2020-09-03,CT,Connecticut,0,0,0,0,0
2020-09-12,CT,Connecticut,0,0,0,0,0
2020-09-15,CT,Connecticut,0,0,0,0,0
2020-09-18,CT,Connecticut,0,0,0,0,0
2020-09-19,CT,Connecticut,0,0,0,0,0
2020-09-29,CT,Connecticut,0,0,0,0,0
2020-10-12,CT,Connecticut,0,0,0,0,0
2020-10-13,CT,Connecticut,0,0,0,0,0
2020-10-14,CT,Connecticut,0,0,0,0,0
2020-10-16,CT,Connecticut,0,0,0,0,0
