Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2020-12-10,GA,Georgia,0,0,0,0,0
2020-12-11,GA,Georgia,0,0,0,0,0
2020-12-13,GA,Georgia,0,0,0,0,0
2020-12-14,GA,Georgia,0,0,0,0,0
2020-12-15,GA,Georgia,0,0,0,0,0
2020-12-16,GA,Georgia,0,0,0,0,0
2020-12-17,GA,Georgia,0,0,0,0,0
2020-12-18,GA,Georgia,0,0,0,0,0
2020-12-19,GA,Georgia,0,0,0,0,0
2020-12-20,GA,Georgia,0,0,0,0,0
2020-12-21,GA,Georgia,0,0,0,0,0
2020-12-22,GA,Georgia,0,0,0,0,0
2020-12-23,GA,Georgia,0,0,0,0,0
2020-12-24,GA,Georgia,0.00826446280991736,0,0,0,0
2020-12-25,GA,Georgia,0,0,0,0,0
2020-12-26,GA,Georgia,0,0,0,0,0
2020-12-27,GA,Georgia,0,0,0,0,0
2020-12-28,GA,Georgia,0,0,0,0,0
2020-12-29,GA,Georgia,0.00303030303030303,0,0,0,0
2020-12-30,GA,Georgia,0.00578034682080925,0,0,0,0
2020-12-31,GA,Georgia,0.00574712643678161,0,0,0,0
2021-01-01,GA,Georgia,0.00576368876080692,0,0,0,0
2021-01-02,GA,Georgia,0.00560224089635854,0,0,0,0
2021-01-03,GA,Georgia,0.00828729281767956,0,0,0,0
2021-01-04,GA,Georgia,0.0124688279301746,0,0,0,0
2021-01-05,GA,Georgia,0.0146699266503667,0,0,0,0
2021-01-06,GA,Georgia,0.0164705882352941,0,0,0,0
2021-01-07,GA,Georgia,0.015625,0,0,0,0
2021-01-08,GA,Georgia,0.0238611713665944,0,0,0,0
2021-01-09,GA,Georgia,0.0436241610738255,0,0,0,0
2021-01-10,GA,Georgia,0.0537190082644628,0,0,0,0
2021-01-11,GA,Georgia,0.0576923076923077,0,0,0,0
2021-01-12,GA,Georgia,0.0565371024734982,0,0,0,0
2021-01-13,GA,Georgia,0.0517241379310345,0,0,0,0
2021-01-14,GA,Georgia,0.0572390572390572,0,0,0,0
2021-01-15,GA,Georgia,0.0636942675159236,0,0,0,0
2021-01-16,GA,Georgia,0.0658307210031348,0,0,0,0
2021-01-17,GA,Georgia,0.0609756097560976,0,0,0,0
2021-01-18,GA,Georgia,0.0644171779141104,0,0,0,0
2021-01-19,GA,Georgia,0.0621301775147929,0,0,0,0
2021-01-20,GA,Georgia,0.0668693009118541,0,0,0,0
2021-01-21,GA,Georgia,0.0741935483870968,0,0,0,0
2021-01-22,GA,Georgia,0.0711974110032362,0,0,0,0
2021-01-23,GA,Georgia,0.0651465798045603,0,0,0,0
2021-01-24,GA,Georgia,0.0615384615384615,0,0,0,0
2021-01-25,GA,Georgia,0.0461165048543689,0,0,0,0
2021-01-26,GA,Georgia,0.0421545667447307,0,0,0,0
2021-01-27,GA,Georgia,0.0479616306954437,0,0,0,0
2021-01-28,GA,Georgia,0.0484581497797357,0,0,0,0
2021-01-29,GA,Georgia,0.0484581497797357,0,0,0,0
2021-01-30,GA,Georgia,0.0535714285714286,0,0,0,0
2021-01-31,GA,Georgia,0.0539956803455724,0,0,0,0
2021-02-01,GA,Georgia,0.0673684210526316,0,0,0,0
2021-02-02,GA,Georgia,0.0708333333333333,0,0,0,0
2021-02-03,GA,Georgia,0.0805084745762712,0,0,0,0
2021-02-04,GA,Georgia,0.080338266384778,0,0,0,0
2021-02-05,GA,Georgia,0.0770833333333333,0,0,0,0
2021-02-06,GA,Georgia,0.0778443113772455,0,0,0,0
2021-02-07,GA,Georgia,0.0843137254901961,0,0,0,0
2021-02-08,GA,Georgia,0.10762331838565,0,0,0,0
2021-02-09,GA,Georgia,0.105660377358491,0,0,0,0
2021-02-10,GA,Georgia,0.100164203612479,0,0,0,0
2021-02-11,GA,Georgia,0.0965189873417721,0,0,0,0
2021-02-12,GA,Georgia,0.0902255639097744,0,0,0,0
2021-02-13,GA,Georgia,0.085014409221902,0,0,0,0
2021-02-14,GA,Georgia,0.0873925501432665,0.00429799426934097,0,0,0
2021-02-15,GA,Georgia,0.0806223479490806,0.00424328147100424,0,0,0
2021-02-16,GA,Georgia,0.0846047156726768,0.00554785020804438,0,0,0
2021-02-17,GA,Georgia,0.0811170212765957,0.00664893617021277,0,0,0
2021-02-18,GA,Georgia,0.0837628865979382,0.0077319587628866,0,0,0
2021-02-19,GA,Georgia,0.0846153846153846,0.00769230769230769,0,0,0
2021-02-20,GA,Georgia,0.0824873096446701,0.00761421319796954,0,0,0
2021-02-21,GA,Georgia,0.085133418043202,0.00762388818297332,0,0,0
2021-02-22,GA,Georgia,0.0907990314769976,0.00847457627118644,0,0,0
2021-02-23,GA,Georgia,0.103448275862069,0.00928381962864722,0,0,0
2021-02-24,GA,Georgia,0.113180515759312,0.00859598853868195,0,0,0
2021-02-25,GA,Georgia,0.119335347432024,0.00755287009063444,0,0,0
2021-02-26,GA,Georgia,0.139393939393939,0.00757575757575758,0,0,0
2021-02-27,GA,Georgia,0.15187969924812,0.0075187969924812,0,0,0
2021-02-28,GA,Georgia,0.162162162162162,0.00900900900900901,0,0,0
2021-03-01,GA,Georgia,0.180866965620329,0.0104633781763827,0,0,0
2021-03-02,GA,Georgia,0.187981510015408,0.00924499229583975,0,0,0
2021-03-03,GA,Georgia,0.206258890469417,0.0085348506401138,0,0,0
2021-03-04,GA,Georgia,0.228021978021978,0.00686813186813187,0,0,0
2021-03-05,GA,Georgia,0.242343541944075,0.0066577896138482,0,0,0
2021-03-06,GA,Georgia,0.262516914749662,0.006765899864682,0,0,0
2021-03-07,GA,Georgia,0.277401894451962,0.0081190798376184,0,0,0
2021-03-08,GA,Georgia,0.304166666666667,0.00972222222222222,0,0,0
2021-03-09,GA,Georgia,0.331053351573187,0.0109439124487004,0,0,0
2021-03-10,GA,Georgia,0.354395604395604,0.010989010989011,0,0,0
2021-03-11,GA,Georgia,0.381258023106547,0.0115532734274711,0,0,0
2021-03-12,GA,Georgia,0.395140664961637,0.0140664961636829,0,0,0
2021-03-13,GA,Georgia,0.42111801242236,0.0149068322981366,0,0,0
2021-03-14,GA,Georgia,0.439320388349515,0.0145631067961165,0,0,0
2021-03-15,GA,Georgia,0.467136150234742,0.0140845070422535,0,0,0
2021-03-16,GA,Georgia,0.485193621867882,0.0170842824601367,0,0,0
2021-03-17,GA,Georgia,0.521997621878716,0.0237812128418549,0,0,0
2021-03-18,GA,Georgia,0.532777115613826,0.0250297973778308,0,0,0
2021-03-19,GA,Georgia,0.545983701979045,0.0244470314318976,0,0,0
2021-03-20,GA,Georgia,0.549263873159683,0.0260475651189128,0,0,0
2021-03-21,GA,Georgia,0.555429864253394,0.0260180995475113,0,0,0
2021-03-22,GA,Georgia,0.564131668558456,0.0272417707150965,0,0,0
2021-03-23,GA,Georgia,0.567536889897843,0.0283768444948922,0,0,0
2021-03-24,GA,Georgia,0.579408543263965,0.0284775465498357,0,0,0
2021-03-25,GA,Georgia,0.599322799097066,0.0282167042889391,0,0,0
2021-03-26,GA,Georgia,0.611790878754171,0.0255839822024472,0,0,0
2021-03-27,GA,Georgia,0.607753705815279,0.0273660205245154,0,0,0
2021-03-28,GA,Georgia,0.611435239206534,0.029171528588098,0,0,0
2021-03-29,GA,Georgia,0.619447779111645,0.0288115246098439,0.00840336134453782,0,0
2021-03-30,GA,Georgia,0.641239570917759,0.0250297973778308,0.00715137067938021,0,0
2021-03-31,GA,Georgia,0.651913875598086,0.0203349282296651,0.00837320574162679,0,0
2021-04-01,GA,Georgia,0.676537585421412,0.0216400911161731,0.0113895216400911,0,0
2021-04-02,GA,Georgia,0.683333333333333,0.0226190476190476,0.0119047619047619,0,0
2021-04-03,GA,Georgia,0.691299165673421,0.0202622169249106,0.0119189511323004,0,0
2021-04-04,GA,Georgia,0.691476590636255,0.0192076830732293,0.0120048019207683,0,0
2021-04-05,GA,Georgia,0.700844390832328,0.0180940892641737,0.0108564535585042,0,0
2021-04-06,GA,Georgia,0.705952380952381,0.0154761904761905,0.0119047619047619,0,0
2021-04-07,GA,Georgia,0.713414634146341,0.0158536585365854,0.0109756097560976,0,0
2021-04-08,GA,Georgia,0.70940170940171,0.0207570207570208,0.0122100122100122,0,0
2021-04-09,GA,Georgia,0.712177121771218,0.02460024600246,0.01230012300123,0,0
2021-04-10,GA,Georgia,0.727932285368803,0.0217654171704958,0.0133010882708585,0,0
2021-04-11,GA,Georgia,0.735224586288416,0.0189125295508274,0.0130023640661939,0,0
2021-04-12,GA,Georgia,0.750588235294118,0.0188235294117647,0.0129411764705882,0,0
2021-04-13,GA,Georgia,0.74468085106383,0.0189125295508274,0.0177304964539007,0,0
2021-04-14,GA,Georgia,0.753864447086801,0.0190249702734839,0.0178359096313912,0,0
2021-04-15,GA,Georgia,0.7575,0.0175,0.0175,0,0
2021-04-16,GA,Georgia,0.760765550239234,0.0167464114832536,0.0215311004784689,0,0
2021-04-17,GA,Georgia,0.763807285546416,0.0176263219741481,0.0199764982373678,0,0
2021-04-18,GA,Georgia,0.768250289687138,0.0196987253765933,0.0196987253765933,0,0
2021-04-19,GA,Georgia,0.775486827033219,0.0206185567010309,0.0240549828178694,0,0
2021-04-20,GA,Georgia,0.782096584216726,0.0223792697290931,0.0235571260306243,0,0
2021-04-21,GA,Georgia,0.778823529411765,0.0211764705882353,0.0270588235294118,0,0
2021-04-22,GA,Georgia,0.788849347568209,0.0166073546856465,0.0260972716488731,0.00711743772241993,0
2021-04-23,GA,Georgia,0.787104622871046,0.0158150851581509,0.0255474452554745,0.00608272506082725,0
2021-04-24,GA,Georgia,0.78562421185372,0.0176544766708701,0.0290037831021438,0.00630517023959647,0
2021-04-25,GA,Georgia,0.776913099870298,0.0181582360570687,0.0337224383916991,0.00648508430609598,0
2021-04-26,GA,Georgia,0.774834437086093,0.0198675496688742,0.033112582781457,0.00794701986754967,0
2021-04-27,GA,Georgia,0.778807947019868,0.0211920529801324,0.033112582781457,0.00794701986754967,0
2021-04-28,GA,Georgia,0.773856209150327,0.0196078431372549,0.0339869281045752,0.00784313725490196,0
2021-04-29,GA,Georgia,0.774611398963731,0.0194300518134715,0.0336787564766839,0.0129533678756477,0
2021-04-30,GA,Georgia,0.769820971867008,0.0217391304347826,0.030690537084399,0.0140664961636829,0
2021-05-01,GA,Georgia,0.773946360153257,0.0217113665389527,0.0319284802043423,0.0114942528735632,0
2021-05-02,GA,Georgia,0.774484536082474,0.0193298969072165,0.0347938144329897,0.0115979381443299,0
2021-05-03,GA,Georgia,0.767352185089974,0.0154241645244216,0.0372750642673522,0.0141388174807198,0
2021-05-04,GA,Georgia,0.779724655819775,0.0150187734668335,0.0413016270337922,0.0137672090112641,0
2021-05-05,GA,Georgia,0.78239608801956,0.0158924205378973,0.0427872860635697,0.0122249388753056,0
2021-05-06,GA,Georgia,0.784596871239471,0.0180505415162455,0.0421179302045728,0.0108303249097473,0
2021-05-07,GA,Georgia,0.784077201447527,0.0156815440289505,0.0470446320868516,0.0120627261761158,0
2021-05-08,GA,Georgia,0.788277511961723,0.0155502392344498,0.0454545454545455,0.0119617224880383,0
2021-05-09,GA,Georgia,0.795966785290629,0.0154211150652432,0.0427046263345196,0.0118623962040332,0
2021-05-10,GA,Georgia,0.78587962962963,0.0162037037037037,0.0486111111111111,0.0104166666666667,0
2021-05-11,GA,Georgia,0.788018433179723,0.0161290322580645,0.0483870967741936,0.01036866359447,0
2021-05-12,GA,Georgia,0.788165680473373,0.0165680473372781,0.0520710059171598,0.0106508875739645,0
2021-05-13,GA,Georgia,0.789081885856079,0.0161290322580645,0.0521091811414392,0.00620347394540943,0
2021-05-14,GA,Georgia,0.794573643410853,0.0167958656330749,0.0542635658914729,0.00645994832041344,0
2021-05-15,GA,Georgia,0.793150684931507,0.0164383561643836,0.0561643835616438,0.00684931506849315,0
2021-05-16,GA,Georgia,0.791489361702128,0.0170212765957447,0.0553191489361702,0.00709219858156028,0
2021-05-17,GA,Georgia,0.803571428571429,0.0178571428571429,0.0491071428571429,0.00595238095238095,0
2021-05-18,GA,Georgia,0.802839116719243,0.0173501577287066,0.0457413249211357,0.00473186119873817,0
2021-05-19,GA,Georgia,0.801724137931035,0.0189655172413793,0.0448275862068966,0.00517241379310345,0
2021-05-20,GA,Georgia,0.790654205607477,0.0168224299065421,0.0485981308411215,0.00560747663551402,0
2021-05-21,GA,Georgia,0.802303262955854,0.0191938579654511,0.0460652591170825,0.00383877159309021,0
2021-05-22,GA,Georgia,0.802443991853361,0.0183299389002037,0.044806517311609,0.00407331975560081,0
2021-05-23,GA,Georgia,0.797413793103448,0.0193965517241379,0.0474137931034483,0.00431034482758621,0
2021-05-24,GA,Georgia,0.817961165048544,0.0145631067961165,0.0388349514563107,0.00485436893203884,0
2021-05-25,GA,Georgia,0.813888888888889,0.0166666666666667,0.0388888888888889,0.00555555555555555,0
2021-05-26,GA,Georgia,0.809667673716012,0.0151057401812689,0.0362537764350453,0.00906344410876133,0
2021-05-27,GA,Georgia,0.790625,0.015625,0.04375,0.0125,0
2021-05-28,GA,Georgia,0.786206896551724,0.0103448275862069,0.0448275862068966,0.0103448275862069,0
2021-05-29,GA,Georgia,0.774545454545455,0.0109090909090909,0.0472727272727273,0.0109090909090909,0
