Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Azerbaijan,40.1431,47.5769,44317,623.0,2020-10-18,04:24:25
,Azerbaijan,40.1431,47.5769,44964,626.0,2020-10-19,04:24:16
,Azerbaijan,40.1431,47.5769,45295,630.0,2020-10-20,04:24:22
,Azerbaijan,40.1431,47.5769,45879,635.0,2020-10-21,04:24:14
,Azerbaijan,40.1431,47.5769,46593,642.0,2020-10-22,04:24:27
,Azerbaijan,40.1431,47.5769,47418,648.0,2020-10-23,04:24:46
,Azerbaijan,40.1431,47.5769,48221,656.0,2020-10-24,04:24:46
,Azerbaijan,40.1431,47.5769,49013,664.0,2020-10-25,04:24:36
,Azerbaijan,40.1431,47.5769,49959,671.0,2020-10-26,04:25:02
,Azerbaijan,40.1431,47.5769,50486,679.0,2020-10-27,04:24:45
,Azerbaijan,40.1431,47.5769,51149,688.0,2020-10-28,04:24:39
,Azerbaijan,40.1431,47.5769,52137,699.0,2020-10-29,04:24:49
,Azerbaijan,40.1431,47.5769,53152,708.0,2020-10-30,04:24:49
,Azerbaijan,40.1431,47.5769,54174,718.0,2020-10-31,04:24:44
,Azerbaijan,40.1431,47.5769,55269,730.0,2020-11-01,04:36:19
,Azerbaijan,40.1431,47.5769,56444,740.0,2020-11-02,05:25:04
,Azerbaijan,40.1431,47.5769,57040,753.0,2020-11-03,06:00:16
,Azerbaijan,40.1431,47.5769,58282,768.0,2020-11-04,05:25:09
,Azerbaijan,40.1431,47.5769,59509,780.0,2020-11-05,06:05:03
,Azerbaijan,40.1431,47.5769,60873,794.0,2020-11-06,05:24:55
,Azerbaijan,40.1431,47.5769,62338,811.0,2020-11-07,05:24:52
,Azerbaijan,40.1431,47.5769,63748,824.0,2020-11-08,05:24:56
,Azerbaijan,40.1431,47.5769,65411,840.0,2020-11-09,05:25:45
,Azerbaijan,40.1431,47.5769,66046,852.0,2020-11-10,05:40:07
,Azerbaijan,40.1431,47.5769,67392,867.0,2020-11-11,05:25:30
,Azerbaijan,40.1431,47.5769,68594,885.0,2020-11-12,05:25:55
,Azerbaijan,40.1431,47.5769,70216,905.0,2020-11-13,05:25:30
,Azerbaijan,40.1431,47.5769,71580,927.0,2020-11-14,05:25:37
,Azerbaijan,40.1431,47.5769,73429,946.0,2020-11-15,05:26:53
,Azerbaijan,40.1431,47.5769,75688,967.0,2020-11-16,05:25:57
,Azerbaijan,40.1431,47.5769,77083,985.0,2020-11-17,05:25:54
,Azerbaijan,40.1431,47.5769,79158,1005.0,2020-11-18,05:40:31
,Azerbaijan,40.1431,47.5769,81397,1030.0,2020-11-19,05:25:23
,Azerbaijan,40.1431,47.5769,83994,1053.0,2020-11-20,05:26:28
,Azerbaijan,40.1431,47.5769,87163,1079.0,2020-11-21,05:25:51
,Azerbaijan,40.1431,47.5769,89898,1107.0,2020-11-22,05:25:45
,Azerbaijan,40.1431,47.5769,93094,1131.0,2020-11-23,05:25:26
,Azerbaijan,40.1431,47.5769,95281,1160.0,2020-11-24,05:27:31
,Azerbaijan,40.1431,47.5769,98927,1194.0,2020-11-25,05:27:20
,Azerbaijan,40.1431,47.5769,102396,1224.0,2020-11-26,05:27:44
,Azerbaijan,40.1431,47.5769,106101,1256.0,2020-11-27,05:26:53
,Azerbaijan,40.1431,47.5769,109813,1291.0,2020-11-28,05:25:50
,Azerbaijan,40.1431,47.5769,114025,1323.0,2020-11-29,05:25:55
,Azerbaijan,40.1431,47.5769,118195,1361.0,2020-11-30,05:26:13
,Azerbaijan,40.1431,47.5769,121176,1392.0,2020-12-01,05:26:18
,Azerbaijan,40.1431,47.5769,125602,1433.0,2020-12-02,05:27:41
,Azerbaijan,40.1431,47.5769,129544,1470.0,2020-12-03,05:28:22
,Azerbaijan,40.1431,47.5769,133733,1510.0,2020-12-04,05:27:27
,Azerbaijan,40.1431,47.5769,138000,1551.0,2020-12-05,05:27:36
,Azerbaijan,40.1431,47.5769,142323,1593.0,2020-12-06,05:26:18
,Azerbaijan,40.1431,47.5769,146679,1632.0,2020-12-07,05:26:14
,Azerbaijan,40.1431,47.5769,149765,1675.0,2020-12-08,05:27:42
,Azerbaijan,40.1431,47.5769,154152,1713.0,2020-12-09,05:28:01
,Azerbaijan,40.1431,47.5769,158555,1755.0,2020-12-10,05:26:19
,Azerbaijan,40.1431,47.5769,162774,1793.0,2020-12-11,05:26:59
,Azerbaijan,40.1431,47.5769,167155,1840.0,2020-12-12,05:26:19
,Azerbaijan,40.1431,47.5769,171423,1883.0,2020-12-13,05:27:20
,Azerbaijan,40.1431,47.5769,175874,1922.0,2020-12-14,05:26:27
,Azerbaijan,40.1431,47.5769,178986,1966.0,2020-12-15,05:26:38
,Azerbaijan,40.1431,47.5769,183259,2007.0,2020-12-16,05:28:04
,Azerbaijan,40.1431,47.5769,187336,2050.0,2020-12-17,05:28:12
,Azerbaijan,40.1431,47.5769,191460,2088.0,2020-12-18,05:28:18
,Azerbaijan,40.1431,47.5769,195422,2133.0,2020-12-19,05:27:52
,Azerbaijan,40.1431,47.5769,199127,2175.0,2020-12-20,05:27:32
,Azerbaijan,40.1431,47.5769,202088,2210.0,2020-12-21,05:27:58
,Azerbaijan,40.1431,47.5769,203593,2253.0,2020-12-22,05:22:33
,Azerbaijan,40.1431,47.5769,205877,2294.0,2020-12-23,05:22:03
,Azerbaijan,40.1431,47.5769,208211,2340.0,2020-12-24,05:23:04
,Azerbaijan,40.1431,47.5769,210061,2380.0,2020-12-25,05:22:48
,Azerbaijan,40.1431,47.5769,211764,2416.0,2020-12-26,05:22:28
,Azerbaijan,40.1431,47.5769,213192,2454.0,2020-12-27,05:22:55
,Azerbaijan,40.1431,47.5769,214711,2499.0,2020-12-28,05:22:06
,Azerbaijan,40.1431,47.5769,215483,2538.0,2020-12-29,05:22:37
,Azerbaijan,40.1431,47.5769,216584,2575.0,2020-12-30,05:22:34
,Azerbaijan,40.1431,47.5769,217636,2609.0,2020-12-31,05:22:49
,Azerbaijan,40.1431,47.5769,218700,2641.0,2021-01-01,05:23:07
,Azerbaijan,40.1431,47.5769,219041,2670.0,2021-01-02,05:22:33
,Azerbaijan,40.1431,47.5769,219462,2703.0,2021-01-03,05:22:52
,Azerbaijan,40.1431,47.5769,220265,2733.0,2021-01-04,05:22:02
,Azerbaijan,40.1431,47.5769,220599,2761.0,2021-01-05,05:21:49
,Azerbaijan,40.1431,47.5769,221401,2792.0,2021-01-06,05:22:16
,Azerbaijan,40.1431,47.5769,222200,2818.0,2021-01-07,05:22:03
,Azerbaijan,40.1431,47.5769,222885,2845.0,2021-01-08,05:22:42
,Azerbaijan,40.1431,47.5769,223417,2869.0,2021-01-09,05:22:18
,Azerbaijan,40.1431,47.5769,224050,2890.0,2021-01-10,05:22:12
,Azerbaijan,40.1431,47.5769,224651,2909.0,2021-01-11,05:21:50
,Azerbaijan,40.1431,47.5769,224827,2926.0,2021-01-12,05:22:15
,Azerbaijan,40.1431,47.5769,225346,2941.0,2021-01-13,05:22:15
,Azerbaijan,40.1431,47.5769,225820,2957.0,2021-01-14,05:22:32
,Azerbaijan,40.1431,47.5769,226200,2971.0,2021-01-15,05:22:24
,Azerbaijan,40.1431,47.5769,226549,2983.0,2021-01-16,05:22:40
,Azerbaijan,40.1431,47.5769,226951,2998.0,2021-01-17,05:22:17
,Azerbaijan,40.1431,47.5769,227273,3009.0,2021-01-18,05:22:34
,Azerbaijan,40.1431,47.5769,227391,3022.0,2021-01-19,05:22:15
,Azerbaijan,40.1431,47.5769,227696,3032.0,2021-01-20,05:21:54
,Azerbaijan,40.1431,47.5769,228028,3044.0,2021-01-21,05:22:01
,Azerbaijan,40.1431,47.5769,228246,3053.0,2021-01-22,05:22:10
,Azerbaijan,40.1431,47.5769,228526,3064.0,2021-01-23,05:22:03
,Azerbaijan,40.1431,47.5769,228688,3072.0,2021-01-24,05:22:35
,Azerbaijan,40.1431,47.5769,228975,3082.0,2021-01-25,05:22:16
,Azerbaijan,40.1431,47.5769,229032,3093.0,2021-01-26,05:22:02
,Azerbaijan,40.1431,47.5769,229358,3100.0,2021-01-27,05:23:41
,Azerbaijan,40.1431,47.5769,229584,3105.0,2021-01-28,05:22:24
,Azerbaijan,40.1431,47.5769,229793,3113.0,2021-01-29,05:22:23
,Azerbaijan,40.1431,47.5769,229935,3119.0,2021-01-30,05:22:49
,Azerbaijan,40.1431,47.5769,230066,3126.0,2021-01-31,05:22:42
,Azerbaijan,40.1431,47.5769,230219,3132.0,2021-02-01,05:22:53
,Azerbaijan,40.1431,47.5769,230296,3136.0,2021-02-02,05:22:49
,Azerbaijan,40.1431,47.5769,230455,3141.0,2021-02-03,05:22:52
,Azerbaijan,40.1431,47.5769,230617,3145.0,2021-02-04,05:22:26
,Azerbaijan,40.1431,47.5769,230769,3148.0,2021-02-05,05:22:38
,Azerbaijan,40.1431,47.5769,230907,3153.0,2021-02-06,05:23:55
,Azerbaijan,40.1431,47.5769,231022,3156.0,2021-02-07,05:23:00
,Azerbaijan,40.1431,47.5769,231154,3158.0,2021-02-08,05:22:39
,Azerbaijan,40.1431,47.5769,231198,3161.0,2021-02-09,05:23:30
,Azerbaijan,40.1431,47.5769,231362,3163.0,2021-02-10,05:22:41
,Azerbaijan,40.1431,47.5769,231509,3167.0,2021-02-11,05:23:55
,Azerbaijan,40.1431,47.5769,231649,3170.0,2021-02-12,05:23:29
,Azerbaijan,40.1431,47.5769,231840,3173.0,2021-02-13,05:22:12
,Azerbaijan,40.1431,47.5769,231995,3178.0,2021-02-14,05:23:43
,Azerbaijan,40.1431,47.5769,232123,3180.0,2021-02-15,05:24:49
,Azerbaijan,40.1431,47.5769,232197,3183.0,2021-02-16,05:24:38
,Azerbaijan,40.1431,47.5769,232337,3185.0,2021-02-17,05:23:10
,Azerbaijan,40.1431,47.5769,232491,3187.0,2021-02-18,05:22:58
,Azerbaijan,40.1431,47.5769,232636,3190.0,2021-02-19,05:24:16
,Azerbaijan,40.1431,47.5769,232829,3193.0,2021-02-20,05:22:51
,Azerbaijan,40.1431,47.5769,232973,3195.0,2021-02-21,05:24:33
,Azerbaijan,40.1431,47.5769,233129,3198.0,2021-02-22,05:24:21
,Azerbaijan,40.1431,47.5769,233201,3202.0,2021-02-23,05:23:41
,Azerbaijan,40.1431,47.5769,233424,3204.0,2021-02-24,05:29:16
,Azerbaijan,40.1431,47.5769,233644,3206.0,2021-02-25,05:24:57
,Azerbaijan,40.1431,47.5769,233770,3209.0,2021-02-26,05:22:40
,Azerbaijan,40.1431,47.5769,233989,3213.0,2021-02-27,05:22:28
,Azerbaijan,40.1431,47.5769,234267,3218.0,2021-02-28,05:22:20
,Azerbaijan,40.1431,47.5769,234537,3220.0,2021-03-01,05:23:01
,Azerbaijan,40.1431,47.5769,234662,3223.0,2021-03-02,05:23:30
,Azerbaijan,40.1431,47.5769,235014,3225.0,2021-03-03,05:23:28
,Azerbaijan,40.1431,47.5769,235333,3230.0,2021-03-04,05:24:24
,Azerbaijan,40.1431,47.5769,235647,3232.0,2021-03-05,05:26:29
,Azerbaijan,40.1431,47.5769,236012,3235.0,2021-03-06,04:23:41
,Azerbaijan,40.1431,47.5769,236365,3238.0,2021-03-07,05:21:54
,Azerbaijan,40.1431,47.5769,236768,3241.0,2021-03-08,05:24:48
,Azerbaijan,40.1431,47.5769,236963,3247.0,2021-03-09,05:28:19
,Azerbaijan,40.1431,47.5769,237260,3250.0,2021-03-10,05:24:35
,Azerbaijan,40.1431,47.5769,237775,3257.0,2021-03-11,05:25:48
,Azerbaijan,40.1431,47.5769,238383,3262.0,2021-03-12,05:26:50
,Azerbaijan,40.1431,47.5769,238959,3268.0,2021-03-13,05:25:15
,Azerbaijan,40.1431,47.5769,239692,3276.0,2021-03-14,05:25:37
,Azerbaijan,40.1431,47.5769,240295,3282.0,2021-03-15,05:25:51
,Azerbaijan,40.1431,47.5769,240671,3286.0,2021-03-16,05:25:13
,Azerbaijan,40.1431,47.5769,241651,3298.0,2021-03-17,05:25:07
,Azerbaijan,40.1431,47.5769,242491,3307.0,2021-03-18,05:26:22
,Azerbaijan,40.1431,47.5769,243424,3314.0,2021-03-19,05:26:09
,Azerbaijan,40.1431,47.5769,244303,3325.0,2021-03-20,05:25:46
,Azerbaijan,40.1431,47.5769,245490,3339.0,2021-03-21,05:25:44
,Azerbaijan,40.1431,47.5769,246304,3351.0,2021-03-22,05:25:43
,Azerbaijan,40.1431,47.5769,246974,3366.0,2021-03-23,05:26:18
,Azerbaijan,40.1431,47.5769,248307,3384.0,2021-03-24,05:25:40
,Azerbaijan,40.1431,47.5769,249492,3404.0,2021-03-25,05:27:00
,Azerbaijan,40.1431,47.5769,250921,3421.0,2021-03-26,05:26:55
,Azerbaijan,40.1431,47.5769,252680,3445.0,2021-03-27,05:25:04
,Azerbaijan,40.1431,47.5769,254370,3464.0,2021-03-28,05:28:10
,Azerbaijan,40.1431,47.5769,256201,3491.0,2021-03-29,04:28:35
,Azerbaijan,40.1431,47.5769,257330,3513.0,2021-03-30,04:26:23
,Azerbaijan,40.1431,47.5769,259476,3538.0,2021-03-31,04:26:25
,Azerbaijan,40.1431,47.5769,261713,3567.0,2021-04-01,04:27:05
,Azerbaijan,40.1431,47.5769,263961,3593.0,2021-04-02,04:20:36
,Azerbaijan,40.1431,47.5769,266322,3617.0,2021-04-03,04:20:44
,Azerbaijan,40.1431,47.5769,268174,3648.0,2021-04-04,04:20:49
,Azerbaijan,40.1431,47.5769,270735,3677.0,2021-04-05,04:20:35
,Azerbaijan,40.1431,47.5769,271834,3711.0,2021-04-06,04:20:32
,Azerbaijan,40.1431,47.5769,273869,3743.0,2021-04-07,04:20:53
,Azerbaijan,40.1431,47.5769,276464,3780.0,2021-04-08,04:21:13
,Azerbaijan,40.1431,47.5769,279181,3811.0,2021-04-09,04:21:13
,Azerbaijan,40.1431,47.5769,281387,3846.0,2021-04-10,04:20:59
,Azerbaijan,40.1431,47.5769,283579,3879.0,2021-04-11,04:20:56
,Azerbaijan,40.1431,47.5769,285993,3915.0,2021-04-12,04:21:00
,Azerbaijan,40.1431,47.5769,287144,3944.0,2021-04-13,04:20:37
,Azerbaijan,40.1431,47.5769,289601,3978.0,2021-04-14,04:20:41
,Azerbaijan,40.1431,47.5769,291894,4009.0,2021-04-15,04:20:54
,Azerbaijan,40.1431,47.5769,294211,4045.0,2021-04-16,04:20:46
,Azerbaijan,40.1431,47.5769,296374,4077.0,2021-04-17,04:20:40
,Azerbaijan,40.1431,47.5769,298522,4107.0,2021-04-18,04:20:41
,Azerbaijan,40.1431,47.5769,300666,4140.0,2021-04-19,04:20:57
,Azerbaijan,40.1431,47.5769,301661,4169.0,2021-04-20,04:20:41
,Azerbaijan,40.1431,47.5769,303858,4203.0,2021-04-21,04:21:14
,Azerbaijan,40.1431,47.5769,305933,4235.0,2021-04-22,04:20:53
,Azerbaijan,40.1431,47.5769,307980,4274.0,2021-04-23,04:20:52
,Azerbaijan,40.1431,47.5769,309789,4307.0,2021-04-24,04:20:38
,Azerbaijan,40.1431,47.5769,311465,4342.0,2021-04-25,04:20:32
,Azerbaijan,40.1431,47.5769,313006,4371.0,2021-04-26,04:21:04
,Azerbaijan,40.1431,47.5769,313812,4402.0,2021-04-27,04:20:52
,Azerbaijan,40.1431,47.5769,315119,4429.0,2021-04-28,04:20:32
,Azerbaijan,40.1431,47.5769,316521,4461.0,2021-04-29,04:20:55
,Azerbaijan,40.1431,47.5769,317913,4490.0,2021-04-30,04:21:03
,Azerbaijan,40.1431,47.5769,319109,4517.0,2021-05-01,04:20:47
,Azerbaijan,40.1431,47.5769,320322,4538.0,2021-05-02,04:20:48
,Azerbaijan,40.1431,47.5769,321380,4561.0,2021-05-03,04:20:39
,Azerbaijan,40.1431,47.5769,321798,4580.0,2021-05-04,04:20:34
,Azerbaijan,40.1431,47.5769,322761,4597.0,2021-05-05,04:20:43
,Azerbaijan,40.1431,47.5769,323841,4617.0,2021-05-06,04:20:38
,Azerbaijan,40.1431,47.5769,324685,4635.0,2021-05-07,04:20:40
,Azerbaijan,40.1431,47.5769,325407,4650.0,2021-05-08,04:21:04
,Azerbaijan,40.1431,47.5769,326056,4666.0,2021-05-09,04:20:35
,Azerbaijan,40.1431,47.5769,326716,4680.0,2021-05-10,04:20:38
,Azerbaijan,40.1431,47.5769,327087,4698.0,2021-05-11,04:20:41
,Azerbaijan,40.1431,47.5769,327601,4713.0,2021-05-12,04:21:29
,Azerbaijan,40.1431,47.5769,328159,4726.0,2021-05-13,04:20:51
,Azerbaijan,40.1431,47.5769,328668,4742.0,2021-05-14,04:20:41
,Azerbaijan,40.1431,47.5769,328994,4754.0,2021-05-15,04:20:58
,Azerbaijan,40.1431,47.5769,329371,4768.0,2021-05-16,04:20:49
,Azerbaijan,40.1431,47.5769,329843,4779.0,2021-05-17,04:20:34
,Azerbaijan,40.1431,47.5769,330269,4792.0,2021-05-18,04:20:33
,Azerbaijan,40.1431,47.5769,330701,4802.0,2021-05-19,04:20:42
,Azerbaijan,40.1431,47.5769,331040,4814.0,2021-05-20,04:21:05
,Azerbaijan,40.1431,47.5769,331477,4828.0,2021-05-21,04:20:43
,Azerbaijan,40.1431,47.5769,331883,4839.0,2021-05-22,04:20:45
,Azerbaijan,40.1431,47.5769,332235,4851.0,2021-05-23,04:20:51
,Azerbaijan,40.1431,47.5769,332454,4860.0,2021-05-24,04:20:53
,Azerbaijan,40.1431,47.5769,332610,4867.0,2021-05-25,04:21:08
,Azerbaijan,40.1431,47.5769,332894,4877.0,2021-05-26,04:20:35
,Azerbaijan,40.1431,47.5769,333097,4885.0,2021-05-27,04:20:59
,Azerbaijan,40.1431,47.5769,333317,4891.0,2021-05-28,04:20:36
,Azerbaijan,40.1431,47.5769,333559,4896.0,2021-05-29,04:20:41
,Azerbaijan,40.1431,47.5769,333723,4903.0,2021-05-30,04:20:55
,Azerbaijan,40.1431,47.5769,333864,4907.0,2021-05-31,03:08:59
,Azerbaijan,40.1431,47.5769,333956,4913.0,2021-06-01,04:23:09
,Azerbaijan,40.1431,47.5769,334132,4921.0,2021-06-02,04:24:34
,Azerbaijan,40.1431,47.5769,334288,4926.0,2021-06-03,04:23:32
,Azerbaijan,40.1431,47.5769,334416,4929.0,2021-06-04,04:23:37
,Azerbaijan,40.1431,47.5769,334539,4933.0,2021-06-05,04:23:03
,Azerbaijan,40.1431,47.5769,334647,4936.0,2021-06-06,04:24:03
,Azerbaijan,40.1431,47.5769,334715,4941.0,2021-06-07,04:22:51
,Azerbaijan,40.1431,47.5769,334747,4945.0,2021-06-08,04:22:35
,Azerbaijan,40.1431,47.5769,334849,4947.0,2021-06-09,04:23:31
,Azerbaijan,40.1431,47.5769,334917,4948.0,2021-06-10,04:23:17
,Azerbaijan,40.1431,47.5769,334992,4951.0,2021-06-11,04:23:20
,Azerbaijan,40.1431,47.5769,335065,4951.0,2021-06-12,04:22:22
,Azerbaijan,40.1431,47.5769,335126,4953.0,2021-06-13,04:22:44
,Azerbaijan,40.1431,47.5769,335171,4953.0,2021-06-14,04:22:46
,Azerbaijan,40.1431,47.5769,335196,4955.0,2021-06-15,04:22:22
,Azerbaijan,40.1431,47.5769,335264,4958.0,2021-06-16,04:22:32
,Azerbaijan,40.1431,47.5769,335291,4959.0,2021-06-17,04:22:36
,Azerbaijan,40.1431,47.5769,335339,4959.0,2021-06-18,04:22:16
,Azerbaijan,40.1431,47.5769,335399,4961.0,2021-06-19,04:22:33
,Azerbaijan,40.1431,47.5769,335437,4961.0,2021-06-20,04:21:48
,Azerbaijan,40.1431,47.5769,335493,4962.0,2021-06-21,04:21:41
,Azerbaijan,40.1431,47.5769,335521,4963.0,2021-06-22,04:21:34
,Azerbaijan,40.1431,47.5769,335568,4963.0,2021-06-23,04:21:46
,Azerbaijan,40.1431,47.5769,335625,4965.0,2021-06-24,04:21:55
,Azerbaijan,40.1431,47.5769,335676,4965.0,2021-06-25,04:21:33
