Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Bangladesh,23.685,90.3563,809314,12801,2021-06-06,04:24:03
,Bangladesh,23.685,90.3563,810990,12839,2021-06-07,04:22:51
,Bangladesh,23.685,90.3563,812960,12869,2021-06-08,04:22:35
,Bangladesh,23.685,90.3563,815282,12913,2021-06-09,04:23:31
,Bangladesh,23.685,90.3563,817819,12949,2021-06-10,04:23:17
,Bangladesh,23.685,90.3563,820395,12989,2021-06-11,04:23:20
,Bangladesh,23.685,90.3563,822849,13032,2021-06-12,04:22:22
,Bangladesh,23.685,90.3563,824486,13071,2021-06-13,04:22:44
,Bangladesh,23.685,90.3563,826922,13118,2021-06-14,04:22:46
,Bangladesh,23.685,90.3563,829972,13172,2021-06-15,04:22:22
,Bangladesh,23.685,90.3563,833291,13222,2021-06-16,04:22:32
,Bangladesh,23.685,90.3563,837247,13282,2021-06-17,04:22:36
,Bangladesh,23.685,90.3563,841087,13345,2021-06-18,04:22:16
,Bangladesh,23.685,90.3563,844970,13399,2021-06-19,04:22:33
,Bangladesh,23.685,90.3563,848027,13466,2021-06-20,04:21:48
,Bangladesh,23.685,90.3563,851668,13548,2021-06-21,04:21:41
,Bangladesh,23.685,90.3563,856304,13626,2021-06-22,04:21:34
,Bangladesh,23.685,90.3563,861150,13702,2021-06-23,04:21:46
,Bangladesh,23.685,90.3563,866877,13787,2021-06-24,04:21:55
,Bangladesh,23.685,90.3563,872935,13868,2021-06-25,04:21:33
,Bangladesh,23.685,90.3563,878804,13976,2021-06-26,04:21:43
,Bangladesh,23.685,90.3563,883138,14053,2021-06-27,04:21:39
,Bangladesh,23.685,90.3563,888406,14172,2021-06-28,04:21:29
,Bangladesh,23.685,90.3563,896770,14276,2021-06-29,04:21:28
,Bangladesh,23.685,90.3563,904436,14388,2021-06-30,04:21:41
,Bangladesh,23.685,90.3563,913258,14503,2021-07-01,04:21:19
,Bangladesh,23.685,90.3563,921559,14646,2021-07-02,04:21:47
,Bangladesh,23.685,90.3563,930042,14778,2021-07-03,04:21:37
,Bangladesh,23.685,90.3563,936256,14912,2021-07-04,04:21:38
,Bangladesh,23.685,90.3563,944917,15065,2021-07-05,04:21:28
,Bangladesh,23.685,90.3563,954881,15229,2021-07-06,04:21:32
,Bangladesh,23.685,90.3563,966406,15392,2021-07-07,04:21:20
,Bangladesh,23.685,90.3563,977568,15593,2021-07-08,04:21:26
,Bangladesh,23.685,90.3563,989219,15792,2021-07-09,04:21:21
,Bangladesh,23.685,90.3563,1000543,16004,2021-07-10,04:21:25
,Bangladesh,23.685,90.3563,1009315,16189,2021-07-11,04:21:43
,Bangladesh,23.685,90.3563,1021189,16419,2021-07-12,04:21:34
,Bangladesh,23.685,90.3563,1034957,16639,2021-07-13,04:21:18
,Bangladesh,23.685,90.3563,1047155,16842,2021-07-14,04:21:35
,Bangladesh,23.685,90.3563,1059538,17052,2021-07-15,04:21:48
,Bangladesh,23.685,90.3563,1071774,17278,2021-07-16,04:21:22
,Bangladesh,23.685,90.3563,1083922,17465,2021-07-17,04:22:22
,Bangladesh,23.685,90.3563,1092411,17669,2021-07-18,04:22:07
,Bangladesh,23.685,90.3563,1103989,17894,2021-07-19,04:21:24
,Bangladesh,23.685,90.3563,1117310,18125,2021-07-20,04:21:48
,Bangladesh,23.685,90.3563,1128889,18325,2021-07-21,04:21:40
,Bangladesh,23.685,90.3563,1136503,18498,2021-07-22,04:21:19
,Bangladesh,23.685,90.3563,1140200,18685,2021-07-23,04:21:29
,Bangladesh,23.685,90.3563,1146564,18851,2021-07-24,00:21:36
,Bangladesh,23.685,90.3563,1153344,19046,2021-07-25,04:22:12
,Bangladesh,23.685,90.3563,1164635,19274,2021-07-26,04:21:28
,Bangladesh,23.685,90.3563,1179827,19521,2021-07-27,04:21:18
,Bangladesh,23.685,90.3563,1194752,19779,2021-07-28,04:21:39
,Bangladesh,23.685,90.3563,1210982,20016,2021-07-29,04:21:33
,Bangladesh,23.685,90.3563,1226253,20255,2021-07-30,04:21:34
,Bangladesh,23.685,90.3563,1240115,20467,2021-07-31,04:21:35
,Bangladesh,23.685,90.3563,1249484,20685,2021-08-01,04:21:50
,Bangladesh,23.685,90.3563,1264328,20916,2021-08-02,04:21:36
,Bangladesh,23.685,90.3563,1280317,21162,2021-08-03,04:21:39
,Bangladesh,23.685,90.3563,1296093,21397,2021-08-04,04:21:25
,Bangladesh,23.685,90.3563,1309910,21638,2021-08-05,04:21:51
,Bangladesh,23.685,90.3563,1322654,21902,2021-08-06,04:21:18
,Bangladesh,23.685,90.3563,1335260,22150,2021-08-07,04:21:30
,Bangladesh,23.685,90.3563,1343396,22411,2021-08-08,04:21:33
,Bangladesh,23.685,90.3563,1353695,22652,2021-08-09,04:21:24
,Bangladesh,23.685,90.3563,1365158,22897,2021-08-10,04:21:27
,Bangladesh,23.685,90.3563,1376322,23161,2021-08-11,04:21:58
,Bangladesh,23.685,90.3563,1386742,23398,2021-08-12,04:21:25
,Bangladesh,23.685,90.3563,1396868,23613,2021-08-13,04:21:24
,Bangladesh,23.685,90.3563,1405333,23810,2021-08-14,04:21:25
,Bangladesh,23.685,90.3563,1412218,23988,2021-08-15,04:21:41
,Bangladesh,23.685,90.3563,1418902,24175,2021-08-16,04:21:31
,Bangladesh,23.685,90.3563,1425861,24349,2021-08-17,04:21:49
,Bangladesh,23.685,90.3563,1433396,24547,2021-08-18,04:21:35
,Bangladesh,23.685,90.3563,1440644,24719,2021-08-19,04:21:15
,Bangladesh,23.685,90.3563,1447210,24878,2021-08-20,04:21:33
,Bangladesh,23.685,90.3563,1453203,25023,2021-08-21,04:21:38
,Bangladesh,23.685,90.3563,1457194,25143,2021-08-22,04:21:29
,Bangladesh,23.685,90.3563,1461998,25282,2021-08-23,04:21:27
,Bangladesh,23.685,90.3563,1467715,25399,2021-08-24,04:21:19
,Bangladesh,23.685,90.3563,1472964,25513,2021-08-25,04:21:41
,Bangladesh,23.685,90.3563,1477930,25627,2021-08-26,04:21:28
,Bangladesh,23.685,90.3563,1482628,25729,2021-08-27,04:21:37
,Bangladesh,23.685,90.3563,1486153,25846,2021-08-28,04:21:28
,Bangladesh,23.685,90.3563,1489589,25926,2021-08-29,04:21:14
,Bangladesh,23.685,90.3563,1493537,26015,2021-08-30,04:21:23
,Bangladesh,23.685,90.3563,1497261,26109,2021-08-31,04:21:46
,Bangladesh,23.685,90.3563,1500618,26195,2021-09-01,04:21:38
,Bangladesh,23.685,90.3563,1503680,26274,2021-09-02,04:21:15
,Bangladesh,23.685,90.3563,1507116,26362,2021-09-03,04:21:20
,Bangladesh,23.685,90.3563,1510283,26432,2021-09-04,04:21:28
,Bangladesh,23.685,90.3563,1512026,26493,2021-09-05,04:21:33
,Bangladesh,23.685,90.3563,1514456,26563,2021-09-06,04:21:22
,Bangladesh,23.685,90.3563,1517166,26628,2021-09-07,04:21:35
,Bangladesh,23.685,90.3563,1519805,26684,2021-09-08,04:21:31
,Bangladesh,23.685,90.3563,1522302,26736,2021-09-09,04:21:27
,Bangladesh,23.685,90.3563,1524890,26794,2021-09-10,04:21:20
,Bangladesh,23.685,90.3563,1527215,26832,2021-09-11,04:21:30
,Bangladesh,23.685,90.3563,1528542,26880,2021-09-12,04:21:13
,Bangladesh,23.685,90.3563,1530413,26931,2021-09-13,04:21:15
,Bangladesh,23.685,90.3563,1532366,26972,2021-09-14,04:21:41
,Bangladesh,23.685,90.3563,1534440,27007,2021-09-15,03:22:37
,Bangladesh,23.685,90.3563,1536341,27058,2021-09-16,04:22:19
,Bangladesh,23.685,90.3563,1538203,27109,2021-09-17,04:21:46
,Bangladesh,23.685,90.3563,1540110,27147,2021-09-18,04:21:24
,Bangladesh,23.685,90.3563,1541300,27182,2021-09-19,04:21:34
,Bangladesh,23.685,90.3563,1542683,27225,2021-09-20,04:21:22
,Bangladesh,23.685,90.3563,1544238,27251,2021-09-21,04:21:26
,Bangladesh,23.685,90.3563,1545800,27277,2021-09-22,04:21:45
,Bangladesh,23.685,90.3563,1547176,27313,2021-09-23,04:21:43
,Bangladesh,23.685,90.3563,1548320,27337,2021-09-24,04:21:44
,Bangladesh,23.685,90.3563,1549553,27368,2021-09-25,04:21:31
,Bangladesh,23.685,90.3563,1550371,27393,2021-09-26,04:21:29
,Bangladesh,23.685,90.3563,1551351,27414,2021-09-27,04:21:16
,Bangladesh,23.685,90.3563,1552563,27439,2021-09-28,04:21:28
,Bangladesh,23.685,90.3563,1553873,27470,2021-09-29,04:21:45
,Bangladesh,23.685,90.3563,1555051,27487,2021-09-30,04:21:20
,Bangladesh,23.685,90.3563,1555911,27510,2021-10-01,04:21:35
,Bangladesh,23.685,90.3563,1556758,27531,2021-10-02,04:21:25
,Bangladesh,23.685,90.3563,1557347,27555,2021-10-03,04:21:24
,Bangladesh,23.685,90.3563,1557964,27573,2021-10-04,04:21:31
,Bangladesh,23.685,90.3563,1558758,27591,2021-10-05,04:21:27
,Bangladesh,23.685,90.3563,1559452,27614,2021-10-06,04:21:33
,Bangladesh,23.685,90.3563,1560155,27635,2021-10-07,04:21:36
,Bangladesh,23.685,90.3563,1560818,27647,2021-10-08,04:21:25
,Bangladesh,23.685,90.3563,1561463,27654,2021-10-09,04:21:34
,Bangladesh,23.685,90.3563,1561878,27674,2021-10-10,04:21:38
,Bangladesh,23.685,90.3563,1562359,27688,2021-10-11,04:21:31
,Bangladesh,23.685,90.3563,1562958,27699,2021-10-12,04:21:09
,Bangladesh,23.685,90.3563,1563501,27713,2021-10-13,04:20:51
,Bangladesh,23.685,90.3563,1564019,27730,2021-10-14,04:21:29
,Bangladesh,23.685,90.3563,1564485,27737,2021-10-15,04:21:26
,Bangladesh,23.685,90.3563,1564881,27746,2021-10-16,04:21:15
,Bangladesh,23.685,90.3563,1565174,27752,2021-10-17,04:21:29
,Bangladesh,23.685,90.3563,1565488,27768,2021-10-18,04:21:10
,Bangladesh,23.685,90.3563,1565827,27778,2021-10-19,04:20:54
,Bangladesh,23.685,90.3563,1566296,27785,2021-10-20,04:21:00
,Bangladesh,23.685,90.3563,1566664,27791,2021-10-21,04:21:18
,Bangladesh,23.685,90.3563,1566907,27801,2021-10-22,04:21:14
,Bangladesh,23.685,90.3563,1567139,27805,2021-10-23,04:21:32
,Bangladesh,23.685,90.3563,1567417,27814,2021-10-24,04:21:22
,Bangladesh,23.685,90.3563,1567692,27823,2021-10-25,04:22:31
,Bangladesh,23.685,90.3563,1567981,27828,2021-10-26,04:22:09
,Bangladesh,23.685,90.3563,1568257,27834,2021-10-27,04:22:32
,Bangladesh,23.685,90.3563,1568563,27841,2021-10-28,04:22:08
