Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Bosnia and Herzegovina,43.9159,17.6791,125402,4881,2021-02-14,05:23:43
,Bosnia and Herzegovina,43.9159,17.6791,125402,4881,2021-02-15,05:24:49
,Bosnia and Herzegovina,43.9159,17.6791,126139,4916,2021-02-16,05:24:38
,Bosnia and Herzegovina,43.9159,17.6791,126413,4935,2021-02-17,05:23:10
,Bosnia and Herzegovina,43.9159,17.6791,126781,4949,2021-02-18,05:22:58
,Bosnia and Herzegovina,43.9159,17.6791,127135,4962,2021-02-19,05:24:16
,Bosnia and Herzegovina,43.9159,17.6791,127537,4979,2021-02-20,05:22:51
,Bosnia and Herzegovina,43.9159,17.6791,127537,4979,2021-02-21,05:24:33
,Bosnia and Herzegovina,43.9159,17.6791,127537,4979,2021-02-22,05:24:21
,Bosnia and Herzegovina,43.9159,17.6791,128661,5016,2021-02-23,05:23:41
,Bosnia and Herzegovina,43.9159,17.6791,129176,5034,2021-02-24,05:29:16
,Bosnia and Herzegovina,43.9159,17.6791,129753,5051,2021-02-25,05:24:57
,Bosnia and Herzegovina,43.9159,17.6791,130510,5062,2021-02-26,05:22:40
,Bosnia and Herzegovina,43.9159,17.6791,130979,5071,2021-02-27,05:22:28
,Bosnia and Herzegovina,43.9159,17.6791,130979,5071,2021-02-28,05:22:20
,Bosnia and Herzegovina,43.9159,17.6791,130979,5071,2021-03-01,05:23:01
,Bosnia and Herzegovina,43.9159,17.6791,130979,5071,2021-03-02,05:23:30
,Bosnia and Herzegovina,43.9159,17.6791,133088,5145,2021-03-03,05:23:28
,Bosnia and Herzegovina,43.9159,17.6791,133982,5174,2021-03-04,05:24:24
,Bosnia and Herzegovina,43.9159,17.6791,134892,5200,2021-03-05,05:26:29
,Bosnia and Herzegovina,43.9159,17.6791,135513,5228,2021-03-06,04:23:41
,Bosnia and Herzegovina,43.9159,17.6791,135513,5228,2021-03-07,05:21:54
,Bosnia and Herzegovina,43.9159,17.6791,135513,5228,2021-03-08,05:24:48
,Bosnia and Herzegovina,43.9159,17.6791,137291,5297,2021-03-09,05:28:19
,Bosnia and Herzegovina,43.9159,17.6791,138542,5345,2021-03-10,05:24:35
,Bosnia and Herzegovina,43.9159,17.6791,139652,5382,2021-03-11,05:25:48
,Bosnia and Herzegovina,43.9159,17.6791,140990,5410,2021-03-12,05:26:50
,Bosnia and Herzegovina,43.9159,17.6791,142160,5446,2021-03-13,05:25:15
,Bosnia and Herzegovina,43.9159,17.6791,142160,5446,2021-03-14,05:25:37
,Bosnia and Herzegovina,43.9159,17.6791,142160,5446,2021-03-15,05:25:51
,Bosnia and Herzegovina,43.9159,17.6791,144831,5584,2021-03-16,05:25:13
,Bosnia and Herzegovina,43.9159,17.6791,146437,5637,2021-03-17,05:25:07
,Bosnia and Herzegovina,43.9159,17.6791,148163,5672,2021-03-18,05:26:22
,Bosnia and Herzegovina,43.9159,17.6791,149891,5729,2021-03-19,05:26:09
,Bosnia and Herzegovina,43.9159,17.6791,151337,5773,2021-03-20,05:25:46
,Bosnia and Herzegovina,43.9159,17.6791,151337,5773,2021-03-21,05:25:44
,Bosnia and Herzegovina,43.9159,17.6791,151337,5773,2021-03-22,05:25:43
,Bosnia and Herzegovina,43.9159,17.6791,154627,5938,2021-03-23,05:26:18
,Bosnia and Herzegovina,43.9159,17.6791,156346,6005,2021-03-24,05:25:40
,Bosnia and Herzegovina,43.9159,17.6791,158198,6067,2021-03-25,05:27:00
,Bosnia and Herzegovina,43.9159,17.6791,160163,6144,2021-03-26,05:26:55
,Bosnia and Herzegovina,43.9159,17.6791,162032,6220,2021-03-27,05:25:04
,Bosnia and Herzegovina,43.9159,17.6791,162032,6220,2021-03-28,05:28:10
,Bosnia and Herzegovina,43.9159,17.6791,162032,6220,2021-03-29,04:28:35
,Bosnia and Herzegovina,43.9159,17.6791,165787,6427,2021-03-30,04:26:23
,Bosnia and Herzegovina,43.9159,17.6791,167654,6519,2021-03-31,04:26:25
,Bosnia and Herzegovina,43.9159,17.6791,169626,6599,2021-04-01,04:27:05
,Bosnia and Herzegovina,43.9159,17.6791,171324,6675,2021-04-02,04:20:36
,Bosnia and Herzegovina,43.9159,17.6791,173478,6763,2021-04-03,04:20:44
,Bosnia and Herzegovina,43.9159,17.6791,173478,6763,2021-04-04,04:20:49
,Bosnia and Herzegovina,43.9159,17.6791,173478,6763,2021-04-05,04:20:35
,Bosnia and Herzegovina,43.9159,17.6791,176413,6953,2021-04-06,04:20:32
,Bosnia and Herzegovina,43.9159,17.6791,177506,7052,2021-04-07,04:20:53
,Bosnia and Herzegovina,43.9159,17.6791,179248,7132,2021-04-08,04:21:13
,Bosnia and Herzegovina,43.9159,17.6791,180831,7216,2021-04-09,04:21:13
,Bosnia and Herzegovina,43.9159,17.6791,181927,7298,2021-04-10,04:20:59
,Bosnia and Herzegovina,43.9159,17.6791,181927,7298,2021-04-11,04:20:56
,Bosnia and Herzegovina,43.9159,17.6791,181927,7298,2021-04-12,04:21:00
,Bosnia and Herzegovina,43.9159,17.6791,184698,7487,2021-04-13,04:20:37
,Bosnia and Herzegovina,43.9159,17.6791,184698,7487,2021-04-14,04:20:41
,Bosnia and Herzegovina,43.9159,17.6791,186372,7642,2021-04-15,04:20:54
,Bosnia and Herzegovina,43.9159,17.6791,187715,7702,2021-04-16,04:20:46
,Bosnia and Herzegovina,43.9159,17.6791,188994,7788,2021-04-17,04:20:40
,Bosnia and Herzegovina,43.9159,17.6791,188994,7788,2021-04-18,04:20:41
,Bosnia and Herzegovina,43.9159,17.6791,188994,7788,2021-04-19,04:20:57
,Bosnia and Herzegovina,43.9159,17.6791,191154,7938,2021-04-20,04:20:41
,Bosnia and Herzegovina,43.9159,17.6791,191876,8025,2021-04-21,04:21:14
,Bosnia and Herzegovina,43.9159,17.6791,193115,8082,2021-04-22,04:20:53
,Bosnia and Herzegovina,43.9159,17.6791,194371,8164,2021-04-23,04:20:52
,Bosnia and Herzegovina,43.9159,17.6791,194733,8203,2021-04-24,04:20:38
,Bosnia and Herzegovina,43.9159,17.6791,194733,8203,2021-04-25,04:20:32
,Bosnia and Herzegovina,43.9159,17.6791,194733,8203,2021-04-26,04:21:04
,Bosnia and Herzegovina,43.9159,17.6791,195971,8350,2021-04-27,04:20:52
,Bosnia and Herzegovina,43.9159,17.6791,196732,8418,2021-04-28,04:20:32
,Bosnia and Herzegovina,43.9159,17.6791,197378,8464,2021-04-29,04:20:55
,Bosnia and Herzegovina,43.9159,17.6791,197866,8512,2021-04-30,04:21:03
,Bosnia and Herzegovina,43.9159,17.6791,198461,8551,2021-05-01,04:20:47
,Bosnia and Herzegovina,43.9159,17.6791,198461,8551,2021-05-02,04:20:48
,Bosnia and Herzegovina,43.9159,17.6791,198461,8551,2021-05-03,04:20:39
,Bosnia and Herzegovina,43.9159,17.6791,198461,8551,2021-05-04,04:20:34
