Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Cabo Verde,16.5388,-23.0418,33006,289,2021-07-12,04:21:34
,Cabo Verde,16.5388,-23.0418,33026,290,2021-07-13,04:21:18
,Cabo Verde,16.5388,-23.0418,33053,290,2021-07-14,04:21:35
,Cabo Verde,16.5388,-23.0418,33127,292,2021-07-15,04:21:48
,Cabo Verde,16.5388,-23.0418,33180,294,2021-07-16,04:21:22
,Cabo Verde,16.5388,-23.0418,33234,295,2021-07-17,04:22:22
,Cabo Verde,16.5388,-23.0418,33270,295,2021-07-18,04:22:07
,Cabo Verde,16.5388,-23.0418,33302,295,2021-07-19,04:21:24
,Cabo Verde,16.5388,-23.0418,33317,295,2021-07-20,04:21:48
,Cabo Verde,16.5388,-23.0418,33356,296,2021-07-21,04:21:40
,Cabo Verde,16.5388,-23.0418,33395,297,2021-07-22,04:21:19
,Cabo Verde,16.5388,-23.0418,33452,297,2021-07-23,04:21:29
,Cabo Verde,16.5388,-23.0418,33452,297,2021-07-24,00:21:36
,Cabo Verde,16.5388,-23.0418,33541,297,2021-07-25,04:22:12
,Cabo Verde,16.5388,-23.0418,33577,298,2021-07-26,04:21:28
,Cabo Verde,16.5388,-23.0418,33592,298,2021-07-27,04:21:18
,Cabo Verde,16.5388,-23.0418,33626,298,2021-07-28,04:21:39
,Cabo Verde,16.5388,-23.0418,33682,298,2021-07-29,04:21:33
,Cabo Verde,16.5388,-23.0418,33721,298,2021-07-30,04:21:34
,Cabo Verde,16.5388,-23.0418,33763,298,2021-07-31,04:21:35
,Cabo Verde,16.5388,-23.0418,33791,298,2021-08-01,04:21:50
,Cabo Verde,16.5388,-23.0418,33822,298,2021-08-02,04:21:36
,Cabo Verde,16.5388,-23.0418,33830,298,2021-08-03,04:21:39
,Cabo Verde,16.5388,-23.0418,33858,298,2021-08-04,04:21:25
,Cabo Verde,16.5388,-23.0418,33906,298,2021-08-05,04:21:51
,Cabo Verde,16.5388,-23.0418,33941,298,2021-08-06,04:21:18
,Cabo Verde,16.5388,-23.0418,33976,298,2021-08-07,04:21:30
,Cabo Verde,16.5388,-23.0418,34010,298,2021-08-08,04:21:33
,Cabo Verde,16.5388,-23.0418,34052,298,2021-08-09,04:21:24
,Cabo Verde,16.5388,-23.0418,34078,298,2021-08-10,04:21:27
,Cabo Verde,16.5388,-23.0418,34112,298,2021-08-11,04:21:58
,Cabo Verde,16.5388,-23.0418,34171,298,2021-08-12,04:21:25
,Cabo Verde,16.5388,-23.0418,34235,298,2021-08-13,04:21:24
,Cabo Verde,16.5388,-23.0418,34286,298,2021-08-14,04:21:25
,Cabo Verde,16.5388,-23.0418,34344,299,2021-08-15,04:21:41
,Cabo Verde,16.5388,-23.0418,34397,300,2021-08-16,04:21:31
,Cabo Verde,16.5388,-23.0418,34407,300,2021-08-17,04:21:49
,Cabo Verde,16.5388,-23.0418,34445,300,2021-08-18,04:21:35
,Cabo Verde,16.5388,-23.0418,34529,300,2021-08-19,04:21:15
,Cabo Verde,16.5388,-23.0418,34598,300,2021-08-20,04:21:33
,Cabo Verde,16.5388,-23.0418,34645,302,2021-08-21,04:21:38
,Cabo Verde,16.5388,-23.0418,34686,302,2021-08-22,04:21:29
,Cabo Verde,16.5388,-23.0418,34738,303,2021-08-23,04:21:27
,Cabo Verde,16.5388,-23.0418,34773,305,2021-08-24,04:21:19
,Cabo Verde,16.5388,-23.0418,34825,306,2021-08-25,04:21:41
,Cabo Verde,16.5388,-23.0418,34919,307,2021-08-26,04:21:28
,Cabo Verde,16.5388,-23.0418,34992,307,2021-08-27,04:21:37
,Cabo Verde,16.5388,-23.0418,35079,308,2021-08-28,04:21:28
,Cabo Verde,16.5388,-23.0418,35147,308,2021-08-29,04:21:14
,Cabo Verde,16.5388,-23.0418,35227,309,2021-08-30,04:21:23
,Cabo Verde,16.5388,-23.0418,35283,310,2021-08-31,04:21:46
,Cabo Verde,16.5388,-23.0418,35354,313,2021-09-01,04:21:38
,Cabo Verde,16.5388,-23.0418,35506,314,2021-09-02,04:21:15
,Cabo Verde,16.5388,-23.0418,35624,314,2021-09-03,04:21:20
,Cabo Verde,16.5388,-23.0418,35739,315,2021-09-04,04:21:28
,Cabo Verde,16.5388,-23.0418,35739,315,2021-09-05,04:21:33
,Cabo Verde,16.5388,-23.0418,35928,315,2021-09-06,04:21:22
,Cabo Verde,16.5388,-23.0418,36012,316,2021-09-07,04:21:35
,Cabo Verde,16.5388,-23.0418,36086,317,2021-09-08,04:21:31
,Cabo Verde,16.5388,-23.0418,36202,317,2021-09-09,04:21:27
,Cabo Verde,16.5388,-23.0418,36327,318,2021-09-10,04:21:20
,Cabo Verde,16.5388,-23.0418,36427,320,2021-09-11,04:21:30
,Cabo Verde,16.5388,-23.0418,36519,320,2021-09-12,04:21:13
,Cabo Verde,16.5388,-23.0418,36588,320,2021-09-13,04:21:15
,Cabo Verde,16.5388,-23.0418,36640,322,2021-09-14,04:21:41
,Cabo Verde,16.5388,-23.0418,36694,323,2021-09-15,03:22:37
,Cabo Verde,16.5388,-23.0418,36816,324,2021-09-16,04:22:19
,Cabo Verde,16.5388,-23.0418,36891,327,2021-09-17,04:21:46
,Cabo Verde,16.5388,-23.0418,36970,327,2021-09-18,04:21:24
,Cabo Verde,16.5388,-23.0418,36970,327,2021-09-19,04:21:34
,Cabo Verde,16.5388,-23.0418,37108,330,2021-09-20,04:21:22
,Cabo Verde,16.5388,-23.0418,37157,331,2021-09-21,04:21:26
,Cabo Verde,16.5388,-23.0418,37179,332,2021-09-22,04:21:45
,Cabo Verde,16.5388,-23.0418,37240,332,2021-09-23,04:21:43
,Cabo Verde,16.5388,-23.0418,37290,333,2021-09-24,04:21:44
,Cabo Verde,16.5388,-23.0418,37355,334,2021-09-25,04:21:31
,Cabo Verde,16.5388,-23.0418,37400,334,2021-09-26,04:21:29
,Cabo Verde,16.5388,-23.0418,37448,334,2021-09-27,04:21:16
,Cabo Verde,16.5388,-23.0418,37472,336,2021-09-28,04:21:28
,Cabo Verde,16.5388,-23.0418,37501,336,2021-09-29,04:21:45
,Cabo Verde,16.5388,-23.0418,37535,337,2021-09-30,04:21:20
,Cabo Verde,16.5388,-23.0418,37576,339,2021-10-01,04:21:35
,Cabo Verde,16.5388,-23.0418,37604,340,2021-10-02,04:21:25
,Cabo Verde,16.5388,-23.0418,37635,340,2021-10-03,04:21:24
,Cabo Verde,16.5388,-23.0418,37658,342,2021-10-04,04:21:31
,Cabo Verde,16.5388,-23.0418,37658,342,2021-10-05,04:21:27
,Cabo Verde,16.5388,-23.0418,37718,345,2021-10-06,04:21:33
,Cabo Verde,16.5388,-23.0418,37770,345,2021-10-07,04:21:36
,Cabo Verde,16.5388,-23.0418,37808,346,2021-10-08,04:21:25
,Cabo Verde,16.5388,-23.0418,37845,346,2021-10-09,04:21:34
,Cabo Verde,16.5388,-23.0418,37870,346,2021-10-10,04:21:38
,Cabo Verde,16.5388,-23.0418,37888,346,2021-10-11,04:21:31
,Cabo Verde,16.5388,-23.0418,37902,346,2021-10-12,04:21:09
,Cabo Verde,16.5388,-23.0418,37920,347,2021-10-13,04:20:51
,Cabo Verde,16.5388,-23.0418,37951,347,2021-10-14,04:21:29
,Cabo Verde,16.5388,-23.0418,37976,347,2021-10-15,04:21:26
,Cabo Verde,16.5388,-23.0418,38006,347,2021-10-16,04:21:15
,Cabo Verde,16.5388,-23.0418,38035,347,2021-10-17,04:21:29
,Cabo Verde,16.5388,-23.0418,38040,347,2021-10-18,04:21:10
,Cabo Verde,16.5388,-23.0418,38049,347,2021-10-19,04:20:54
,Cabo Verde,16.5388,-23.0418,38052,347,2021-10-20,04:21:00
,Cabo Verde,16.5388,-23.0418,38082,347,2021-10-21,04:21:18
,Cabo Verde,16.5388,-23.0418,38098,347,2021-10-22,04:21:14
,Cabo Verde,16.5388,-23.0418,38098,347,2021-10-23,04:21:32
,Cabo Verde,16.5388,-23.0418,38130,349,2021-10-24,04:21:22
,Cabo Verde,16.5388,-23.0418,38140,349,2021-10-25,04:22:31
,Cabo Verde,16.5388,-23.0418,38148,349,2021-10-26,04:22:09
,Cabo Verde,16.5388,-23.0418,38151,349,2021-10-27,04:22:32
,Cabo Verde,16.5388,-23.0418,38169,349,2021-10-28,04:22:08
,Cabo Verde,16.5388,-23.0418,38181,349,2021-10-29,04:22:03
,Cabo Verde,16.5388,-23.0418,38197,349,2021-10-30,04:22:03
,Cabo Verde,16.5388,-23.0418,38207,349,2021-10-31,04:22:08
,Cabo Verde,16.5388,-23.0418,38215,349,2021-11-01,04:22:01
,Cabo Verde,16.5388,-23.0418,38218,349,2021-11-02,04:22:03
,Cabo Verde,16.5388,-23.0418,38219,349,2021-11-03,06:22:09
,Cabo Verde,16.5388,-23.0418,38228,349,2021-11-04,04:22:20
,Cabo Verde,16.5388,-23.0418,38233,349,2021-11-05,04:21:54
,Cabo Verde,16.5388,-23.0418,38242,349,2021-11-06,04:21:51
,Cabo Verde,16.5388,-23.0418,38253,349,2021-11-07,04:21:53
,Cabo Verde,16.5388,-23.0418,38256,349,2021-11-08,04:21:43
,Cabo Verde,16.5388,-23.0418,38263,350,2021-11-09,04:21:36
,Cabo Verde,16.5388,-23.0418,38264,350,2021-11-10,04:21:38
,Cabo Verde,16.5388,-23.0418,38278,350,2021-11-11,04:21:45
,Cabo Verde,16.5388,-23.0418,38287,350,2021-11-12,04:22:01
