Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Cambodia,11.55,104.9167,458,0,2021-01-25,05:22:16
,Cambodia,11.55,104.9167,460,0,2021-01-26,05:22:02
,Cambodia,11.55,104.9167,460,0,2021-01-27,05:23:41
,Cambodia,11.55,104.9167,460,0,2021-01-28,05:22:24
,Cambodia,11.55,104.9167,463,0,2021-01-29,05:22:23
,Cambodia,11.55,104.9167,463,0,2021-01-30,05:22:49
,Cambodia,11.55,104.9167,465,0,2021-01-31,05:22:42
,Cambodia,11.55,104.9167,466,0,2021-02-01,05:22:53
,Cambodia,11.55,104.9167,466,0,2021-02-02,05:22:49
,Cambodia,11.55,104.9167,466,0,2021-02-03,05:22:52
,Cambodia,11.55,104.9167,467,0,2021-02-04,05:22:26
,Cambodia,11.55,104.9167,470,0,2021-02-05,05:22:38
,Cambodia,11.55,104.9167,472,0,2021-02-06,05:23:55
,Cambodia,11.55,104.9167,474,0,2021-02-07,05:23:00
,Cambodia,11.55,104.9167,474,0,2021-02-08,05:22:39
,Cambodia,11.55,104.9167,476,0,2021-02-09,05:23:30
,Cambodia,11.55,104.9167,476,0,2021-02-10,05:22:41
,Cambodia,11.55,104.9167,478,0,2021-02-11,05:23:55
,Cambodia,11.55,104.9167,479,0,2021-02-12,05:23:29
,Cambodia,11.55,104.9167,479,0,2021-02-13,05:22:12
,Cambodia,11.55,104.9167,479,0,2021-02-14,05:23:43
,Cambodia,11.55,104.9167,479,0,2021-02-15,05:24:49
,Cambodia,11.55,104.9167,479,0,2021-02-16,05:24:38
,Cambodia,11.55,104.9167,479,0,2021-02-17,05:23:10
,Cambodia,11.55,104.9167,483,0,2021-02-18,05:22:58
,Cambodia,11.55,104.9167,484,0,2021-02-19,05:24:16
,Cambodia,11.55,104.9167,484,0,2021-02-20,05:22:51
,Cambodia,11.55,104.9167,533,0,2021-02-21,05:24:33
,Cambodia,11.55,104.9167,568,0,2021-02-22,05:24:21
,Cambodia,11.55,104.9167,593,0,2021-02-23,05:23:41
,Cambodia,11.55,104.9167,633,0,2021-02-24,05:29:16
,Cambodia,11.55,104.9167,697,0,2021-02-25,05:24:57
,Cambodia,11.55,104.9167,741,0,2021-02-26,05:22:40
,Cambodia,11.55,104.9167,767,0,2021-02-27,05:22:28
,Cambodia,11.55,104.9167,805,0,2021-02-28,05:22:20
,Cambodia,11.55,104.9167,820,0,2021-03-01,05:23:01
,Cambodia,11.55,104.9167,844,0,2021-03-02,05:23:30
,Cambodia,11.55,104.9167,878,0,2021-03-03,05:23:28
,Cambodia,11.55,104.9167,909,0,2021-03-04,05:24:24
,Cambodia,11.55,104.9167,932,0,2021-03-05,05:26:29
,Cambodia,11.55,104.9167,953,0,2021-03-06,04:23:41
,Cambodia,11.55,104.9167,987,0,2021-03-07,05:21:54
,Cambodia,11.55,104.9167,1011,0,2021-03-08,05:24:48
,Cambodia,11.55,104.9167,1011,0,2021-03-09,05:28:19
,Cambodia,11.55,104.9167,1124,0,2021-03-10,05:24:35
,Cambodia,11.55,104.9167,1163,0,2021-03-11,05:25:48
,Cambodia,11.55,104.9167,1225,1,2021-03-12,05:26:50
,Cambodia,11.55,104.9167,1264,1,2021-03-13,05:25:15
,Cambodia,11.55,104.9167,1305,1,2021-03-14,05:25:37
,Cambodia,11.55,104.9167,1325,1,2021-03-15,05:25:51
,Cambodia,11.55,104.9167,1325,1,2021-03-16,05:25:13
,Cambodia,11.55,104.9167,1505,1,2021-03-17,05:25:07
,Cambodia,11.55,104.9167,1541,1,2021-03-18,05:26:22
,Cambodia,11.55,104.9167,1578,1,2021-03-19,05:26:09
,Cambodia,11.55,104.9167,1578,2,2021-03-20,05:25:46
,Cambodia,11.55,104.9167,1578,2,2021-03-21,05:25:44
,Cambodia,11.55,104.9167,1753,3,2021-03-22,05:25:43
,Cambodia,11.55,104.9167,1788,4,2021-03-23,05:26:18
,Cambodia,11.55,104.9167,1817,5,2021-03-24,05:25:40
,Cambodia,11.55,104.9167,1872,5,2021-03-25,05:27:00
,Cambodia,11.55,104.9167,1872,5,2021-03-26,05:26:55
,Cambodia,11.55,104.9167,1968,8,2021-03-27,05:25:04
,Cambodia,11.55,104.9167,2147,8,2021-03-28,05:28:10
,Cambodia,11.55,104.9167,2233,10,2021-03-29,04:28:35
,Cambodia,11.55,104.9167,2378,11,2021-03-30,04:26:23
,Cambodia,11.55,104.9167,2440,11,2021-03-31,04:26:25
,Cambodia,11.55,104.9167,2440,11,2021-04-01,04:27:05
,Cambodia,11.55,104.9167,2477,14,2021-04-02,04:20:36
,Cambodia,11.55,104.9167,2546,16,2021-04-03,04:20:44
,Cambodia,11.55,104.9167,2689,19,2021-04-04,04:20:49
,Cambodia,11.55,104.9167,2689,19,2021-04-05,04:20:35
,Cambodia,11.55,104.9167,2752,21,2021-04-06,04:20:32
,Cambodia,11.55,104.9167,2915,22,2021-04-07,04:20:53
,Cambodia,11.55,104.9167,2915,22,2021-04-08,04:21:13
,Cambodia,11.55,104.9167,3028,24,2021-04-09,04:21:13
,Cambodia,11.55,104.9167,3604,24,2021-04-10,04:20:59
,Cambodia,11.55,104.9167,4081,26,2021-04-11,04:20:56
,Cambodia,11.55,104.9167,4515,30,2021-04-12,04:21:00
,Cambodia,11.55,104.9167,4515,30,2021-04-13,04:20:37
,Cambodia,11.55,104.9167,4696,33,2021-04-14,04:20:41
,Cambodia,11.55,104.9167,4874,35,2021-04-15,04:20:54
,Cambodia,11.55,104.9167,5218,36,2021-04-16,04:20:46
,Cambodia,11.55,104.9167,5480,38,2021-04-17,04:20:40
,Cambodia,11.55,104.9167,5771,39,2021-04-18,04:20:41
,Cambodia,11.55,104.9167,6389,43,2021-04-19,04:20:57
,Cambodia,11.55,104.9167,7013,45,2021-04-20,04:20:41
,Cambodia,11.55,104.9167,7444,49,2021-04-21,04:21:14
,Cambodia,11.55,104.9167,7747,54,2021-04-22,04:20:53
,Cambodia,11.55,104.9167,8193,59,2021-04-23,04:20:52
,Cambodia,11.55,104.9167,8848,61,2021-04-24,04:20:38
,Cambodia,11.55,104.9167,9359,71,2021-04-25,04:20:32
,Cambodia,11.55,104.9167,9975,74,2021-04-26,04:21:04
,Cambodia,11.55,104.9167,10555,79,2021-04-27,04:20:52
,Cambodia,11.55,104.9167,11063,82,2021-04-28,04:20:32
,Cambodia,11.55,104.9167,11761,88,2021-04-29,04:20:55
,Cambodia,11.55,104.9167,12641,91,2021-04-30,04:21:03
,Cambodia,11.55,104.9167,13402,93,2021-05-01,04:20:47
,Cambodia,11.55,104.9167,13790,96,2021-05-02,04:20:48
,Cambodia,11.55,104.9167,14520,103,2021-05-03,04:20:39
,Cambodia,11.55,104.9167,15361,106,2021-05-04,04:20:34
,Cambodia,11.55,104.9167,16299,107,2021-05-05,04:20:43
,Cambodia,11.55,104.9167,16971,110,2021-05-06,04:20:38
,Cambodia,11.55,104.9167,17621,114,2021-05-07,04:20:40
,Cambodia,11.55,104.9167,18179,114,2021-05-08,04:21:04
,Cambodia,11.55,104.9167,18717,114,2021-05-09,04:20:35
,Cambodia,11.55,104.9167,19237,120,2021-05-10,04:20:38
,Cambodia,11.55,104.9167,19743,126,2021-05-11,04:20:41
,Cambodia,11.55,104.9167,20223,131,2021-05-12,04:21:29
,Cambodia,11.55,104.9167,20695,136,2021-05-13,04:20:51
,Cambodia,11.55,104.9167,21141,142,2021-05-14,04:20:41
,Cambodia,11.55,104.9167,21499,147,2021-05-15,04:20:58
,Cambodia,11.55,104.9167,21834,147,2021-05-16,04:20:49
,Cambodia,11.55,104.9167,22184,150,2021-05-17,04:20:34
