Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
Amazonas,Colombia,-1.4429,-71.5724,4256,144,2021-02-12,05:23:29
Antioquia,Colombia,7.1986,-75.3412,334202,6212,2021-02-12,05:23:29
Arauca,Colombia,7.0762,-70.7105,5478,161,2021-02-12,05:23:29
Atlantico,Colombia,10.6966,-74.8741,119265,3925,2021-02-12,05:23:29
Bolivar,Colombia,8.6704,-74.03,65573,1319,2021-02-12,05:23:29
Boyaca,Colombia,5.4545,-73.362,44231,990,2021-02-12,05:23:29
Caldas,Colombia,5.2983,-75.2479,45668,935,2021-02-12,05:23:29
Capital District,Colombia,4.711,-74.0721,637105,13277,2021-02-12,05:23:29
Caqueta,Colombia,0.8699,-73.8419,16856,610,2021-02-12,05:23:29
Casanare,Colombia,5.7589,-71.5724,11904,245,2021-02-12,05:23:29
Cauca,Colombia,2.705,-76.82600000000002,26730,707,2021-02-12,05:23:29
Cesar,Colombia,9.3373,-73.6536,39536,1131,2021-02-12,05:23:29
Choco,Colombia,5.2528,-76.82600000000002,6449,192,2021-02-12,05:23:29
Cordoba,Colombia,8.0493,-75.574,35039,1767,2021-02-12,05:23:29
Cundinamarca,Colombia,5.026,-74.03,101192,2698,2021-02-12,05:23:29
Guainia,Colombia,2.5854,-68.5247,1295,22,2021-02-12,05:23:29
Guaviare,Colombia,1.0654,-73.2603,2186,39,2021-02-12,05:23:29
Huila,Colombia,2.5359,-75.5277,48505,1626,2021-02-12,05:23:29
La Guajira,Colombia,11.3548,-72.5205,15965,621,2021-02-12,05:23:29
Magdalena,Colombia,10.4113,-74.4057,31345,1213,2021-02-12,05:23:29
Meta,Colombia,3.272,-73.0877,41611,935,2021-02-12,05:23:29
Narino,Colombia,1.2892,-77.3579,47715,1508,2021-02-12,05:23:29
Norte de Santander,Colombia,7.9463,-72.8988,49753,2628,2021-02-12,05:23:29
Putumayo,Colombia,0.436,-75.5277,7665,300,2021-02-12,05:23:29
Quindio,Colombia,4.461,-75.6674,31054,898,2021-02-12,05:23:29
Risaralda,Colombia,5.3158,-75.9928,45250,1095,2021-02-12,05:23:29
San Andres y Providencia,Colombia,12.5567,-81.7185,2671,43,2021-02-12,05:23:29
Santander,Colombia,6.6437,-73.6536,87106,3108,2021-02-12,05:23:29
Sucre,Colombia,8.814,-74.7233,19927,740,2021-02-12,05:23:29
Tolima,Colombia,4.0925,-75.1545,64228,2001,2021-02-12,05:23:29
Unknown,Colombia,,,0,0,2021-02-12,05:23:29
Valle del Cauca,Colombia,3.8009,-76.6413,187395,5859,2021-02-12,05:23:29
Vaupes,Colombia,0.8554,-70.812,1152,13,2021-02-12,05:23:29
Vichada,Colombia,4.4234,-69.2878,1334,21,2021-02-12,05:23:29
Amazonas,Colombia,-1.4429,-71.5724,4292,146,2021-02-13,05:22:12
