Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Congo (Kinshasa),-4.0383,21.7587,29853,766,2021-05-01,04:20:47
,Congo (Kinshasa),-4.0383,21.7587,29904,768,2021-05-02,04:20:48
,Congo (Kinshasa),-4.0383,21.7587,29965,768,2021-05-03,04:20:39
,Congo (Kinshasa),-4.0383,21.7587,30004,768,2021-05-04,04:20:34
,Congo (Kinshasa),-4.0383,21.7587,30071,770,2021-05-05,04:20:43
,Congo (Kinshasa),-4.0383,21.7587,30130,770,2021-05-06,04:20:38
,Congo (Kinshasa),-4.0383,21.7587,30201,770,2021-05-07,04:20:40
,Congo (Kinshasa),-4.0383,21.7587,30240,772,2021-05-08,04:21:04
,Congo (Kinshasa),-4.0383,21.7587,30285,772,2021-05-09,04:20:35
,Congo (Kinshasa),-4.0383,21.7587,30323,772,2021-05-10,04:20:38
,Congo (Kinshasa),-4.0383,21.7587,30350,772,2021-05-11,04:20:41
,Congo (Kinshasa),-4.0383,21.7587,30392,775,2021-05-12,04:21:29
,Congo (Kinshasa),-4.0383,21.7587,30429,775,2021-05-13,04:20:51
,Congo (Kinshasa),-4.0383,21.7587,30478,775,2021-05-14,04:20:41
,Congo (Kinshasa),-4.0383,21.7587,30511,775,2021-05-15,04:20:58
,Congo (Kinshasa),-4.0383,21.7587,30546,776,2021-05-16,04:20:49
,Congo (Kinshasa),-4.0383,21.7587,30562,776,2021-05-17,04:20:34
,Congo (Kinshasa),-4.0383,21.7587,30609,776,2021-05-18,04:20:33
,Congo (Kinshasa),-4.0383,21.7587,30620,776,2021-05-19,04:20:42
,Congo (Kinshasa),-4.0383,21.7587,30708,776,2021-05-20,04:21:05
,Congo (Kinshasa),-4.0383,21.7587,30757,779,2021-05-21,04:20:43
,Congo (Kinshasa),-4.0383,21.7587,30825,779,2021-05-22,04:20:45
,Congo (Kinshasa),-4.0383,21.7587,30863,779,2021-05-23,04:20:51
,Congo (Kinshasa),-4.0383,21.7587,30863,779,2021-05-24,04:20:53
,Congo (Kinshasa),-4.0383,21.7587,30863,779,2021-05-25,04:21:08
,Congo (Kinshasa),-4.0383,21.7587,31172,780,2021-05-26,04:20:35
,Congo (Kinshasa),-4.0383,21.7587,31248,780,2021-05-27,04:20:59
,Congo (Kinshasa),-4.0383,21.7587,31279,781,2021-05-28,04:20:36
,Congo (Kinshasa),-4.0383,21.7587,31386,782,2021-05-29,04:20:41
,Congo (Kinshasa),-4.0383,21.7587,31416,782,2021-05-30,04:20:55
,Congo (Kinshasa),-4.0383,21.7587,31557,782,2021-05-31,03:08:59
,Congo (Kinshasa),-4.0383,21.7587,31651,782,2021-06-01,04:23:09
,Congo (Kinshasa),-4.0383,21.7587,31651,782,2021-06-02,04:24:34
,Congo (Kinshasa),-4.0383,21.7587,31934,786,2021-06-03,04:23:32
,Congo (Kinshasa),-4.0383,21.7587,32177,789,2021-06-04,04:23:37
,Congo (Kinshasa),-4.0383,21.7587,32545,789,2021-06-05,04:23:03
,Congo (Kinshasa),-4.0383,21.7587,32796,797,2021-06-06,04:24:03
,Congo (Kinshasa),-4.0383,21.7587,33202,804,2021-06-07,04:22:51
,Congo (Kinshasa),-4.0383,21.7587,33338,805,2021-06-08,04:22:35
,Congo (Kinshasa),-4.0383,21.7587,33577,817,2021-06-09,04:23:31
,Congo (Kinshasa),-4.0383,21.7587,33956,821,2021-06-10,04:23:17
,Congo (Kinshasa),-4.0383,21.7587,34266,825,2021-06-11,04:23:20
,Congo (Kinshasa),-4.0383,21.7587,34695,831,2021-06-12,04:22:22
,Congo (Kinshasa),-4.0383,21.7587,34949,834,2021-06-13,04:22:44
,Congo (Kinshasa),-4.0383,21.7587,35228,834,2021-06-14,04:22:46
,Congo (Kinshasa),-4.0383,21.7587,35668,846,2021-06-15,04:22:22
,Congo (Kinshasa),-4.0383,21.7587,35918,854,2021-06-16,04:22:32
,Congo (Kinshasa),-4.0383,21.7587,36222,857,2021-06-17,04:22:36
,Congo (Kinshasa),-4.0383,21.7587,36578,866,2021-06-18,04:22:16
,Congo (Kinshasa),-4.0383,21.7587,36957,866,2021-06-19,04:22:33
,Congo (Kinshasa),-4.0383,21.7587,37519,873,2021-06-20,04:21:48
,Congo (Kinshasa),-4.0383,21.7587,37809,879,2021-06-21,04:21:41
,Congo (Kinshasa),-4.0383,21.7587,37926,879,2021-06-22,04:21:34
,Congo (Kinshasa),-4.0383,21.7587,38330,888,2021-06-23,04:21:46
,Congo (Kinshasa),-4.0383,21.7587,38553,891,2021-06-24,04:21:55
,Congo (Kinshasa),-4.0383,21.7587,38936,896,2021-06-25,04:21:33
,Congo (Kinshasa),-4.0383,21.7587,39395,898,2021-06-26,04:21:43
,Congo (Kinshasa),-4.0383,21.7587,39758,912,2021-06-27,04:21:39
,Congo (Kinshasa),-4.0383,21.7587,40254,916,2021-06-28,04:21:29
,Congo (Kinshasa),-4.0383,21.7587,40439,916,2021-06-29,04:21:28
,Congo (Kinshasa),-4.0383,21.7587,40836,924,2021-06-30,04:21:41
,Congo (Kinshasa),-4.0383,21.7587,40836,924,2021-07-01,04:21:19
,Congo (Kinshasa),-4.0383,21.7587,41353,933,2021-07-02,04:21:47
,Congo (Kinshasa),-4.0383,21.7587,41771,937,2021-07-03,04:21:37
,Congo (Kinshasa),-4.0383,21.7587,41959,945,2021-07-04,04:21:38
,Congo (Kinshasa),-4.0383,21.7587,42181,960,2021-07-05,04:21:28
,Congo (Kinshasa),-4.0383,21.7587,42617,962,2021-07-06,04:21:32
,Congo (Kinshasa),-4.0383,21.7587,42880,969,2021-07-07,04:21:20
,Congo (Kinshasa),-4.0383,21.7587,43019,969,2021-07-08,04:21:26
,Congo (Kinshasa),-4.0383,21.7587,43333,973,2021-07-09,04:21:21
,Congo (Kinshasa),-4.0383,21.7587,43694,979,2021-07-10,04:21:25
,Congo (Kinshasa),-4.0383,21.7587,43970,980,2021-07-11,04:21:43
,Congo (Kinshasa),-4.0383,21.7587,44139,980,2021-07-12,04:21:34
,Congo (Kinshasa),-4.0383,21.7587,44332,984,2021-07-13,04:21:18
,Congo (Kinshasa),-4.0383,21.7587,44512,984,2021-07-14,04:21:35
,Congo (Kinshasa),-4.0383,21.7587,44909,984,2021-07-15,04:21:48
,Congo (Kinshasa),-4.0383,21.7587,45211,984,2021-07-16,04:21:22
,Congo (Kinshasa),-4.0383,21.7587,45426,984,2021-07-17,04:22:22
,Congo (Kinshasa),-4.0383,21.7587,45426,984,2021-07-18,04:22:07
,Congo (Kinshasa),-4.0383,21.7587,46009,1018,2021-07-19,04:21:24
,Congo (Kinshasa),-4.0383,21.7587,46356,1018,2021-07-20,04:21:48
,Congo (Kinshasa),-4.0383,21.7587,46725,1018,2021-07-21,04:21:40
,Congo (Kinshasa),-4.0383,21.7587,46866,1020,2021-07-22,04:21:19
,Congo (Kinshasa),-4.0383,21.7587,47174,1021,2021-07-23,04:21:29
,Congo (Kinshasa),-4.0383,21.7587,47404,1021,2021-07-24,00:21:36
,Congo (Kinshasa),-4.0383,21.7587,47786,1021,2021-07-25,04:22:12
,Congo (Kinshasa),-4.0383,21.7587,48128,1023,2021-07-26,04:21:28
,Congo (Kinshasa),-4.0383,21.7587,48503,1023,2021-07-27,04:21:18
,Congo (Kinshasa),-4.0383,21.7587,48768,1023,2021-07-28,04:21:39
,Congo (Kinshasa),-4.0383,21.7587,48970,1023,2021-07-29,04:21:33
,Congo (Kinshasa),-4.0383,21.7587,49251,1023,2021-07-30,04:21:34
,Congo (Kinshasa),-4.0383,21.7587,49562,1023,2021-07-31,04:21:35
,Congo (Kinshasa),-4.0383,21.7587,49917,1038,2021-08-01,04:21:50
,Congo (Kinshasa),-4.0383,21.7587,49917,1038,2021-08-02,04:21:36
,Congo (Kinshasa),-4.0383,21.7587,50193,1038,2021-08-03,04:21:39
,Congo (Kinshasa),-4.0383,21.7587,50529,1045,2021-08-04,04:21:25
,Congo (Kinshasa),-4.0383,21.7587,50793,1045,2021-08-05,04:21:51
,Congo (Kinshasa),-4.0383,21.7587,51048,1045,2021-08-06,04:21:18
,Congo (Kinshasa),-4.0383,21.7587,51254,1045,2021-08-07,04:21:30
,Congo (Kinshasa),-4.0383,21.7587,51523,1048,2021-08-08,04:21:33
,Congo (Kinshasa),-4.0383,21.7587,51889,1048,2021-08-09,04:21:24
,Congo (Kinshasa),-4.0383,21.7587,51985,1048,2021-08-10,04:21:27
,Congo (Kinshasa),-4.0383,21.7587,52292,1048,2021-08-11,04:21:58
,Congo (Kinshasa),-4.0383,21.7587,52432,1050,2021-08-12,04:21:25
,Congo (Kinshasa),-4.0383,21.7587,52432,1050,2021-08-13,04:21:24
,Congo (Kinshasa),-4.0383,21.7587,52971,1050,2021-08-14,04:21:25
,Congo (Kinshasa),-4.0383,21.7587,53136,1050,2021-08-15,04:21:41
,Congo (Kinshasa),-4.0383,21.7587,53254,1050,2021-08-16,04:21:31
,Congo (Kinshasa),-4.0383,21.7587,53346,1050,2021-08-17,04:21:49
,Congo (Kinshasa),-4.0383,21.7587,53501,1050,2021-08-18,04:21:35
,Congo (Kinshasa),-4.0383,21.7587,53620,1050,2021-08-19,04:21:15
,Congo (Kinshasa),-4.0383,21.7587,53757,1053,2021-08-20,04:21:33
,Congo (Kinshasa),-4.0383,21.7587,53899,1053,2021-08-21,04:21:38
,Congo (Kinshasa),-4.0383,21.7587,53899,1053,2021-08-22,04:21:29
,Congo (Kinshasa),-4.0383,21.7587,54009,1053,2021-08-23,04:21:27
,Congo (Kinshasa),-4.0383,21.7587,54009,1053,2021-08-24,04:21:19
,Congo (Kinshasa),-4.0383,21.7587,54009,1053,2021-08-25,04:21:41
,Congo (Kinshasa),-4.0383,21.7587,54137,1055,2021-08-26,04:21:28
,Congo (Kinshasa),-4.0383,21.7587,54226,1057,2021-08-27,04:21:37
