Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,El Salvador,13.7942,-88.8965,66816,2057,2021-04-14,04:20:41
,El Salvador,13.7942,-88.8965,66956,2060,2021-04-15,04:20:54
,El Salvador,13.7942,-88.8965,67099,2064,2021-04-16,04:20:46
,El Salvador,13.7942,-88.8965,67249,2068,2021-04-17,04:20:40
,El Salvador,13.7942,-88.8965,67404,2072,2021-04-18,04:20:41
,El Salvador,13.7942,-88.8965,67557,2075,2021-04-19,04:20:57
,El Salvador,13.7942,-88.8965,67557,2078,2021-04-20,04:20:41
,El Salvador,13.7942,-88.8965,67851,2082,2021-04-21,04:21:14
,El Salvador,13.7942,-88.8965,68007,2086,2021-04-22,04:20:53
,El Salvador,13.7942,-88.8965,68161,2089,2021-04-23,04:20:52
,El Salvador,13.7942,-88.8965,68318,2093,2021-04-24,04:20:38
,El Salvador,13.7942,-88.8965,68468,2098,2021-04-25,04:20:32
,El Salvador,13.7942,-88.8965,68468,2103,2021-04-26,04:21:04
,El Salvador,13.7942,-88.8965,68468,2106,2021-04-27,04:20:52
,El Salvador,13.7942,-88.8965,68922,2111,2021-04-28,04:20:32
,El Salvador,13.7942,-88.8965,68922,2117,2021-04-29,04:20:55
,El Salvador,13.7942,-88.8965,69198,2120,2021-04-30,04:21:03
,El Salvador,13.7942,-88.8965,69198,2124,2021-05-01,04:20:47
,El Salvador,13.7942,-88.8965,69198,2124,2021-05-02,04:20:48
,El Salvador,13.7942,-88.8965,69198,2132,2021-05-03,04:20:39
,El Salvador,13.7942,-88.8965,69727,2134,2021-05-04,04:20:34
,El Salvador,13.7942,-88.8965,69727,2137,2021-05-05,04:20:43
,El Salvador,13.7942,-88.8965,69997,2141,2021-05-06,04:20:38
,El Salvador,13.7942,-88.8965,69997,2143,2021-05-07,04:20:40
,El Salvador,13.7942,-88.8965,70255,2146,2021-05-08,04:21:04
,El Salvador,13.7942,-88.8965,70255,2150,2021-05-09,04:20:35
,El Salvador,13.7942,-88.8965,70380,2154,2021-05-10,04:20:38
,El Salvador,13.7942,-88.8965,70380,2158,2021-05-11,04:20:41
,El Salvador,13.7942,-88.8965,70380,2164,2021-05-12,04:21:29
,El Salvador,13.7942,-88.8965,70915,2168,2021-05-13,04:20:51
,El Salvador,13.7942,-88.8965,70915,2173,2021-05-14,04:20:41
,El Salvador,13.7942,-88.8965,70915,2178,2021-05-15,04:20:58
,El Salvador,13.7942,-88.8965,71330,2182,2021-05-16,04:20:49
