Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Indonesia,-0.7893,113.9213,1278653,34489,2021-02-22,05:24:21
,Indonesia,-0.7893,113.9213,1288833,34691,2021-02-23,05:23:41
,Indonesia,-0.7893,113.9213,1298608,35014,2021-02-24,05:29:16
,Indonesia,-0.7893,113.9213,1306141,35254,2021-02-25,05:24:57
,Indonesia,-0.7893,113.9213,1314634,35518,2021-02-26,05:22:40
,Indonesia,-0.7893,113.9213,1322866,35786,2021-02-27,05:22:28
,Indonesia,-0.7893,113.9213,1329074,35981,2021-02-28,05:22:20
,Indonesia,-0.7893,113.9213,1334634,36166,2021-03-01,05:23:01
,Indonesia,-0.7893,113.9213,1341314,36325,2021-03-02,05:23:30
,Indonesia,-0.7893,113.9213,1347026,36518,2021-03-03,05:23:28
,Indonesia,-0.7893,113.9213,1353834,36721,2021-03-04,05:24:24
,Indonesia,-0.7893,113.9213,1361098,36897,2021-03-05,05:26:29
,Indonesia,-0.7893,113.9213,1368069,37026,2021-03-06,04:23:41
,Indonesia,-0.7893,113.9213,1373836,37154,2021-03-07,05:21:54
,Indonesia,-0.7893,113.9213,1379662,37266,2021-03-08,05:24:48
,Indonesia,-0.7893,113.9213,1386556,37547,2021-03-09,05:28:19
,Indonesia,-0.7893,113.9213,1392945,37757,2021-03-10,05:24:35
,Indonesia,-0.7893,113.9213,1398578,37932,2021-03-11,05:25:48
,Indonesia,-0.7893,113.9213,1403722,38049,2021-03-12,05:26:50
,Indonesia,-0.7893,113.9213,1410134,38229,2021-03-13,05:25:15
,Indonesia,-0.7893,113.9213,1414741,38329,2021-03-14,05:25:37
,Indonesia,-0.7893,113.9213,1419455,38426,2021-03-15,05:25:51
,Indonesia,-0.7893,113.9213,1425044,38573,2021-03-16,05:25:13
,Indonesia,-0.7893,113.9213,1430458,38753,2021-03-17,05:25:07
,Indonesia,-0.7893,113.9213,1437283,38915,2021-03-18,05:26:22
,Indonesia,-0.7893,113.9213,1443853,39142,2021-03-19,05:26:09
,Indonesia,-0.7893,113.9213,1450132,39339,2021-03-20,05:25:46
,Indonesia,-0.7893,113.9213,1455788,39447,2021-03-21,05:25:44
,Indonesia,-0.7893,113.9213,1460184,39550,2021-03-22,05:25:43
,Indonesia,-0.7893,113.9213,1465928,39711,2021-03-23,05:26:18
,Indonesia,-0.7893,113.9213,1471225,39865,2021-03-24,05:25:40
,Indonesia,-0.7893,113.9213,1476452,39983,2021-03-25,05:27:00
,Indonesia,-0.7893,113.9213,1482559,40081,2021-03-26,05:26:55
,Indonesia,-0.7893,113.9213,1487541,40166,2021-03-27,05:25:04
,Indonesia,-0.7893,113.9213,1492002,40364,2021-03-28,05:28:10
,Indonesia,-0.7893,113.9213,1496085,40449,2021-03-29,04:28:35
,Indonesia,-0.7893,113.9213,1501093,40581,2021-03-30,04:26:23
,Indonesia,-0.7893,113.9213,1505775,40754,2021-03-31,04:26:25
,Indonesia,-0.7893,113.9213,1511712,40858,2021-04-01,04:27:05
