Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Ireland,53.1424,-7.6921,75507,2120,2020-12-12,05:26:19
,Ireland,53.1424,-7.6921,75756,2123,2020-12-13,05:27:20
,Ireland,53.1424,-7.6921,76185,2124,2020-12-14,05:26:27
,Ireland,53.1424,-7.6921,76449,2126,2020-12-15,05:26:38
,Ireland,53.1424,-7.6921,76776,2134,2020-12-16,05:28:04
,Ireland,53.1424,-7.6921,77197,2140,2020-12-17,05:28:12
,Ireland,53.1424,-7.6921,77678,2143,2020-12-18,05:28:18
,Ireland,53.1424,-7.6921,78254,2149,2020-12-19,05:27:52
,Ireland,53.1424,-7.6921,78776,2154,2020-12-20,05:27:32
,Ireland,53.1424,-7.6921,79542,2158,2020-12-21,05:27:58
,Ireland,53.1424,-7.6921,80267,2158,2020-12-22,05:22:33
,Ireland,53.1424,-7.6921,81228,2171,2020-12-23,05:22:03
,Ireland,53.1424,-7.6921,82155,2184,2020-12-24,05:23:04
,Ireland,53.1424,-7.6921,83073,2192,2020-12-25,05:22:48
,Ireland,53.1424,-7.6921,84098,2194,2020-12-26,05:22:28
,Ireland,53.1424,-7.6921,85394,2200,2020-12-27,05:22:55
,Ireland,53.1424,-7.6921,86129,2204,2020-12-28,05:22:06
,Ireland,53.1424,-7.6921,86894,2205,2020-12-29,05:22:37
,Ireland,53.1424,-7.6921,88439,2213,2020-12-30,05:22:34
,Ireland,53.1424,-7.6921,90157,2226,2020-12-31,05:22:49
,Ireland,53.1424,-7.6921,91779,2237,2021-01-01,05:23:07
,Ireland,53.1424,-7.6921,93532,2248,2021-01-02,05:22:33
,Ireland,53.1424,-7.6921,96926,2252,2021-01-03,05:22:52
,Ireland,53.1424,-7.6921,101887,2259,2021-01-04,05:22:02
,Ireland,53.1424,-7.6921,107997,2265,2021-01-05,05:21:49
,Ireland,53.1424,-7.6921,113322,2282,2021-01-06,05:22:16
,Ireland,53.1424,-7.6921,121154,2299,2021-01-07,05:22:03
,Ireland,53.1424,-7.6921,127657,2307,2021-01-08,05:22:42
,Ireland,53.1424,-7.6921,135884,2327,2021-01-09,05:22:18
,Ireland,53.1424,-7.6921,140727,2336,2021-01-10,05:22:12
,Ireland,53.1424,-7.6921,147613,2344,2021-01-11,05:21:50
,Ireland,53.1424,-7.6921,152539,2352,2021-01-12,05:22:15
,Ireland,53.1424,-7.6921,155591,2397,2021-01-13,05:22:15
,Ireland,53.1424,-7.6921,159144,2460,2021-01-14,05:22:32
,Ireland,53.1424,-7.6921,163057,2488,2021-01-15,05:22:24
,Ireland,53.1424,-7.6921,166548,2536,2021-01-16,05:22:40
,Ireland,53.1424,-7.6921,169780,2595,2021-01-17,05:22:17
,Ireland,53.1424,-7.6921,172726,2608,2021-01-18,05:22:34
,Ireland,53.1424,-7.6921,174843,2616,2021-01-19,05:22:15
,Ireland,53.1424,-7.6921,176839,2708,2021-01-20,05:21:54
,Ireland,53.1424,-7.6921,179324,2768,2021-01-21,05:22:01
,Ireland,53.1424,-7.6921,181922,2818,2021-01-22,05:22:10
,Ireland,53.1424,-7.6921,184279,2870,2021-01-23,05:22:03
,Ireland,53.1424,-7.6921,186184,2947,2021-01-24,05:22:35
,Ireland,53.1424,-7.6921,187554,2970,2021-01-25,05:22:16
,Ireland,53.1424,-7.6921,188923,2977,2021-01-26,05:22:02
,Ireland,53.1424,-7.6921,189851,3066,2021-01-27,05:23:41
,Ireland,53.1424,-7.6921,191182,3120,2021-01-28,05:22:24
,Ireland,53.1424,-7.6921,192645,3167,2021-01-29,05:22:23
,Ireland,53.1424,-7.6921,193892,3214,2021-01-30,05:22:49
,Ireland,53.1424,-7.6921,195303,3292,2021-01-31,05:22:42
,Ireland,53.1424,-7.6921,196547,3307,2021-02-01,05:22:53
,Ireland,53.1424,-7.6921,197553,3317,2021-02-02,05:22:49
,Ireland,53.1424,-7.6921,198424,3418,2021-02-03,05:22:52
,Ireland,53.1424,-7.6921,199430,3512,2021-02-04,05:22:26
,Ireland,53.1424,-7.6921,200744,3586,2021-02-05,05:22:38
,Ireland,53.1424,-7.6921,201763,3621,2021-02-06,05:23:55
,Ireland,53.1424,-7.6921,202548,3674,2021-02-07,05:23:00
,Ireland,53.1424,-7.6921,203568,3686,2021-02-08,05:22:39
,Ireland,53.1424,-7.6921,204397,3687,2021-02-09,05:23:30
,Ireland,53.1424,-7.6921,204940,3752,2021-02-10,05:22:41
,Ireland,53.1424,-7.6921,205939,3794,2021-02-11,05:23:55
,Ireland,53.1424,-7.6921,206801,3846,2021-02-12,05:23:29
,Ireland,53.1424,-7.6921,207720,3865,2021-02-13,05:22:12
,Ireland,53.1424,-7.6921,208796,3931,2021-02-14,05:23:43
,Ireland,53.1424,-7.6921,209582,3948,2021-02-15,05:24:49
,Ireland,53.1424,-7.6921,210402,3948,2021-02-16,05:24:38
,Ireland,53.1424,-7.6921,211113,3980,2021-02-17,05:23:10
,Ireland,53.1424,-7.6921,211751,4036,2021-02-18,05:22:58
,Ireland,53.1424,-7.6921,212647,4082,2021-02-19,05:24:16
,Ireland,53.1424,-7.6921,213400,4109,2021-02-20,05:22:51
,Ireland,53.1424,-7.6921,214378,4135,2021-02-21,05:24:33
,Ireland,53.1424,-7.6921,215057,4136,2021-02-22,05:24:21
,Ireland,53.1424,-7.6921,215743,4137,2021-02-23,05:23:41
,Ireland,53.1424,-7.6921,216300,4181,2021-02-24,05:29:16
,Ireland,53.1424,-7.6921,216840,4237,2021-02-25,05:24:57
,Ireland,53.1424,-7.6921,217478,4271,2021-02-26,05:22:40
,Ireland,53.1424,-7.6921,218251,4300,2021-02-27,05:22:28
,Ireland,53.1424,-7.6921,218980,4313,2021-02-28,05:22:20
,Ireland,53.1424,-7.6921,219592,4319,2021-03-01,05:23:01
,Ireland,53.1424,-7.6921,220273,4319,2021-03-02,05:23:30
,Ireland,53.1424,-7.6921,220630,4333,2021-03-03,05:23:28
,Ireland,53.1424,-7.6921,221189,4357,2021-03-04,05:24:24
,Ireland,53.1424,-7.6921,221649,4396,2021-03-05,05:26:29
,Ireland,53.1424,-7.6921,222169,4405,2021-03-06,04:23:41
,Ireland,53.1424,-7.6921,222699,4419,2021-03-07,05:21:54
,Ireland,53.1424,-7.6921,223219,4422,2021-03-08,05:24:48
,Ireland,53.1424,-7.6921,223651,4422,2021-03-09,05:28:19
,Ireland,53.1424,-7.6921,223957,4452,2021-03-10,05:24:35
,Ireland,53.1424,-7.6921,224588,4499,2021-03-11,05:25:48
,Ireland,53.1424,-7.6921,225179,4509,2021-03-12,05:26:50
,Ireland,53.1424,-7.6921,225820,4518,2021-03-13,05:25:15
,Ireland,53.1424,-7.6921,226358,4534,2021-03-14,05:25:37
,Ireland,53.1424,-7.6921,226741,4534,2021-03-15,05:25:51
