Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Kenya,-0.0236,37.9062,164720,2968,2021-05-14,04:20:41
,Kenya,-0.0236,37.9062,165112,2976,2021-05-15,04:20:58
,Kenya,-0.0236,37.9062,165379,3001,2021-05-16,04:20:49
,Kenya,-0.0236,37.9062,165465,3003,2021-05-17,04:20:34
,Kenya,-0.0236,37.9062,165537,3013,2021-05-18,04:20:33
,Kenya,-0.0236,37.9062,166006,3021,2021-05-19,04:20:42
,Kenya,-0.0236,37.9062,166382,3035,2021-05-20,04:21:05
,Kenya,-0.0236,37.9062,166876,3040,2021-05-21,04:20:43
,Kenya,-0.0236,37.9062,167535,3043,2021-05-22,04:20:45
,Kenya,-0.0236,37.9062,168108,3049,2021-05-23,04:20:51
,Kenya,-0.0236,37.9062,168432,3059,2021-05-24,04:20:53
,Kenya,-0.0236,37.9062,168543,3073,2021-05-25,04:21:08
,Kenya,-0.0236,37.9062,168925,3087,2021-05-26,04:20:35
,Kenya,-0.0236,37.9062,169356,3097,2021-05-27,04:20:59
,Kenya,-0.0236,37.9062,169697,3108,2021-05-28,04:20:36
,Kenya,-0.0236,37.9062,170041,3124,2021-05-29,04:20:41
,Kenya,-0.0236,37.9062,170485,3141,2021-05-30,04:20:55
,Kenya,-0.0236,37.9062,170647,3157,2021-05-31,03:08:59
,Kenya,-0.0236,37.9062,170735,3172,2021-06-01,04:23:09
,Kenya,-0.0236,37.9062,171084,3188,2021-06-02,04:24:34
,Kenya,-0.0236,37.9062,171226,3206,2021-06-03,04:23:32
,Kenya,-0.0236,37.9062,171658,3223,2021-06-04,04:23:37
,Kenya,-0.0236,37.9062,171942,3240,2021-06-05,04:23:03
,Kenya,-0.0236,37.9062,172325,3264,2021-06-06,04:24:03
,Kenya,-0.0236,37.9062,172491,3287,2021-06-07,04:22:51
,Kenya,-0.0236,37.9062,172639,3308,2021-06-08,04:22:35
,Kenya,-0.0236,37.9062,173072,3326,2021-06-09,04:23:31
,Kenya,-0.0236,37.9062,173661,3345,2021-06-10,04:23:17
,Kenya,-0.0236,37.9062,174285,3362,2021-06-11,04:23:20
,Kenya,-0.0236,37.9062,174773,3378,2021-06-12,04:22:22
,Kenya,-0.0236,37.9062,175176,3396,2021-06-13,04:22:44
,Kenya,-0.0236,37.9062,175337,3410,2021-06-14,04:22:46
,Kenya,-0.0236,37.9062,175681,3421,2021-06-15,04:22:22
,Kenya,-0.0236,37.9062,176137,3428,2021-06-16,04:22:32
,Kenya,-0.0236,37.9062,176622,3428,2021-06-17,04:22:36
,Kenya,-0.0236,37.9062,177282,3434,2021-06-18,04:22:16
,Kenya,-0.0236,37.9062,178078,3437,2021-06-19,04:22:33
,Kenya,-0.0236,37.9062,178792,3447,2021-06-20,04:21:48
,Kenya,-0.0236,37.9062,179075,3456,2021-06-21,04:21:41
,Kenya,-0.0236,37.9062,179293,3461,2021-06-22,04:21:34
,Kenya,-0.0236,37.9062,179876,3484,2021-06-23,04:21:46
,Kenya,-0.0236,37.9062,180498,3514,2021-06-24,04:21:55
,Kenya,-0.0236,37.9062,181239,3538,2021-06-25,04:21:33
,Kenya,-0.0236,37.9062,181885,3556,2021-06-26,04:21:43
,Kenya,-0.0236,37.9062,182393,3574,2021-06-27,04:21:39
,Kenya,-0.0236,37.9062,182597,3595,2021-06-28,04:21:29
,Kenya,-0.0236,37.9062,182884,3612,2021-06-29,04:21:28
,Kenya,-0.0236,37.9062,183603,3621,2021-06-30,04:21:41
,Kenya,-0.0236,37.9062,184161,3634,2021-07-01,04:21:19
,Kenya,-0.0236,37.9062,184537,3640,2021-07-02,04:21:47
,Kenya,-0.0236,37.9062,185060,3651,2021-07-03,04:21:37
,Kenya,-0.0236,37.9062,185591,3671,2021-07-04,04:21:38
,Kenya,-0.0236,37.9062,185868,3675,2021-07-05,04:21:28
,Kenya,-0.0236,37.9062,186053,3690,2021-07-06,04:21:32
,Kenya,-0.0236,37.9062,186453,3697,2021-07-07,04:21:20
,Kenya,-0.0236,37.9062,186959,3705,2021-07-08,04:21:26
,Kenya,-0.0236,37.9062,187525,3716,2021-07-09,04:21:21
,Kenya,-0.0236,37.9062,187977,3718,2021-07-10,04:21:25
,Kenya,-0.0236,37.9062,188513,3721,2021-07-11,04:21:43
,Kenya,-0.0236,37.9062,188754,3722,2021-07-12,04:21:34
,Kenya,-0.0236,37.9062,188942,3723,2021-07-13,04:21:18
,Kenya,-0.0236,37.9062,189703,3732,2021-07-14,04:21:35
,Kenya,-0.0236,37.9062,190183,3737,2021-07-15,04:21:48
,Kenya,-0.0236,37.9062,191020,3746,2021-07-16,04:21:22
,Kenya,-0.0236,37.9062,191712,3754,2021-07-17,04:22:22
,Kenya,-0.0236,37.9062,192435,3760,2021-07-18,04:22:07
,Kenya,-0.0236,37.9062,192758,3775,2021-07-19,04:21:24
,Kenya,-0.0236,37.9062,193189,3783,2021-07-20,04:21:48
,Kenya,-0.0236,37.9062,193807,3800,2021-07-21,04:21:40
,Kenya,-0.0236,37.9062,194310,3811,2021-07-22,04:21:19
,Kenya,-0.0236,37.9062,195111,3826,2021-07-23,04:21:29
,Kenya,-0.0236,37.9062,195898,3838,2021-07-24,00:21:36
,Kenya,-0.0236,37.9062,196745,3849,2021-07-25,04:22:12
,Kenya,-0.0236,37.9062,197409,3865,2021-07-26,04:21:28
,Kenya,-0.0236,37.9062,197959,3872,2021-07-27,04:21:18
,Kenya,-0.0236,37.9062,198935,3882,2021-07-28,04:21:39
,Kenya,-0.0236,37.9062,199941,3895,2021-07-29,04:21:33
,Kenya,-0.0236,37.9062,201009,3910,2021-07-30,04:21:34
,Kenya,-0.0236,37.9062,201954,3926,2021-07-31,04:21:35
,Kenya,-0.0236,37.9062,203213,3931,2021-08-01,04:21:50
,Kenya,-0.0236,37.9062,203680,3946,2021-08-02,04:21:36
,Kenya,-0.0236,37.9062,204271,3970,2021-08-03,04:21:39
,Kenya,-0.0236,37.9062,205356,3995,2021-08-04,04:21:25
,Kenya,-0.0236,37.9062,206691,4025,2021-08-05,04:21:51
,Kenya,-0.0236,37.9062,208262,4057,2021-08-06,04:21:18
,Kenya,-0.0236,37.9062,209823,4088,2021-08-07,04:21:30
,Kenya,-0.0236,37.9062,211028,4117,2021-08-08,04:21:33
,Kenya,-0.0236,37.9062,211828,4149,2021-08-09,04:21:24
,Kenya,-0.0236,37.9062,212573,4179,2021-08-10,04:21:27
,Kenya,-0.0236,37.9062,213756,4211,2021-08-11,04:21:58
,Kenya,-0.0236,37.9062,215730,4241,2021-08-12,04:21:25
,Kenya,-0.0236,37.9062,217276,4273,2021-08-13,04:21:24
,Kenya,-0.0236,37.9062,218713,4302,2021-08-14,04:21:25
,Kenya,-0.0236,37.9062,219938,4319,2021-08-15,04:21:41
,Kenya,-0.0236,37.9062,220727,4340,2021-08-16,04:21:31
,Kenya,-0.0236,37.9062,221406,4350,2021-08-17,04:21:49
,Kenya,-0.0236,37.9062,222894,4354,2021-08-18,04:21:35
,Kenya,-0.0236,37.9062,224400,4378,2021-08-19,04:21:15
,Kenya,-0.0236,37.9062,225663,4404,2021-08-20,04:21:33
,Kenya,-0.0236,37.9062,227077,4435,2021-08-21,04:21:38
,Kenya,-0.0236,37.9062,228363,4467,2021-08-22,04:21:29
,Kenya,-0.0236,37.9062,229009,4497,2021-08-23,04:21:27
,Kenya,-0.0236,37.9062,229628,4528,2021-08-24,04:21:19
,Kenya,-0.0236,37.9062,230794,4564,2021-08-25,04:21:41
,Kenya,-0.0236,37.9062,232052,4600,2021-08-26,04:21:28
,Kenya,-0.0236,37.9062,232869,4635,2021-08-27,04:21:37
,Kenya,-0.0236,37.9062,233801,4666,2021-08-28,04:21:28
,Kenya,-0.0236,37.9062,234589,4694,2021-08-29,04:21:14
,Kenya,-0.0236,37.9062,234952,4710,2021-08-30,04:21:23
,Kenya,-0.0236,37.9062,235298,4720,2021-08-31,04:21:46
,Kenya,-0.0236,37.9062,235863,4726,2021-09-01,04:21:38
,Kenya,-0.0236,37.9062,236881,4739,2021-09-02,04:21:15
,Kenya,-0.0236,37.9062,237851,4746,2021-09-03,04:21:20
,Kenya,-0.0236,37.9062,238852,4757,2021-09-04,04:21:28
,Kenya,-0.0236,37.9062,239692,4778,2021-09-05,04:21:33
,Kenya,-0.0236,37.9062,240172,4786,2021-09-06,04:21:22
,Kenya,-0.0236,37.9062,240430,4795,2021-09-07,04:21:35
,Kenya,-0.0236,37.9062,241134,4800,2021-09-08,04:21:31
,Kenya,-0.0236,37.9062,241783,4830,2021-09-09,04:21:27
,Kenya,-0.0236,37.9062,242284,4864,2021-09-10,04:21:20
,Kenya,-0.0236,37.9062,242945,4896,2021-09-11,04:21:30
,Kenya,-0.0236,37.9062,243456,4902,2021-09-12,04:21:13
,Kenya,-0.0236,37.9062,243725,4906,2021-09-13,04:21:15
,Kenya,-0.0236,37.9062,243929,4923,2021-09-14,04:21:41
,Kenya,-0.0236,37.9062,244380,4928,2021-09-15,03:22:37
,Kenya,-0.0236,37.9062,244826,4949,2021-09-16,04:22:19
,Kenya,-0.0236,37.9062,245337,4961,2021-09-17,04:21:46
,Kenya,-0.0236,37.9062,245781,4965,2021-09-18,04:21:24
,Kenya,-0.0236,37.9062,246296,4980,2021-09-19,04:21:34
,Kenya,-0.0236,37.9062,246530,4989,2021-09-20,04:21:22
,Kenya,-0.0236,37.9062,246643,4995,2021-09-21,04:21:26
,Kenya,-0.0236,37.9062,246956,5008,2021-09-22,04:21:45
,Kenya,-0.0236,37.9062,247358,5018,2021-09-23,04:21:43
,Kenya,-0.0236,37.9062,247675,5045,2021-09-24,04:21:44
,Kenya,-0.0236,37.9062,248069,5082,2021-09-25,04:21:31
,Kenya,-0.0236,37.9062,248392,5096,2021-09-26,04:21:29
,Kenya,-0.0236,37.9062,248461,5102,2021-09-27,04:21:16
,Kenya,-0.0236,37.9062,248515,5109,2021-09-28,04:21:28
,Kenya,-0.0236,37.9062,248770,5116,2021-09-29,04:21:45
,Kenya,-0.0236,37.9062,249174,5119,2021-09-30,04:21:20
,Kenya,-0.0236,37.9062,249434,5123,2021-10-01,04:21:35
,Kenya,-0.0236,37.9062,249725,5128,2021-10-02,04:21:25
,Kenya,-0.0236,37.9062,250023,5131,2021-10-03,04:21:24
,Kenya,-0.0236,37.9062,250114,5140,2021-10-04,04:21:31
,Kenya,-0.0236,37.9062,250191,5141,2021-10-05,04:21:27
,Kenya,-0.0236,37.9062,250380,5150,2021-10-06,04:21:33
,Kenya,-0.0236,37.9062,250510,5175,2021-10-07,04:21:36
,Kenya,-0.0236,37.9062,250728,5178,2021-10-08,04:21:25
,Kenya,-0.0236,37.9062,250898,5179,2021-10-09,04:21:34
,Kenya,-0.0236,37.9062,251057,5181,2021-10-10,04:21:38
,Kenya,-0.0236,37.9062,251152,5181,2021-10-11,04:21:31
,Kenya,-0.0236,37.9062,251248,5190,2021-10-12,04:21:09
,Kenya,-0.0236,37.9062,251313,5195,2021-10-13,04:20:51
,Kenya,-0.0236,37.9062,251483,5198,2021-10-14,04:21:29
,Kenya,-0.0236,37.9062,251669,5202,2021-10-15,04:21:26
,Kenya,-0.0236,37.9062,251803,5210,2021-10-16,04:21:15
,Kenya,-0.0236,37.9062,251959,5215,2021-10-17,04:21:29
,Kenya,-0.0236,37.9062,252033,5223,2021-10-18,04:21:10
,Kenya,-0.0236,37.9062,252066,5224,2021-10-19,04:20:54
,Kenya,-0.0236,37.9062,252199,5233,2021-10-20,04:21:00
,Kenya,-0.0236,37.9062,252308,5238,2021-10-21,04:21:18
,Kenya,-0.0236,37.9062,252375,5238,2021-10-22,04:21:14
,Kenya,-0.0236,37.9062,252499,5249,2021-10-23,04:21:32
,Kenya,-0.0236,37.9062,252628,5255,2021-10-24,04:21:22
,Kenya,-0.0236,37.9062,252672,5257,2021-10-25,04:22:31
,Kenya,-0.0236,37.9062,252688,5260,2021-10-26,04:22:09
,Kenya,-0.0236,37.9062,252839,5263,2021-10-27,04:22:32
,Kenya,-0.0236,37.9062,252938,5266,2021-10-28,04:22:08
,Kenya,-0.0236,37.9062,253018,5270,2021-10-29,04:22:03
,Kenya,-0.0236,37.9062,253151,5273,2021-10-30,04:22:03
,Kenya,-0.0236,37.9062,253293,5276,2021-10-31,04:22:08
,Kenya,-0.0236,37.9062,253310,5281,2021-11-01,04:22:01
,Kenya,-0.0236,37.9062,253339,5281,2021-11-02,04:22:03
,Kenya,-0.0236,37.9062,253409,5282,2021-11-03,06:22:09
,Kenya,-0.0236,37.9062,253512,5282,2021-11-04,04:22:20
,Kenya,-0.0236,37.9062,253661,5296,2021-11-05,04:21:54
,Kenya,-0.0236,37.9062,253737,5296,2021-11-06,04:21:51
,Kenya,-0.0236,37.9062,253813,5305,2021-11-07,04:21:53
,Kenya,-0.0236,37.9062,253833,5312,2021-11-08,04:21:43
,Kenya,-0.0236,37.9062,253853,5312,2021-11-09,04:21:36
,Kenya,-0.0236,37.9062,253879,5314,2021-11-10,04:21:38
,Kenya,-0.0236,37.9062,254057,5314,2021-11-11,04:21:45
,Kenya,-0.0236,37.9062,254151,5315,2021-11-12,04:22:01
,Kenya,-0.0236,37.9062,254215,5316,2021-11-13,04:21:38
,Kenya,-0.0236,37.9062,254276,5316,2021-11-14,04:21:31
,Kenya,-0.0236,37.9062,254297,5316,2021-11-15,04:21:36
,Kenya,-0.0236,37.9062,254309,5319,2021-11-16,04:21:10
,Kenya,-0.0236,37.9062,254384,5322,2021-11-17,04:21:48
,Kenya,-0.0236,37.9062,254453,5325,2021-11-18,04:21:33
,Kenya,-0.0236,37.9062,254541,5325,2021-11-19,04:21:40
,Kenya,-0.0236,37.9062,254629,5325,2021-11-20,04:22:17
,Kenya,-0.0236,37.9062,254688,5325,2021-11-21,04:22:13
,Kenya,-0.0236,37.9062,254710,5328,2021-11-22,04:22:20
,Kenya,-0.0236,37.9062,254728,5328,2021-11-23,04:22:39
,Kenya,-0.0236,37.9062,254781,5330,2021-11-24,04:22:14
,Kenya,-0.0236,37.9062,254816,5332,2021-11-25,04:22:33
,Kenya,-0.0236,37.9062,254862,5332,2021-11-26,04:22:33
,Kenya,-0.0236,37.9062,254904,5333,2021-11-27,04:22:45
,Kenya,-0.0236,37.9062,254940,5333,2021-11-28,04:22:43
,Kenya,-0.0236,37.9062,254951,5333,2021-11-29,04:22:30
,Kenya,-0.0236,37.9062,254979,5334,2021-11-30,04:22:53
,Kenya,-0.0236,37.9062,255088,5335,2021-12-01,04:22:29
,Kenya,-0.0236,37.9062,255164,5335,2021-12-02,04:22:37
,Kenya,-0.0236,37.9062,255260,5335,2021-12-03,04:23:05
,Kenya,-0.0236,37.9062,255355,5335,2021-12-04,04:22:18
,Kenya,-0.0236,37.9062,255408,5335,2021-12-05,04:22:25
,Kenya,-0.0236,37.9062,255437,5335,2021-12-06,04:22:34
,Kenya,-0.0236,37.9062,255469,5335,2021-12-07,04:22:34
,Kenya,-0.0236,37.9062,255544,5337,2021-12-08,04:22:46
,Kenya,-0.0236,37.9062,255652,5337,2021-12-09,04:22:49
,Kenya,-0.0236,37.9062,255796,5339,2021-12-10,04:22:28
,Kenya,-0.0236,37.9062,255932,5342,2021-12-11,04:22:45
,Kenya,-0.0236,37.9062,256134,5346,2021-12-12,04:22:12
,Kenya,-0.0236,37.9062,256335,5348,2021-12-13,04:22:02
,Kenya,-0.0236,37.9062,256484,5349,2021-12-14,04:22:38
,Kenya,-0.0236,37.9062,256815,5349,2021-12-15,03:22:16
,Kenya,-0.0236,37.9062,257614,5350,2021-12-16,04:22:11
,Kenya,-0.0236,37.9062,258557,5350,2021-12-17,04:22:14
,Kenya,-0.0236,37.9062,260166,5353,2021-12-18,02:22:20
,Kenya,-0.0236,37.9062,262335,5353,2021-12-19,04:21:11
,Kenya,-0.0236,37.9062,263707,5353,2021-12-20,04:21:43
,Kenya,-0.0236,37.9062,264727,5353,2021-12-21,03:21:27
,Kenya,-0.0236,37.9062,267571,5354,2021-12-22,04:21:54
,Kenya,-0.0236,37.9062,270899,5355,2021-12-23,04:21:21
,Kenya,-0.0236,37.9062,274645,5356,2021-12-24,04:21:34
,Kenya,-0.0236,37.9062,277609,5357,2021-12-25,04:21:37
,Kenya,-0.0236,37.9062,281358,5359,2021-12-26,04:21:50
,Kenya,-0.0236,37.9062,282554,5361,2021-12-27,04:21:58
,Kenya,-0.0236,37.9062,284150,5364,2021-12-28,04:21:47
,Kenya,-0.0236,37.9062,285654,5364,2021-12-29,03:21:43
,Kenya,-0.0236,37.9062,288951,5372,2021-12-30,04:21:25
,Kenya,-0.0236,37.9062,292237,5376,2021-12-31,04:21:50
,Kenya,-0.0236,37.9062,295028,5378,2022-01-01,04:22:14
