Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Liberia,6.4280550000000005,-9.429499,1800,83,2021-01-12,05:22:15
,Liberia,6.4280550000000005,-9.429499,1800,83,2021-01-13,05:22:15
,Liberia,6.4280550000000005,-9.429499,1876,84,2021-01-14,05:22:32
,Liberia,6.4280550000000005,-9.429499,1877,84,2021-01-15,05:22:24
,Liberia,6.4280550000000005,-9.429499,1877,84,2021-01-16,05:22:40
,Liberia,6.4280550000000005,-9.429499,1882,84,2021-01-17,05:22:17
,Liberia,6.4280550000000005,-9.429499,1887,84,2021-01-18,05:22:34
,Liberia,6.4280550000000005,-9.429499,1887,84,2021-01-19,05:22:15
,Liberia,6.4280550000000005,-9.429499,1896,84,2021-01-20,05:21:54
,Liberia,6.4280550000000005,-9.429499,1898,84,2021-01-21,05:22:01
,Liberia,6.4280550000000005,-9.429499,1901,84,2021-01-22,05:22:10
,Liberia,6.4280550000000005,-9.429499,1901,84,2021-01-23,05:22:03
,Liberia,6.4280550000000005,-9.429499,1914,84,2021-01-24,05:22:35
,Liberia,6.4280550000000005,-9.429499,1914,84,2021-01-25,05:22:16
,Liberia,6.4280550000000005,-9.429499,1914,84,2021-01-26,05:22:02
,Liberia,6.4280550000000005,-9.429499,1927,84,2021-01-27,05:23:41
,Liberia,6.4280550000000005,-9.429499,1932,84,2021-01-28,05:22:24
,Liberia,6.4280550000000005,-9.429499,1936,84,2021-01-29,05:22:23
,Liberia,6.4280550000000005,-9.429499,1936,84,2021-01-30,05:22:49
,Liberia,6.4280550000000005,-9.429499,1939,84,2021-01-31,05:22:42
,Liberia,6.4280550000000005,-9.429499,1939,84,2021-02-01,05:22:53
,Liberia,6.4280550000000005,-9.429499,1939,84,2021-02-02,05:22:49
,Liberia,6.4280550000000005,-9.429499,1944,84,2021-02-03,05:22:52
,Liberia,6.4280550000000005,-9.429499,1944,84,2021-02-04,05:22:26
,Liberia,6.4280550000000005,-9.429499,1945,84,2021-02-05,05:22:38
,Liberia,6.4280550000000005,-9.429499,1945,84,2021-02-06,05:23:55
,Liberia,6.4280550000000005,-9.429499,1945,84,2021-02-07,05:23:00
,Liberia,6.4280550000000005,-9.429499,1956,84,2021-02-08,05:22:39
,Liberia,6.4280550000000005,-9.429499,1956,84,2021-02-09,05:23:30
,Liberia,6.4280550000000005,-9.429499,1956,84,2021-02-10,05:22:41
,Liberia,6.4280550000000005,-9.429499,1956,84,2021-02-11,05:23:55
,Liberia,6.4280550000000005,-9.429499,1956,84,2021-02-12,05:23:29
,Liberia,6.4280550000000005,-9.429499,1969,84,2021-02-13,05:22:12
,Liberia,6.4280550000000005,-9.429499,1969,84,2021-02-14,05:23:43
,Liberia,6.4280550000000005,-9.429499,1969,84,2021-02-15,05:24:49
,Liberia,6.4280550000000005,-9.429499,1969,84,2021-02-16,05:24:38
,Liberia,6.4280550000000005,-9.429499,1985,84,2021-02-17,05:23:10
,Liberia,6.4280550000000005,-9.429499,1985,84,2021-02-18,05:22:58
,Liberia,6.4280550000000005,-9.429499,1985,85,2021-02-19,05:24:16
,Liberia,6.4280550000000005,-9.429499,1985,85,2021-02-20,05:22:51
,Liberia,6.4280550000000005,-9.429499,1988,85,2021-02-21,05:24:33
,Liberia,6.4280550000000005,-9.429499,1988,85,2021-02-22,05:24:21
,Liberia,6.4280550000000005,-9.429499,1988,85,2021-02-23,05:23:41
,Liberia,6.4280550000000005,-9.429499,1996,85,2021-02-24,05:29:16
,Liberia,6.4280550000000005,-9.429499,1998,85,2021-02-25,05:24:57
,Liberia,6.4280550000000005,-9.429499,2002,85,2021-02-26,05:22:40
,Liberia,6.4280550000000005,-9.429499,2009,85,2021-02-27,05:22:28
