Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Liechtenstein,47.14,9.55,2658,55,2021-03-04,05:24:24
,Liechtenstein,47.14,9.55,2663,55,2021-03-05,05:26:29
,Liechtenstein,47.14,9.55,2665,56,2021-03-06,04:23:41
,Liechtenstein,47.14,9.55,2666,56,2021-03-07,05:21:54
,Liechtenstein,47.14,9.55,2668,56,2021-03-08,05:24:48
,Liechtenstein,47.14,9.55,2670,56,2021-03-09,05:28:19
,Liechtenstein,47.14,9.55,2670,56,2021-03-10,05:24:35
,Liechtenstein,47.14,9.55,2670,56,2021-03-11,05:25:48
,Liechtenstein,47.14,9.55,2677,56,2021-03-12,05:26:50
,Liechtenstein,47.14,9.55,2678,56,2021-03-13,05:25:15
,Liechtenstein,47.14,9.55,2682,56,2021-03-14,05:25:37
,Liechtenstein,47.14,9.55,2688,56,2021-03-15,05:25:51
,Liechtenstein,47.14,9.55,2691,56,2021-03-16,05:25:13
,Liechtenstein,47.14,9.55,2693,56,2021-03-17,05:25:07
,Liechtenstein,47.14,9.55,2696,56,2021-03-18,05:26:22
,Liechtenstein,47.14,9.55,2699,56,2021-03-19,05:26:09
,Liechtenstein,47.14,9.55,2702,56,2021-03-20,05:25:46
,Liechtenstein,47.14,9.55,2706,56,2021-03-21,05:25:44
,Liechtenstein,47.14,9.55,2709,56,2021-03-22,05:25:43
,Liechtenstein,47.14,9.55,2711,56,2021-03-23,05:26:18
,Liechtenstein,47.14,9.55,2714,56,2021-03-24,05:25:40
,Liechtenstein,47.14,9.55,2720,56,2021-03-25,05:27:00
,Liechtenstein,47.14,9.55,2723,56,2021-03-26,05:26:55
,Liechtenstein,47.14,9.55,2727,56,2021-03-27,05:25:04
,Liechtenstein,47.14,9.55,2730,56,2021-03-28,05:28:10
,Liechtenstein,47.14,9.55,2737,56,2021-03-29,04:28:35
,Liechtenstein,47.14,9.55,2743,56,2021-03-30,04:26:23
,Liechtenstein,47.14,9.55,2749,56,2021-03-31,04:26:25
,Liechtenstein,47.14,9.55,2753,56,2021-04-01,04:27:05
,Liechtenstein,47.14,9.55,2756,56,2021-04-02,04:20:36
,Liechtenstein,47.14,9.55,2759,56,2021-04-03,04:20:44
,Liechtenstein,47.14,9.55,2766,56,2021-04-04,04:20:49
,Liechtenstein,47.14,9.55,2774,56,2021-04-05,04:20:35
,Liechtenstein,47.14,9.55,2779,56,2021-04-06,04:20:32
,Liechtenstein,47.14,9.55,2784,56,2021-04-07,04:20:53
,Liechtenstein,47.14,9.55,2788,56,2021-04-08,04:21:13
,Liechtenstein,47.14,9.55,2803,56,2021-04-09,04:21:13
,Liechtenstein,47.14,9.55,2819,56,2021-04-10,04:20:59
,Liechtenstein,47.14,9.55,2829,56,2021-04-11,04:20:56
,Liechtenstein,47.14,9.55,2835,56,2021-04-12,04:21:00
,Liechtenstein,47.14,9.55,2842,56,2021-04-13,04:20:37
,Liechtenstein,47.14,9.55,2851,56,2021-04-14,04:20:41
,Liechtenstein,47.14,9.55,2860,56,2021-04-15,04:20:54
,Liechtenstein,47.14,9.55,2872,56,2021-04-16,04:20:46
,Liechtenstein,47.14,9.55,2886,56,2021-04-17,04:20:40
,Liechtenstein,47.14,9.55,2897,56,2021-04-18,04:20:41
,Liechtenstein,47.14,9.55,2907,56,2021-04-19,04:20:57
,Liechtenstein,47.14,9.55,2914,56,2021-04-20,04:20:41
,Liechtenstein,47.14,9.55,2925,56,2021-04-21,04:21:14
,Liechtenstein,47.14,9.55,2936,56,2021-04-22,04:20:53
,Liechtenstein,47.14,9.55,2940,56,2021-04-23,04:20:52
,Liechtenstein,47.14,9.55,2947,56,2021-04-24,04:20:38
,Liechtenstein,47.14,9.55,2962,56,2021-04-25,04:20:32
,Liechtenstein,47.14,9.55,2971,56,2021-04-26,04:21:04
,Liechtenstein,47.14,9.55,2976,56,2021-04-27,04:20:52
,Liechtenstein,47.14,9.55,2992,56,2021-04-28,04:20:32
,Liechtenstein,47.14,9.55,3004,56,2021-04-29,04:20:55
,Liechtenstein,47.14,9.55,3011,56,2021-04-30,04:21:03
,Liechtenstein,47.14,9.55,3021,56,2021-05-01,04:20:47
,Liechtenstein,47.14,9.55,3028,56,2021-05-02,04:20:48
,Liechtenstein,47.14,9.55,3033,56,2021-05-03,04:20:39
,Liechtenstein,47.14,9.55,3034,57,2021-05-04,04:20:34
,Liechtenstein,47.14,9.55,3041,57,2021-05-05,04:20:43
,Liechtenstein,47.14,9.55,3046,57,2021-05-06,04:20:38
,Liechtenstein,47.14,9.55,3050,57,2021-05-07,04:20:40
,Liechtenstein,47.14,9.55,3054,57,2021-05-08,04:21:04
,Liechtenstein,47.14,9.55,3057,57,2021-05-09,04:20:35
,Liechtenstein,47.14,9.55,3060,57,2021-05-10,04:20:38
,Liechtenstein,47.14,9.55,3064,57,2021-05-11,04:20:41
,Liechtenstein,47.14,9.55,3068,57,2021-05-12,04:21:29
,Liechtenstein,47.14,9.55,3069,57,2021-05-13,04:20:51
,Liechtenstein,47.14,9.55,3070,57,2021-05-14,04:20:41
,Liechtenstein,47.14,9.55,3071,57,2021-05-15,04:20:58
,Liechtenstein,47.14,9.55,3074,57,2021-05-16,04:20:49
,Liechtenstein,47.14,9.55,3077,57,2021-05-17,04:20:34
,Liechtenstein,47.14,9.55,3080,57,2021-05-18,04:20:33
,Liechtenstein,47.14,9.55,3082,57,2021-05-19,04:20:42
,Liechtenstein,47.14,9.55,3082,57,2021-05-20,04:21:05
,Liechtenstein,47.14,9.55,3083,57,2021-05-21,04:20:43
,Liechtenstein,47.14,9.55,3086,57,2021-05-22,04:20:45
,Liechtenstein,47.14,9.55,3088,57,2021-05-23,04:20:51
,Liechtenstein,47.14,9.55,3089,57,2021-05-24,04:20:53
,Liechtenstein,47.14,9.55,3091,57,2021-05-25,04:21:08
,Liechtenstein,47.14,9.55,3091,57,2021-05-26,04:20:35
,Liechtenstein,47.14,9.55,3093,57,2021-05-27,04:20:59
,Liechtenstein,47.14,9.55,3096,57,2021-05-28,04:20:36
,Liechtenstein,47.14,9.55,3098,57,2021-05-29,04:20:41
,Liechtenstein,47.14,9.55,3099,57,2021-05-30,04:20:55
,Liechtenstein,47.14,9.55,3101,57,2021-05-31,03:08:59
,Liechtenstein,47.14,9.55,3103,57,2021-06-01,04:23:09
,Liechtenstein,47.14,9.55,3103,57,2021-06-02,04:24:34
,Liechtenstein,47.14,9.55,3107,57,2021-06-03,04:23:32
,Liechtenstein,47.14,9.55,3109,57,2021-06-04,04:23:37
,Liechtenstein,47.14,9.55,3111,57,2021-06-05,04:23:03
,Liechtenstein,47.14,9.55,3112,57,2021-06-06,04:24:03
,Liechtenstein,47.14,9.55,3113,57,2021-06-07,04:22:51
,Liechtenstein,47.14,9.55,3113,57,2021-06-08,04:22:35
,Liechtenstein,47.14,9.55,3113,57,2021-06-09,04:23:31
,Liechtenstein,47.14,9.55,3114,57,2021-06-10,04:23:17
,Liechtenstein,47.14,9.55,3114,58,2021-06-11,04:23:20
,Liechtenstein,47.14,9.55,3117,58,2021-06-12,04:22:22
,Liechtenstein,47.14,9.55,3118,58,2021-06-13,04:22:44
,Liechtenstein,47.14,9.55,3118,58,2021-06-14,04:22:46
,Liechtenstein,47.14,9.55,3118,58,2021-06-15,04:22:22
,Liechtenstein,47.14,9.55,3118,58,2021-06-16,04:22:32
,Liechtenstein,47.14,9.55,3119,58,2021-06-17,04:22:36
,Liechtenstein,47.14,9.55,3119,58,2021-06-18,04:22:16
,Liechtenstein,47.14,9.55,3119,58,2021-06-19,04:22:33
,Liechtenstein,47.14,9.55,3121,58,2021-06-20,04:21:48
,Liechtenstein,47.14,9.55,3121,58,2021-06-21,04:21:41
,Liechtenstein,47.14,9.55,3121,58,2021-06-22,04:21:34
,Liechtenstein,47.14,9.55,3121,58,2021-06-23,04:21:46
,Liechtenstein,47.14,9.55,3123,58,2021-06-24,04:21:55
,Liechtenstein,47.14,9.55,3125,58,2021-06-25,04:21:33
,Liechtenstein,47.14,9.55,3125,58,2021-06-26,04:21:43
,Liechtenstein,47.14,9.55,3125,58,2021-06-27,04:21:39
,Liechtenstein,47.14,9.55,3125,58,2021-06-28,04:21:29
,Liechtenstein,47.14,9.55,3127,58,2021-06-29,04:21:28
