Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Nepal,28.1667,84.25,336030,3325,2021-05-03,04:20:39
,Nepal,28.1667,84.25,343418,3362,2021-05-04,04:20:34
,Nepal,28.1667,84.25,351005,3417,2021-05-05,04:20:43
,Nepal,28.1667,84.25,359610,3475,2021-05-06,04:20:38
,Nepal,28.1667,84.25,368580,3529,2021-05-07,04:20:40
,Nepal,28.1667,84.25,377603,3579,2021-05-08,04:21:04
,Nepal,28.1667,84.25,385890,3632,2021-05-09,04:20:35
,Nepal,28.1667,84.25,394667,3720,2021-05-10,04:20:38
,Nepal,28.1667,84.25,403794,3859,2021-05-11,04:20:41
,Nepal,28.1667,84.25,413111,4084,2021-05-12,04:21:29
,Nepal,28.1667,84.25,422349,4252,2021-05-13,04:20:51
,Nepal,28.1667,84.25,431191,4466,2021-05-14,04:20:41
,Nepal,28.1667,84.25,439658,4669,2021-05-15,04:20:58
,Nepal,28.1667,84.25,447704,4856,2021-05-16,04:20:49
,Nepal,28.1667,84.25,455020,5001,2021-05-17,04:20:34
,Nepal,28.1667,84.25,464218,5215,2021-05-18,04:20:33
,Nepal,28.1667,84.25,472354,5411,2021-05-19,04:20:42
,Nepal,28.1667,84.25,480418,5657,2021-05-20,04:21:05
,Nepal,28.1667,84.25,488645,5847,2021-05-21,04:20:43
,Nepal,28.1667,84.25,497052,6024,2021-05-22,04:20:45
,Nepal,28.1667,84.25,505643,6153,2021-05-23,04:20:51
,Nepal,28.1667,84.25,513241,6346,2021-05-24,04:20:53
,Nepal,28.1667,84.25,520461,6531,2021-05-25,04:21:08
,Nepal,28.1667,84.25,528848,6700,2021-05-26,04:20:35
,Nepal,28.1667,84.25,535525,6845,2021-05-27,04:20:59
,Nepal,28.1667,84.25,542256,6951,2021-05-28,04:20:36
,Nepal,28.1667,84.25,549111,7047,2021-05-29,04:20:41
,Nepal,28.1667,84.25,553422,7163,2021-05-30,04:20:55
,Nepal,28.1667,84.25,557124,7272,2021-05-31,03:08:59
,Nepal,28.1667,84.25,561302,7386,2021-06-01,04:23:09
,Nepal,28.1667,84.25,566587,7454,2021-06-02,04:24:34
,Nepal,28.1667,84.25,571111,7555,2021-06-03,04:23:32
,Nepal,28.1667,84.25,576936,7630,2021-06-04,04:23:37
