Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,North Macedonia,41.6086,21.7453,93882,2900,2021-02-05,05:22:38
,North Macedonia,41.6086,21.7453,94196,2908,2021-02-06,05:23:55
,North Macedonia,41.6086,21.7453,94599,2916,2021-02-07,05:23:00
,North Macedonia,41.6086,21.7453,94798,2924,2021-02-08,05:22:39
,North Macedonia,41.6086,21.7453,94871,2946,2021-02-09,05:23:30
,North Macedonia,41.6086,21.7453,95347,2955,2021-02-10,05:22:41
,North Macedonia,41.6086,21.7453,95736,2959,2021-02-11,05:23:55
,North Macedonia,41.6086,21.7453,96152,2966,2021-02-12,05:23:29
,North Macedonia,41.6086,21.7453,96518,2971,2021-02-13,05:22:12
,North Macedonia,41.6086,21.7453,96872,2976,2021-02-14,05:23:43
,North Macedonia,41.6086,21.7453,97052,2989,2021-02-15,05:24:49
,North Macedonia,41.6086,21.7453,97101,2998,2021-02-16,05:24:38
,North Macedonia,41.6086,21.7453,97456,3003,2021-02-17,05:23:10
,North Macedonia,41.6086,21.7453,97803,3010,2021-02-18,05:22:58
,North Macedonia,41.6086,21.7453,98174,3018,2021-02-19,05:24:16
,North Macedonia,41.6086,21.7453,98584,3037,2021-02-20,05:22:51
,North Macedonia,41.6086,21.7453,99031,3047,2021-02-21,05:24:33
,North Macedonia,41.6086,21.7453,99285,3063,2021-02-22,05:24:21
,North Macedonia,41.6086,21.7453,99408,3076,2021-02-23,05:23:41
,North Macedonia,41.6086,21.7453,99917,3085,2021-02-24,05:29:16
,North Macedonia,41.6086,21.7453,100632,3098,2021-02-25,05:24:57
,North Macedonia,41.6086,21.7453,101214,3111,2021-02-26,05:22:40
,North Macedonia,41.6086,21.7453,101762,3119,2021-02-27,05:22:28
,North Macedonia,41.6086,21.7453,102482,3126,2021-02-28,05:22:20
,North Macedonia,41.6086,21.7453,102787,3137,2021-03-01,05:23:01
,North Macedonia,41.6086,21.7453,103020,3144,2021-03-02,05:23:30
,North Macedonia,41.6086,21.7453,103746,3151,2021-03-03,05:23:28
,North Macedonia,41.6086,21.7453,104548,3156,2021-03-04,05:24:24
,North Macedonia,41.6086,21.7453,105269,3165,2021-03-05,05:26:29
,North Macedonia,41.6086,21.7453,106110,3176,2021-03-06,04:23:41
,North Macedonia,41.6086,21.7453,106832,3185,2021-03-07,05:21:54
,North Macedonia,41.6086,21.7453,107163,3195,2021-03-08,05:24:48
,North Macedonia,41.6086,21.7453,107479,3206,2021-03-09,05:28:19
,North Macedonia,41.6086,21.7453,108350,3228,2021-03-10,05:24:35
,North Macedonia,41.6086,21.7453,109262,3244,2021-03-11,05:25:48
,North Macedonia,41.6086,21.7453,110209,3265,2021-03-12,05:26:50
,North Macedonia,41.6086,21.7453,111077,3280,2021-03-13,05:25:15
,North Macedonia,41.6086,21.7453,112107,3300,2021-03-14,05:25:37
,North Macedonia,41.6086,21.7453,112646,3319,2021-03-15,05:25:51
,North Macedonia,41.6086,21.7453,112930,3340,2021-03-16,05:25:13
,North Macedonia,41.6086,21.7453,113929,3364,2021-03-17,05:25:07
,North Macedonia,41.6086,21.7453,115222,3388,2021-03-18,05:26:22
,North Macedonia,41.6086,21.7453,116438,3403,2021-03-19,05:26:09
,North Macedonia,41.6086,21.7453,117437,3424,2021-03-20,05:25:46
,North Macedonia,41.6086,21.7453,118736,3448,2021-03-21,05:25:44
,North Macedonia,41.6086,21.7453,119378,3473,2021-03-22,05:25:43
,North Macedonia,41.6086,21.7453,119828,3503,2021-03-23,05:26:18
,North Macedonia,41.6086,21.7453,120882,3528,2021-03-24,05:25:40
,North Macedonia,41.6086,21.7453,122227,3545,2021-03-25,05:27:00
,North Macedonia,41.6086,21.7453,123491,3574,2021-03-26,05:26:55
,North Macedonia,41.6086,21.7453,124910,3607,2021-03-27,05:25:04
,North Macedonia,41.6086,21.7453,126230,3642,2021-03-28,05:28:10
,North Macedonia,41.6086,21.7453,126938,3675,2021-03-29,04:28:35
,North Macedonia,41.6086,21.7453,127240,3716,2021-03-30,04:26:23
,North Macedonia,41.6086,21.7453,128511,3749,2021-03-31,04:26:25
,North Macedonia,41.6086,21.7453,130022,3781,2021-04-01,04:27:05
,North Macedonia,41.6086,21.7453,131424,3810,2021-04-02,04:20:36
,North Macedonia,41.6086,21.7453,132740,3860,2021-04-03,04:20:44
,North Macedonia,41.6086,21.7453,134134,3905,2021-04-04,04:20:49
,North Macedonia,41.6086,21.7453,134867,3940,2021-04-05,04:20:35
,North Macedonia,41.6086,21.7453,135167,3977,2021-04-06,04:20:32
,North Macedonia,41.6086,21.7453,136426,4022,2021-04-07,04:20:53
,North Macedonia,41.6086,21.7453,137728,4073,2021-04-08,04:21:13
,North Macedonia,41.6086,21.7453,138891,4108,2021-04-09,04:21:13
,North Macedonia,41.6086,21.7453,140065,4150,2021-04-10,04:20:59
,North Macedonia,41.6086,21.7453,141157,4182,2021-04-11,04:20:56
,North Macedonia,41.6086,21.7453,141844,4228,2021-04-12,04:21:00
,North Macedonia,41.6086,21.7453,142034,4262,2021-04-13,04:20:37
,North Macedonia,41.6086,21.7453,143162,4289,2021-04-14,04:20:41
,North Macedonia,41.6086,21.7453,144111,4322,2021-04-15,04:20:54
,North Macedonia,41.6086,21.7453,145001,4357,2021-04-16,04:20:46
,North Macedonia,41.6086,21.7453,145909,4388,2021-04-17,04:20:40
,North Macedonia,41.6086,21.7453,146733,4419,2021-04-18,04:20:41
,North Macedonia,41.6086,21.7453,147094,4443,2021-04-19,04:20:57
,North Macedonia,41.6086,21.7453,147229,4478,2021-04-20,04:20:41
,North Macedonia,41.6086,21.7453,147995,4509,2021-04-21,04:21:14
,North Macedonia,41.6086,21.7453,148618,4556,2021-04-22,04:20:53
,North Macedonia,41.6086,21.7453,149221,4595,2021-04-23,04:20:52
,North Macedonia,41.6086,21.7453,149710,4628,2021-04-24,04:20:38
,North Macedonia,41.6086,21.7453,150274,4650,2021-04-25,04:20:32
,North Macedonia,41.6086,21.7453,150588,4677,2021-04-26,04:21:04
,North Macedonia,41.6086,21.7453,150672,4714,2021-04-27,04:20:52
,North Macedonia,41.6086,21.7453,151122,4742,2021-04-28,04:20:32
,North Macedonia,41.6086,21.7453,151569,4772,2021-04-29,04:20:55
,North Macedonia,41.6086,21.7453,152002,4818,2021-04-30,04:21:03
,North Macedonia,41.6086,21.7453,152367,4855,2021-05-01,04:20:47
,North Macedonia,41.6086,21.7453,152581,4891,2021-05-02,04:20:48
,North Macedonia,41.6086,21.7453,152685,4936,2021-05-03,04:20:39
,North Macedonia,41.6086,21.7453,152747,4961,2021-05-04,04:20:34
,North Macedonia,41.6086,21.7453,152814,4992,2021-05-05,04:20:43
,North Macedonia,41.6086,21.7453,153137,5016,2021-05-06,04:20:38
,North Macedonia,41.6086,21.7453,153461,5042,2021-05-07,04:20:40
,North Macedonia,41.6086,21.7453,153694,5067,2021-05-08,04:21:04
,North Macedonia,41.6086,21.7453,153891,5079,2021-05-09,04:20:35
,North Macedonia,41.6086,21.7453,154026,5093,2021-05-10,04:20:38
,North Macedonia,41.6086,21.7453,154051,5109,2021-05-11,04:20:41
,North Macedonia,41.6086,21.7453,154222,5135,2021-05-12,04:21:29
,North Macedonia,41.6086,21.7453,154372,5151,2021-05-13,04:20:51
,North Macedonia,41.6086,21.7453,154494,5168,2021-05-14,04:20:41
,North Macedonia,41.6086,21.7453,154524,5184,2021-05-15,04:20:58
,North Macedonia,41.6086,21.7453,154636,5197,2021-05-16,04:20:49
,North Macedonia,41.6086,21.7453,154698,5211,2021-05-17,04:20:34
,North Macedonia,41.6086,21.7453,154725,5230,2021-05-18,04:20:33
,North Macedonia,41.6086,21.7453,154804,5232,2021-05-19,04:20:42
,North Macedonia,41.6086,21.7453,154891,5249,2021-05-20,04:21:05
,North Macedonia,41.6086,21.7453,154937,5265,2021-05-21,04:20:43
,North Macedonia,41.6086,21.7453,154982,5280,2021-05-22,04:20:45
,North Macedonia,41.6086,21.7453,155028,5296,2021-05-23,04:20:51
,North Macedonia,41.6086,21.7453,155063,5311,2021-05-24,04:20:53
,North Macedonia,41.6086,21.7453,155067,5329,2021-05-25,04:21:08
,North Macedonia,41.6086,21.7453,155071,5342,2021-05-26,04:20:35
,North Macedonia,41.6086,21.7453,155117,5356,2021-05-27,04:20:59
,North Macedonia,41.6086,21.7453,155169,5369,2021-05-28,04:20:36
,North Macedonia,41.6086,21.7453,155217,5387,2021-05-29,04:20:41
,North Macedonia,41.6086,21.7453,155246,5398,2021-05-30,04:20:55
,North Macedonia,41.6086,21.7453,155269,5408,2021-05-31,03:08:59
,North Macedonia,41.6086,21.7453,155272,5413,2021-06-01,04:23:09
,North Macedonia,41.6086,21.7453,155304,5423,2021-06-02,04:24:34
,North Macedonia,41.6086,21.7453,155345,5429,2021-06-03,04:23:32
,North Macedonia,41.6086,21.7453,155364,5435,2021-06-04,04:23:37
,North Macedonia,41.6086,21.7453,155379,5442,2021-06-05,04:23:03
,North Macedonia,41.6086,21.7453,155407,5448,2021-06-06,04:24:03
,North Macedonia,41.6086,21.7453,155417,5455,2021-06-07,04:22:51
,North Macedonia,41.6086,21.7453,155418,5458,2021-06-08,04:22:35
,North Macedonia,41.6086,21.7453,155441,5462,2021-06-09,04:23:31
,North Macedonia,41.6086,21.7453,155469,5467,2021-06-10,04:23:17
,North Macedonia,41.6086,21.7453,155487,5468,2021-06-11,04:23:20
,North Macedonia,41.6086,21.7453,155507,5470,2021-06-12,04:22:22
,North Macedonia,41.6086,21.7453,155528,5471,2021-06-13,04:22:44
,North Macedonia,41.6086,21.7453,155536,5471,2021-06-14,04:22:46
,North Macedonia,41.6086,21.7453,155540,5472,2021-06-15,04:22:22
,North Macedonia,41.6086,21.7453,155568,5472,2021-06-16,04:22:32
,North Macedonia,41.6086,21.7453,155583,5472,2021-06-17,04:22:36
,North Macedonia,41.6086,21.7453,155593,5472,2021-06-18,04:22:16
,North Macedonia,41.6086,21.7453,155612,5474,2021-06-19,04:22:33
,North Macedonia,41.6086,21.7453,155616,5475,2021-06-20,04:21:48
,North Macedonia,41.6086,21.7453,155624,5475,2021-06-21,04:21:41
,North Macedonia,41.6086,21.7453,155627,5477,2021-06-22,04:21:34
,North Macedonia,41.6086,21.7453,155640,5477,2021-06-23,04:21:46
,North Macedonia,41.6086,21.7453,155645,5478,2021-06-24,04:21:55
,North Macedonia,41.6086,21.7453,155655,5481,2021-06-25,04:21:33
,North Macedonia,41.6086,21.7453,155663,5484,2021-06-26,04:21:43
,North Macedonia,41.6086,21.7453,155669,5484,2021-06-27,04:21:39
,North Macedonia,41.6086,21.7453,155673,5484,2021-06-28,04:21:29
,North Macedonia,41.6086,21.7453,155676,5484,2021-06-29,04:21:28
,North Macedonia,41.6086,21.7453,155682,5484,2021-06-30,04:21:41
,North Macedonia,41.6086,21.7453,155684,5484,2021-07-01,04:21:19
,North Macedonia,41.6086,21.7453,155689,5485,2021-07-02,04:21:47
,North Macedonia,41.6086,21.7453,155700,5486,2021-07-03,04:21:37
,North Macedonia,41.6086,21.7453,155706,5486,2021-07-04,04:21:38
,North Macedonia,41.6086,21.7453,155710,5486,2021-07-05,04:21:28
,North Macedonia,41.6086,21.7453,155716,5486,2021-07-06,04:21:32
,North Macedonia,41.6086,21.7453,155732,5486,2021-07-07,04:21:20
,North Macedonia,41.6086,21.7453,155741,5486,2021-07-08,04:21:26
,North Macedonia,41.6086,21.7453,155760,5486,2021-07-09,04:21:21
,North Macedonia,41.6086,21.7453,155770,5487,2021-07-10,04:21:25
,North Macedonia,41.6086,21.7453,155783,5487,2021-07-11,04:21:43
,North Macedonia,41.6086,21.7453,155797,5487,2021-07-12,04:21:34
,North Macedonia,41.6086,21.7453,155802,5487,2021-07-13,04:21:18
,North Macedonia,41.6086,21.7453,155823,5487,2021-07-14,04:21:35
,North Macedonia,41.6086,21.7453,155840,5487,2021-07-15,04:21:48
,North Macedonia,41.6086,21.7453,155866,5487,2021-07-16,04:21:22
,North Macedonia,41.6086,21.7453,155882,5487,2021-07-17,04:22:22
,North Macedonia,41.6086,21.7453,155901,5487,2021-07-18,04:22:07
,North Macedonia,41.6086,21.7453,155922,5487,2021-07-19,04:21:24
,North Macedonia,41.6086,21.7453,155931,5487,2021-07-20,04:21:48
,North Macedonia,41.6086,21.7453,155931,5487,2021-07-21,04:21:40
,North Macedonia,41.6086,21.7453,155965,5488,2021-07-22,04:21:19
,North Macedonia,41.6086,21.7453,155981,5489,2021-07-23,04:21:29
,North Macedonia,41.6086,21.7453,156017,5489,2021-07-24,00:21:36
,North Macedonia,41.6086,21.7453,156054,5489,2021-07-25,04:22:12
,North Macedonia,41.6086,21.7453,156078,5489,2021-07-26,04:21:28
,North Macedonia,41.6086,21.7453,156086,5491,2021-07-27,04:21:18
,North Macedonia,41.6086,21.7453,156124,5491,2021-07-28,04:21:39
,North Macedonia,41.6086,21.7453,156171,5491,2021-07-29,04:21:33
,North Macedonia,41.6086,21.7453,156225,5491,2021-07-30,04:21:34
,North Macedonia,41.6086,21.7453,156299,5493,2021-07-31,04:21:35
,North Macedonia,41.6086,21.7453,156380,5493,2021-08-01,04:21:50
,North Macedonia,41.6086,21.7453,156452,5493,2021-08-02,04:21:36
,North Macedonia,41.6086,21.7453,156506,5494,2021-08-03,04:21:39
,North Macedonia,41.6086,21.7453,156543,5494,2021-08-04,04:21:25
,North Macedonia,41.6086,21.7453,156707,5497,2021-08-05,04:21:51
,North Macedonia,41.6086,21.7453,156926,5501,2021-08-06,04:21:18
,North Macedonia,41.6086,21.7453,157251,5502,2021-08-07,04:21:30
,North Macedonia,41.6086,21.7453,157627,5503,2021-08-08,04:21:33
,North Macedonia,41.6086,21.7453,158025,5507,2021-08-09,04:21:24
,North Macedonia,41.6086,21.7453,158164,5509,2021-08-10,04:21:27
,North Macedonia,41.6086,21.7453,158681,5513,2021-08-11,04:21:58
,North Macedonia,41.6086,21.7453,159269,5521,2021-08-12,04:21:25
,North Macedonia,41.6086,21.7453,159908,5527,2021-08-13,04:21:24
,North Macedonia,41.6086,21.7453,160571,5532,2021-08-14,04:21:25
,North Macedonia,41.6086,21.7453,161359,5542,2021-08-15,04:21:41
,North Macedonia,41.6086,21.7453,162164,5552,2021-08-16,04:21:31
,North Macedonia,41.6086,21.7453,162457,5560,2021-08-17,04:21:49
,North Macedonia,41.6086,21.7453,163452,5574,2021-08-18,04:21:35
,North Macedonia,41.6086,21.7453,164529,5589,2021-08-19,04:21:15
,North Macedonia,41.6086,21.7453,165684,5608,2021-08-20,04:21:33
,North Macedonia,41.6086,21.7453,166741,5632,2021-08-21,04:21:38
,North Macedonia,41.6086,21.7453,167991,5654,2021-08-22,04:21:29
,North Macedonia,41.6086,21.7453,168872,5668,2021-08-23,04:21:27
,North Macedonia,41.6086,21.7453,169202,5695,2021-08-24,04:21:19
,North Macedonia,41.6086,21.7453,170412,5727,2021-08-25,04:21:41
,North Macedonia,41.6086,21.7453,171576,5755,2021-08-26,04:21:28
,North Macedonia,41.6086,21.7453,172657,5782,2021-08-27,04:21:37
,North Macedonia,41.6086,21.7453,173689,5818,2021-08-28,04:21:28
,North Macedonia,41.6086,21.7453,174667,5842,2021-08-29,04:21:14
,North Macedonia,41.6086,21.7453,175330,5869,2021-08-30,04:21:23
,North Macedonia,41.6086,21.7453,175624,5901,2021-08-31,04:21:46
,North Macedonia,41.6086,21.7453,176494,5938,2021-09-01,04:21:38
,North Macedonia,41.6086,21.7453,177399,5964,2021-09-02,04:21:15
,North Macedonia,41.6086,21.7453,178159,5987,2021-09-03,04:21:20
,North Macedonia,41.6086,21.7453,178879,6013,2021-09-04,04:21:28
,North Macedonia,41.6086,21.7453,179587,6045,2021-09-05,04:21:33
,North Macedonia,41.6086,21.7453,180045,6065,2021-09-06,04:21:22
,North Macedonia,41.6086,21.7453,180243,6097,2021-09-07,04:21:35
,North Macedonia,41.6086,21.7453,180919,6129,2021-09-08,04:21:31
,North Macedonia,41.6086,21.7453,181620,6153,2021-09-09,04:21:27
,North Macedonia,41.6086,21.7453,181875,6184,2021-09-10,04:21:20
,North Macedonia,41.6086,21.7453,182450,6214,2021-09-11,04:21:30
,North Macedonia,41.6086,21.7453,183059,6236,2021-09-12,04:21:13
,North Macedonia,41.6086,21.7453,183523,6259,2021-09-13,04:21:15
,North Macedonia,41.6086,21.7453,183705,6277,2021-09-14,04:21:41
,North Macedonia,41.6086,21.7453,184277,6307,2021-09-15,03:22:37
,North Macedonia,41.6086,21.7453,184893,6339,2021-09-16,04:22:19
,North Macedonia,41.6086,21.7453,185450,6367,2021-09-17,04:21:46
,North Macedonia,41.6086,21.7453,186010,6396,2021-09-18,04:21:24
,North Macedonia,41.6086,21.7453,186549,6437,2021-09-19,04:21:34
,North Macedonia,41.6086,21.7453,186914,6460,2021-09-20,04:21:22
,North Macedonia,41.6086,21.7453,187068,6472,2021-09-21,04:21:26
,North Macedonia,41.6086,21.7453,187622,6489,2021-09-22,04:21:45
,North Macedonia,41.6086,21.7453,188113,6511,2021-09-23,04:21:43
,North Macedonia,41.6086,21.7453,188635,6539,2021-09-24,04:21:44
,North Macedonia,41.6086,21.7453,189159,6557,2021-09-25,04:21:31
,North Macedonia,41.6086,21.7453,189551,6577,2021-09-26,04:21:29
,North Macedonia,41.6086,21.7453,189887,6594,2021-09-27,04:21:16
,North Macedonia,41.6086,21.7453,189999,6607,2021-09-28,04:21:28
,North Macedonia,41.6086,21.7453,190463,6630,2021-09-29,04:21:45
,North Macedonia,41.6086,21.7453,190915,6646,2021-09-30,04:21:20
,North Macedonia,41.6086,21.7453,191408,6668,2021-10-01,04:21:35
,North Macedonia,41.6086,21.7453,191820,6683,2021-10-02,04:21:25
,North Macedonia,41.6086,21.7453,191820,6683,2021-10-03,04:21:24
,North Macedonia,41.6086,21.7453,192478,6704,2021-10-04,04:21:31
,North Macedonia,41.6086,21.7453,192654,6719,2021-10-05,04:21:27
,North Macedonia,41.6086,21.7453,193052,6740,2021-10-06,04:21:33
,North Macedonia,41.6086,21.7453,193458,6758,2021-10-07,04:21:36
,North Macedonia,41.6086,21.7453,193846,6783,2021-10-08,04:21:25
,North Macedonia,41.6086,21.7453,194231,6799,2021-10-09,04:21:34
,North Macedonia,41.6086,21.7453,194575,6817,2021-10-10,04:21:38
,North Macedonia,41.6086,21.7453,194891,6831,2021-10-11,04:21:31
,North Macedonia,41.6086,21.7453,195002,6849,2021-10-12,04:21:09
,North Macedonia,41.6086,21.7453,195132,6855,2021-10-13,04:20:51
,North Macedonia,41.6086,21.7453,195542,6875,2021-10-14,04:21:29
,North Macedonia,41.6086,21.7453,195963,6888,2021-10-15,04:21:26
,North Macedonia,41.6086,21.7453,196376,6901,2021-10-16,04:21:15
,North Macedonia,41.6086,21.7453,196762,6922,2021-10-17,04:21:29
,North Macedonia,41.6086,21.7453,197091,6940,2021-10-18,04:21:10
,North Macedonia,41.6086,21.7453,197197,6964,2021-10-19,04:20:54
,North Macedonia,41.6086,21.7453,197669,6978,2021-10-20,04:21:00
,North Macedonia,41.6086,21.7453,198156,6998,2021-10-21,04:21:18
,North Macedonia,41.6086,21.7453,198646,7012,2021-10-22,04:21:14
,North Macedonia,41.6086,21.7453,199057,7019,2021-10-23,04:21:32
,North Macedonia,41.6086,21.7453,199539,7036,2021-10-24,04:21:22
,North Macedonia,41.6086,21.7453,199766,7051,2021-10-25,04:22:31
,North Macedonia,41.6086,21.7453,199901,7062,2021-10-26,04:22:09
,North Macedonia,41.6086,21.7453,200412,7072,2021-10-27,04:22:32
,North Macedonia,41.6086,21.7453,200856,7087,2021-10-28,04:22:08
,North Macedonia,41.6086,21.7453,201292,7098,2021-10-29,04:22:03
,North Macedonia,41.6086,21.7453,201708,7108,2021-10-30,04:22:03
,North Macedonia,41.6086,21.7453,202203,7121,2021-10-31,04:22:08
,North Macedonia,41.6086,21.7453,202552,7132,2021-11-01,04:22:01
,North Macedonia,41.6086,21.7453,202705,7145,2021-11-02,04:22:03
,North Macedonia,41.6086,21.7453,203298,7159,2021-11-03,06:22:09
,North Macedonia,41.6086,21.7453,203866,7178,2021-11-04,04:22:20
,North Macedonia,41.6086,21.7453,204416,7194,2021-11-05,04:21:54
,North Macedonia,41.6086,21.7453,205022,7204,2021-11-06,04:21:51
,North Macedonia,41.6086,21.7453,205623,7217,2021-11-07,04:21:53
,North Macedonia,41.6086,21.7453,206077,7232,2021-11-08,04:21:43
,North Macedonia,41.6086,21.7453,206233,7242,2021-11-09,04:21:36
,North Macedonia,41.6086,21.7453,206910,7255,2021-11-10,04:21:38
,North Macedonia,41.6086,21.7453,207566,7276,2021-11-11,04:21:45
,North Macedonia,41.6086,21.7453,207998,7294,2021-11-12,04:22:01
,North Macedonia,41.6086,21.7453,208467,7307,2021-11-13,04:21:38
,North Macedonia,41.6086,21.7453,208992,7320,2021-11-14,04:21:31
,North Macedonia,41.6086,21.7453,209277,7328,2021-11-15,04:21:36
,North Macedonia,41.6086,21.7453,209449,7337,2021-11-16,04:21:10
,North Macedonia,41.6086,21.7453,209971,7354,2021-11-17,04:21:48
,North Macedonia,41.6086,21.7453,210447,7367,2021-11-18,04:21:33
,North Macedonia,41.6086,21.7453,210938,7390,2021-11-19,04:21:40
,North Macedonia,41.6086,21.7453,211382,7406,2021-11-20,04:22:17
,North Macedonia,41.6086,21.7453,211831,7418,2021-11-21,04:22:13
,North Macedonia,41.6086,21.7453,212220,7436,2021-11-22,04:22:20
,North Macedonia,41.6086,21.7453,212375,7449,2021-11-23,04:22:39
,North Macedonia,41.6086,21.7453,212865,7464,2021-11-24,04:22:14
,North Macedonia,41.6086,21.7453,213306,7474,2021-11-25,04:22:33
,North Macedonia,41.6086,21.7453,213779,7492,2021-11-26,04:22:33
,North Macedonia,41.6086,21.7453,214213,7511,2021-11-27,04:22:45
,North Macedonia,41.6086,21.7453,214676,7528,2021-11-28,04:22:43
,North Macedonia,41.6086,21.7453,215009,7547,2021-11-29,04:22:30
,North Macedonia,41.6086,21.7453,215125,7569,2021-11-30,04:22:53
,North Macedonia,41.6086,21.7453,215585,7581,2021-12-01,04:22:29
,North Macedonia,41.6086,21.7453,215995,7592,2021-12-02,04:22:37
,North Macedonia,41.6086,21.7453,216328,7609,2021-12-03,04:23:05
,North Macedonia,41.6086,21.7453,216670,7616,2021-12-04,04:22:18
,North Macedonia,41.6086,21.7453,217025,7631,2021-12-05,04:22:25
,North Macedonia,41.6086,21.7453,217301,7641,2021-12-06,04:22:34
,North Macedonia,41.6086,21.7453,217400,7658,2021-12-07,04:22:34
,North Macedonia,41.6086,21.7453,217775,7674,2021-12-08,04:22:46
,North Macedonia,41.6086,21.7453,218194,7688,2021-12-09,04:22:49
,North Macedonia,41.6086,21.7453,218362,7695,2021-12-10,04:22:28
,North Macedonia,41.6086,21.7453,218723,7710,2021-12-11,04:22:45
,North Macedonia,41.6086,21.7453,219100,7723,2021-12-12,04:22:12
,North Macedonia,41.6086,21.7453,219408,7732,2021-12-13,04:22:02
,North Macedonia,41.6086,21.7453,219490,7740,2021-12-14,04:22:38
,North Macedonia,41.6086,21.7453,219843,7754,2021-12-15,03:22:16
,North Macedonia,41.6086,21.7453,220169,7768,2021-12-16,04:22:11
,North Macedonia,41.6086,21.7453,220467,7778,2021-12-17,04:22:14
,North Macedonia,41.6086,21.7453,220794,7794,2021-12-18,02:22:20
,North Macedonia,41.6086,21.7453,221095,7801,2021-12-19,04:21:11
,North Macedonia,41.6086,21.7453,221285,7815,2021-12-20,04:21:43
,North Macedonia,41.6086,21.7453,221411,7825,2021-12-21,03:21:27
,North Macedonia,41.6086,21.7453,221744,7838,2021-12-22,04:21:54
,North Macedonia,41.6086,21.7453,222064,7853,2021-12-23,04:21:21
,North Macedonia,41.6086,21.7453,222333,7868,2021-12-24,04:21:34
,North Macedonia,41.6086,21.7453,222666,7879,2021-12-25,04:21:37
,North Macedonia,41.6086,21.7453,222932,7894,2021-12-26,04:21:50
,North Macedonia,41.6086,21.7453,223211,7904,2021-12-27,04:21:58
,North Macedonia,41.6086,21.7453,223330,7907,2021-12-28,04:21:47
,North Macedonia,41.6086,21.7453,223739,7917,2021-12-29,03:21:43
,North Macedonia,41.6086,21.7453,224134,7935,2021-12-30,04:21:25
,North Macedonia,41.6086,21.7453,224507,7953,2021-12-31,04:21:50
,North Macedonia,41.6086,21.7453,225049,7960,2022-01-01,04:22:14
,North Macedonia,41.6086,21.7453,225484,7969,2022-01-02,04:20:52
,North Macedonia,41.6086,21.7453,225730,7975,2022-01-03,02:22:25
,North Macedonia,41.6086,21.7453,225972,7981,2022-01-04,04:22:17
,North Macedonia,41.6086,21.7453,227168,7996,2022-01-05,04:21:59
,North Macedonia,41.6086,21.7453,228540,8000,2022-01-06,04:22:09
,North Macedonia,41.6086,21.7453,230265,8002,2022-01-07,04:22:09
,North Macedonia,41.6086,21.7453,231436,8012,2022-01-08,04:21:53
,North Macedonia,41.6086,21.7453,232068,8023,2022-01-09,04:21:46
,North Macedonia,41.6086,21.7453,233464,8032,2022-01-10,04:22:07
,North Macedonia,41.6086,21.7453,234277,8042,2022-01-11,04:22:01
,North Macedonia,41.6086,21.7453,236241,8055,2022-01-12,04:21:44
,North Macedonia,41.6086,21.7453,238061,8062,2022-01-13,08:00:09
,North Macedonia,41.6086,21.7453,239920,8070,2022-01-14,04:21:54
,North Macedonia,41.6086,21.7453,241651,8083,2022-01-15,04:21:07
,North Macedonia,41.6086,21.7453,243284,8092,2022-01-16,04:21:12
,North Macedonia,41.6086,21.7453,244632,8100,2022-01-17,04:21:08
,North Macedonia,41.6086,21.7453,245398,8115,2022-01-18,04:21:04
,North Macedonia,41.6086,21.7453,247663,8139,2022-01-19,04:21:23
,North Macedonia,41.6086,21.7453,249704,8153,2022-01-20,04:21:07
,North Macedonia,41.6086,21.7453,250876,8166,2022-01-21,04:21:09
,North Macedonia,41.6086,21.7453,252947,8177,2022-01-22,04:21:13
,North Macedonia,41.6086,21.7453,254857,8198,2022-01-23,04:21:13
,North Macedonia,41.6086,21.7453,256281,8218,2022-01-24,04:21:12
,North Macedonia,41.6086,21.7453,256996,8240,2022-01-25,04:21:05
,North Macedonia,41.6086,21.7453,259328,8266,2022-01-26,04:21:07
,North Macedonia,41.6086,21.7453,261347,8285,2022-01-27,04:21:19
,North Macedonia,41.6086,21.7453,263206,8312,2022-01-28,04:21:09
,North Macedonia,41.6086,21.7453,265101,8338,2022-01-29,04:21:10
,North Macedonia,41.6086,21.7453,266937,8362,2022-01-30,04:21:26
,North Macedonia,41.6086,21.7453,268191,8383,2022-01-31,04:21:09
,North Macedonia,41.6086,21.7453,268901,8409,2022-02-01,04:21:11
,North Macedonia,41.6086,21.7453,270897,8444,2022-02-02,04:21:09
,North Macedonia,41.6086,21.7453,272437,8470,2022-02-03,04:21:21
,North Macedonia,41.6086,21.7453,274144,8494,2022-02-04,04:21:10
,North Macedonia,41.6086,21.7453,275637,8533,2022-02-05,04:21:05
