Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
Azad Jammu and Kashmir,Pakistan,34.027401,73.947253,19060,536,2021-05-28,04:20:36
Balochistan,Pakistan,28.328492,65.898403,24908,273,2021-05-28,04:20:36
Gilgit-Baltistan,Pakistan,35.792146,74.982138,5545,107,2021-05-28,04:20:36
Islamabad,Pakistan,33.665087,73.121219,80927,753,2021-05-28,04:20:36
Khyber Pakhtunkhwa,Pakistan,34.485332,72.09169,131411,4025,2021-05-28,04:20:36
Punjab,Pakistan,30.811346,72.13913199999998,337775,9925,2021-05-28,04:20:36
Sindh,Pakistan,26.009446,68.77680699999999,314158,4988,2021-05-28,04:20:36
Azad Jammu and Kashmir,Pakistan,34.027401,73.947253,19108,539,2021-05-29,04:20:41
Balochistan,Pakistan,28.328492,65.898403,25001,273,2021-05-29,04:20:41
Gilgit-Baltistan,Pakistan,35.792146,74.982138,5561,107,2021-05-29,04:20:41
Islamabad,Pakistan,33.665087,73.121219,81007,755,2021-05-29,04:20:41
Khyber Pakhtunkhwa,Pakistan,34.485332,72.09169,131775,4043,2021-05-29,04:20:41
Punjab,Pakistan,30.811346,72.13913199999998,338377,9960,2021-05-29,04:20:41
Sindh,Pakistan,26.009446,68.77680699999999,315410,5003,2021-05-29,04:20:41
Azad Jammu and Kashmir,Pakistan,34.027401,73.947253,19170,540,2021-05-30,04:20:55
Balochistan,Pakistan,28.328492,65.898403,25083,276,2021-05-30,04:20:55
Gilgit-Baltistan,Pakistan,35.792146,74.982138,5572,107,2021-05-30,04:20:55
Islamabad,Pakistan,33.665087,73.121219,81116,757,2021-05-30,04:20:55
Khyber Pakhtunkhwa,Pakistan,34.485332,72.09169,132170,4060,2021-05-30,04:20:55
Punjab,Pakistan,30.811346,72.13913199999998,339073,9982,2021-05-30,04:20:55
Sindh,Pakistan,26.009446,68.77680699999999,316752,5014,2021-05-30,04:20:55
Azad Jammu and Kashmir,Pakistan,34.027401,73.947253,19232,543,2021-05-31,03:08:59
Balochistan,Pakistan,28.328492,65.898403,25148,277,2021-05-31,03:08:59
Gilgit-Baltistan,Pakistan,35.792146,74.982138,5578,107,2021-05-31,03:08:59
Islamabad,Pakistan,33.665087,73.121219,81195,760,2021-05-31,03:08:59
Khyber Pakhtunkhwa,Pakistan,34.485332,72.09169,132549,4073,2021-05-31,03:08:59
Punjab,Pakistan,30.811346,72.13913199999998,339686,9999,2021-05-31,03:08:59
