Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Saint Lucia,13.9094,-60.9789,4297,63,2021-04-07,04:20:53
,Saint Lucia,13.9094,-60.9789,4304,63,2021-04-08,04:21:13
,Saint Lucia,13.9094,-60.9789,4312,63,2021-04-09,04:21:13
,Saint Lucia,13.9094,-60.9789,4329,64,2021-04-10,04:20:59
,Saint Lucia,13.9094,-60.9789,4347,64,2021-04-11,04:20:56
,Saint Lucia,13.9094,-60.9789,4348,64,2021-04-12,04:21:00
,Saint Lucia,13.9094,-60.9789,4355,64,2021-04-13,04:20:37
,Saint Lucia,13.9094,-60.9789,4355,64,2021-04-14,04:20:41
,Saint Lucia,13.9094,-60.9789,4355,64,2021-04-15,04:20:54
,Saint Lucia,13.9094,-60.9789,4355,64,2021-04-16,04:20:46
,Saint Lucia,13.9094,-60.9789,4398,65,2021-04-17,04:20:40
,Saint Lucia,13.9094,-60.9789,4401,67,2021-04-18,04:20:41
,Saint Lucia,13.9094,-60.9789,4401,67,2021-04-19,04:20:57
,Saint Lucia,13.9094,-60.9789,4419,69,2021-04-20,04:20:41
,Saint Lucia,13.9094,-60.9789,4419,69,2021-04-21,04:21:14
,Saint Lucia,13.9094,-60.9789,4444,70,2021-04-22,04:20:53
,Saint Lucia,13.9094,-60.9789,4455,70,2021-04-23,04:20:52
,Saint Lucia,13.9094,-60.9789,4455,70,2021-04-24,04:20:38
,Saint Lucia,13.9094,-60.9789,4463,70,2021-04-25,04:20:32
,Saint Lucia,13.9094,-60.9789,4486,70,2021-04-26,04:21:04
,Saint Lucia,13.9094,-60.9789,4502,73,2021-04-27,04:20:52
,Saint Lucia,13.9094,-60.9789,4508,74,2021-04-28,04:20:32
,Saint Lucia,13.9094,-60.9789,4508,74,2021-04-29,04:20:55
,Saint Lucia,13.9094,-60.9789,4534,74,2021-04-30,04:21:03
,Saint Lucia,13.9094,-60.9789,4552,74,2021-05-01,04:20:47
,Saint Lucia,13.9094,-60.9789,4560,74,2021-05-02,04:20:48
,Saint Lucia,13.9094,-60.9789,4560,74,2021-05-03,04:20:39
,Saint Lucia,13.9094,-60.9789,4560,74,2021-05-04,04:20:34
,Saint Lucia,13.9094,-60.9789,4573,74,2021-05-05,04:20:43
,Saint Lucia,13.9094,-60.9789,4585,74,2021-05-06,04:20:38
,Saint Lucia,13.9094,-60.9789,4607,75,2021-05-07,04:20:40
,Saint Lucia,13.9094,-60.9789,4607,75,2021-05-08,04:21:04
,Saint Lucia,13.9094,-60.9789,4654,75,2021-05-09,04:20:35
,Saint Lucia,13.9094,-60.9789,4654,75,2021-05-10,04:20:38
,Saint Lucia,13.9094,-60.9789,4690,75,2021-05-11,04:20:41
,Saint Lucia,13.9094,-60.9789,4700,75,2021-05-12,04:21:29
,Saint Lucia,13.9094,-60.9789,4725,75,2021-05-13,04:20:51
,Saint Lucia,13.9094,-60.9789,4725,75,2021-05-14,04:20:41
,Saint Lucia,13.9094,-60.9789,4788,75,2021-05-15,04:20:58
,Saint Lucia,13.9094,-60.9789,4818,75,2021-05-16,04:20:49
,Saint Lucia,13.9094,-60.9789,4818,75,2021-05-17,04:20:34
,Saint Lucia,13.9094,-60.9789,4818,76,2021-05-18,04:20:33
,Saint Lucia,13.9094,-60.9789,4871,77,2021-05-19,04:20:42
,Saint Lucia,13.9094,-60.9789,4906,77,2021-05-20,04:21:05
,Saint Lucia,13.9094,-60.9789,4923,77,2021-05-21,04:20:43
,Saint Lucia,13.9094,-60.9789,4935,77,2021-05-22,04:20:45
,Saint Lucia,13.9094,-60.9789,4935,77,2021-05-23,04:20:51
,Saint Lucia,13.9094,-60.9789,4945,77,2021-05-24,04:20:53
,Saint Lucia,13.9094,-60.9789,4945,77,2021-05-25,04:21:08
,Saint Lucia,13.9094,-60.9789,4968,77,2021-05-26,04:20:35
,Saint Lucia,13.9094,-60.9789,4980,77,2021-05-27,04:20:59
,Saint Lucia,13.9094,-60.9789,5002,77,2021-05-28,04:20:36
,Saint Lucia,13.9094,-60.9789,5035,77,2021-05-29,04:20:41
,Saint Lucia,13.9094,-60.9789,5035,77,2021-05-30,04:20:55
,Saint Lucia,13.9094,-60.9789,5053,77,2021-05-31,03:08:59
,Saint Lucia,13.9094,-60.9789,5067,79,2021-06-01,04:23:09
,Saint Lucia,13.9094,-60.9789,5072,79,2021-06-02,04:24:34
,Saint Lucia,13.9094,-60.9789,5072,80,2021-06-03,04:23:32
,Saint Lucia,13.9094,-60.9789,5102,80,2021-06-04,04:23:37
,Saint Lucia,13.9094,-60.9789,5108,80,2021-06-05,04:23:03
,Saint Lucia,13.9094,-60.9789,5108,80,2021-06-06,04:24:03
,Saint Lucia,13.9094,-60.9789,5133,80,2021-06-07,04:22:51
,Saint Lucia,13.9094,-60.9789,5138,80,2021-06-08,04:22:35
,Saint Lucia,13.9094,-60.9789,5148,80,2021-06-09,04:23:31
,Saint Lucia,13.9094,-60.9789,5156,80,2021-06-10,04:23:17
,Saint Lucia,13.9094,-60.9789,5160,80,2021-06-11,04:23:20
,Saint Lucia,13.9094,-60.9789,5168,80,2021-06-12,04:22:22
