Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
Andalusia,Spain,37.5443,-4.7278,161148,2781,2020-11-09,05:25:45
Aragon,Spain,41.5976,-0.9057,62653,1780,2020-11-09,05:25:45
Asturias,Spain,43.3614,-5.8593,14257,534,2020-11-09,05:25:45
Baleares,Spain,39.710358,2.995148,19946,376,2020-11-09,05:25:45
C. Valenciana,Spain,39.484,-0.7533,70114,1886,2020-11-09,05:25:45
Canarias,Spain,28.2916,-16.6291,18088,296,2020-11-09,05:25:45
Cantabria,Spain,43.1828,-3.9878,11112,258,2020-11-09,05:25:45
Castilla - La Mancha,Spain,39.2796,-3.0977,70817,3452,2020-11-09,05:25:45
Castilla y Leon,Spain,41.8357,-4.3976,92867,3834,2020-11-09,05:25:45
Catalonia,Spain,41.5912,1.5209,257588,7225,2020-11-09,05:25:45
Ceuta,Spain,35.8894,-5.3213,2053,32,2020-11-09,05:25:45
Extremadura,Spain,39.4937,-6.0679,22804,770,2020-11-09,05:25:45
Galicia,Spain,42.5751,-8.1339,38062,977,2020-11-09,05:25:45
La Rioja,Spain,42.2871,-2.5396,13817,482,2020-11-09,05:25:45
Madrid,Spain,40.4168,-3.7038,319651,10842,2020-11-09,05:25:45
Melilla,Spain,35.2923,-2.9381,3327,24,2020-11-09,05:25:45
Murcia,Spain,37.9922,-1.1307,41387,389,2020-11-09,05:25:45
Navarra,Spain,42.6954,-1.6761,35577,747,2020-11-09,05:25:45
Pais Vasco,Spain,42.9896,-2.6189,73564,2148,2020-11-09,05:25:45
Unknown,Spain,,,0,0,2020-11-09,05:25:45
Andalusia,Spain,37.5443,-4.7278,173357,2885,2020-11-10,05:40:07
Aragon,Spain,41.5976,-0.9057,64835,1860,2020-11-10,05:40:07
Asturias,Spain,43.3614,-5.8593,15583,582,2020-11-10,05:40:07
Baleares,Spain,39.710358,2.995148,20617,378,2020-11-10,05:40:07
C. Valenciana,Spain,39.484,-0.7533,73151,1907,2020-11-10,05:40:07
Canarias,Spain,28.2916,-16.6291,18547,301,2020-11-10,05:40:07
Cantabria,Spain,43.1828,-3.9878,11750,264,2020-11-10,05:40:07
Castilla - La Mancha,Spain,39.2796,-3.0977,72554,3475,2020-11-10,05:40:07
Castilla y Leon,Spain,41.8357,-4.3976,97687,3911,2020-11-10,05:40:07
Catalonia,Spain,41.5912,1.5209,267218,7272,2020-11-10,05:40:07
Ceuta,Spain,35.8894,-5.3213,2217,33,2020-11-10,05:40:07
Extremadura,Spain,39.4937,-6.0679,23870,786,2020-11-10,05:40:07
Galicia,Spain,42.5751,-8.1339,39740,997,2020-11-10,05:40:07
La Rioja,Spain,42.2871,-2.5396,14277,492,2020-11-10,05:40:07
Madrid,Spain,40.4168,-3.7038,322960,10850,2020-11-10,05:40:07
Melilla,Spain,35.2923,-2.9381,3401,27,2020-11-10,05:40:07
Murcia,Spain,37.9922,-1.1307,44511,403,2020-11-10,05:40:07
Navarra,Spain,42.6954,-1.6761,36354,767,2020-11-10,05:40:07
Pais Vasco,Spain,42.9896,-2.6189,78589,2155,2020-11-10,05:40:07
Unknown,Spain,,,0,0,2020-11-10,05:40:07
Andalusia,Spain,37.5443,-4.7278,173357,2885,2020-11-11,05:25:30
Aragon,Spain,41.5976,-0.9057,64835,1860,2020-11-11,05:25:30
Asturias,Spain,43.3614,-5.8593,15583,582,2020-11-11,05:25:30
Baleares,Spain,39.710358,2.995148,20617,378,2020-11-11,05:25:30
C. Valenciana,Spain,39.484,-0.7533,73151,1907,2020-11-11,05:25:30
Canarias,Spain,28.2916,-16.6291,18547,301,2020-11-11,05:25:30
Cantabria,Spain,43.1828,-3.9878,11750,264,2020-11-11,05:25:30
Castilla - La Mancha,Spain,39.2796,-3.0977,72554,3475,2020-11-11,05:25:30
Castilla y Leon,Spain,41.8357,-4.3976,97687,3911,2020-11-11,05:25:30
Catalonia,Spain,41.5912,1.5209,267218,7272,2020-11-11,05:25:30
Ceuta,Spain,35.8894,-5.3213,2217,33,2020-11-11,05:25:30
Extremadura,Spain,39.4937,-6.0679,23870,786,2020-11-11,05:25:30
Galicia,Spain,42.5751,-8.1339,39740,997,2020-11-11,05:25:30
La Rioja,Spain,42.2871,-2.5396,14277,492,2020-11-11,05:25:30
Madrid,Spain,40.4168,-3.7038,322960,10850,2020-11-11,05:25:30
Melilla,Spain,35.2923,-2.9381,3401,27,2020-11-11,05:25:30
Murcia,Spain,37.9922,-1.1307,44511,403,2020-11-11,05:25:30
Navarra,Spain,42.6954,-1.6761,36354,767,2020-11-11,05:25:30
Pais Vasco,Spain,42.9896,-2.6189,78589,2155,2020-11-11,05:25:30
Unknown,Spain,,,0,0,2020-11-11,05:25:30
Andalusia,Spain,37.5443,-4.7278,179693,3037,2020-11-12,05:25:55
Aragon,Spain,41.5976,-0.9057,66323,1911,2020-11-12,05:25:55
Asturias,Spain,43.3614,-5.8593,16396,622,2020-11-12,05:25:55
Baleares,Spain,39.710358,2.995148,21048,380,2020-11-12,05:25:55
C. Valenciana,Spain,39.484,-0.7533,77423,1970,2020-11-12,05:25:55
Canarias,Spain,28.2916,-16.6291,18772,308,2020-11-12,05:25:55
Cantabria,Spain,43.1828,-3.9878,12224,269,2020-11-12,05:25:55
Castilla - La Mancha,Spain,39.2796,-3.0977,74586,3504,2020-11-12,05:25:55
Castilla y Leon,Spain,41.8357,-4.3976,101105,3999,2020-11-12,05:25:55
Catalonia,Spain,41.5912,1.5209,273041,7311,2020-11-12,05:25:55
Ceuta,Spain,35.8894,-5.3213,2345,39,2020-11-12,05:25:55
Extremadura,Spain,39.4937,-6.0679,24649,805,2020-11-12,05:25:55
Galicia,Spain,42.5751,-8.1339,40772,1029,2020-11-12,05:25:55
La Rioja,Spain,42.2871,-2.5396,14587,498,2020-11-12,05:25:55
Madrid,Spain,40.4168,-3.7038,326408,10946,2020-11-12,05:25:55
Melilla,Spain,35.2923,-2.9381,3494,30,2020-11-12,05:25:55
