Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Suriname,3.9193,-56.0278,5018,106.0,2020-10-10,04:23:57
,Suriname,3.9193,-56.0278,5035,107.0,2020-10-11,04:23:46
,Suriname,3.9193,-56.0278,5051,107.0,2020-10-12,04:23:45
,Suriname,3.9193,-56.0278,5058,107.0,2020-10-13,04:24:02
,Suriname,3.9193,-56.0278,5072,107.0,2020-10-14,04:24:05
,Suriname,3.9193,-56.0278,5083,108.0,2020-10-15,04:24:28
,Suriname,3.9193,-56.0278,5094,109.0,2020-10-16,04:24:01
,Suriname,3.9193,-56.0278,5113,109.0,2020-10-17,04:24:12
,Suriname,3.9193,-56.0278,5123,109.0,2020-10-18,04:24:25
,Suriname,3.9193,-56.0278,5130,109.0,2020-10-19,04:24:16
,Suriname,3.9193,-56.0278,5133,109.0,2020-10-20,04:24:22
,Suriname,3.9193,-56.0278,5144,109.0,2020-10-21,04:24:14
,Suriname,3.9193,-56.0278,5150,109.0,2020-10-22,04:24:27
,Suriname,3.9193,-56.0278,5154,109.0,2020-10-23,04:24:46
,Suriname,3.9193,-56.0278,5155,109.0,2020-10-24,04:24:46
,Suriname,3.9193,-56.0278,5166,109.0,2020-10-25,04:24:36
,Suriname,3.9193,-56.0278,5170,109.0,2020-10-26,04:25:02
,Suriname,3.9193,-56.0278,5180,110.0,2020-10-27,04:24:45
,Suriname,3.9193,-56.0278,5187,111.0,2020-10-28,04:24:39
,Suriname,3.9193,-56.0278,5192,111.0,2020-10-29,04:24:49
,Suriname,3.9193,-56.0278,5197,111.0,2020-10-30,04:24:49
,Suriname,3.9193,-56.0278,5201,111.0,2020-10-31,04:24:44
,Suriname,3.9193,-56.0278,5203,111.0,2020-11-01,04:36:19
,Suriname,3.9193,-56.0278,5210,111.0,2020-11-02,05:25:04
,Suriname,3.9193,-56.0278,5212,111.0,2020-11-03,06:00:16
,Suriname,3.9193,-56.0278,5218,111.0,2020-11-04,05:25:09
,Suriname,3.9193,-56.0278,5220,112.0,2020-11-05,06:05:03
,Suriname,3.9193,-56.0278,5225,112.0,2020-11-06,05:24:55
,Suriname,3.9193,-56.0278,5227,112.0,2020-11-07,05:24:52
,Suriname,3.9193,-56.0278,5234,113.0,2020-11-08,05:24:56
,Suriname,3.9193,-56.0278,5239,113.0,2020-11-09,05:25:45
,Suriname,3.9193,-56.0278,5241,113.0,2020-11-10,05:40:07
,Suriname,3.9193,-56.0278,5245,113.0,2020-11-11,05:25:30
,Suriname,3.9193,-56.0278,5254,113.0,2020-11-12,05:25:55
,Suriname,3.9193,-56.0278,5261,114.0,2020-11-13,05:25:30
,Suriname,3.9193,-56.0278,5268,114.0,2020-11-14,05:25:37
,Suriname,3.9193,-56.0278,5274,114.0,2020-11-15,05:26:53
,Suriname,3.9193,-56.0278,5274,114.0,2020-11-16,05:25:57
,Suriname,3.9193,-56.0278,5275,115.0,2020-11-17,05:25:54
,Suriname,3.9193,-56.0278,5278,116.0,2020-11-18,05:40:31
,Suriname,3.9193,-56.0278,5282,116.0,2020-11-19,05:25:23
,Suriname,3.9193,-56.0278,5284,116.0,2020-11-20,05:26:28
,Suriname,3.9193,-56.0278,5289,116.0,2020-11-21,05:25:51
,Suriname,3.9193,-56.0278,5295,116.0,2020-11-22,05:25:45
,Suriname,3.9193,-56.0278,5296,116.0,2020-11-23,05:25:26
,Suriname,3.9193,-56.0278,5297,116.0,2020-11-24,05:27:31
,Suriname,3.9193,-56.0278,5300,117.0,2020-11-25,05:27:20
,Suriname,3.9193,-56.0278,5305,117.0,2020-11-26,05:27:44
,Suriname,3.9193,-56.0278,5307,117.0,2020-11-27,05:26:53
,Suriname,3.9193,-56.0278,5311,117.0,2020-11-28,05:25:50
,Suriname,3.9193,-56.0278,5312,117.0,2020-11-29,05:25:55
,Suriname,3.9193,-56.0278,5312,117.0,2020-11-30,05:26:13
,Suriname,3.9193,-56.0278,5312,117.0,2020-12-01,05:26:18
,Suriname,3.9193,-56.0278,5319,117.0,2020-12-02,05:27:41
,Suriname,3.9193,-56.0278,5320,117.0,2020-12-03,05:28:22
,Suriname,3.9193,-56.0278,5322,117.0,2020-12-04,05:27:27
,Suriname,3.9193,-56.0278,5322,117.0,2020-12-05,05:27:36
,Suriname,3.9193,-56.0278,5324,117.0,2020-12-06,05:26:18
,Suriname,3.9193,-56.0278,5324,117.0,2020-12-07,05:26:14
,Suriname,3.9193,-56.0278,5325,117.0,2020-12-08,05:27:42
,Suriname,3.9193,-56.0278,5326,117.0,2020-12-09,05:28:01
,Suriname,3.9193,-56.0278,5333,117.0,2020-12-10,05:26:19
,Suriname,3.9193,-56.0278,5337,117.0,2020-12-11,05:26:59
,Suriname,3.9193,-56.0278,5339,117.0,2020-12-12,05:26:19
,Suriname,3.9193,-56.0278,5340,117.0,2020-12-13,05:27:20
,Suriname,3.9193,-56.0278,5353,117.0,2020-12-14,05:26:27
,Suriname,3.9193,-56.0278,5359,117.0,2020-12-15,05:26:38
,Suriname,3.9193,-56.0278,5381,117.0,2020-12-16,05:28:04
,Suriname,3.9193,-56.0278,5401,117.0,2020-12-17,05:28:12
,Suriname,3.9193,-56.0278,5428,117.0,2020-12-18,05:28:18
,Suriname,3.9193,-56.0278,5459,117.0,2020-12-19,05:27:52
,Suriname,3.9193,-56.0278,5511,118.0,2020-12-20,05:27:32
,Suriname,3.9193,-56.0278,5552,118.0,2020-12-21,05:27:58
